# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.33
metadata : {}


# id : NWRW1800000045.33.1.1
호텔롯데 “이르면 12월 상장 예비심사 신청”

호텔롯데	호텔롯데/NNP
통보받기까지	통보/NNG+받/XSV+기/ETN+까지/JX
최소	최소/NNG
4주가	4/SN+주/NNB+가/JKS
걸리고	걸리/VV+고/EC
이후	이후/NNG
6개월	6/SN+개월/NNB
이내에	이내/NNG+에/JKB
신청서와	신청서/NNG+와/JC
첨부서류를	첨부/NNG+서류/NNG+를/JKO
거래소에	거래소/NNG+에/JKB
제출해야	제출/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.33.4.1
하지만 난관 역시 적지 않다.

하지만	하지만/MAJ
난관	난관/NNG
역시	역시/MAG
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.33.4.2
우선 월드타워 면세점 특허권을 상실함에 따라 기업 가치 하락이 불가피해졌다.

우선	우선/MAG
월드타워	월드타워/NNP
면세점	면세점/NNG
특허권을	특허/NNG+권/XSN+을/JKO
상실함에	상실/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
기업	기업/NNG
가치	가치/NNG
하락이	하락/NNG+이/JKS
불가피해졌다.	불가피하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.33.4.3
면세점 축소로 인해 공모가가 계획보다 낮게 결정되거나 공모 흥행에 실패할 경우 그룹 내 순환출자 고리를 끊을 충분한 재원을 확보하지 못할 수도 있다.

면세점	면세점/NNG
축소로	축소/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
공모가가	공모/NNG+가/XSN+가/JKS
계획보다	계획/NNG+보다/JKB
낮게	낮/VA+게/EC
결정되거나	결정/NNG+되/XSV+거나/EC
공모	공모/NNG
흥행에	흥행/NNG+에/JKB
실패할	실패/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
그룹	그룹/NNG
내	내/NNB
순환출자	순환/NNG+출자/NNG
고리를	고리/NNG+를/JKO
끊을	끊/VV+을/ETM
충분한	충분하/VA+ㄴ/ETM
재원을	재원/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.33.5.1
호텔롯데의 지분 5.45%를 신동주 전 일본롯데 부회장이 최대주주로 있는 광윤사가 갖고 있기 때문에 대주주 지분의 의무 보호예수(일정 기간 주식을 팔지 못하게 한 제도)를 어떻게 해결할지도 관건이다.

호텔롯데의	호텔롯데/NNP+의/JKG
지분	지분/NNG
5.45%를	5/SN+./SP+45/SN+%/SW+를/JKO
신동주	신동주/NNP
전	전/MMD
일본롯데	일본롯데/NNP
부회장이	부회장/NNG+이/JKS
최대주주로	최대/NNG+주주/NNG+로/JKB
있는	있/VA+는/ETM
광윤사가	광윤사/NNP+가/JKS
갖고	갖/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
대주주	대/XPN+주주/NNG
지분의	지분/NNG+의/JKG
의무	의무/NNG
보호예수(일정	보호/NNG+예수/NNG+(/SS+일정/NNG
기간	기간/NNG
주식을	주식/NNG+을/JKO
팔지	팔/VV+지/EC
못하게	못하/VX+게/EC
한	하/VX+ㄴ/ETM
제도)를	제도/NNG+)/SS+를/JKO
어떻게	어떻/VA+게/EC
해결할지도	해결/NNG+하/XSV+ㄹ지/EF+도/JX
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.33.5.2
물론 경영권 분쟁도 지배구조 안정을 위해 풀어야 할 숙제다.

물론	물론/MAG
경영권	경영/NNG+권/XSN
분쟁도	분쟁/NNG+도/JX
지배구조	지배/NNG+구조/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
풀어야	풀/VV+어야/EC
할	하/VX+ㄹ/ETM
숙제다.	숙제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.33.5.3
롯데그룹 측은 “호텔롯데를 성공적으로 국내에 상장시키기 위해 전력을 기울일 것”이라고 말했다.

롯데그룹	롯데그룹/NNP
측은	측/NNB+은/JX
“호텔롯데를	“/SS+호텔롯데/NNP+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
국내에	국내/NNG+에/JKB
상장시키기	상장/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
전력을	전력/NNG+을/JKO
기울일	기울이/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.33.6.1
한편 롯데그룹은 이날 롯데월드타워 외부공사 완료 시점이 한 달 앞으로 다가옴에 따라 다음 달 22일로 예정된 상량식(지붕을 올리는 작업)까지 롯데 임원들이 직접 야간에 공사 현장을 순찰하고 대테러 특수 요원과 폭발물 탐지견 등을 배치하는 등 ‘안전 비상’ 체제를 운영한다고 밝혔다.

한편	한편/MAG
롯데그룹은	롯데그룹/NNP+은/JX
이날	이날/NNG
롯데월드타워	롯데월드타워/NNP
외부공사	외부/NNG+공사/NNG
완료	완료/NNG
시점이	시점/NNG+이/JKS
한	한/MMN
달	달/NNG
앞으로	앞/NNG+으로/JKB
다가옴에	다가오/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
다음	다음/NNG
22일로	22/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
상량식(지붕을	상량식/NNG+(/SS+지붕/NNG+을/JKO
올리는	올리/VV+는/ETM
작업)까지	작업/NNG+)/SS+까지/JX
롯데	롯데/NNP
임원들이	임원/NNG+들/XSN+이/JKS
직접	직접/MAG
야간에	야간/NNG+에/JKB
공사	공사/NNG
현장을	현장/NNG+을/JKO
순찰하고	순찰/NNG+하/XSV+고/EC
대테러	대테러/NNG
특수	특수/NNG
요원과	요원/NNG+과/JC
폭발물	폭발물/NNG
탐지견	탐지견/NNG
등을	등/NNB+을/JKO
배치하는	배치/NNG+하/XSV+는/ETM
등	등/NNB
‘안전	‘/SS+안전/NNG
비상’	비상/NNG+’/SS
체제를	체제/NNG+를/JKO
운영한다고	운영/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


