# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.382
metadata : {}


# id : NWRW1800000033.382.1.1
[선택 2012 대선 D-12]朴 “애환 챙기는 현장대통령 될것”… 文 “아름다운 단일화 완성”

[선택	[/SS+선택/NNG
그동안 약세를 보였지만 최근 각종 여론조사에서 민주통합당 문재인 후보와 박빙 양상으로 바뀌면서 공을 들이는 모양새다.

그동안	그동안/NNG
약세를	약세/NNG+를/JKO
보였지만	보이/VV+었/EP+지만/EC
최근	최근/MAG
각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보와	후보/NNG+와/JKB
박빙	박빙/NNG
양상으로	양상/NNG+으로/JKB
바뀌면서	바뀌/VV+면서/EC
공을	공/NNG+을/JKO
들이는	들이/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.382.4.1
박 후보는 이날 모든 유세장에서 “민주당 정권이 붕괴시킨 중산층을 70%까지 끌어올리겠다”면서 가계부채 경감책, 사교육 대책, 대학 등록금 부담 완화, 초등학생 ‘온종일학교’ 등 민생 공약을 상세하게 설명했다.

박	박/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
모든	모든/MMN
유세장에서	유세장/NNG+에서/JKB
“민주당	“/SS+민주당/NNP
정권이	정권/NNG+이/JKS
붕괴시킨	붕괴/NNG+시키/XSV+ㄴ/ETM
중산층을	중산/NNG+층/XSN+을/JKO
70%까지	70/SN+%/SW+까지/JX
끌어올리겠다”면서	끌어올리/VV+겠/EP+다/EF+”/SS+면서/EC
가계부채	가계/NNG+부채/NNG
경감책,	경감책/NNG+,/SP
사교육	사교육/NNG
대책,	대책/NNG+,/SP
대학	대학/NNG
등록금	등록금/NNG
부담	부담/NNG
완화,	완화/NNG+,/SP
초등학생	초등학생/NNG
‘온종일학교’	‘/SS+온종일/NNG+학교/NNG+’/SS
등	등/NNB
민생	민생/NNG
공약을	공약/NNG+을/JKO
상세하게	상세하/VA+게/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.4.2
“민주당이 폭등시킨 등록금도 반으로 부담을 덜어드리겠다”고 했다.

“민주당이	“/SS+민주당/NNP+이/JKS
폭등시킨	폭등/NNG+시키/XSV+ㄴ/ETM
등록금도	등록금/NNG+도/JX
반으로	반/NNG+으로/JKB
부담을	부담/NNG+을/JKO
덜어드리겠다”고	덜/VV+어/EC+드리/VX+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.5.1
전날까지 ‘노무현 정부 실정론’으로 문 후보를 직접 비판하던 모습은 사라졌고 “국민의 애환을 챙기는 현장대통령이 되겠다”면서 민생을 유난히 강조했다.

전날까지	전날/NNG+까지/JX
‘노무현	‘/SS+노무현/NNP
정부	정부/NNG
실정론’으로	실정/NNG+론/XSN+’/SS+으로/JKB
문	문/NNP
후보를	후보/NNG+를/JKO
직접	직접/MAG
비판하던	비판/NNG+하/XSV+던/ETM
모습은	모습/NNG+은/JX
사라졌고	사라지/VV+었/EP+고/EC
“국민의	“/SS+국민/NNG+의/JKG
애환을	애환/NNG+을/JKO
챙기는	챙기/VV+는/ETM
현장대통령이	현장/NNG+대통령/NNG+이/JKC
되겠다”면서	되/VV+겠/EP+다/EF+”/SS+면서/EC
민생을	민생/NNG+을/JKO
유난히	유난히/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.6.1
박 후보는 다만 “변화를 가장해 국민을 분열시키고 갈등을 키우는 무책임한 변화는 민생을 더욱 어렵게 만들고 국제적 고립을 자초할 뿐”이라면서 “이번 대선은 책임 있는 변화냐, 무책임한 변화냐 둘 중에 하나를 선택하는 선거”라고 목소리를 높였다.

박	박/NNP
후보는	후보/NNG+는/JX
다만	다만/MAG
“변화를	“/SS+변화/NNG+를/JKO
가장해	가장/NNG+하/XSV+아/EC
국민을	국민/NNG+을/JKO
분열시키고	분열/NNG+시키/XSV+고/EC
갈등을	갈등/NNG+을/JKO
키우는	키우/VV+는/ETM
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
변화는	변화/NNG+는/JX
민생을	민생/NNG+을/JKO
더욱	더욱/MAG
어렵게	어렵/VA+게/EC
만들고	만들/VV+고/EC
국제적	국제/NNG+적/XSN
고립을	고립/NNG+을/JKO
자초할	자초/NNG+하/XSV+ㄹ/ETM
뿐”이라면서	뿐/NNB+”/SS+이/VCP+라면서/EC
“이번	“/SS+이번/NNG
대선은	대선/NNG+은/JX
책임	책임/NNG
있는	있/VA+는/ETM
변화냐,	변화/NNG+이/VCP+냐/EF+,/SP
변화냐	변화/NNG+이/VCP+냐/EF
둘	둘/NR
중에	중/NNB+에/JKB
하나를	하나/NR+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
선거”라고	선거/NNG+”/SS+라고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.382.6.2
문 후보와 안 전 후보가 주장하는 ‘정권교체론’과 ‘새정치론’을 사실상 ‘무책임한 변화’로 규정한 비판이다.

문	문/NNP
후보와	후보/NNG+와/JC
안	안/NNP
전	전/MMD
후보가	후보/NNG+가/JKS
주장하는	주장/NNG+하/XSV+는/ETM
‘정권교체론’과	‘/SS+정권/NNG+교체/NNG+론/XSN+’/SS+과/JC
‘새정치론’을	‘/SS+새/MMA+정치/NNG+론/XSN+’/SS+을/JKO
사실상	사실/NNG+상/XSN
‘무책임한	‘/SS+무/XPN+책임/NNG+하/XSA+ㄴ/ETM
변화’로	변화/NNG+’/SS+로/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
비판이다.	비판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.382.6.3
박 후보는 안양에서 성남 유세장으로 이동하는 동안 문 후보와 안 전 후보의 회동 사실을 보고받았다.

박	박/NNP
후보는	후보/NNG+는/JX
안양에서	안양/NNP+에서/JKB
성남	성남/NNP
유세장으로	유세장/NNG+으로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
동안	동안/NNG
문	문/NNP
후보와	후보/NNG+와/JC
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
회동	회동/NNG
사실을	사실/NNG+을/JKO
보고받았다.	보고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.6.4
그러나 박 후보는 성남 모란시장 유세에서 이에 대한 언급을 하지 않고 민생공약을 더욱 강조했다.

그러나	그러나/MAJ
박	박/NNP
후보는	후보/NNG+는/JX
성남	성남/NNP
모란시장	모란시장/NNP
유세에서	유세/NNG+에서/JKB
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
언급을	언급/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
민생공약을	민생/NNG+공약/NNG+을/JKO
더욱	더욱/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.7.1
이날 유세장마다 1000∼2000명의 지지자가 모였고 박 후보의 5촌 조카인 가수 은지원 씨도 모습을 드러내 눈길을 끌었다.

이날	이날/NNG
유세장마다	유세장/NNG+마다/JX
1000∼2000명의	1000/SN+∼/SO+2000/SN+명/NNB+의/JKG
지지자가	지지자/NNG+가/JKS
모였고	모이/VV+었/EP+고/EC
박	박/NNP
후보의	후보/NNG+의/JKG
5촌	5/SN+촌/NNB
조카인	조카/NNG+이/VCP+ㄴ/ETM
가수	가수/NNG
은지원	은지원/NNP
씨도	씨/NNB+도/JX
모습을	모습/NNG+을/JKO
드러내	드러내/VV+어/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.382.8.1
한편 박 후보는 이날 제2차 방송연설에서 “국정운영의 패러다임을 국민 중심으로 완전히 바꾸고 정치의 목표를 오로지 국민 행복에 두는 민생 대통령이 될 것”이라고 밝혔다.

한편	한편/MAG
박	박/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
제2차	제/XPN+2/SN+차/NNB
방송연설에서	방송/NNG+연설/NNG+에서/JKB
“국정운영의	“/SS+국정/NNG+운영/NNG+의/JKG
패러다임을	패러다임/NNG+을/JKO
국민	국민/NNG
중심으로	중심/NNG+으로/JKB
완전히	완전히/MAG
바꾸고	바꾸/VV+고/EC
정치의	정치/NNG+의/JKG
목표를	목표/NNG+를/JKO
오로지	오로지/MAG
행복에	행복/NNG+에/JKB
두는	두/VV+는/ETM
민생	민생/NNG
대통령이	대통령/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.382.9.1
▼ 文, “박근혜가 되면 정권교대, 내가 돼야 정권교체…” ▼

▼	▼/SW
文,	文/SH+,/SP
“박근혜가	“/SS+박근혜/NNP+가/JKC
되면	되/VV+면/EC
정권교대,	정권/NNG+교대/NNG+,/SP
내가	내/NP+가/JKC
돼야	되/VV+어야/EC
정권교체…”	정권/NNG+교체/NNG+…/SE+”/SS


# id : NWRW1800000033.382.10.1
서울-경기 오가며 “필수생활비 절반시대 열것”

서울-경기	서울/NNP+-/SO+경기/NNP
오가며	오가/VV+며/EC
“필수생활비	“/SS+필수/NNG+생활비/NNG
절반시대	절반/NNG+시대/NNG
열것”	열/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000033.382.11.1
민주통합당 문재인 대선후보는 6일 “새누리당 박근혜 대선후보가 (대통령이) 되면 정권교대, 저 문재인이 돼야만 정권교체다”라며 지지를 호소했다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
6일	6/SN+일/NNB
“새누리당	“/SS+새누리당/NNP
박근혜	박근혜/NNP
대선후보가	대선/NNG+후보/NNG+가/JKS
(대통령이)	(/SS+대통령/NNG+이/JKC+)/SS
되면	되/VV+면/EC
정권교대,	정권/NNG+교대/NNG+,/SP
저	저/NP
문재인이	문재인/NNP+이/JKC
돼야만	되/VV+어야만/EC
정권교체다”라며	정권/NNG+교체/NNG+이/VCP+다/EF+”/SS+이/VCP+라며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.12.1
문 후보는 이날 오후 안철수 전 대선후보와 만나 선거 지원을 약속받은 뒤 경기 수원역 앞에서 가진 집중유세에서 “이번 대선은 새누리당 정권 5년을 심판하는 선거다. 잘했으면 지지해주고, 잘못했으면 바꿔야 되는 것”이라며 이같이 주장했다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
안철수	안철수/NNP
전	전/MMD
대선후보와	대선/NNG+후보/NNG+와/JKB
만나	만나/VV+아/EC
선거	선거/NNG
지원을	지원/NNG+을/JKO
약속받은	약속/NNG+받/XSV+은/ETM
뒤	뒤/NNG
경기	경기/NNP
수원역	수원역/NNP
앞에서	앞/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
집중유세에서	집중/NNG+유세/NNG+에서/JKB
“이번	“/SS+이번/NNG
대선은	대선/NNG+은/JX
새누리당	새누리당/NNP
정권	정권/NNG
5년을	5/SN+년/NNB+을/JKO
심판하는	심판/NNG+하/XSV+는/ETM
선거다.	선거/NNG+이/VCP+다/EF+./SF
잘했으면	잘/MAG+하/XSV+았/EP+으면/EC
지지해주고,	지지/NNG+하/XSV+아/EC+주/VX+고/EC+,/SP
잘못했으면	잘못/MAG+하/XSV+았/EP+으면/EC
바꿔야	바꾸/VV+어야/EC
되는	되/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.13.1
문 후보는 “대통령이 서민의 편에 서야 새로운 시대를 열 수 있다”며 “저는 피란민의 아들로 태어나 시장에서 일하는 어머니께서 눈물로 지어주시는 밥을 먹고 자랐다. 변호사가 된 이후에도 힘없는 서민과 노동자를 위해 일하는 인권변호사로 활동했다. 서민의 아픔을 아는 대통령이 나와야 서민이 기댈 수 있는 언덕이 되고, 버팀목이 된다”고 강조했다.

문	문/NNP
후보는	후보/NNG+는/JX
“대통령이	“/SS+대통령/NNG+이/JKS
서민의	서민/NNG+의/JKG
편에	편/NNG+에/JKB
서야	서/VV+어야/EC
새로운	새롭/VA+ㄴ/ETM
시대를	시대/NNG+를/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“저는	“/SS+저/NP+는/JX
피란민의	피란민/NNG+의/JKG
아들로	아들/NNG+로/JKB
태어나	태어나/VV+아/EC
시장에서	시장/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
어머니께서	어머니/NNG+께서/JKS
눈물로	눈물/NNG+로/JKB
지어주시는	짓/VV+어/EC+주/VX+시/EP+는/ETM
밥을	밥/NNG+을/JKO
먹고	먹/VV+고/EC
자랐다.	자라/VV+았/EP+다/EF+./SF
변호사가	변호사/NNG+가/JKC
된	되/VV+ㄴ/ETM
이후에도	이후/NNG+에/JKB+도/JX
힘없는	힘없/VA+는/ETM
서민과	서민/NNG+과/JC
노동자를	노동자/NNG+를/JKO
위해	위하/VV+아/EC
인권변호사로	인권/NNG+변호사/NNG+로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF
아픔을	아픔/NNG+을/JKO
아는	알/VV+는/ETM
대통령이	대통령/NNG+이/JKS
나와야	나오/VV+아야/EC
서민이	서민/NNG+이/JKS
기댈	기대/VV+ㄹ/ETM
있는	있/VA+는/ETM
언덕이	언덕/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
버팀목이	버팀목/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.14.1
그러면서 “우리는 (이명박 대통령이) 성공한 기업인이니까 그래도 도덕성에 조금 문제가 있어도 경제만큼은 잘할 수 있지 않겠나 생각했다. 그런데 전부 새빨간 거짓말이었다. 2007년에 한 번 속았으면 됐다”며 현 정권에 날을 세웠다.

그러면서	그러/VV+면서/EC
“우리는	“/SS+우리/NP+는/JX
(이명박	(/SS+이명박/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
성공한	성공/NNG+하/XSV+ㄴ/ETM
기업인이니까	기업인/NNG+이/VCP+니까/EC
그래도	그렇/VA+어도/EC
도덕성에	도덕/NNG+성/XSN+에/JKB
조금	조금/MAG
문제가	문제/NNG+가/JKS
있어도	있/VA+어도/EC
경제만큼은	경제/NNG+만큼/JKB+은/JX
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠나	않/VX+겠/EP+나/EF
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF
그런데	그런데/MAJ
전부	전부/MAG
새빨간	새빨갛/VA+ㄴ/ETM
거짓말이었다.	거짓말/NNG+이/VCP+었/EP+다/EF+./SF
2007년에	2007/SN+년/NNB+에/JKB
한	한/MMN
번	번/NNB
속았으면	속/VV+았/EP+으면/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
현	현/MMD
정권에	정권/NNG+에/JKB
날을	날/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.382.15.1
문 후보는 특히 안 전 후보와의 회동을 상기시키며 “안 전 후보가 저에 대한 전폭적 지지와 적극적 지원 활동을 하겠다고 약속했다”며 “이제 아름다운 후보 단일화가 완성됐다”고 강조했다.

문	문/NNP
후보는	후보/NNG+는/JX
특히	특히/MAG
안	안/NNP
전	전/MMD
후보와의	후보/NNG+와/JKB+의/JKG
회동을	회동/NNG+을/JKO
상기시키며	상기/NNG+시키/XSV+며/EC
“안	“/SS+안/NNP
후보가	후보/NNG+가/JKS
저에	저/NP+에/JKB
대한	대하/VV+ㄴ/ETM
전폭적	전폭/NNG+적/XSN
지지와	지지/NNG+와/JC
적극적	적극/NNG+적/XSN
지원	지원/NNG
활동을	활동/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
약속했다”며	약속/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
아름다운	아름답/VA+ㄴ/ETM
후보	후보/NNG
단일화가	단일/NNG+화/XSN+가/JKS
완성됐다”고	완성/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.16.1
문 후보는 당초 이날 오후 경기도 곳곳에서 집중유세를 하려 했으나 첫 방문지인 고양에서 안 전 후보로부터 회동 제의를 받고 곧바로 서울로 향했다가 회동 후 수원으로 이동했다.

문	문/NNP
후보는	후보/NNG+는/JX
당초	당초/NNG
이날	이날/NNG
오후	오후/NNG
경기도	경기도/NNP
곳곳에서	곳곳/NNG+에서/JKB
집중유세를	집중/NNG+유세/NNG+를/JKO
하려	하/VV+려/EC
했으나	하/VX+았/EP+으나/EC
첫	첫/MMN
방문지인	방문지/NNG+이/VCP+ㄴ/ETM
고양에서	고양/NNP+에서/JKB
안	안/NNP
전	전/MMD
후보로부터	후보/NNG+로부터/JKB
회동	회동/NNG
제의를	제의/NNG+를/JKO
받고	받/VV+고/EC
곧바로	곧바로/MAG
서울로	서울/NNP+로/JKB
향했다가	향하/VV+았/EP+다가/EC
후	후/NNG
수원으로	수원/NNP+으로/JKB
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.382.17.1
이날 오전에는 서울 영등포 민주당사에서 기자회견을 열고 “대학 반값등록금, 의료비 100만 원 상한제, 이동전화 기본요금 인하, 월세 바우처 도입 등을 통해 ‘필수생활비 절반 시대’를 열겠다”고 밝혔다.

이날	이날/NNG
오전에는	오전/NNG+에/JKB+는/JX
서울	서울/NNP
영등포	영등포/NNP
민주당사에서	민주당사/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“대학	“/SS+대학/NNG
반값등록금,	반값/NNG+등록금/NNG+,/SP
의료비	의료비/NNG
100만	100/SN+만/NR
원	원/NNB
상한제,	상한/NNG+제/XSN+,/SP
이동전화	이동/NNG+전화/NNG
기본요금	기본요금/NNG
인하,	인하/NNG+,/SP
월세	월세/NNG
바우처	바우처/NNG
도입	도입/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
‘필수생활비	‘/SS+필수/NNG+생활비/NNG
절반	절반/NNG
시대’를	시대/NNG+’/SS+를/JKO
열겠다”고	열/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


