# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.46
metadata : {}


# id : NWRW1800000041.46.1.1
日 교토대, 731부대 관련 33명에 박사학위 줬다

日	日/SH
‘사회의학연구’라는	‘/SS+사회/NNG+의학/NNG+연구/NNG+’/SS+이/VCP+라는/ETM
학술지에	학술지/NNG+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘731부대	‘/SS+731부대/NNP
관계자	관계자/NNG
교토대학	교토대학/NNP
의학부	의학부/NNG
박사	박사/NNG
논문의	논문/NNG+의/JKG
검증’이라는	검증/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
논문에서	논문/NNG+에서/JKB
이	이/MMD
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
폭로했다.	폭로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.46.5.1
본보가 확보한 논문에 따르면 731부대장이었던 이시이 시로(石井四郞)가 교토대에서 박사 학위를 받았던 1927년부터 1960년까지 33명의 731부대 관련자가 학위를 받았다.

본보가	본보/NNG+가/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
논문에	논문/NNG+에/JKB
따르면	따르/VV+면/EC
731부대장이었던	731/SN+부대장/NNG+이/VCP+었/EP+던/ETM
이시이	이시이/NNP
시로(石井四郞)가	시로/NNP+(/SS+石井四郞/SH+)/SS+가/JKS
교토대에서	교토대/NNP+에서/JKB
박사	박사/NNG
학위를	학위/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
1927년부터	1927/SN+년/NNB+부터/JX
1960년까지	1960/SN+년/NNB+까지/JX
33명의	33/SN+명/NNB+의/JKG
731부대	731부대/NNP
관련자가	관련자/NNG+가/JKS
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.46.5.2
이 가운데 14명은 군의장교였고 9명은 기사(技師)로 적어도 23명이 부대의 주요 간부였다.

이	이/MMD
가운데	가운데/NNG
14명은	14/SN+명/NNB+은/JX
군의장교였고	군의/NNG+장교/NNG+이/VCP+었/EP+고/EC
9명은	9/SN+명/NNB+은/JX
기사(技師)로	기사/NNG+(/SS+技師/SH+)/SS+로/JKB
적어도	적어도/MAG
23명이	23/SN+명/NNB+이/JKS
부대의	부대/NNG+의/JKG
주요	주요/NNG
간부였다.	간부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.46.6.1
논문 중에는 ‘특수대량생산을 목적으로 하는 생균(독성을 약화시킨 생바이러스) 건조 보존의 연구’, ‘약한 독성의 페스트균 동결진공건조법에 의한 생존보존방법 연구’ 등 731부대의 생체실험 결과를 반영한 것으로 보이는 저작들이 다수 포함됐다.

논문	논문/NNG
중에는	중/NNB+에/JKB+는/JX
‘특수대량생산을	‘/SS+특수/NNG+대량/NNG+생산/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
하는	하/VV+는/ETM
생균(독성을	생균/NNG+(/SS+독성/NNG+을/JKO
약화시킨	약화/NNG+시키/XSV+ㄴ/ETM
생바이러스)	생/XPN+바이러스/NNG+)/SS
건조	건조/NNG
보존의	보존/NNG+의/JKG
연구’,	연구/NNG+’/SS+,/SP
‘약한	‘/SS+약하/VA+ㄴ/ETM
독성의	독성/NNG+의/JKG
페스트균	페스트균/NNG
동결진공건조법에	동결/NNG+진공/NNG+건조법/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
생존보존방법	생존/NNG+보존/NNG+방법/NNG
연구’	연구/NNG+’/SS
등	등/NNB
731부대의	731부대/NNP+의/JKG
생체실험	생체/NNG+실험/NNG
결과를	결과/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
저작들이	저작/NNG+들/XSN+이/JKS
다수	다수/NNG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.46.7.1
당시 박사학위 수여는 일본 문부과학성의 승인을 거치게 돼 있어 반인도적인 전쟁의학 범죄를 일본이 국가 차원에서 묵인한 셈이다.

당시	당시/NNG
박사학위	박사/NNG+학위/NNG
수여는	수여/NNG+는/JX
일본	일본/NNP
문부과학성의	문부/NNG+과학성/NNG+의/JKG
승인을	승인/NNG+을/JKO
거치게	거치/VV+게/EC
돼	되/VV+어/EC
있어	있/VX+어/EC
반인도적인	반/XPN+인도/NNG+적/XSN+이/VCP+ㄴ/ETM
전쟁의학	전쟁/NNG+의학/NNG
범죄를	범죄/NNG+를/JKO
일본이	일본/NNP+이/JKS
국가	국가/NNG
차원에서	차원/NNG+에서/JKB
묵인한	묵인/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.46.7.2
니시야마 교수는 논문에서 “윤리적으로 문제 있는 연구에 종사한 사람에게 학위를 주는 과정에서 교토대와 관할 부처인 문부과학성이 어떻게 관여했는지를 구체적으로 밝혀야 한다”고 주장했다.

니시야마	니시야마/NNP
교수는	교수/NNG+는/JX
논문에서	논문/NNG+에서/JKB
“윤리적으로	“/SS+윤리/NNG+적/XSN+으로/JKB
문제	문제/NNG
있는	있/VA+는/ETM
연구에	연구/NNG+에/JKB
종사한	종사/NNG+하/XSV+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
학위를	학위/NNG+를/JKO
주는	주/VV+는/ETM
과정에서	과정/NNG+에서/JKB
교토대와	교토대/NNP+와/JC
관할	관할/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
문부과학성이	문부/NNG+과학성/NNG+이/JKS
어떻게	어떻/VA+게/EC
관여했는지를	관여/NNG+하/XSV+았/EP+는지/EC+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
밝혀야	밝히/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.46.8.1
그는 한국 언론과의 인터뷰에서 “731부대 장교를 지낸 인사가 제2차 세계대전 패전 직후 서울대의 전신인 경성제국대 의학부에 제출한 의학박사학위 논문을 문부과학성이 인정한 사례도 확인했다”고 밝혔다.

그는	그/NP+는/JX
한국	한국/NNP
언론과의	언론/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“731부대	“/SS+731부대/NNP
장교를	장교/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
인사가	인사/NNG+가/JKS
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
패전	패전/NNG
직후	직후/NNG
서울대의	서울대/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
경성제국대	경성제국대/NNP
의학부에	의학부/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
의학박사학위	의학/NNG+박사/NNG+학위/NNG
논문을	논문/NNG+을/JKO
문부과학성이	문부/NNG+과학성/NNG+이/JKS
인정한	인정/NNG+하/XSV+ㄴ/ETM
사례도	사례/NNG+도/JX
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.46.8.2
이 밖에도 일본군은 731부대 이외에도 해군군의학교와 규슈대 등 일반 의대에서도 생체실험을 자행한 것으로 나타났다.

이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
일본군은	일본군/NNG+은/JX
731부대	731부대/NNP
이외에도	이외/NNG+에/JKB+도/JX
해군군의학교와	해군군의학교/NNP+와/JC
규슈대	규슈대/NNP
등	등/NNB
일반	일반/NNG
의대에서도	의대/NNG+에서/JKB+도/JX
생체실험을	생체/NNG+실험/NNG+을/JKO
자행한	자행/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.46.8.3
1932년 만주 하얼빈 근교에 세워진 731부대는 존재 자체를 철저하게 비밀에 부친 채 포로로 붙잡은 중국인과 한국인 러시아인 등을 상대로 각종 세균 실험과 독가스 실험 등을 자행한 일제 전쟁범죄의 대표 격으로 지목된다.

1932년	1932/SN+년/NNB
만주	만주/NNP
하얼빈	하얼빈/NNP
근교에	근교/NNG+에/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
731부대는	731부대/NNP+는/JX
존재	존재/NNG
자체를	자체/NNG+를/JKO
철저하게	철저/NNG+하/XSA+게/EC
비밀에	비밀/NNG+에/JKB
부친	부치/VV+ㄴ/ETM
채	채/NNB
포로로	포로/NNG+로/JKB
붙잡은	붙잡/VV+은/ETM
중국인과	중국인/NNG+과/JC
한국인	한국인/NNG
러시아인	러시아인/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
각종	각종/NNG
세균	세균/NNG
실험과	실험/NNG+과/JC
독가스	독가스/NNG
실험	실험/NNG
자행한	자행/NNG+하/XSV+ㄴ/ETM
일제	일제/NNG
전쟁범죄의	전쟁/NNG+범죄/NNG+의/JKG
대표	대표/NNG
격으로	격/NNB+으로/JKB
지목된다.	지목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.46.8.4
하지만 종전 후 미국은 생체실험 연구결과를 넘겨받는 조건으로 이시이 부대장 등 관련자들을 처벌하지 않았고 일본에 돌아온 731부대 관계자들은 의과대학 학장 등을 지내는 등 일본 의학계에서 중요한 자리를 차지했다.

하지만	하지만/MAJ
종전	종전/NNG
후	후/NNG
미국은	미국/NNP+은/JX
생체실험	생체/NNG+실험/NNG
연구결과를	연구/NNG+결과/NNG+를/JKO
넘겨받는	넘겨받/VV+는/ETM
조건으로	조건/NNG+으로/JKB
이시이	이시이/NNP
부대장	부대장/NNG
등	등/NNB
관련자들을	관련자/NNG+들/XSN+을/JKO
처벌하지	처벌/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
일본에	일본/NNP+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
731부대	731부대/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
의과대학	의과/NNG+대학/NNG
학장	학장/NNG
등을	등/NNB+을/JKO
지내는	지내/VV+는/ETM
일본	일본/NNP
의학계에서	의학/NNG+계/XSN+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
자리를	자리/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


