# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.205
metadata : {}


# id : NWRW1800000049.205.1.1
前 산업은행장 강만수 “대우조선에 부당투자 강요 안해”

前	前/SH
사장(66·구속	사장/NNG+(/SS+66/SN+·/SP+구속/NNG
기소)의	기소/NNG+)/SS+의/JKG
비리를	비리/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
무기로	무기/NNG+로/JKB
자신의	자신/NNG+의/JKG
측근	측근/NNG
등	등/NNB
7명을	7/SN+명/NNB+을/JKO
고문으로	고문/NNG+으로/JKB
취업시켰다는	취업/NNG+시키/XSV+었/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
“전혀	“/SS+전혀/MAG
모르는	모르/VV+는/ETM
사람”이라고	사람/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.5.2
그는 오히려 “당시 고문은 다양한 경로로 채용되었기에 산업은행을 경유했어도 구체적 채용 배경은 알 수 없었다”고 했다.

그는	그/NP+는/JX
오히려	오히려/MAG
“당시	“/SS+당시/NNG
고문은	고문/NNG+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
경로로	경로/NNG+로/JKB
채용되었기에	채용/NNG+되/XSV+었/EP+기에/EC
산업은행을	산업은행/NNP+을/JKO
경유했어도	경유/NNG+하/XSV+았/EP+어도/EC
구체적	구체/NNG+적/XSN
채용	채용/NNG
배경은	배경/NNG+은/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.6.1
또 컨설팅으로 드러난 대우조선해양의 비리를 덮었다는 의혹에 대해서도 “보고서에 제기된 문제점에 따라 남상태 전 사장을 퇴임시키는 등 오히려 부임한 뒤 경영 관리를 강화했다”고 주장했다.

또	또/MAG
컨설팅으로	컨설팅/NNG+으로/JKB
드러난	드러나/VV+ㄴ/ETM
대우조선해양의	대우조선해양/NNP+의/JKG
비리를	비리/NNG+를/JKO
덮었다는	덮/VV+었/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“보고서에	“/SS+보고서/NNG+에/JKB
제기된	제기/NNG+되/XSV+ㄴ/ETM
문제점에	문제점/NNG+에/JKB
따라	따르/VV+아/EC
남상태	남상태/NNP
전	전/MMD
사장을	사장/NNG+을/JKO
퇴임시키는	퇴임/NNG+시키/XSV+는/ETM
등	등/NNB
오히려	오히려/MAG
부임한	부임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
경영	경영/NNG
관리를	관리/NNG+를/JKO
강화했다”고	강화/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.7.1
바이오업체 B사에 투자할 것을 대우조선해양에 강요했다는 의혹에 대해서는 “2011년 행장 부임 후 투자를 권고한 것은 사실이나 부정한 청탁이나 강압은 없었다”고 했다.

바이오업체	바이오/NNG+업체/NNG
B사에	B/SL+사/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
대우조선해양에	대우조선해양/NNP+에/JKB
강요했다는	강요/NNG+하/XSV+았/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“2011년	“/SS+2011/SN+년/NNB
행장	행장/NNG
부임	부임/NNG
후	후/NNG
투자를	투자/NNG+를/JKO
권고한	권고/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실이나	사실/NNG+이/VCP+나/EC
부정한	부정/NNG+하/XSA+ㄴ/ETM
청탁이나	청탁/NNG+이나/JC
강압은	강압/NNG+은/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.7.2
그는 “대우조선은 2010년부터 조선경기 하강을 대비해 신재생 에너지 사업을 추진하고 있었으며 B사가 진행한 바이오에탄올 사업은 핵심 국정과제로 선정되기도 했다”고 덧붙였다.

그는	그/NP+는/JX
“대우조선은	“/SS+대우조선/NNP+은/JX
2010년부터	2010/SN+년/NNB+부터/JX
조선경기	조선/NNG+경기/NNG
하강을	하강/NNG+을/JKO
대비해	대비/NNG+하/XSV+아/EC
신재생	신/XPN+재생/NNG
에너지	에너지/NNG
사업을	사업/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있었으며	있/VX+었/EP+으며/EC
B사가	B/SL+사/NNG+가/JKS
진행한	진행/NNG+하/XSV+ㄴ/ETM
바이오에탄올	바이오에탄올/NNG
사업은	사업/NNG+은/JX
핵심	핵심/NNG
국정과제로	국정/NNG+과제/NNG+로/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.205.8.1
대우조선해양을 통해 50억 원대 일감을 몰아줬다는 의혹이 제기된 건설업체 W사에 대해서도 “전혀 사실이 아니다”라며 부인했다.

대우조선해양을	대우조선해양/NNP+을/JKO
통해	통하/VV+아/EC
50억	50/SN+억/NR
원대	원/NNB+대/XSN
일감을	일감/NNG+을/JKO
몰아줬다는	몰아주/VV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
건설업체	건설업체/NNG
W사에	W/SL+사/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“전혀	“/SS+전혀/MAG
사실이	사실/NNG+이/JKC
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.8.2
강 전 행장과 같은 종친회 소속인 W사 대표 강모 씨에 대해서는 “고향 종친으로서 18촌”이라며 “행장 재직 시 대우조선해양 주변에 말썽을 일으킨다는 정보보고를 듣고 그에게 즉시 전화해 내 이름을 팔고 다니지 말라고 호통을 쳤다”고 해명했다.

강	강/NNP
전	전/MMD
행장과	행장/NNG+과/JKB
같은	같/VA+은/ETM
종친회	종친회/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
W사	W/SL+사/NNG
대표	대표/NNG
강모	강/NNP+모/NP
씨에	씨/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“고향	“/SS+고향/NNG
종친으로서	종친/NNG+으로서/JKB
18촌”이라며	18/SN+촌/NNB+”/SS+이/VCP+라며/EC
“행장	“/SS+행장/NNG
재직	재직/NNG
시	시/NNB
대우조선해양	대우조선해양/NNP
주변에	주변/NNG+에/JKB
말썽을	말썽/NNG+을/JKO
일으킨다는	일으키/VV+ㄴ다는/ETM
정보보고를	정보/NNG+보고/NNG+를/JKO
듣고	듣/VV+고/EC
그에게	그/NP+에게/JKB
즉시	즉시/MAG
전화해	전화/NNG+하/XSV+아/EC
내	나/NP+의/JKG
이름을	이름/NNG+을/JKO
팔고	팔/VV+고/EC
다니지	다니/VV+지/EC
말라고	말/VX+라고/EC
호통을	호통/NNG+을/JKO
쳤다”고	치/VV+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


