# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.190
metadata : {}


# id : NWRW1800000046.190.1.1
전립선癌 사망 증가율 30년간 10배 늘어

전립선癌	전립선/NNG+癌/SH
하지만	하지만/MAJ
각	각/MMD
암	암/NNG
사망률의	사망/NNG+률/XSN+의/JKG
증감	증감/NNG
추이를	추이/NNG+를/JKO
보면	보/VV+면/EC
남성은	남성/NNG+은/JX
전립선암이	전립선암/NNG+이/JKS
1983년	1983/SN+년/NNB
0.5명에서	0/SN+./SP+5/SN+명/NNB+에서/JKB
2012년	2012/SN+년/NNB
5.2명으로	5/SN+./SP+2/SN+명/NNB+으로/JKB
10.5배	10/SN+./SP+5/SN+배/NNG
늘어	늘/VV+어/EC
최고	최고/NNG
증가율을	증가/NNG+율/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.6.2
이어 대장암(3.7배), 췌장암(2.9배) 순이었다.

이어	이어/MAG
대장암(3.7배),	대장암/NNG+(/SS+3/SN+./SP+7/SN+배/NNG+)/SS+,/SP
췌장암(2.9배)	췌장암/NNG+(/SS+2/SN+./SP+9/SN+배/NNG+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.190.7.1
같은 기간 여성은 췌장암의 사망률이 4.0배 늘어 1위를 차지했고, 비호지킨림프종(3.4배), 뇌암(3.1배) 순으로 사망률 증가세가 두드러졌다.

같은	같/VA+은/ETM
기간	기간/NNG
여성은	여성/NNG+은/JX
췌장암의	췌장암/NNG+의/JKG
사망률이	사망/NNG+률/XSN+이/JKS
4.0배	4/SN+./SP+0/SN+배/NNG
늘어	늘/VV+어/EC
1위를	1/SN+위/NNB+를/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
비호지킨림프종(3.4배),	비/XPN+호지킨/NNP+림프종/NNG+(/SS+3/SN+./SP+4/SN+배/NNG+)/SS+,/SP
뇌암(3.1배)	뇌암/NNG+(/SS+3/SN+./SP+1/SN+배/NNG+)/SS
순으로	순/NNB+으로/JKB
사망률	사망/NNG+률/XSN
증가세가	증가세/NNG+가/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.190.8.1
13개 암 전체로 봤을 때는 암 사망률이 남성은 9%, 여성은 1%가량 감소했다.

13개	13/SN+개/NNB
암	암/NNG
전체로	전체/NNG+로/JKB
봤을	보/VV+았/EP+을/ETM
때는	때/NNG+는/JX
사망률이	사망/NNG+률/XSN+이/JKS
남성은	남성/NNG+은/JX
9%,	9/SN+%/SW+,/SP
여성은	여성/NNG+은/JX
1%가량	1/SN+%/SW+가량/XSN
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.8.2
특히 위암 사망률은 남녀 모두 70% 이상 줄었다.

특히	특히/MAG
위암	위암/NNG
사망률은	사망/NNG+률/XSN+은/JX
남녀	남녀/NNG
모두	모두/MAG
70%	70/SN+%/SW
이상	이상/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.190.9.1
전립선암은 13개 암 중 발병률 증가세도 가장 컸다.

전립선암은	전립선암/NNG+은/JX
13개	13/SN+개/NNB
암	암/NNG
중	중/NNB
발병률	발병/NNG+률/XSN
증가세도	증가세/NNG+도/JX
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.190.9.2
최근 10여 년간 연평균 10% 이상 환자가 증가했다.

최근	최근/MAG
10여	10/SN+여/XSN
년간	년/NNB+간/XSN
연평균	연평균/NNG
10%	10/SN+%/SW
이상	이상/NNG
환자가	환자/NNG+가/JKS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.9.3
1980년대에는 드문 암이었지만, 지금은 한국 남성에게 다섯째로 많이 생기는 암이다.

1980년대에는	1980/SN+년대/NNB+에/JKB+는/JX
드문	드물/VA+ㄴ/ETM
암이었지만,	암/NNG+이/VCP+었/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
한국	한국/NNP
남성에게	남성/NNG+에게/JKB
다섯째로	다섯째/NR+로/JKB
많이	많이/MAG
생기는	생기/VV+는/ETM
암이다.	암/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.190.10.1
전립선암은 비교적 천천히 진행하는 데다, 5년 생존율이 92%에 이르는 비교적 '순한 암'이다.

전립선암은	전립선암/NNG+은/JX
비교적	비교/NNG+적/XSN
천천히	천천히/MAG
진행하는	진행/NNG+하/XSV+는/ETM
데다,	데/NNB+다/JX+,/SP
5년	5/SN+년/NNB
생존율이	생존/NNG+율/XSN+이/JKS
92%에	92/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
'순한	'/SS+순하/VA+ㄴ/ETM
암'이다.	암/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.190.10.2
정진수 국립암센터 전립선암센터장은 "붉은 고기와 지방 섭취가 많은 서구형 식습관과 평균수명이 늘면서 전립선 암 환자가 증가하고 있다"면서 "환자가 급증하니 사망률도 높아질 수밖에 없다"고 말했다.

정진수	정진수/NNP
국립암센터	국립암센터/NNP
전립선암센터장은	전립선암/NNG+센터장/NNG+은/JX
"붉은	"/SS+붉/VA+은/ETM
고기와	고기/NNG+와/JC
지방	지방/NNG
섭취가	섭취/NNG+가/JKS
많은	많/VA+은/ETM
서구형	서구/NNG+형/XSN
식습관과	식습관/NNG+과/JKB
평균수명이	평균/NNG+수명/NNG+이/JKS
늘면서	늘/VV+면서/EC
전립선	전립선/NNG
암	암/NNG
환자가	환자/NNG+가/JKS
증가하고	증가/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"환자가	"/SS+환자/NNG+가/JKS
급증하니	급증/NNG+하/XSV+니/EC
사망률도	사망/NNG+률/XSN+도/JX
높아질	높아지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.11.1
췌장암은 다른 암과 달리 마땅한 진단법이 없고, 증상이 늦게 나타나기 때문에 치료하기 어려운 암이다.

췌장암은	췌장암/NNG+은/JX
다른	다른/MMD
암과	암/NNG+과/JKB
달리	달리/MAG
마땅한	마땅하/VA+ㄴ/ETM
진단법이	진단법/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
증상이	증상/NNG+이/JKS
늦게	늦/VA+게/EC
나타나기	나타나/VV+기/ETN
때문에	때문/NNB+에/JKB
치료하기	치료/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
암이다.	암/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.190.12.1
세브란스병원 소화기내과 송시영 교수는 "췌장은 위 뒤편에 위치해 초음파 검사로도 발견하기 어렵다"고 말했다.

세브란스병원	세브란스병원/NNP
소화기내과	소화기내과/NNG
송시영	송시영/NNP
교수는	교수/NNG+는/JX
"췌장은	"/SS+췌장/NNG+은/JX
위	위/NNG
뒤편에	뒤편/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
초음파	초/XPN+음파/NNG
검사로도	검사/NNG+로/JKB+도/JX
발견하기	발견/NNG+하/XSV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.12.2
위암은 사망률이 드라마틱하게 감소했지만 결코 만만한 암은 아니다.

위암은	위암/NNG+은/JX
사망률이	사망/NNG+률/XSN+이/JKS
드라마틱하게	드라마틱/NNG+하/XSA+게/EC
감소했지만	감소/NNG+하/XSV+았/EP+지만/EC
결코	결코/MAG
만만한	만만하/VA+ㄴ/ETM
암은	암/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.190.12.3
여전히 환자가 많고, 늦게 발견할수록 치료가 어려워진다.

여전히	여전히/MAG
환자가	환자/NNG+가/JKS
많고,	많/VA+고/EC+,/SP
늦게	늦/VA+게/EC
발견할수록	발견/NNG+하/XSV+ㄹ수록/EC
치료가	치료/NNG+가/JKS
어려워진다.	어렵/VA+어/EC+지/VX+ㄴ다/EF+./SF


