# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.119
metadata : {}


# id : NWRW1800000044.119.1.1
“한국형 ‘비엔나 뮤지컬’ 원작 넘는 아이디어 놀라워”

“한국형	“/SS+한국/NNP+형/XSN
있기에	있/VA+기에/EC
실험적인	실험/NNG+적/XSN+이/VCP+ㄴ/ETM
작품들도	작품/NNG+들/XSN+도/JX
맘껏	맘껏/MAG
도전해볼	도전/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있죠.”	있/VA+죠/EF+./SF+”/SS


# id : NWRW1800000044.119.13.5
이런 지원 덕에 협회는 한 작품에 3~5년 이상의 기간을 투자하고, 무대 리허설 기간만 6~8주를 거치는 등 작품의 질적 향상에 온 힘을 쏟을 수 있다.

이런	이런/MMD
지원	지원/NNG
덕에	덕/NNG+에/JKB
협회는	협회/NNG+는/JX
한	한/MMN
작품에	작품/NNG+에/JKB
3~5년	3/SN+~/SO+5/SN+년/NNB
이상의	이상/NNG+의/JKG
기간을	기간/NNG+을/JKO
투자하고,	투자/NNG+하/XSV+고/EC+,/SP
무대	무대/NNG
리허설	리허설/NNG
기간만	기간/NNG+만/JX
6~8주를	6/SN+~/SO+8/SN+주/NNB+를/JKO
거치는	거치/VV+는/ETM
등	등/NNB
작품의	작품/NNG+의/JKG
질적	질/NNG+적/XSN
향상에	향상/NNG+에/JKB
온	온/MMN
힘을	힘/NNG+을/JKO
쏟을	쏟/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.119.13.6
시는 예산 지원을 하긴 하지만 작품의 소재나 주제 등에 대해 일체의 간섭을 하지 않는 등 자율성을 보장한다.

시는	시/NNG+는/JX
예산	예산/NNG
지원을	지원/NNG+을/JKO
하긴	하/VV+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
작품의	작품/NNG+의/JKG
소재나	소재/NNG+나/JC
주제	주제/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
일체의	일체/NNG+의/JKG
간섭을	간섭/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
자율성을	자율/NNG+성/XSN+을/JKO
보장한다.	보장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.119.14.1
비엔나 뮤지컬이 첫 무대에 오를 때마다 한국을 찾는다는 드로즈다 대표는 “오리지널과 비교해 굉장히 새로운 관점과 아이디어들이 포함돼 있어 놀랍다”며 “한국 프로듀서와 스태프들의 실력이 일취월장해 오스트리아가 10년 걸린 발전을 5년 안에 이뤄내고 있다”고 감탄했다.

비엔나	비엔나/NNP
뮤지컬이	뮤지컬/NNG+이/JKS
첫	첫/MMN
무대에	무대/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
한국을	한국/NNP+을/JKO
찾는다는	찾/VV+는다는/ETM
드로즈다	드로즈다/NNP
대표는	대표/NNG+는/JX
“오리지널과	“/SS+오리지널/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
굉장히	굉장히/MAG
새로운	새롭/VA+ㄴ/ETM
관점과	관점/NNG+과/JC
아이디어들이	아이디어/NNG+들/XSN+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있어	있/VX+어/EC
놀랍다”며	놀랍/VA+다/EF+”/SS+며/EC
“한국	“/SS+한국/NNP
프로듀서와	프로듀서/NNG+와/JC
스태프들의	스태프/NNG+들/XSN+의/JKG
실력이	실력/NNG+이/JKS
일취월장해	일취월장/NNG+하/XSV+아/EC
오스트리아가	오스트리아/NNP+가/JKS
10년	10/SN+년/NNB
걸린	걸리/VV+ㄴ/ETM
발전을	발전/NNG+을/JKO
5년	5/SN+년/NNB
안에	안/NNG+에/JKB
이뤄내고	이루/VV+어/EC+내/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
감탄했다.	감탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.14.2
이어 그는 “아직 한국에 소개되지 않은 <댄스 오브 더 뱀파이어>와 최신작 <노부인의 방문>이 하루빨리 한국 무대에 오르기를 바란다”고 덧붙였다.

이어	이어/MAG
그는	그/NP+는/JX
“아직	“/SS+아직/MAG
한국에	한국/NNP+에/JKB
소개되지	소개/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
<댄스	</SS+댄스/NNP
오브	오브/NNP
더	더/NNP
뱀파이어>와	뱀파이어/NNP+>/SS+와/JC
최신작	최신작/NNG
<노부인의	</SS+노/XPN+부인/NNG+의/JKG
방문>이	방문/NNG+>/SS+이/JKS
하루빨리	하루빨리/MAG
한국	한국/NNP
무대에	무대/NNG+에/JKB
오르기를	오르/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


