# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.140
metadata : {}


# id : NWRW1800000022.140.1.1
"화덕 그을음이 지구 환경을 위협한다";블랙 카본, 지구온난화 2번째 원인으로 밝혀져

"화덕	"/SS+화덕/NNG
# id : NWRW1800000022.140.8.1
환경전문가들은 블랙 카본이 같은 양의 이산화탄소보다 지구에 2~3배 많은 열에너지를 추가한다고 설명한다.

환경전문가들은	환경/NNG+전문가/NNG+들/XSN+은/JX
블랙	블랙/NNG
카본이	카본/NNG+이/JKS
같은	같/VA+은/ETM
양의	양/NNG+의/JKG
이산화탄소보다	이산화/NNG+탄소/NNG+보다/JKB
지구에	지구/NNG+에/JKB
2~3배	2/SN+~/SO+3/SN+배/NNG
많은	많/VA+은/ETM
열에너지를	열에너지/NNG+를/JKO
추가한다고	추가/NNG+하/XSV+ㄴ다고/EC
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.8.2
블랙 카본은 태양에서 지구로 들어오는 열에너지(주로 가시광선)를 아주 잘 흡수하는 성향이 있다.

블랙	블랙/NNG
카본은	카본/NNG+은/JX
태양에서	태양/NNG+에서/JKB
지구로	지구/NNG+로/JKB
들어오는	들어오/VV+는/ETM
열에너지(주로	열에너지/NNG+(/SS+주로/MAG
가시광선)를	가시광선/NNG+)/SS+를/JKO
아주	아주/MAG
잘	잘/MAG
흡수하는	흡수/NNG+하/XSV+는/ETM
성향이	성향/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.140.8.3
블랙 카본이 흡수한 태양열은 적외선으로 전환돼 지구의 표면과 대기를 향해 방출됨으로써 지구의 기온을 높인다.

블랙	블랙/NNG
카본이	카본/NNG+이/JKS
흡수한	흡수/NNG+하/XSV+ㄴ/ETM
태양열은	태양열/NNG+은/JX
적외선으로	적외선/NNG+으로/JKB
전환돼	전환/NNG+되/XSV+어/EC
지구의	지구/NNG+의/JKG
표면과	표면/NNG+과/JC
대기를	대기/NNG+를/JKO
향해	향하/VV+아/EC
방출됨으로써	방출/NNG+되/XSV+ㅁ/ETN+으로써/JKB
기온을	기온/NNG+을/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.9.1
또 대기 중에 떠돌던 블랙 카본이 극 지방에 내려앉으면 눈과 얼음의 색을 혼탁하게 만들어 태양빛 반사율을 떨어뜨린다.

또	또/MAG
대기	대기/NNG
중에	중/NNB+에/JKB
떠돌던	떠돌/VV+던/ETM
블랙	블랙/NNG
카본이	카본/NNG+이/JKS
극	극/NNG
지방에	지방/NNG+에/JKB
내려앉으면	내려앉/VV+으면/EC
눈과	눈/NNG+과/JC
얼음의	얼음/NNG+의/JKG
색을	색/NNG+을/JKO
혼탁하게	혼탁/NNG+하/XSA+게/EC
만들어	만들/VV+어/EC
태양빛	태양빛/NNG
반사율을	반사/NNG+율/XSN+을/JKO
떨어뜨린다.	떨어뜨리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.9.2
이 때문에 눈과 얼음이 녹는 속도가 빨라지고 더 많은 토양 표면이 드러날수록, 태양에너지 흡수율도 높아져 지구온난화가 가속화한다고 영국 일간지 인디펜던트는 보도했다.

이	이/NP
때문에	때문/NNB+에/JKB
눈과	눈/NNG+과/JC
얼음이	얼음/NNG+이/JKS
녹는	녹/VV+는/ETM
속도가	속도/NNG+가/JKS
빨라지고	빠르/VA+아/EC+지/VX+고/EC
더	더/MAG
많은	많/VA+은/ETM
토양	토양/NNG
표면이	표면/NNG+이/JKS
드러날수록,	드러나/VV+ㄹ수록/EC+,/SP
태양에너지	태양/NNG+에너지/NNG
흡수율도	흡수/NNG+율/XSN+도/JX
높아져	높아지/VV+어/EC
지구온난화가	지구/NNG+온난/NNG+화/XSN+가/JKS
가속화한다고	가속/NNG+화/XSN+하/XSV+ㄴ다고/EC
영국	영국/NNP
일간지	일간지/NNG
인디펜던트는	인디펜던트/NNP+는/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.140.10.1
◆이산화탄소보다 블랙 카본 감축이 더 효과적

◆이산화탄소보다	◆/SW+이산화/NNG+탄소/NNG+보다/JKB
블랙	블랙/NNG
카본	카본/NNG
감축이	감축/NNG+이/JKS
더	더/MAG
효과적	효과/NNG+적/XSN


# id : NWRW1800000022.140.11.1
최근 연구에 따르면 히말라야 산맥의 빙하는 주로 인도에서 날아온 블랙 카본 때문에 2020년이면 75%가 녹아내릴 정도로 위험성이 심각하다.

최근	최근/NNG
연구에	연구/NNG+에/JKB
따르면	따르/VV+면/EC
히말라야	히말라야/NNP
산맥의	산맥/NNG+의/JKG
빙하는	빙하/NNG+는/JX
주로	주로/MAG
인도에서	인도/NNP+에서/JKB
날아온	날아오/VV+ㄴ/ETM
블랙	블랙/NNG
카본	카본/NNG
때문에	때문/NNB+에/JKB
2020년이면	2020/SN+년/NNB+이/VCP+면/EC
75%가	75/SN+%/SW+가/JKS
녹아내릴	녹아내리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
위험성이	위험/NNG+성/XSN+이/JKS
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000022.140.11.2
하지만 지난 2007년 유엔 산하 정부 간 기후변화패널(IPCC)이 발표한 지구온난화 보고서에는 블랙 카본에 대한 경고가 포함되지도 않았다.

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
유엔	유엔/NNP
산하	산하/NNG
정부	정부/NNG
간	간/NNB
기후변화패널(IPCC)이	기후변화패널/NNP+(/SS+IPCC/SL+)/SS+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
지구온난화	지구/NNG+온난/NNG+화/XSN
보고서에는	보고서/NNG+에/JKB+는/JX
블랙	블랙/NNG
카본에	카본/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경고가	경고/NNG+가/JKS
포함되지도	포함/NNG+되/XSV+지/EC+도/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.140.12.1
환경전문가들은 블랙 카본을 줄이는 것이 이산화탄소 배출량을 감축하는 것보다 훨씬 쉽고 효과도 빠르다고 주장한다.

환경전문가들은	환경/NNG+전문가/NNG+들/XSN+은/JX
블랙	블랙/NNG
카본을	카본/NNG+을/JKO
줄이는	줄이/VV+는/ETM
것이	것/NNB+이/JKS
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
감축하는	감축/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
훨씬	훨씬/MAG
쉽고	쉽/VA+고/EC
효과도	효과/NNG+도/JX
빠르다고	빠르/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.12.2
이산화탄소를 감축하기 위해서는 산업 활동을 규제해야 하고 첨단 장비도 개발해야 하기 때문에 비용과 부담이 엄청나다.

이산화탄소를	이산화/NNG+탄소/NNG+를/JKO
감축하기	감축/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
산업	산업/NNG
활동을	활동/NNG+을/JKO
규제해야	규제/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
첨단	첨단/NNG
장비도	장비/NNG+도/JX
개발해야	개발/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
비용과	비용/NNG+과/JC
부담이	부담/NNG+이/JKS
엄청나다.	엄청나/VA+다/EF+./SF


# id : NWRW1800000022.140.12.3
또 이산화탄소를 실질적으로 감축하는 데는 수년에서 수십년의 기간이 필요하다.

또	또/MAG
이산화탄소를	이산화/NNG+탄소/NNG+를/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
감축하는	감축/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
수년에서	수년/NNG+에서/JKB
수십년의	수십/NR+년/NNB+의/JKG
기간이	기간/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.140.12.4
하지만 제3세계 지역에 열효율이 좋은 20달러(약 2만7000원)짜리 새로운 화덕이나 태양열을 이용한 화덕을 보급한다면 불과 몇주 만에 지구 하늘에서 블랙 카본을 상당 부분 줄일 수 있다고 NYT는 보도했다.

하지만	하지만/MAJ
제3세계	제/XPN+3/SN+세계/NNG
지역에	지역/NNG+에/JKB
열효율이	열효율/NNG+이/JKS
좋은	좋/VA+은/ETM
20달러(약	20/SN+달러/NNB+(/SS+약/MMA
2만7000원)짜리	2/SN+만/NR+7000/SN+원/NNB+)/SS+짜리/XSN
새로운	새롭/VA+ㄴ/ETM
화덕이나	화덕/NNG+이나/JC
태양열을	태양열/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
화덕을	화덕/NNG+을/JKO
보급한다면	보급/NNG+하/XSV+ㄴ다면/EC
불과	불과/MAG
몇주	몇/NR+주/NNB
만에	만/NNB+에/JKB
지구	지구/NNG
하늘에서	하늘/NNG+에서/JKB
블랙	블랙/NNG
카본을	카본/NNG+을/JKO
상당	상당/NNG
부분	부분/NNG
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
NYT는	NYT/SL+는/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


