# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.266
metadata : {}


# id : NWRW1800000022.266.1.1
'김정운 업적' 만들어주려다 北 시장경제 '싹'이 죽는다;인력 총동원 '150일 전투'주민들 농촌 끌려가지만 막상 할일없어 빈둥거려

'김정운	'/SS+김정운/NNP
개인	개인/NNG
'뙈기	'/SS+뙈기/NNG
밭'을	밭/NNG+'/SS+을/JKO
일궈야	일구/VV+어야/EC
먹고살	먹고살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구조가	구조/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.266.4.4
그런데 주민들을 강제로 농장과 공장으로 보내자 "굶어 죽는 것 아니냐"는 위기감이 퍼지고 있다고 한다.

그런데	그런데/MAJ
주민들을	주민/NNG+들/XSN+을/JKO
강제로	강제/NNG+로/JKB
농장과	농장/NNG+과/JC
공장으로	공장/NNG+으로/JKB
보내자	보내/VV+자/EC
"굶어	"/SS+굶/VV+어/EC
죽는	죽/VV+는/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
위기감이	위기감/NNG+이/JKS
퍼지고	퍼지/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.266.5.1
김 위원장은 1974년 후계자로 내정된 뒤 '70일 전투'를 벌였다.

김	김/NNP
위원장은	위원장/NNG+은/JX
1974년	1974/SN+년/NNB
후계자로	후계자/NNG+로/JKB
내정된	내정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
'70일	'/SS+70/SN+일/NNB
전투'를	전투/NNG+'/SS+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.266.5.2
공식적으로 후계자가 된 1980년에는 '100일 전투'를 지휘했다.

공식적으로	공식/NNG+적/XSN+으로/JKB
후계자가	후계자/NNG+가/JKS
된	되/VV+ㄴ/ETM
1980년에는	1980/SN+년/NNB+에/JKB+는/JX
'100일	'/SS+100/SN+일/NNB
전투'를	전투/NNG+'/SS+를/JKO
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.266.5.3
이때도 북한은 "경제가 도약했다"고 선전했다.

이때도	이때/NNG+도/JX
북한은	북한/NNP+은/JX
"경제가	"/SS+경제/NNG+가/JKS
도약했다"고	도약/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
선전했다.	선전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.266.5.4
그러나 실제로는 "자원 분배를 왜곡해 북한 경제가 완전히 망가지는 계기가 됐다"(조영기 고려대 교수)는 관측이다.

그러나	그러나/MAJ
실제로는	실제로/MAG+는/JX
"자원	"/SS+자원/NNG
분배를	분배/NNG+를/JKO
왜곡해	왜곡/NNG+하/XSV+아/EC
북한	북한/NNP
경제가	경제/NNG+가/JKS
완전히	완전히/MAG
망가지는	망가지/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다"(조영기	되/VV+었/EP+다/EF+"/SS+(/SS+조영기/NNP
고려대	고려대/NNP
교수)는	교수/NNG+)/SS+는/JX
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.266.6.1
특히 이번 150일 전투의 후폭풍은 70~80년대보다 더 치명적일 것이란 견해가 많다.

특히	특히/MAG
이번	이번/NNG
150일	150/SN+일/NNB
전투의	전투/NNG+의/JKG
후폭풍은	후폭풍/NNG+은/JX
70~80년대보다	70/SN+~/SO+80/SN+년대/NNB+보다/JKB
더	더/MAG
치명적일	치명/NNG+적/XSN+이/VCP+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
견해가	견해/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.266.6.2
북한은 공산권이 붕괴한 1990년 이후부터 계획경제가 아니라 '시장'과 '남한 지원', '중국'에 의존해 생존해 왔다.

북한은	북한/NNP+은/JX
공산권이	공산/NNG+권/XSN+이/JKS
붕괴한	붕괴/NNG+하/XSV+ㄴ/ETM
1990년	1990/SN+년/NNB
이후부터	이후/NNG+부터/JX
계획경제가	계획/NNG+경제/NNG+가/JKC
아니라	아니/VCN+라/EC
'시장'과	'/SS+시장/NNG+'/SS+과/JC
'남한	'/SS+남한/NNP
지원',	지원/NNG+'/SS+,/SP
'중국'에	'/SS+중국/NNP+'/SS+에/JKB
의존해	의존/NNG+하/XSV+아/EC
생존해	생존/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.266.6.3
그러나 남한 지원은 끊겼고 중국도 2차 북핵 실험 이후 곱지 않은 시선을 보내고 있다.

그러나	그러나/MAJ
남한	남한/NNP
지원은	지원/NNG+은/JX
끊겼고	끊기/VV+었/EP+고/EC
중국도	중국/NNP+도/JX
2차	2/SN+차/NNB
북핵	북핵/NNG
실험	실험/NNG
이후	이후/NNG
곱지	곱/VA+지/EC
않은	않/VX+은/ETM
시선을	시선/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.266.6.4
올해 1~5월 북중 무역액은 8억3330만달러로 작년 같은 기간에 비해 5.7% 줄었다.

올해	올해/NNG
1~5월	1/SN+~/SO+5/SN+월/NNB
북중	북중/NNP
무역액은	무역액/NNG+은/JX
8억3330만달러로	8/SN+억/NR+3330/SN+만/NR+달러/NNB+로/JKB
작년	작년/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
5.7%	5/SN+./SP+7/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.266.6.5
이런 상황에서 "퇴행적인 150일 전투로 시장(市場)을 공격하면 북한 경제는 더 깊은 나락으로 빠질 것"(남주홍 경기대 교수)이란 전망이다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
"퇴행적인	"/SS+퇴행/NNG+적/XSN+이/VCP+ㄴ/ETM
150일	150/SN+일/NNB
전투로	전투/NNG+로/JKB
시장(市場)을	시장/NNG+(/SS+市場/SH+)/SS+을/JKO
공격하면	공격/NNG+하/XSV+면/EC
북한	북한/NNP
경제는	경제/NNG+는/JX
더	더/MAG
깊은	깊/VA+은/ETM
나락으로	나락/NNG+으로/JKB
빠질	빠지/VV+ㄹ/ETM
것"(남주홍	것/NNB+"/SS+(/SS+남주홍/NNP
경기대	경기대/NNP
교수)이란	교수/NNG+)/SS+이/VCP+란/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.266.6.6
작년 말 "종합시장을 없애라"는 김 위원장의 지시가 여태 먹히지 않을 만큼 "북한의 시장화는 되돌리기 어려운 수준"(정보 당국자)이란 설명이다.

작년	작년/NNG
말	말/NNB
"종합시장을	"/SS+종합/NNG+시장/NNG+을/JKO
없애라"는	없애/VV+어라/EF+"/SS+는/ETM
김	김/NNP
위원장의	위원장/NNG+의/JKG
지시가	지시/NNG+가/JKS
여태	여태/MAG
먹히지	먹히/VV+지/EC
않을	않/VX+을/ETM
만큼	만큼/NNB
"북한의	"/SS+북한/NNP+의/JKG
시장화는	시장/NNG+화/XSN+는/JX
되돌리기	되돌리/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
수준"(정보	수준/NNG+"/SS+(/SS+정보/NNG
당국자)이란	당국자/NNG+)/SS+이/VCP+란/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.266.7.1
또 김정운에게 핵(核)무기를 물려주기 위해 실시한 2차 핵실험이 불러온 국제사회의 대북 경제제재도 갈수록 북한의 목을 죄는 양상이다.

또	또/MAG
김정운에게	김정운/NNP+에게/JKB
핵(核)무기를	핵/NNG+(/SS+核/SH+)/SS+무기/NNG+를/JKO
물려주기	물려주/VV+기/ETN
위해	위하/VV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
2차	2/SN+차/NNB
핵실험이	핵/NNG+실험/NNG+이/JKS
불러온	불러오/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
대북	대북/NNG
경제제재도	경제/NNG+제재/NNG+도/JX
갈수록	갈수록/MAG
북한의	북한/NNP+의/JKG
목을	목/NNG+을/JKO
죄는	죄/VV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.266.7.2
한국개발연구원(KDI)은 최근 보고서에서 "현재 북한의 경제 상황은 핵위기와 김일성 주석의 사망이 겹친 1994년에 비견할 정도"라고 밝혔다.

한국개발연구원(KDI)은	한국개발연구원/NNP+(/SS+KDI/SL+)/SS+은/JX
최근	최근/MAG
보고서에서	보고서/NNG+에서/JKB
"현재	"/SS+현재/MAG
북한의	북한/NNP+의/JKG
경제	경제/NNG
상황은	상황/NNG+은/JX
핵위기와	핵/NNG+위기/NNG+와/JC
김일성	김일성/NNP
주석의	주석/NNG+의/JKG
사망이	사망/NNG+이/JKS
겹친	겹치/VV+ㄴ/ETM
1994년에	1994/SN+년/NNB+에/JKB
비견할	비견/NNG+하/XSV+ㄹ/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.266.7.3
정부 핵심당국자는 "최근 북한이 미·북 대화에 나오려는 이유 중에는 북한 주민들의 체감 경제난이 최악으로 치닫고 있기 때문인 측면도 있다"고 말했다.

정부	정부/NNG
핵심당국자는	핵심/NNG+당국자/NNG+는/JX
"최근	"/SS+최근/NNG
북한이	북한/NNP+이/JKS
미·북	미/NNP+·/SP+북/NNP
대화에	대화/NNG+에/JKB
나오려는	나오/VV+려는/ETM
이유	이유/NNG
중에는	중/NNB+에/JKB+는/JX
북한	북한/NNP
주민들의	주민/NNG+들/XSN+의/JKG
체감	체감/NNG
경제난이	경제난/NNG+이/JKS
최악으로	최악/NNG+으로/JKB
치닫고	치닫/VV+고/EC
있기	있/VX+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
측면도	측면/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


