# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.240
metadata : {}


# id : NWRW1800000026.240.1.1
[부산·경남] 통합 창원시 새 도시계획 수립

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
인구는 당초 150만명에서 확대 조정키로 했으며, 용역비 10억원은 추경에서 확보한다.

인구는	인구/NNG+는/JX
당초	당초/NNG
150만명에서	150/SN+만/NR+명/NNB+에서/JKB
확대	확대/NNG
조정키로	조정/NNG+하/XSV+기/ETN+로/JKB
했으며,	하/VV+았/EP+으며/EC+,/SP
용역비	용역비/NNG
10억원은	10/SN+억/NR+원/NNB+은/JX
추경에서	추경/NNG+에서/JKB
확보한다.	확보/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.240.4.3
새로 수립할 도시기본계획은 도시공간구조, 토지이용계획, 주거환경개선, 경관, 공원녹지, 보건환경, 해양수산 등을 망라한다.

새로	새로/MAG
수립할	수립/NNG+하/XSV+ㄹ/ETM
도시기본계획은	도시/NNG+기본/NNG+계획/NNG+은/JX
도시공간구조,	도시/NNG+공간/NNG+구조/NNG+,/SP
토지이용계획,	토지/NNG+이용/NNG+계획/NNG+,/SP
주거환경개선,	주거/NNG+환경/NNG+개선/NNG+,/SP
경관,	경관/NNG+,/SP
공원녹지,	공원/NNG+녹지/NNG+,/SP
보건환경,	보건/NNG+환경/NNG+,/SP
해양수산	해양/NNG+수산/NNG
등을	등/NNB+을/JKO
망라한다.	망라/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.240.5.1
통합시는 옛 창원지역은 R&D밸리 조성 등 첨단산업으로 구조를 고도화하는 등 친환경 녹색 도시로 특화하고, 마산지역은 마산만 워터프론트 조성과 구도심 뉴타운 조성 등을 통해 도시를 부흥시킨다는 구상이다.

통합시는	통합/NNG+시/NNG+는/JX
옛	옛/MMA
창원지역은	창원/NNP+지역/NNG+은/JX
R&D밸리	R/SL+&/SW+D/SL+밸리/NNG
조성	조성/NNG
등	등/NNB
첨단산업으로	첨단/NNG+산업/NNG+으로/JKB
구조를	구조/NNG+를/JKO
고도화하는	고도/NNG+화/XSN+하/XSV+는/ETM
친환경	친/XPN+환경/NNG
녹색	녹색/NNG
도시로	도시/NNG+로/JKB
특화하고,	특화/NNG+하/XSV+고/EC+,/SP
마산지역은	마산/NNP+지역/NNG+은/JX
마산만	마산만/NNP
워터프론트	워터프론트/NNG
조성과	조성/NNG+과/JC
구도심	구/XPN+도심/NNG
뉴타운	뉴타운/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
도시를	도시/NNG+를/JKO
부흥시킨다는	부흥/NNG+시키/XSV+ㄴ다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.240.6.1
또 진해지역은 해양레저산업과 신항만과 관련한 물류산업을 육성하고, 교육·문화분야 등을 중점 육성할 방침이다.

또	또/MAG
진해지역은	진해/NNP+지역/NNG+은/JX
해양레저산업과	해양/NNG+레저/NNG+산업/NNG+과/JC
신항만과	신/XPN+항만/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
물류산업을	물류/NNG+산업/NNG+을/JKO
육성하고,	육성/NNG+하/XSV+고/EC+,/SP
교육·문화분야	교육/NNG+·/SP+문화/NNG+분야/NNG
등을	등/NNB+을/JKO
중점	중점/NNG
육성할	육성/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.240.7.1
창원시는 내년 9월 최종안을 마련, 공청회와 시의회 의견 청취 등을 거쳐 2012년 하반기 경남도로부터 승인받을 계획이다.

창원시는	창원시/NNP+는/JX
내년	내년/NNG
9월	9/SN+월/NNB
최종안을	최종안/NNG+을/JKO
마련,	마련/NNG+,/SP
공청회와	공청회/NNG+와/JC
시의회	시/NNG+의회/NNG
의견	의견/NNG
청취	청취/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
2012년	2012/SN+년/NNB
하반기	하반기/NNG
경남도로부터	경남도/NNP+로부터/JKB
승인받을	승인/NNG+받/XSV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


