# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.210
metadata : {}


# id : NWRW1800000032.210.1.1
민청학련 계기 유신 맞서 ‘민주 투사들의 동반자로’

민청학련	민청학련/NNP
1974년 전국민주청년학생총연맹(민청학련) 사건이 조작됐다고 판단한 그는 이름만 알 뿐 친분은 없었던 후배 황인철·홍성우 변호사를 찾아가 구속자 변론 활동에 합류했다.

1974년	1974/SN+년/NNB
전국민주청년학생총연맹(민청학련)	전국민주청년학생총연맹/NNP+(/SS+민청학련/NNP+)/SS
사건이	사건/NNG+이/JKS
조작됐다고	조작/NNG+되/XSV+었/EP+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
이름만	이름/NNG+만/JX
알	알/VV+ㄹ/ETM
뿐	뿐/NNB
친분은	친분/NNG+은/JX
없었던	없/VA+었/EP+던/ETM
후배	후배/NNG
황인철·홍성우	황인철/NNP+·/SP+홍성우/NNP
변호사를	변호사/NNG+를/JKO
찾아가	찾아가/VV+아/EC
구속자	구속자/NNG
변론	변론/NNG
활동에	활동/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.210.4.3
이후 20여년의 민주화 투쟁의 길에서 그의 이름은 언제나 맨 앞에 서 있었다.

이후	이후/NNG
20여년의	20/SN+여/XSN+년/NNB+의/JKG
민주화	민주/NNG+화/XSN
투쟁의	투쟁/NNG+의/JKG
길에서	길/NNG+에서/JKB
그의	그/NP+의/JKG
이름은	이름/NNG+은/JX
언제나	언제나/MAG
맨	맨/MMA
앞에	앞/NNG+에/JKB
서	서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.210.5.1
환갑이 훨씬 넘은 86년 10월 그 자신 국가보안법 위반 혐의를 뒤집어쓰고 8개월이나 수감됐던 사건은 그의 우직함을 상징하는 전설적인 일화다.

환갑이	환갑/NNG+이/JKS
훨씬	훨씬/MAG
넘은	넘/VV+은/ETM
86년	86/SN+년/NNB
10월	10/SN+월/NNB
그	그/MMD
자신	자신/NNG
국가보안법	국가/NNG+보안법/NNG
위반	위반/NNG
혐의를	혐의/NNG+를/JKO
뒤집어쓰고	뒤집어쓰/VV+고/EC
8개월이나	8/SN+개월/NNB+이나/JX
수감됐던	수감/NNG+되/XSV+었/EP+던/ETM
사건은	사건/NNG+은/JX
그의	그/NP+의/JKG
우직함을	우직하/VA+ㅁ/ETN+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
일화다.	일화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.210.5.2
당시 수배중이던 민통련 사무처장 이부영씨를 숨겨주고 도피자금을 줬다는 그의 혐의는 사실이 전혀 아니었으나, 실제로 이씨를 도와준 후배 고영구 변호사를 보호하고자 기꺼이 옥고를 치른 것이었다.

당시	당시/NNG
수배중이던	수배/NNG+중/NNB+이/VCP+던/ETM
민통련	민통련/NNP
사무처장	사무처장/NNG
이부영씨를	이부영/NNP+씨/NNB+를/JKO
숨겨주고	숨기/VV+어/EC+주/VX+고/EC
도피자금을	도피/NNG+자금/NNG+을/JKO
줬다는	주/VV+었/EP+다는/ETM
그의	그/NP+의/JKG
혐의는	혐의/NNG+는/JX
사실이	사실/NNG+이/JKS
전혀	전혀/MAG
아니었으나,	아니/VCN+었/EP+으나/EC+,/SP
실제로	실제로/MAG
이씨를	이/NNP+씨/NNB+를/JKO
도와준	도와주/VV+ㄴ/ETM
후배	후배/NNG
고영구	고영구/NNP
변호사를	변호사/NNG+를/JKO
보호하고자	보호/NNG+하/XSV+고자/EC
기꺼이	기꺼이/MAG
옥고를	옥고/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.210.5.3
“나는 불의에 쫓기는 한 마리 양을 보호했을 뿐, 결코 범인을 은닉했다는 가책을 느끼지는 않는다.”

“나는	“/SS+나/NP+는/JX
불의에	불의/NNG+에/JKB
쫓기는	쫓기/VV+는/ETM
한	한/MMN
마리	마리/NNB
양을	양/NNG+을/JKO
보호했을	보호/NNG+하/XSV+았/EP+을/ETM
뿐,	뿐/NNB+,/SP
결코	결코/MAG
범인을	범인/NNG+을/JKO
은닉했다는	은닉/NNG+하/XSV+았/EP+다는/ETM
가책을	가책/NNG+을/JKO
느끼지는	느끼/VV+지/EC+는/JX
않는다.”	않/VX+는다/EF+./SF+”/SS


# id : NWRW1800000032.210.5.4
그의 최후진술은 후배 법조인들에게 일종의 격언이 되기도 했다.

그의	그/NP+의/JKG
최후진술은	최후/NNG+진술/NNG+은/JX
후배	후배/NNG
법조인들에게	법조인/NNG+들/XSN+에게/JKB
일종의	일종/NNG+의/JKG
격언이	격언/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.210.5.5
그때 투옥으로 얻은 심장병 등으로 내내 병고에 시달리면서도 그는 구십 평생 ‘인권과 민주의 현장’을 한치도 벗어나지 않고 지켰다.

그때	그때/NNG
투옥으로	투옥/NNG+으로/JKB
얻은	얻/VV+은/ETM
심장병	심장병/NNG
등으로	등/NNB+으로/JKB
내내	내내/MAG
병고에	병고/NNG+에/JKB
시달리면서도	시달리/VV+면서/EC+도/JX
그는	그/NP+는/JX
구십	구십/NR
평생	평생/NNG
‘인권과	‘/SS+인권/NNG+과/JC
민주의	민주/NNG+의/JKG
현장’을	현장/NNG+’/SS+을/JKO
한치도	한/MMN+치/NNB+도/JX
벗어나지	벗어나/VV+지/EC
않고	않/VX+고/EC
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.210.6.1
두해 전 겨울, 동갑이자 평생의 지기였던 김수환 추기경의 서거 때 인터뷰에서 했던 그의 애도의 말이 마치 유언처럼 남았다.

두해	두/MMN+해/NNB
전	전/NNG
겨울,	겨울/NNG+,/SP
동갑이자	동갑/NNG+이/VCP+자/EC
평생의	평생/NNG+의/JKG
지기였던	지기/NNG+이/VCP+었/EP+던/ETM
김수환	김수환/NNP
추기경의	추기경/NNG+의/JKG
서거	서거/NNG
때	때/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
했던	하/VV+았/EP+던/ETM
그의	그/NP+의/JKG
애도의	애도/NNG+의/JKG
말이	말/NNG+이/JKS
마치	마치/MAG
유언처럼	유언/NNG+처럼/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.210.6.2
“사람은 누구나 언젠가 죽는 것이니 피할 도리가 없지만… 세상이 좋은 분을 또 잃었어.

“사람은	“/SS+사람/NNG+은/JX
누구나	누구/NP+나/JX
언젠가	언젠가/MAG
죽는	죽/VV+는/ETM
것이니	것/NNB+이/VCP+니/EC
피할	피하/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없지만…	없/VA+지만/EC+…/SE
세상이	세상/NNG+이/JKS
좋은	좋/VA+은/ETM
분을	분/NNB+을/JKO
또	또/MAG
잃었어.	잃/VV+었/EP+어/EF+./SF


# id : NWRW1800000032.210.6.3
남은 사람들이 잘해야제.”

남은	남/VV+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
잘해야제.”	잘/MAG+하/XSV+아야제/EF+./SF+”/SS


# id : NWRW1800000032.210.7.1
유족으로는 아들 이영일(전 한국은행국장·전 한국주택저당채권유동화 사장)·동헌(위아래구조기술사 사무소장)·사헌(미국 거주)씨와 사위 양원영(전 휘문고 교장)·서해준(전 다우케미칼 상무)씨 등이 있다.

유족으로는	유족/NNG+으로/JKB+는/JX
아들	아들/NNG
이영일(전	이영일/NNP+(/SS+전/MMD
한국은행국장·전	한국은행/NNP+국장/NNG+·/SP+전/MMD
한국주택저당채권유동화	한국주택저당채권유동화/NNP
사장)·동헌(위아래구조기술사	사장/NNG+)/SS+·/SP+동헌/NNP+(/SS+위아래구조기술사/NNP
사무소장)·사헌(미국	사무소장/NNG+)/SS+·/SP+사헌/NNP+(/SS+미국/NNP
거주)씨와	거주/NNG+)/SS+씨/NNB+와/JC
사위	사위/NNG
양원영(전	양원영/NNP+(/SS+전/MMD
휘문고	휘문고/NNP
교장)·서해준(전	교장/NNG+)/SS+·/SP+서해준/NNP+(/SS+전/MMD
다우케미칼	다우케미칼/NNP
상무)씨	상무/NNG+)/SS+씨/NNB
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


