# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.65
metadata : {}


# id : NWRW1800000038.65.1.1
맥주, 맛있게 먹고 싶은가 빨리 따르고 거품 버려라

맥주,	맥주/NNG+,/SP
맨	맨/MMA
윗부분에	윗부분/NNG+에/JKB
텁텁한	텁텁하/VA+ㄴ/ETM
쓴맛과	쓴맛/NNG+과/JC
쇠맛을	쇠/NNG+맛/NNG+을/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
시큼한	시큼하/VA+ㄴ/ETM
맛이	맛/NNG+이/JKS
들어있다."	들/VV+어/EC+있/VX+다/EF+./SF+"/SS


# id : NWRW1800000038.65.12.1
―집에서 술 마실 때도 이렇게 거품 윗부분을 제거하고 마시라는 건가.

―집에서	―/SS+집/NNG+에서/JKB
술	술/NNG
마실	마시/VV+ㄹ/ETM
때도	때/NNG+도/JX
이렇게	이렇/VA+게/EC
거품	거품/NNG
윗부분을	윗부분/NNG+을/JKO
제거하고	제거/NNG+하/XSV+고/EC
마시라는	마시/VV+라는/ETM
건가.	거/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000038.65.13.1
"병맥주도 이렇게 하면 더 훌륭한 맛을 낸다.

"병맥주도	"/SS+병맥주/NNG+도/JX
이렇게	이렇/VA+게/EC
하면	하/VV+면/EC
더	더/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
맛을	맛/NNG+을/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.13.2
그렇지 않으면 잔에 따르지 말고 병이나 캔에 든 그대로 마셔도 괜찮다.

그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
잔에	잔/NNG+에/JKB
따르지	따르/VV+지/EC
말고	말/VX+고/EC
병이나	병/NNG+이나/JC
캔에	캔/NNG+에/JKB
든	들/VV+ㄴ/ETM
그대로	그대로/MAG
마셔도	마시/VV+어도/EC
괜찮다.	괜찮/VA+다/EF+./SF


# id : NWRW1800000038.65.13.3
병이나 캔은 공장에서 완벽하게 따른 다음 밀봉한 잔이나 마찬가지니까.

병이나	병/NNG+이나/JC
캔은	캔/NNG+은/JX
공장에서	공장/NNG+에서/JKB
완벽하게	완벽/NNG+하/XSA+게/EC
따른	따르/VV+ㄴ/ETM
다음	다음/NNG
밀봉한	밀봉/NNG+하/XSV+ㄴ/ETM
잔이나	잔/NNG+이나/JX
마찬가지니까.	마찬가지/NNG+이/VCP+니까/EC+./SF


# id : NWRW1800000038.65.13.4
나도 집에선 맥주를 잔에 따라 마시지 않는다."

나도	나/NP+도/JX
집에선	집/NNG+에서/JKB+ㄴ/JX
맥주를	맥주/NNG+를/JKO
잔에	잔/NNG+에/JKB
따라	따르/VV+아/EC
마시지	마시/VV+지/EC
않는다."	않/VX+는다/EF+./SF+"/SS


# id : NWRW1800000038.65.14.1
―맥주는 차가울수록 맛있나.

―맥주는	―/SS+맥주/NNG+는/JX
차가울수록	차갑/VA+ㄹ수록/EC
맛있나.	맛있/VA+나/EF+./SF


# id : NWRW1800000038.65.15.1
"그렇지는 않다.

"그렇지는	"/SS+그렇/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.65.15.2
하이네켄이나 한국의 OB, 하이트 등 라거(lager) 맥주의 경우 알코올 도수가 높으면 맥주 온도도 높여야 맛이 난다.

하이네켄이나	하이네켄/NNP+이나/JC
한국의	한국/NNP+의/JKG
OB,	OB/SL+,/SP
하이트	하이트/NNP
등	등/NNB
라거(lager)	라거/NNG+(/SS+lager/SL+)/SS
맥주의	맥주/NNG+의/JKG
경우	경우/NNG
알코올	알코올/NNG
도수가	도수/NNG+가/JKS
높으면	높/VA+으면/EC
맥주	맥주/NNG
온도도	온도/NNG+도/JX
높여야	높이/VV+어야/EC
맛이	맛/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.15.3
5도짜리 맥주라면 섭씨 5도, 9도면 섭씨 9도가 좋다.

5도짜리	5/SN+도/NNB+짜리/XSN
맥주라면	맥주/NNG+이/VCP+라면/EC
섭씨	섭씨/NNG
5도,	5/SN+도/NNB+,/SP
9도면	9/SN+도/NNB+이/VCP+면/EC
9도가	9/SN+도/NNB+가/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000038.65.15.4
초콜릿·캐러멜 풍미가 있는 기네스처럼 맛이나 향이 강한 맥주는 차갑지 않게 마셔야 맛과 향을 충분히 즐길 수 있다."

초콜릿·캐러멜	초콜릿/NNG+·/SP+캐러멜/NNG
풍미가	풍미/NNG+가/JKS
있는	있/VA+는/ETM
기네스처럼	기네스/NNP+처럼/JKB
맛이나	맛/NNG+이나/JC
향이	향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
맥주는	맥주/NNG+는/JX
차갑지	차갑/VA+지/EC
않게	않/VX+게/EC
마셔야	마시/VV+어야/EC
맛과	맛/NNG+과/JC
향을	향/NNG+을/JKO
충분히	충분히/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다."	있/VA+다/EF+./SF+"/SS


