# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.187
metadata : {}


# id : NWRW1800000037.187.1.1
전입신고 어렵고… 중개료 3배… 오피스텔 세입자는 서럽다

전입신고	전입/NNG+신고/NNG
한다는	하/VX+ㄴ다는/ETM
이유에서였다.	이유/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.187.3.1
부동산 중개사들도 ‘전입신고를 안 하는 게 오피스텔 세계의 규칙이니 고집 부리면 전세를 구하지 못한다’며 포기를 강요했다.

부동산	부동산/NNG
중개사들도	중개사/NNG+들/XSN+도/JX
‘전입신고를	‘/SS+전입/NNG+신고/NNG+를/JKO
안	안/MAG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
오피스텔	오피스텔/NNG
세계의	세계/NNG+의/JKG
규칙이니	규칙/NNG+이/VCP+니/EC
고집	고집/NNG
부리면	부리/VV+면/EC
전세를	전세/NNG+를/JKO
구하지	구하/VV+지/EC
못한다’며	못하/VX+ㄴ다/EF+’/SS+며/EC
포기를	포기/NNG+를/JKO
강요했다.	강요/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.187.3.2
“전입신고가 안 되면 급한 우편물은 어떻게 처리하나요?

“전입신고가	“/SS+전입/NNG+신고/NNG+가/JKS
안	안/MAG
되면	되/VV+면/EC
급한	급하/VA+ㄴ/ETM
우편물은	우편물/NNG+은/JX
어떻게	어떻/VA+게/EC
처리하나요?	처리/NNG+하/XSV+나/EF+요/JX+?/SF


# id : NWRW1800000037.187.3.3
법에도 보장된 권리를 행사 못하게 하는 관행에 분통이 터집니다.”

법에도	법/NNG+에/JKB+도/JX
보장된	보장/NNG+되/XSV+ㄴ/ETM
권리를	권리/NNG+를/JKO
행사	행사/NNG
못하게	못/MAG+하/VV+게/EC
하는	하/VX+는/ETM
관행에	관행/NNG+에/JKB
분통이	분통/NNG+이/JKS
터집니다.”	터지/VV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000037.187.4.1
1, 2인 가구가 늘어나면서 오피스텔이 새로운 주거형태로 각광받고 있다.

1,	1/SN+,/SP
2인	2/SN+인/NNG
가구가	가구/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
오피스텔이	오피스텔/NNG+이/JKS
새로운	새롭/VA+ㄴ/ETM
주거형태로	주거/NNG+형태/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.187.4.2
그러나 정작 오피스텔에 사는 세입자들은 삼중사중의 ‘설움’을 겪고 있다.

그러나	그러나/MAJ
정작	정작/MAG
오피스텔에	오피스텔/NNG+에/JKB
사는	살/VV+는/ETM
세입자들은	세입자/NNG+들/XSN+은/JX
삼중사중의	삼중/NNG+사중/NNG+의/JKG
‘설움’을	‘/SS+설움/NNG+’/SS+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.187.5.1
○ 세제 혜택, 그것이 문제

○	○/SW
세제	세제/NNG
혜택,	혜택/NNG+,/SP
그것이	그것/NP+이/JKS
문제	문제/NNG


# id : NWRW1800000037.187.6.1
준주택인 오피스텔은 거주자가 전입신고를 하느냐 여부에 따라 주거용과 업무용으로 구분된다.

준주택인	준/XPN+주택/NNG+이/VCP+ㄴ/ETM
오피스텔은	오피스텔/NNG+은/JX
거주자가	거주자/NNG+가/JKS
전입신고를	전입/NNG+신고/NNG+를/JKO
하느냐	하/VV+느냐/EF
여부에	여부/NNG+에/JKB
따라	따르/VV+아/EC
주거용과	주거/NNG+용/XSN+과/JC
업무용으로	업무/NNG+용/XSN+으로/JKB
구분된다.	구분/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.187.6.2
업무용 오피스텔은 주택이 아니기 때문에 종합부동산세 과세 대상에서도 제외되고, 오피스텔 건축비의 10%인 부가세도 돌려받는다.

업무용	업무/NNG+용/XSN
오피스텔은	오피스텔/NNG+은/JX
주택이	주택/NNG+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
종합부동산세	종합/NNG+부동산세/NNG
과세	과세/NNG
대상에서도	대상/NNG+에서/JKB+도/JX
제외되고,	제외/NNG+되/XSV+고/EC+,/SP
오피스텔	오피스텔/NNG
건축비의	건축비/NNG+의/JKG
10%인	10/SN+%/SW+이/VCP+ㄴ/ETM
부가세도	부가세/NNG+도/JX
돌려받는다.	돌려받/VV+는다/EF+./SF


# id : NWRW1800000037.187.6.3
단 10년간 오피스텔을 업무용으로 임대해야 한다.

단	단/MAJ
10년간	10/SN+년/NNB+간/XSN
오피스텔을	오피스텔/NNG+을/JKO
업무용으로	업무/NNG+용/XSN+으로/JKB
임대해야	임대/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.187.7.1
반면 주거용 오피스텔의 집주인은 1가구 다주택자가 돼 세금 부담이 늘어날 수 있다.

반면	반면/NNG
주거용	주거/NNG+용/XSN
오피스텔의	오피스텔/NNG+의/JKG
집주인은	집주인/NNG+은/JX
1가구	1/SN+가구/NNG
다주택자가	다주택자/NNG+가/JKC
돼	되/VV+어/EC
세금	세금/NNG
부담이	부담/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.187.7.2
별도로 임대사업자 등록을 하지 않는 한 종합부동산세 과세대상에도 포함된다.

별도로	별도/NNG+로/JKB
임대사업자	임대/NNG+사업자/NNG
등록을	등록/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
종합부동산세	종합/NNG+부동산세/NNG
과세대상에도	과세/NNG+대상/NNG+에/JKB+도/JX
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.187.7.3
부가세 환급 혜택도 없다.

부가세	부가세/NNG
환급	환급/NNG
혜택도	혜택/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.187.7.4
처음에 부가세를 환급받아도 업무용 임대 기간을 다 채우지 못하고 중간에 주거용으로 전환하면 남은 기간만큼 부가세를 토해내야 한다.

처음에	처음/NNG+에/JKB
부가세를	부가세/NNG+를/JKO
환급받아도	환급/NNG+받/XSV+아도/EC
업무용	업무/NNG+용/XSN
임대	임대/NNG
기간을	기간/NNG+을/JKO
다	다/MAG
채우지	채우/VV+지/EC
못하고	못하/VX+고/EC
중간에	중간/NNG+에/JKB
주거용으로	주거/NNG+용/XSN+으로/JKB
전환하면	전환/NNG+하/XSV+면/EC
남은	남/VV+은/ETM
기간만큼	기간/NNG+만큼/JKB
토해내야	토하/VV+아/EC+내/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.187.7.5
이 때문에 대부분의 오피스텔 소유주들은 일단 업무용으로 등록한 뒤 당국 몰래 편법으로 전세를 놓는다.

이	이/MMD
때문에	때문/NNB+에/JKB
대부분의	대/XPN+부분/NNG+의/JKG
오피스텔	오피스텔/NNG
소유주들은	소유주/NNG+들/XSN+은/JX
일단	일단/MAG
업무용으로	업무/NNG+용/XSN+으로/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
당국	당국/NNG
몰래	몰래/MAG
편법으로	편법/NNG+으로/JKB
전세를	전세/NNG+를/JKO
놓는다.	놓/VV+는다/EF+./SF


# id : NWRW1800000037.187.7.6
당연히 세입자에게 전입신고를 못하게 한다.

당연히	당연히/MAG
세입자에게	세입자/NNG+에게/JKB
전입신고를	전입/NNG+신고/NNG+를/JKO
못하게	못/MAG+하/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.187.8.1
서울 마포구 오피스텔에 사는 임모 씨(33)는 “주인의 반대로 전입신고를 하지 못해 1년 내내 광주 부모님 댁으로 관공서 우편물이 갔고, 결국 지난해 총선, 대선에서 모두 투표를 하지 못했다”며 분통을 터뜨렸다.

서울	서울/NNP
마포구	마포구/NNP
오피스텔에	오피스텔/NNG+에/JKB
사는	살/VV+는/ETM
임모	임/NNP+모/NP
씨(33)는	씨/NNB+(/SS+33/SN+)/SS+는/JX
“주인의	“/SS+주인/NNG+의/JKG
반대로	반대/NNG+로/JKB
전입신고를	전입/NNG+신고/NNG+를/JKO
하지	하/VV+지/EC
못해	못하/VX+아/EC
1년	1/SN+년/NNB
내내	내내/MAG
광주	광주/NNP
부모님	부모/NNG+님/XSN
댁으로	댁/NNG+으로/JKB
관공서	관공서/NNG
우편물이	우편물/NNG+이/JKS
갔고,	가/VV+았/EP+고/EC+,/SP
결국	결국/MAG
지난해	지난해/NNG
총선,	총선/NNG+,/SP
대선에서	대선/NNG+에서/JKB
모두	모두/MAG
투표를	투표/NNG+를/JKO
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.187.9.1
한 세무사는 “국세청에서 가끔 특정 오피스텔을 정해 사용실태를 조사하긴 하지만 아직까지 단속이 철저하지 않은 편”이라며 “전입신고를 피하는 집주인이 많다”고 전했다.

한	한/MMN
세무사는	세무사/NNG+는/JX
“국세청에서	“/SS+국세청/NNG+에서/JKB
가끔	가끔/MAG
특정	특정/NNG
오피스텔을	오피스텔/NNG+을/JKO
정해	정하/VV+아/EC
사용실태를	사용/NNG+실태/NNG+를/JKO
조사하긴	조사/NNG+하/XSV+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
아직까지	아직/MAG+까지/JX
단속이	단속/NNG+이/JKS
철저하지	철저/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
편”이라며	편/NNB+”/SS+이/VCP+라며/EC
“전입신고를	“/SS+전입/NNG+신고/NNG+를/JKO
피하는	피하/VV+는/ETM
집주인이	집주인/NNG+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.187.10.1
○ 중개수수료도 높고, 연말정산에서도 배제

○	○/SW
중개수수료도	중개/NNG+수수료/NNG+도/JX
높고,	높/VA+고/EC+,/SP
연말정산에서도	연말/NNG+정산/NNG+에서/JKB+도/JX
배제	배제/NNG


# id : NWRW1800000037.187.11.1
오피스텔 거주자는 아파트 거주자보다 부동산 중개수수료도 더 많이 내야 한다.

오피스텔	오피스텔/NNG
거주자는	거주자/NNG+는/JX
아파트	아파트/NNG
거주자보다	거주자/NNG+보다/JKB
부동산	부동산/NNG
중개수수료도	중개/NNG+수수료/NNG+도/JX
더	더/MAG
많이	많이/MAG
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.187.11.2
수수료가 ‘주택’과 ‘주택외’로 구분되어 있는데 준주택인 오피스텔은 주택외 시설에 포함되기 때문이다.

수수료가	수수료/NNG+가/JKS
‘주택’과	‘/SS+주택/NNG+’/SS+과/JC
‘주택외’로	‘/SS+주택/NNG+외/NNB+’/SS+로/JKB
구분되어	구분/NNG+되/XSV+어/EC
있는데	있/VX+는데/EC
준주택인	준/XPN+주택/NNG+이/VCP+ㄴ/ETM
오피스텔은	오피스텔/NNG+은/JX
주택외	주택/NNG+외/NNB
시설에	시설/NNG+에/JKB
포함되기	포함/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.187.12.1
일반 주택의 중개수수료는 임대료의 0.3∼0.5%지만, 오피스텔은 임대료의 0.9% 미만으로 최대 3배나 된다.

일반	일반/NNG
주택의	주택/NNG+의/JKG
중개수수료는	중개/NNG+수수료/NNG+는/JX
임대료의	임대료/NNG+의/JKG
0.3∼0.5%지만,	0/SN+./SP+3/SN+∼/SO+0/SN+./SP+5/SN+%/SW+이/VCP+지만/EC+,/SP
오피스텔은	오피스텔/NNG+은/JX
0.9%	0/SN+./SP+9/SN+%/SW
미만으로	미만/NNG+으로/JKB
최대	최대/NNG
3배나	3/SN+배/NNG+나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.187.12.2
정돈희 공인중개사협회 용산구지회장은 “오피스텔은 아파트와 다름없이 생활할 수 있어 각광받지만 거래할 때 내는 수수료가 높아 임차인들의 불만이 있는 편”이라고 전했다.

정돈희	정돈희/NNP
공인중개사협회	공인중개사협회/NNP
용산구지회장은	용산구/NNP+지회장/NNG+은/JX
“오피스텔은	“/SS+오피스텔/NNG+은/JX
아파트와	아파트/NNG+와/JKB
다름없이	다름없이/MAG
생활할	생활/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
각광받지만	각광/NNG+받/XSV+지만/EC
거래할	거래/NNG+하/XSV+ㄹ/ETM
때	때/NNG
내는	내/VV+는/ETM
수수료가	수수료/NNG+가/JKS
높아	높/VA+아/EC
임차인들의	임차인/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
있는	있/VA+는/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.187.13.1
오피스텔은 2009년부터 생긴 연말정산 월세 소득공제 항목에서도 배제된다.

오피스텔은	오피스텔/NNG+은/JX
2009년부터	2009/SN+년/NNB+부터/JX
생긴	생기/VV+ㄴ/ETM
연말정산	연말/NNG+정산/NNG
월세	월세/NNG
소득공제	소득/NNG+공제/NNG
항목에서도	항목/NNG+에서/JKB+도/JX
배제된다.	배제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.187.13.2
지난해 말 정산분부터는 월세 소득공제를 받을 수 있는 기준이 연봉 3000만 원에서 5000만 원으로 올라 혜택을 받을 수 있는 사람이 늘었다.

지난해	지난해/NNG
말	말/NNB
정산분부터는	정산/NNG+분/XSN+부터/JX+는/JX
월세	월세/NNG
소득공제를	소득/NNG+공제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
기준이	기준/NNG+이/JKS
연봉	연봉/NNG
3000만	3000/SN+만/NR
원에서	원/NNB+에서/JKB
5000만	5000/SN+만/NR
원으로	원/NNB+으로/JKB
올라	오르/VV+아/EC
혜택을	혜택/NNG+을/JKO
사람이	사람/NNG+이/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.187.13.3
하지만 오피스텔은 주택이 아니라 소득공제를 받을 수 없다.

하지만	하지만/MAJ
오피스텔은	오피스텔/NNG+은/JX
주택이	주택/NNG+이/JKC
아니라	아니/VCN+라/EC
소득공제를	소득/NNG+공제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.187.13.4
직장인 김지은 씨(28)는 “주변에 직장인이나 신혼부부의 경우, 오피스텔에 월세로 거주하는 사람이 많은데 정작 연말정산 월세 소득공제 대상에서 오피스텔이 빠져 있는 것은 이해가 안 간다”고 지적했다.

직장인	직장인/NNG
김지은	김지은/NNP
씨(28)는	씨/NNB+(/SS+28/SN+)/SS+는/JX
“주변에	“/SS+주변/NNG+에/JKB
직장인이나	직장인/NNG+이나/JC
신혼부부의	신혼부부/NNG+의/JKG
경우,	경우/NNG+,/SP
오피스텔에	오피스텔/NNG+에/JKB
월세로	월세/NNG+로/JKB
거주하는	거주/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많은데	많/VA+은데/EC
정작	정작/MAG
연말정산	연말/NNG+정산/NNG
월세	월세/NNG
소득공제	소득/NNG+공제/NNG
대상에서	대상/NNG+에서/JKB
오피스텔이	오피스텔/NNG+이/JKS
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
이해가	이해/NNG+가/JKS
안	안/MAG
간다”고	가/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.187.14.1
양지영 리얼투데이 팀장은 “1인가구가 우리나라의 대표가구가 된 만큼 오피스텔이 아파트 못지않게 주된 거주형태가 됐다”라며 “오피스텔 거주자의 불편이 적도록 관련 세제를 정비하는 등 정부 차원의 노력이 필요하다”고 말했다.

양지영	양지영/NNP
리얼투데이	리얼투데이/NNP
팀장은	팀장/NNG+은/JX
“1인가구가	“/SS+1/SN+인/NNG+가구/NNG+가/JKS
우리나라의	우리나라/NNG+의/JKG
대표가구가	대표/NNG+가구/NNG+가/JKC
된	되/VV+ㄴ/ETM
만큼	만큼/NNB
오피스텔이	오피스텔/NNG+이/JKS
아파트	아파트/NNG
못지않게	못지않/VA+게/EC
주된	주/NNG+되/XSV+ㄴ/ETM
거주형태가	거주/NNG+형태/NNG+가/JKC
됐다”라며	되/VV+었/EP+다/EF+”/SS+이/VCP+라며/EC
“오피스텔	“/SS+오피스텔/NNG
거주자의	거주자/NNG+의/JKG
불편이	불편/NNG+이/JKS
적도록	적/VA+도록/EC
관련	관련/NNG
세제를	세제/NNG+를/JKO
정비하는	정비/NNG+하/XSV+는/ETM
등	등/NNB
정부	정부/NNG
차원의	차원/NNG+의/JKG
노력이	노력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


