# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.182
metadata : {}


# id : NWRW1800000052.182.1.1
올해 박원순 시장이 시민에 권하는 책은?

올해	올해/NNG
김우영 은평구청장은 <바보마음>을, 이성 구로구청장은 <네 손가락의 피아니스트 희아와 농부아저씨의 통일이야기>, 이동진 도봉구청장은 <담론>, 박겸수 강북구청장은 <유배지에서 보낸 편지>를 추천했다.

김우영	김우영/NNP
은평구청장은	은평구청장/NNG+은/JX
<바보마음>을,	</SS+바보/NNG+마음/NNG+>/SS+을/JKO+,/SP
이성	이성/NNP
구로구청장은	구로구청장/NNG+은/JX
<네	</SS+네/MMN
손가락의	손가락/NNG+의/JKG
피아니스트	피아니스트/NNG
희아와	희아/NNP+와/JC
농부아저씨의	농부/NNG+아저씨/NNG+의/JKG
통일이야기>,	통일/NNG+이야기/NNG+>/SS+,/SP
이동진	이동진/NNP
도봉구청장은	도봉구청장/NNG+은/JX
<담론>,	</SS+담론/NNP+>/SS+,/SP
박겸수	박겸수/NNP
강북구청장은	강북구청장/NNG+은/JX
<유배지에서	</SS+유배지/NNG+에서/JKB
보낸	보내/VV+ㄴ/ETM
편지>를	편지/NNG+>/SS+를/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.182.7.2
삶의 소중함과 의미를 되돌아보게 하는 책들이다.

삶의	삶/NNG+의/JKG
소중함과	소중하/VA+ㅁ/ETN+과/JC
의미를	의미/NNG+를/JKO
되돌아보게	되돌아보/VV+게/EC
하는	하/VX+는/ETM
책들이다.	책/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.182.8.1
차성수 금천구청장은 교육을 화두로 한 <아이의 미래를 바꾸는 학교혁명>, 박홍섭 마포구청장은 개인의 변혁에 가치를 둔 <유러피언 드림>, 유종필 관악구청장은 생활 속 도서관의 해답을 제시하는 <세계도서관 기행>, 조은희 서초구청장은 소설 <데미안>을 추천했다.

차성수	차성수/NNP
금천구청장은	금천구청장/NNG+은/JX
교육을	교육/NNG+을/JKO
화두로	화두/NNG+로/JKB
한	하/VV+ㄴ/ETM
<아이의	</SS+아이/NNG+의/JKG
미래를	미래/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
학교혁명>,	학교/NNG+혁명/NNG+>/SS+,/SP
박홍섭	박홍섭/NNP
마포구청장은	마포구청장/NNG+은/JX
개인의	개인/NNG+의/JKG
변혁에	변혁/NNG+에/JKB
가치를	가치/NNG+를/JKO
둔	두/VV+ㄴ/ETM
<유러피언	</SS+유러피언/NNP
드림>,	드림/NNG+>/SS+,/SP
유종필	유종필/NNP
관악구청장은	관악구청장/NNG+은/JX
생활	생활/NNG
속	속/NNG
도서관의	도서관/NNG+의/JKG
해답을	해답/NNG+을/JKO
제시하는	제시/NNG+하/XSV+는/ETM
<세계도서관	</SS+세계/NNG+도서관/NNG
기행>,	기행/NNG+>/SS+,/SP
조은희	조은희/NNP
서초구청장은	서초구청장/NNG+은/JX
소설	소설/NNG
<데미안>을	</SS+데미안/NNP+>/SS+을/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.182.9.1
서울도서관은 시민들이 박 시장과 구청장들에게 권하고 싶은 책을 포스트잇에 적는 ‘명사에게 추천하는 책’ 등의 행사도 함께 연다.

서울도서관은	서울도서관/NNP+은/JX
시민들이	시민/NNG+들/XSN+이/JKS
박	박/NNP
시장과	시장/NNG+과/JC
구청장들에게	구청장/NNG+들/XSN+에게/JKB
권하고	권/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
책을	책/NNG+을/JKO
포스트잇에	포스트잇/NNG+에/JKB
적는	적/VV+는/ETM
‘명사에게	‘/SS+명사/NNG+에게/JKB
추천하는	추천/NNG+하/XSV+는/ETM
책’	책/NNG+’/SS
등의	등/NNB+의/JKG
행사도	행사/NNG+도/JX
함께	함께/MAG
연다.	열/VV+ㄴ다/EF+./SF


