# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.69
metadata : {}


# id : NWRW1800000033.69.1.1
“사탄… 히틀러…” 美 샌토럼 돌풍은 막말 덕?

“사탄…	“/SS+사탄/NNG+…/SE
콜로라도,	콜로라도/NNP+,/SP
미주리,	미주리/NNP+,/SP
미네소타에서	미네소타/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘트리플	‘/SS+트리플/NNG
경선’에서	경선/NNG+’/SS+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
후	후/NNG
지지율이	지지/NNG+율/XSN+이/JKS
급상승한	급상승/NNG+하/XSV+ㄴ/ETM
샌토럼은	샌토럼/NNP+은/JX
28일	28/SN+일/NNB
밋	밋/NNP
롬니	롬니/NNP
전	전/MMD
매사추세츠	매사추세츠/NNP
주지사의	주지사/NNG+의/JKG
정치적	정치/NNG+적/XSN
고향인	고향/NNG+이/VCP+ㄴ/ETM
미시간에서도	미시간/NNP+에서/JKB+도/JX
승리할	승리/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
점쳐지고	점치/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.8.2
급진적이고 과격한 화법에도 불구하고 지지율이 급상승하자 샌토럼은 오히려 더 논란이 되는 발언을 구사해가며 화제를 몰고 다니고 있다.

급진적이고	급진/NNG+적/XSN+이/VCP+고/EC
과격한	과격/NNG+하/XSA+ㄴ/ETM
화법에도	화법/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
지지율이	지지/NNG+율/XSN+이/JKS
급상승하자	급상승/NNG+하/XSV+자/EC
샌토럼은	샌토럼/NNP+은/JX
오히려	오히려/MAG
더	더/MAG
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
발언을	발언/NNG+을/JKO
구사해가며	구사/NNG+하/XSV+아/EC+가/VX+며/EC
화제를	화제/NNG+를/JKO
몰고	몰/VV+고/EC
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.9.1
22일 미시간 유권자들을 대상으로 한 디트로이트 프리프레스 여론조사에서 샌토럼은 37%의 지지율로 34%의 롬니를 3%포인트 차로 앞서고 있다.

22일	22/SN+일/NNB
미시간	미시간/NNP
유권자들을	유권자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
디트로이트	디트로이트/NNP
프리프레스	프리프레스/NNP
여론조사에서	여론/NNG+조사/NNG+에서/JKB
샌토럼은	샌토럼/NNP+은/JX
37%의	37/SN+%/SW+의/JKG
지지율로	지지/NNG+율/XSN+로/JKB
34%의	34/SN+%/SW+의/JKG
롬니를	롬니/NNP+를/JKO
3%포인트	3/SN+%/SW+포인트/NNG
차로	차/NNG+로/JKB
앞서고	앞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.9.2
선거 전문가들은 미시간 경선에서 롬니를 꺾으면 공화당의 경선 판도는 뒤집힐 가능성이 크다고 보고 있다.

선거	선거/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
미시간	미시간/NNP
경선에서	경선/NNG+에서/JKB
롬니를	롬니/NNP+를/JKO
꺾으면	꺾/VV+으면/EC
공화당의	공화당/NNP+의/JKG
경선	경선/NNG
판도는	판도/NNG+는/JX
뒤집힐	뒤집히/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.9.3
실제로 샌토럼의 기세가 10개 주에서 경선이 동시에 치러지는 다음 달 6일 ‘슈퍼 화요일’까지 이어지면 롬니 대세론은 완전히 무너질 수 있다.

실제로	실제로/MAG
샌토럼의	샌토럼/NNP+의/JKG
기세가	기세/NNG+가/JKS
10개	10/SN+개/NNB
주에서	주/NNG+에서/JKB
경선이	경선/NNG+이/JKS
동시에	동시/NNG+에/JKB
치러지는	치르/VV+어/EC+지/VX+는/ETM
다음	다음/NNG
달	달/NNG
6일	6/SN+일/NNB
‘슈퍼	‘/SS+슈퍼/NNG
화요일’까지	화요일/NNG+’/SS+까지/JX
이어지면	이어지/VV+면/EC
롬니	롬니/NNP
대세론은	대세/NNG+론/XSN+은/JX
완전히	완전히/MAG
무너질	무너지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.69.10.1
아이오와 코커스 때 반짝 1등을 했으나 그 후 꼴찌 그룹에 머물던 샌토럼이 선두 자리를 위협할 정도로 승승장구하는 것은 경제 문제보다 가족, 종교, 낙태 등 사회 이슈에서 강경 보수 방침을 고수하는 정책이 공화당 유권자의 대부분을 차지하는 ‘사회적 보수주의자’ 사이에서 절대적 지지를 얻고 있기 때문으로 분석된다.

아이오와	아이오와/NNP
코커스	코커스/NNG
때	때/NNG
반짝	반짝/MAG
1등을	1/SN+등/NNB+을/JKO
했으나	하/VV+았/EP+으나/EC
그	그/MMD
후	후/NNG
꼴찌	꼴찌/NNG
그룹에	그룹/NNG+에/JKB
머물던	머물/VV+던/ETM
샌토럼이	샌토럼/NNP+이/JKS
선두	선두/NNG
자리를	자리/NNG+를/JKO
위협할	위협/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
승승장구하는	승승장구/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
경제	경제/NNG
문제보다	문제/NNG+보다/JKB
가족,	가족/NNG+,/SP
종교,	종교/NNG+,/SP
낙태	낙태/NNG
등	등/NNB
사회	사회/NNG
이슈에서	이슈/NNG+에서/JKB
강경	강경/NNG
보수	보수/NNG
방침을	방침/NNG+을/JKO
고수하는	고수/NNG+하/XSV+는/ETM
정책이	정책/NNG+이/JKS
공화당	공화당/NNP
유권자의	유권자/NNG+의/JKG
대부분을	대/XPN+부분/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
‘사회적	‘/SS+사회/NNG+적/XSN
보수주의자’	보수주의자/NNG+’/SS
사이에서	사이/NNG+에서/JKB
절대적	절대/NNG+적/XSN
지지를	지지/NNG+를/JKO
얻고	얻/VV+고/EC
있기	있/VX+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.69.10.2
그와 비슷한 시각을 견지했던 미셸 바크먼, 허먼 케인 등이 중도 포기하면서 사회적 보수주의자들의 지지가 샌토럼에게 몰리고 있는 것.

그와	그/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
시각을	시각/NNG+을/JKO
견지했던	견지/NNG+하/XSV+았/EP+던/ETM
미셸	미셸/NNP
바크먼,	바크먼/NNP+,/SP
허먼	허먼/NNP
케인	케인/NNP
등이	등/NNB+이/JKS
중도	중도/NNG
포기하면서	포기/NNG+하/XSV+면서/EC
사회적	사회/NNG+적/XSN
보수주의자들의	보수주의자/NNG+들/XSN+의/JKG
지지가	지지/NNG+가/JKS
샌토럼에게	샌토럼/NNP+에게/JKB
몰리고	몰리/VV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.69.10.3
사회 이슈에서 덜 보수적인 롬니는 믿을 수 없다는 것이 샌토럼을 지지하는 이유다.

사회	사회/NNG
이슈에서	이슈/NNG+에서/JKB
덜	덜/MAG
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
롬니는	롬니/NNP+는/JX
믿을	믿/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이	것/NNB+이/JKS
샌토럼을	샌토럼/NNP+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.69.11.1
샌토럼이 과격 화법으로 구설에 오르는 것도 이 때문이다.

샌토럼이	샌토럼/NNP+이/JKS
과격	과격/NNG
화법으로	화법/NNG+으로/JKB
구설에	구설/NNG+에/JKB
오르는	오르/VV+는/ETM
것도	것/NNB+도/JX
이	이/MMD
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.69.11.2
구체적인 경제 이슈보다 자신의 보수적 철학과 사상을 강조하려다 보니 과장된 단어나 어구를 사용하는 경우가 늘고 있다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
경제	경제/NNG
이슈보다	이슈/NNG+보다/JKB
자신의	자신/NNG+의/JKG
보수적	보수/NNG+적/XSN
철학과	철학/NNG+과/JC
사상을	사상/NNG+을/JKO
강조하려다	강조/NNG+하/XSV+려다/EC
보니	보/VX+니/EC
과장된	과장/NNG+되/XSV+ㄴ/ETM
단어나	단어/NNG+나/JC
어구를	어구/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.11.3
자신에게 표를 던지지 않으면 “히틀러(버락 오바마 대통령)의 독재에 침묵하는 것과 마찬가지”라고 주장하는가 하면 오바마의 종교적 믿음이 “사이비 종교철학에 근거를 두고 있다”고 공격하기도 했다.

자신에게	자신/NNG+에게/JKB
표를	표/NNG+를/JKO
던지지	던지/VV+지/EC
않으면	않/VX+으면/EC
“히틀러(버락	“/SS+히틀러/NNP+(/SS+버락/NNP
오바마	오바마/NNP
대통령)의	대통령/NNG+)/SS+의/JKG
독재에	독재/NNG+에/JKB
침묵하는	침묵/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
주장하는가	주장/NNG+하/XSV+는가/EF
하면	하/VV+면/EC
오바마의	오바마/NNP+의/JKG
종교적	종교/NNG+적/XSN
믿음이	믿음/NNG+이/JKS
“사이비	“/SS+사이비/NNG
종교철학에	종교/NNG+철학/NNG+에/JKB
근거를	근거/NNG+를/JKO
두고	두/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
공격하기도	공격/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.69.11.4
4년 전 한 대학의 연설에서 “미국이 (도덕적으로) 사탄의 공격을 받고 있다”고 말한 것도 집중적으로 도마에 올랐다.

4년	4/SN+년/NNB
전	전/NNG
한	한/MMN
대학의	대학/NNG+의/JKG
연설에서	연설/NNG+에서/JKB
“미국이	“/SS+미국/NNP+이/JKS
(도덕적으로)	(/SS+도덕/NNG+적/XSN+으로/JKB+)/SS
사탄의	사탄/NNG+의/JKG
공격을	공격/NNG+을/JKO
받고	받/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
집중적으로	집중/NNG+적/XSN+으로/JKB
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.69.11.5
이 같은 발언들은 강경 보수파들 사이에서 “속 시원하다” “할 말 다 한다”는 반응을 이끌어 내며 샌토럼의 지지율을 올려주고 있다.

이	이/NP
같은	같/VA+은/ETM
발언들은	발언/NNG+들/XSN+은/JX
강경	강경/NNG
보수파들	보수파/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
“속	“/SS+속/NNG
시원하다”	시원하/VA+다/EF+”/SS
“할	“/SS+하/VV+ㄹ/ETM
말	말/NNG
다	다/MAG
한다”는	하/VV+ㄴ다/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
이끌어	이끌/VV+어/EC
내며	내/VX+며/EC
샌토럼의	샌토럼/NNP+의/JKG
지지율을	지지/NNG+율/XSN+을/JKO
올려주고	올리/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.69.12.1
하지만 그의 최대 약점은 본선 경쟁력이 약하다는 것이다.

하지만	하지만/MAJ
그의	그/NP+의/JKG
최대	최대/NNG
약점은	약점/NNG+은/JX
본선	본선/NNG
경쟁력이	경쟁력/NNG+이/JKS
약하다는	약하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.69.12.2
강경 보수적 성향이 공화당 지지자들 사이에서 인기가 높고, 공화당 후보로 지명될 수도 있지만 일반 유권자를 대상으로 오바마 대통령과 맞붙을 때는 승산이 별로 없다는 것이다.

강경	강경/NNG
보수적	보수/NNG+적/XSN
성향이	성향/NNG+이/JKS
공화당	공화당/NNP
지지자들	지지자/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
인기가	인기/NNG+가/JKS
높고,	높/VA+고/EC+,/SP
후보로	후보/NNG+로/JKB
지명될	지명/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
일반	일반/NNG
유권자를	유권자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
오바마	오바마/NNP
대통령과	대통령/NNG+과/JKB
맞붙을	맞붙/VV+을/ETM
때는	때/NNG+는/JX
승산이	승산/NNG+이/JKS
별로	별로/MAG
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.69.12.3
실제로 워싱턴포스트는 샌토럼이 강조하는 가족, 종교 같은 문제들이 본선 이슈로서는 경쟁력이 없으며 공화당 지도부에서도 샌토럼의 과격 노선에 대해 거부감이 커지고 있다고 전했다.

실제로	실제로/MAG
워싱턴포스트는	워싱턴포스트/NNP+는/JX
샌토럼이	샌토럼/NNP+이/JKS
강조하는	강조/NNG+하/XSV+는/ETM
가족,	가족/NNG+,/SP
종교	종교/NNG
같은	같/VA+은/ETM
문제들이	문제/NNG+들/XSN+이/JKS
본선	본선/NNG
이슈로서는	이슈/NNG+로서/JKB+는/JX
경쟁력이	경쟁력/NNG+이/JKS
없으며	없/VA+으며/EC
공화당	공화당/NNP
지도부에서도	지도부/NNG+에서/JKB+도/JX
샌토럼의	샌토럼/NNP+의/JKG
과격	과격/NNG
노선에	노선/NNG+에/JKB
대해	대하/VV+아/EC
거부감이	거부감/NNG+이/JKS
커지고	커지/VV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


