# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.348
metadata : {}


# id : NWRW1800000049.348.1.1
靑, 우병우 사실상 재신임… “신임장관 3명 검증업무 수행”

靑,	靑/SH+,/SP
있다”며	있/VX+다/EF+”/SS+며/EC
우	우/NNP
수석	수석/NNG
거취에	거취/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기류에	기류/NNG+에/JKB
변화가	변화/NNG+가/JKS
없음을	없/VA+음/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.348.5.1
그동안 우 수석에 대해 다양한 의혹이 제기됐지만 뚜렷한 비위 사실이 확인되지 않은 상황에서 박 대통령이 우 수석을 교체하지 않을 것이라는 게 청와대의 일관된 태도다.

그동안	그동안/NNG
우	우/NNP
수석에	수석/NNG+에/JKB
대해	대하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
제기됐지만	제기/NNG+되/XSV+었/EP+지만/EC
뚜렷한	뚜렷하/VA+ㄴ/ETM
비위	비위/NNG
사실이	사실/NNG+이/JKS
확인되지	확인/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
박	박/NNP
대통령이	대통령/NNG+이/JKS
수석을	수석/NNG+을/JKO
교체하지	교체/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
청와대의	청와대/NNP+의/JKG
일관된	일관/NNG+되/XSV+ㄴ/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.348.5.2
청와대의 한 참모는 “박 대통령은 야권이나 여론에서 요구한다고 해도 의혹만으로는 사람을 바꾸지 않는다는 확고한 원칙을 갖고 있다”며 “우 수석의 비리가 명확하게 드러나지 않는 이상 바꿀 이유가 없다”고 강조했다.

청와대의	청와대/NNP+의/JKG
한	한/MMN
참모는	참모/NNG+는/JX
“박	“/SS+박/NNP
대통령은	대통령/NNG+은/JX
야권이나	야권/NNG+이나/JC
여론에서	여론/NNG+에서/JKB
요구한다고	요구/NNG+하/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
의혹만으로는	의혹/NNG+만/JX+으로/JKB+는/JX
사람을	사람/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
않는다는	않/VX+는다는/ETM
확고한	확고하/VA+ㄴ/ETM
원칙을	원칙/NNG+을/JKO
갖고	갖/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“우	“/SS+우/NNP
수석의	수석/NNG+의/JKG
비리가	비리/NNG+가/JKS
명확하게	명확하/VA+게/EC
드러나지	드러나/VV+지/EC
않는	않/VX+는/ETM
이상	이상/NNG
바꿀	바꾸/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.348.6.1
박 대통령은 이른바 ‘정윤회 문건’ 파동이 한창이던 지난해 1월 신년 기자회견에서 이른바 ‘문고리 3인방’ 퇴진 요구에 대해 “의혹만으로 내치거나 그만두게 하면 누가 옆에서 일하겠느냐”며 거부한 바 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이른바	이른바/MAG
‘정윤회	‘/SS+정윤회/NNP
문건’	문건/NNG+’/SS
파동이	파동/NNG+이/JKS
한창이던	한창/NNG+이/VCP+던/ETM
지난해	지난해/NNG
1월	1/SN+월/NNB
신년	신년/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
‘문고리	‘/SS+문고리/NNG
3인방’	3인방/NNG+’/SS
퇴진	퇴진/NNG
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
“의혹만으로	“/SS+의혹/NNG+만/JX+으로/JKB
내치거나	내치/VV+거나/EC
그만두게	그만두/VV+게/EC
하면	하/VX+면/EC
누가	누구/NP+가/JKS
옆에서	옆/NNG+에서/JKB
일하겠느냐”며	일/NNG+하/XSV+겠/EP+느냐/EF+”/SS+며/EC
거부한	거부/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.348.7.1
이에 대해 야당은 일제히 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
야당은	야당/NNG+은/JX
일제히	일제히/MAG
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.348.7.2
더불어민주당 박광온 수석대변인은 이날 브리핑에서 “무엇보다 각종 의혹 속에 국민과 언론과 야당이 지속적으로 요구해 온 우 수석의 해임에 대해 아무 언급이 없었던 점은 믿기 어렵다”고 지적했다.

더불어민주당	더불어민주당/NNP
박광온	박광온/NNP
수석대변인은	수석/NNG+대변인/NNG+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
“무엇보다	“/SS+무엇/NP+보다/JKB
각종	각종/NNG
의혹	의혹/NNG
속에	속/NNG+에/JKB
국민과	국민/NNG+과/JC
언론과	언론/NNG+과/JC
야당이	야당/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
요구해	요구/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
우	우/NNP
수석의	수석/NNG+의/JKG
해임에	해임/NNG+에/JKB
대해	대하/VV+아/EC
아무	아무/MMD
언급이	언급/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
점은	점/NNG+은/JX
믿기	믿/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.348.7.3
국민의당 손금주 수석대변인도 “국민이 그토록 열망하는 우 수석이나 박승춘 국가보훈처장의 해임이 배제된 점은 국민을 더욱 허탈하게 만든다”고 비판했다.

국민의당	국민의당/NNP
손금주	손금주/NNP
수석대변인도	수석/NNG+대변인/NNG+도/JX
“국민이	“/SS+국민/NNG+이/JKS
그토록	그토록/MAG
열망하는	열망/NNG+하/XSV+는/ETM
우	우/NNP
수석이나	수석/NNG+이나/JC
박승춘	박승춘/NNP
국가보훈처장의	국가/NNG+보훈처장/NNG+의/JKG
해임이	해임/NNG+이/JKS
배제된	배제/NNG+되/XSV+ㄴ/ETM
점은	점/NNG+은/JX
국민을	국민/NNG+을/JKO
더욱	더욱/MAG
허탈하게	허탈/NNG+하/XSA+게/EC
만든다”고	만들/VV+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.348.8.1
우 수석이 퇴진하지 않는다면 9월 정기국회에서 다시 한번 이슈로 떠오를 가능성이 높다.

우	우/NNP
수석이	수석/NNG+이/JKS
퇴진하지	퇴진/NNG+하/XSV+지/EC
않는다면	않/VX+는다면/EC
9월	9/SN+월/NNB
정기국회에서	정기/NNG+국회/NNG+에서/JKB
다시	다시/MAG
한번	한/MMN+번/NNB
이슈로	이슈/NNG+로/JKB
떠오를	떠오르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.348.8.2
야당은 청와대를 관할하는 국회 운영위원회에 우 수석의 출석을 강력하게 요구할 것으로 예상된다.

야당은	야당/NNG+은/JX
청와대를	청와대/NNP+를/JKO
관할하는	관할/NNG+하/XSV+는/ETM
국회	국회/NNG
운영위원회에	운영/NNG+위원회/NNG+에/JKB
우	우/NNP
수석의	수석/NNG+의/JKG
출석을	출석/NNG+을/JKO
강력하게	강력/NNG+하/XSA+게/EC
요구할	요구/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.348.8.3
대통령민정수석은 업무 관련 사안으로는 국회에 출석하지 않는 게 관례지만 개인 문제를 이유로 출석 요구를 할 경우에는 여당도 방어할 명분이 약하다.

대통령민정수석은	대통령/NNG+민정/NNG+수석/NNG+은/JX
업무	업무/NNG
관련	관련/NNG
사안으로는	사안/NNG+으로/JKB+는/JX
국회에	국회/NNG+에/JKB
출석하지	출석/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
관례지만	관례/NNG+이/VCP+지만/EC
개인	개인/NNG
문제를	문제/NNG+를/JKO
이유로	이유/NNG+로/JKB
출석	출석/NNG
요구를	요구/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우에는	경우/NNG+에/JKB+는/JX
여당도	여당/NNG+도/JX
방어할	방어/NNG+하/XSV+ㄹ/ETM
명분이	명분/NNG+이/JKS
약하다.	약하/VA+다/EF+./SF


# id : NWRW1800000049.348.9.1
다만 일각에서는 특별감찰관실에서 우 수석에 대한 감찰을 진행 중인 만큼 결과를 지켜봐야 한다는 시각도 있다.

다만	다만/MAG
일각에서는	일각/NNG+에서/JKB+는/JX
특별감찰관실에서	특별/NNG+감찰관실/NNG+에서/JKB
우	우/NNP
수석에	수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감찰을	감찰/NNG+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
만큼	만큼/NNB
결과를	결과/NNG+를/JKO
지켜봐야	지켜보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
시각도	시각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.348.9.2
감찰 기한을 연장하지 않는다면 우 수석에 대한 감찰 결과는 다음 주 초 나올 것으로 예상된다.

감찰	감찰/NNG
기한을	기한/NNG+을/JKO
연장하지	연장/NNG+하/XSV+지/EC
않는다면	않/VX+는다면/EC
우	우/NNP
수석에	수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결과는	결과/NNG+는/JX
다음	다음/NNG
주	주/NNG
초	초/NNB
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.348.9.3
한 여권 관계자는 “‘문제가 없다’는 결론이 나온다면 우 수석으로서는 명예가 회복되는 만큼 자진사퇴를 할 수도 있는 것 아니냐”고 내다봤다.

한	한/MMN
여권	여권/NNG
관계자는	관계자/NNG+는/JX
“‘문제가	“/SS+‘/SS+문제/NNG+가/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
결론이	결론/NNG+이/JKS
나온다면	나오/VV+ㄴ다면/EC
우	우/NNP
수석으로서는	수석/NNG+으로서/JKB+는/JX
명예가	명예/NNG+가/JKS
회복되는	회복/NNG+되/XSV+는/ETM
만큼	만큼/NNB
자진사퇴를	자진/NNG+사퇴/NNG+를/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


