# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.311
metadata : {}


# id : NWRW1800000036.311.1.1
‘45% 방어율’ 박미라 MVP

‘45%	‘/SS+45/SN+%/SW
44.9%의	44/SN+./SP+9/SN+%/SW+의/JKG
높은	높/VA+은/ETM
방어율로	방어/NNG+율/XSN+로/JKB
팀을	팀/NNG+을/JKO
정규리그	정규/NNG+리그/NNG
우승으로	우승/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.311.5.2
상대 슛 454개 가운데 절반 가까운 206개를 막아내며 8개 팀 골키퍼 가운데 가장 좋은 성적을 남겼다.

상대	상대/NNG
슛	슛/NNG
454개	454/SN+개/NNB
가운데	가운데/NNG
절반	절반/NNG
가까운	가깝/VA+ㄴ/ETM
206개를	206/SN+개/NNB+를/JKO
막아내며	막/VV+아/EC+내/VX+며/EC
8개	8/SN+개/NNB
팀	팀/NNG
골키퍼	골키퍼/NNG
가장	가장/MAG
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.311.5.3
여자부에서 골키퍼가 최우수선수에 선정된 것은 2009년 코리아리그 출범 이후 처음이다.

여자부에서	여자부/NNG+에서/JKB
골키퍼가	골키퍼/NNG+가/JKS
최우수선수에	최/XPN+우수/NNG+선수/NNG+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2009년	2009/SN+년/NNB
코리아리그	코리아/NNP+리그/NNG
출범	출범/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.311.6.1
박미라는 “전혀 생각도 못 했는데 큰 상을 받아 얼떨떨하다”며 “우리 팀에 부상 선수가 많아 수비 조직력이 약해졌기 때문에 더 집중력을 가지려고 노력한 것이 좋은 결과로 이어졌다”고 소감을 밝혔다.

박미라는	박미라/NNP+는/JX
“전혀	“/SS+전혀/MAG
생각도	생각/NNG+도/JX
못	못/MAG
했는데	하/VV+았/EP+는데/EC
큰	크/VA+ㄴ/ETM
상을	상/NNG+을/JKO
받아	받/VV+아/EC
얼떨떨하다”며	얼떨떨하/VA+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
팀에	팀/NNG+에/JKB
부상	부상/NNG
선수가	선수/NNG+가/JKS
많아	많/VA+아/EC
수비	수비/NNG
조직력이	조직력/NNG+이/JKS
약해졌기	약하/VA+아/EC+지/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
집중력을	집중력/NNG+을/JKO
가지려고	가지/VV+려고/EC
노력한	노력/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
좋은	좋/VA+은/ETM
결과로	결과/NNG+로/JKB
이어졌다”고	이어지/VV+었/EP+다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.311.7.1
대구 성서초등학교 4학년 때 핸드볼을 시작한 박미라는 “차분하고 내성적인 성격과 잘 맞아” 골키퍼를 택했다.

대구	대구/NNP
성서초등학교	성서초등학교/NNP
4학년	4/SN+학년/NNG
때	때/NNG
핸드볼을	핸드볼/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
박미라는	박미라/NNP+는/JX
“차분하고	“/SS+차분하/VA+고/EC
내성적인	내성/NNG+적/XSN+이/VCP+ㄴ/ETM
성격과	성격/NNG+과/JKB
잘	잘/MAG
맞아”	맞/VV+아/EC+”/SS
골키퍼를	골키퍼/NNG+를/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.311.7.2
골키퍼치곤 단신(173㎝)인 그는 고교(대구제일고) 졸업 때까지 실업팀의 부름을 받지 못해 하마터면 운동을 그만둘 뻔했다.

골키퍼치곤	골키퍼/NNG+치/VV+고/EC+ㄴ/JX
단신(173㎝)인	단신/NNG+(/SS+173/SN+㎝/SW+)/SS+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
고교(대구제일고)	고교/NNG+(/SS+대구제일고/NNP+)/SS
졸업	졸업/NNG
때까지	때/NNG+까지/JX
실업팀의	실업/NNG+팀/NNG+의/JKG
부름을	부름/NNG+을/JKO
받지	받/VV+지/EC
못해	못하/VX+아/EC
하마터면	하마터면/MAG
운동을	운동/NNG+을/JKO
그만둘	그만두/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000036.311.7.3
우여곡절 끝에 2006년 삼척시청에 입단하면서 숨은 실력이 드러났다.

우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
2006년	2006/SN+년/NNB
삼척시청에	삼척시청/NNP+에/JKB
입단하면서	입단/NNG+하/XSV+면서/EC
숨은	숨/VV+은/ETM
실력이	실력/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.311.7.4
코리아리그에서 2009년과 2010년 연속 골키퍼 방어율상을 받았고, 팀이 챔피언에 올랐던 2010년에는 챔프전 최우수선수의 영예도 안았다.

코리아리그에서	코리아/NNP+리그/NNG+에서/JKB
2009년과	2009/SN+년/NNB+과/JC
2010년	2010/SN+년/NNB
연속	연속/NNG
골키퍼	골키퍼/NNG
방어율상을	방어/NNG+율/XSN+상/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
팀이	팀/NNG+이/JKS
챔피언에	챔피언/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
챔프전	챔프전/NNG
최우수선수의	최/XPN+우수/NNG+선수/NNG+의/JKG
영예도	영예/NNG+도/JX
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.311.8.1
하지만 아직 태극마크와는 인연이 없다.

하지만	하지만/MAJ
아직	아직/MAG
태극마크와는	태극/NNG+마크/NNG+와/JKB+는/JX
인연이	인연/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.311.8.2
이번 대회에서 류은희, 조효비(이상 인천시체육회), 권한나(서울시청) 등 런던올림픽 국가대표들의 총알 같은 슛을 여러 차례 막아내며 설움을 달랬다.

이번	이번/NNG
대회에서	대회/NNG+에서/JKB
류은희,	류은희/NNP+,/SP
조효비(이상	조효비/NNP+(/SS+이상/NNG
인천시체육회),	인천시체육회/NNP+)/SS+,/SP
권한나(서울시청)	권한나/NNP+(/SS+서울시청/NNP+)/SS
등	등/NNB
런던올림픽	런던/NNP+올림픽/NNG
국가대표들의	국가/NNG+대표/NNG+들/XSN+의/JKG
총알	총알/NNG
같은	같/VA+은/ETM
슛을	슛/NNG+을/JKO
여러	여러/MMN
차례	차례/NNG
막아내며	막/VV+아/EC+내/VX+며/EC
설움을	설움/NNG+을/JKO
달랬다.	달래/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.311.8.3
그는 “언젠간 태극마크를 달지 않겠느냐”며 “지금은 챔피언전에서 팀이 반드시 우승하도록 노력하겠다”고 다짐했다.

그는	그/NP+는/JX
“언젠간	“/SS+언젠가/MAG+ㄴ/JX
태극마크를	태극/NNG+마크/NNG+를/JKO
달지	달/VV+지/EC
않겠느냐”며	않/VX+겠/EP+느냐/EF+”/SS+며/EC
“지금은	“/SS+지금/NNG+은/JX
챔피언전에서	챔피언전/NNG+에서/JKB
팀이	팀/NNG+이/JKS
반드시	반드시/MAG
우승하도록	우승/NNG+하/XSV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


