# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.419
metadata : {}


# id : NWRW1800000021.419.1.1
■“盧 전대통령 진술에 큰 기대 말라”… 전두환-노태우 수사팀 조언

■“盧	■/SW+“/SS+盧/SH
문제이지,	문제/NNG+이/VCP+지/EC+,/SP
진술	진술/NNG
자체에	자체/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸어서는	걸/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.419.7.1
○ “전두환 전 대통령 호송에 진땀”

○	○/SW
“전두환	“/SS+전두환/NNP
전	전/MMD
대통령	대통령/NNG
호송에	호송/NNG+에/JKB
진땀”	진땀/NNG+”/SS


# id : NWRW1800000021.419.8.1
1995년 12·12 및 5·18사건 수사를 총괄 지휘했던 김기수 전 검찰총장은 “경남 합천에서 전 전 대통령을 압송해 오는 데 문제가 많았다”고 당시 상황을 설명했다.

1995년	1995/SN+년/NNB
12·12	12/SN+·/SP+12/SN
및	및/MAG
5·18사건	5/SN+·/SP+18/SN+사건/NNG
수사를	수사/NNG+를/JKO
총괄	총괄/NNG
지휘했던	지휘/NNG+하/XSV+았/EP+던/ETM
김기수	김기수/NNP
전	전/MMD
검찰총장은	검찰/NNG+총장/NNG+은/JX
“경남	“/SS+경남/NNP
합천에서	합천/NNP+에서/JKB
대통령을	대통령/NNG+을/JKO
압송해	압송/NNG+하/XSV+아/EC
오는	오/VX+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
당시	당시/NNG
상황을	상황/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.8.2
김 전 총장은 “전직 대통령 경호팀이 총기를 갖고 있어서 혹시라도 문제가 생길까 봐 서울에서 경찰 병력이 직접 급파됐다”고 말했다.

김	김/NNP
전	전/MMD
총장은	총장/NNG+은/JX
“전직	“/SS+전직/NNG
대통령	대통령/NNG
경호팀이	경호/NNG+팀/NNG+이/JKS
총기를	총기/NNG+를/JKO
갖고	갖/VV+고/EC
있어서	있/VX+어서/EC
혹시라도	혹시/MAG+이/VCP+라도/EC
문제가	문제/NNG+가/JKS
생길까	생기/VV+ㄹ까/EF
봐	보/VX+아/EC
서울에서	서울/NNP+에서/JKB
경찰	경찰/NNG
병력이	병력/NNG+이/JKS
직접	직접/MAG
급파됐다”고	급파/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.9.1
김 전 총장은 “노 전 대통령이 승용차 편으로 서울에 오겠다고 하지만, 오후에 출석하면 밤샘조사가 불가피하고 이동하는 도중에 취재 경쟁 때문에 경호상의 문제가 발생할 수 있다”며 “가능하다면 노 전 대통령이 헬기로 상경하는 방안을 다시 검토해야 한다”고 제안했다.

김	김/NNP
전	전/MMD
총장은	총장/NNG+은/JX
“노	“/SS+노/NNP
대통령이	대통령/NNG+이/JKS
승용차	승용차/NNG
편으로	편/NNB+으로/JKB
서울에	서울/NNP+에/JKB
오겠다고	오/VV+겠/EP+다고/EC
하지만,	하/VV+지만/EC+,/SP
오후에	오후/NNG+에/JKB
출석하면	출석/NNG+하/XSV+면/EC
밤샘조사가	밤샘/NNG+조사/NNG+가/JKS
불가피하고	불가피하/VA+고/EC
이동하는	이동/NNG+하/XSV+는/ETM
도중에	도중/NNG+에/JKB
취재	취재/NNG
경쟁	경쟁/NNG
때문에	때문/NNB+에/JKB
경호상의	경호/NNG+상/XSN+의/JKG
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“가능하다면	“/SS+가능/NNG+하/XSA+다면/EC
노	노/NNP
헬기로	헬기/NNG+로/JKB
상경하는	상경/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
다시	다시/MAG
검토해야	검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.9.2
전 전 대통령의 경우 호송 과정에서 승용차 안에서 용변을 볼 수 있도록 요강까지 미리 준비했지만 실제 사용하지는 않았고, 4시간 만에 경기 안양교도소에 도착하자마자 전 전 대통령과 수사관들은 제일 먼저 화장실로 달려갔다고 한다.

전	전/MMD
대통령의	대통령/NNG+의/JKG
경우	경우/NNG
호송	호송/NNG
과정에서	과정/NNG+에서/JKB
승용차	승용차/NNG
안에서	안/NNG+에서/JKB
용변을	용변/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
요강까지	요강/NNG+까지/JX
미리	미리/MAG
준비했지만	준비/NNG+하/XSV+았/EP+지만/EC
실제	실제/MAG
사용하지는	사용/NNG+하/XSV+지/EC+는/JX
않았고,	않/VX+았/EP+고/EC+,/SP
4시간	4/SN+시간/NNB
만에	만/NNB+에/JKB
경기	경기/NNP
안양교도소에	안양교도소/NNP+에/JKB
도착하자마자	도착/NNG+하/XSV+자마자/EC
대통령과	대통령/NNG+과/JC
수사관들은	수사관/NNG+들/XSN+은/JX
제일	제일/MAG
먼저	먼저/MAG
화장실로	화장실/NNG+로/JKB
달려갔다고	달려가/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.419.10.1
■노건평 사돈 “정상문이 힘써 금융사 취직”… 盧친인척 광범위한 인사청탁 의혹

■노건평	■/SW+노건평/NNP
사돈	사돈/NNG
“정상문이	“/SS+정상문/NNP+이/JKS
힘써	힘쓰/VV+어/EC
금융사	금융사/NNG
취직”…	취직/NNG+”/SS+…/SE
盧친인척	盧/SH+친인척/NNG
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
인사청탁	인사/NNG+청탁/NNG
의혹	의혹/NNG


# id : NWRW1800000021.419.11.1
정상문 전 대통령총무비서관이 노무현 전 대통령의 형 노건평 씨의 사돈을 금융회사 고위직에 취업시켜 줬다는 법정 증언이 나왔다.

정상문	정상문/NNP
전	전/MMD
대통령총무비서관이	대통령/NNG+총무/NNG+비서관/NNG+이/JKS
노무현	노무현/NNP
대통령의	대통령/NNG+의/JKG
형	형/NNG
노건평	노건평/NNP
씨의	씨/NNB+의/JKG
사돈을	사돈/NNG+을/JKO
금융회사	금융/NNG+회사/NNG
고위직에	고위직/NNG+에/JKB
취업시켜	취업/NNG+시키/XSV+어/EC
줬다는	주/VX+었/EP+다는/ETM
법정	법정/NNG
증언이	증언/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.11.2
며칠 전에는 노 씨가 박연차 태광실업 회장의 사돈인 김정복 전 국가보훈처장을 국세청장으로 인선해 달라고 노 전 대통령에게 부탁한 사실이 공개되는 등 노무현 정부 시절 ‘노무현 패밀리’ 내에서 각종 인사 청탁이 광범위하게 이뤄진 게 아니냐는 의혹이 일고 있다.

며칠	며칠/NNG
전에는	전/NNG+에/JKB+는/JX
노	노/NNP
씨가	씨/NNB+가/JKS
박연차	박연차/NNP
태광실업	태광실업/NNP
회장의	회장/NNG+의/JKG
사돈인	사돈/NNG+이/VCP+ㄴ/ETM
김정복	김정복/NNP
전	전/MMD
국가보훈처장을	국가/NNG+보훈처장/NNG+을/JKO
국세청장으로	국세청장/NNG+으로/JKB
인선해	인선/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
대통령에게	대통령/NNG+에게/JKB
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
공개되는	공개/NNG+되/XSV+는/ETM
등	등/NNB
노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
‘노무현	‘/SS+노무현/NNP
패밀리’	패밀리/NNG+’/SS
내에서	내/NNB+에서/JKB
각종	각종/NNG
인사	인사/NNG
청탁이	청탁/NNG+이/JKS
광범위하게	광범위/NNG+하/XSA+게/EC
이뤄진	이뤄지/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
의혹이	의혹/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.419.12.1
27일 서울중앙지법 형사합의22부(부장판사 이규진) 심리로 열린 노 씨의 공판에서 검찰은 증인으로 나온 노 씨의 사돈 연모 씨에게 2005∼2006년 Y캐피탈 감사로 일하게 된 경위를 물었다.

27일	27/SN+일/NNB
서울중앙지법	서울중앙지법/NNP
형사합의22부(부장판사	형사/NNG+합의/NNG+22부/NNG+(/SS+부장/NNG+판사/NNG
이규진)	이규진/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
노	노/NNP
씨의	씨/NNB+의/JKG
공판에서	공판/NNG+에서/JKB
검찰은	검찰/NNG+은/JX
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
사돈	사돈/NNG
연모	연/NNP+모/NP
씨에게	씨/NNB+에게/JKB
2005∼2006년	2005/SN+∼/SO+2006/SN+년/NNB
Y캐피탈	Y/SL+캐피탈/NNG
감사로	감사/NNG+로/JKB
일하게	일/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
경위를	경위/NNG+를/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.419.12.2
연 씨는 “Y캐피탈 쪽에서 먼저 연락이 와서 일하게 됐는데 정 전 비서관이 힘써 준 것을 나중에 알게 됐다”고 답했다.

연	연/NNP
씨는	씨/NNB+는/JX
“Y캐피탈	“/SS+Y/SL+캐피탈/NNG
쪽에서	쪽/NNB+에서/JKB
먼저	먼저/MAG
연락이	연락/NNG+이/JKS
와서	오/VV+아서/EC
일하게	일/NNG+하/XSV+게/EC
됐는데	되/VV+었/EP+는데/EC
정	정/NNP
전	전/MMD
비서관이	비서관/NNG+이/JKS
힘써	힘쓰/VV+어/EC
준	주/VX+ㄴ/ETM
것을	것/NNB+을/JKO
나중에	나중/NNG+에/JKB
알게	알/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.12.3
연 씨는 박 회장에게서 500만 달러를 송금받았던 노 전 대통령의 조카사위 연철호 씨의 아버지다.

연	연/NNP
씨는	씨/NNB+는/JX
박	박/NNP
회장에게서	회장/NNG+에게서/JKB
500만	500/SN+만/NR
달러를	달러/NNB+를/JKO
송금받았던	송금/NNG+받/XSV+았/EP+던/ETM
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
조카사위	조카사위/NNG
연철호	연철호/NNP
씨의	씨/NNB+의/JKG
아버지다.	아버지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.419.13.1
노 씨의 사돈 연 씨는 2005∼2006년 노 씨 측에서 농협의 세종증권 인수 계획을 미리 듣고 세종증권 주식을 대량으로 매집했다는 의혹을 받고 있다.

노	노/NNP
씨의	씨/NNB+의/JKG
사돈	사돈/NNG
연	연/NNP
씨는	씨/NNB+는/JX
2005∼2006년	2005/SN+∼/SO+2006/SN+년/NNB
씨	씨/NNB
측에서	측/NNB+에서/JKB
농협의	농협/NNP+의/JKG
세종증권	세종증권/NNP
인수	인수/NNG
계획을	계획/NNG+을/JKO
미리	미리/MAG
듣고	듣/VV+고/EC
주식을	주식/NNG+을/JKO
대량으로	대량/NNG+으로/JKB
매집했다는	매집/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.419.13.2
이에 대해 그는 “술좌석에서 친구에게 세종증권의 인수합병(M&A)설을 듣고 투자한 것일 뿐”이라고 답했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
“술좌석에서	“/SS+술좌석/NNG+에서/JKB
친구에게	친구/NNG+에게/JKB
세종증권의	세종증권/NNP+의/JKG
인수합병(M&A)설을	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+설/NNG+을/JKO
듣고	듣/VV+고/EC
투자한	투자/NNG+하/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.13.3
아들과 며느리에게 세종증권 주식을 사라고 추천했지만 “부자간에 금전 거래 얘기는 하지 않아 아들 부부가 무슨 돈으로 주식을 샀는지는 모른다”고 답했다.

아들과	아들/NNG+과/JC
며느리에게	며느리/NNG+에게/JKB
세종증권	세종증권/NNP
주식을	주식/NNG+을/JKO
사라고	사/VV+라고/EC
추천했지만	추천/NNG+하/XSV+았/EP+지만/EC
“부자간에	“/SS+부자간/NNG+에/JKB
금전	금전/NNG
거래	거래/NNG
얘기는	얘기/NNG+는/JX
하지	하/VV+지/EC
않아	않/VX+아/EC
아들	아들/NNG
부부가	부부/NNG+가/JKS
무슨	무슨/MMD
돈으로	돈/NNG+으로/JKB
샀는지는	사/VV+았/EP+는지/EF+는/JX
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.14.1
검찰은 연 씨가 당시 세종증권 주식 약 21만 주를 매수했다가 팔아 5억 원가량의 차익을 남겼고 며느리 노모 씨도 9억여 원어치를 매수했다가 되팔아 1개월 만에 4200여만 원의 이득을 올렸다고 밝혔다.

검찰은	검찰/NNG+은/JX
연	연/NNP
씨가	씨/NNB+가/JKS
당시	당시/NNG
세종증권	세종증권/NNP
주식	주식/NNG
약	약/MMA
21만	21/SN+만/NR
주를	주/NNG+를/JKO
매수했다가	매수/NNG+하/XSV+았/EP+다가/EC
팔아	팔/VV+아/EC
5억	5/SN+억/NR
원가량의	원/NNB+가량/XSN+의/JKG
차익을	차익/NNG+을/JKO
남겼고	남기/VV+었/EP+고/EC
며느리	며느리/NNG
노모	노/NNP+모/NP
씨도	씨/NNB+도/JX
9억여	9/SN+억/NR+여/XSN
원어치를	원/NNB+어치/XSN+를/JKO
되팔아	되팔/VV+아/EC
1개월	1/SN+개월/NNB
만에	만/NNB+에/JKB
4200여만	4200/SN+여/XSN+만/NR
원의	원/NNB+의/JKG
이득을	이득/NNG+을/JKO
올렸다고	올리/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.419.15.1
■盧측 “차량이동 경로 미정… 경호팀과 협의중”

■盧측	■/SW+盧/SH+측/NNB
“차량이동	“/SS+차량/NNG+이동/NNG
경로	경로/NNG
미정…	미정/NNG+…/SE
경호팀과	경호/NNG+팀/NNG+과/JKB
협의중”	협의/NNG+중/NNB+”/SS


# id : NWRW1800000021.419.16.1
노무현 전 대통령의 검찰 소환을 사흘 앞둔 27일 경남 김해시 진영읍 봉하마을은 긴장감 속에서도 분주한 분위기였다.

노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
검찰	검찰/NNG
소환을	소환/NNG+을/JKO
사흘	사흘/NNG
앞둔	앞두/VV+ㄴ/ETM
27일	27/SN+일/NNB
경남	경남/NNP
김해시	김해시/NNP
진영읍	진영읍/NNP
봉하마을은	봉하마을/NNP+은/JX
긴장감	긴장감/NNG
속에서도	속/NNG+에서/JKB+도/JX
분주한	분주/NNG+하/XSA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.419.16.2
경남지방경찰청과 김해서부경찰서는 이날 교통신호등 협조와 주변 경비 등 소환 당일 교통대책을 협의했다.

경남지방경찰청과	경남지방경찰청/NNP+과/JC
김해서부경찰서는	김해서부경찰서/NNP+는/JX
이날	이날/NNG
교통신호등	교통/NNG+신호등/NNG
협조와	협조/NNG+와/JC
주변	주변/NNG
경비	경비/NNG
등	등/NNB
소환	소환/NNG
당일	당일/NNG
교통대책을	교통/NNG+대책/NNG+을/JKO
협의했다.	협의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.16.3
사저 인근 경호실과도 노 전 대통령의 경호 문제를 논의했다.

사저	사저/NNG
인근	인근/NNG
경호실과도	경호실/NNG+과/JKB+도/JX
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
경호	경호/NNG
문제를	문제/NNG+를/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


