# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.102
metadata : {}


# id : NWRW1800000046.102.1.1
황정음 "못난 얼굴 보고도 채널 안 돌려 감사" 최시원 "원래 망가지는 성격… 배역 덕 봤죠"

황정음	황정음/NNP
최시원으로	최시원/NNP+으로/JKB
강한	강하/VA+ㄴ/ETM
인상을	인상/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.102.8.1
최시원은 결국 황정음에게 "단무지를 볼 때마다 날 기억해 달라"라는 귓속말을 남기고 떠난다.

최시원은	최시원/NNP+은/JX
결국	결국/NNG
황정음에게	황정음/NNP+에게/JKB
"단무지를	"/SS+단무지/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
날	나/NP+ㄹ/JKO
기억해	기억/NNG+하/XSV+아/EC
달라"라는	달/VX+라/EF+"/SS+이/VCP+라는/ETM
귓속말을	귓속말/NNG+을/JKO
남기고	남기/VV+고/EC
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.102.8.2
최시원은 "극 중에서 황정음에게 나는 '좋은 사람'일 뿐"이라며 "내가 들어갈 자리가 없음을 알고 단념하는 모습을 담백하게 표현하고 싶었다"고 했다.

최시원은	최시원/NNP+은/JX
"극	"/SS+극/NNG
중에서	중/NNB+에서/JKB
황정음에게	황정음/NNP+에게/JKB
나는	나/NP+는/JX
'좋은	'/SS+좋/VA+은/ETM
사람'일	사람/NNG+'/SS+이/VCP+ㄹ/ETM
뿐"이라며	뿐/NNB+"/SS+이/VCP+라며/EC
"내가	"/SS+내/NP+가/JKS
들어갈	들어가/VV+ㄹ/ETM
자리가	자리/NNG+가/JKS
없음을	없/VA+음/ETN+을/JKO
알고	알/VV+고/EC
단념하는	단념/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
담백하게	담백하/VA+게/EC
표현하고	표현/NNG+하/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.102.9.1
최시원은 19일 논산훈련소로 입대한다.

최시원은	최시원/NNP+은/JX
19일	19/SN+일/NNB
논산훈련소로	논산훈련소/NNP+로/JKB
입대한다.	입대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.102.9.2
"예전부터 30대가 되면 인생 2막이 시작된다고 생각했어요.

"예전부터	"/SS+예전/NNG+부터/JX
30대가	30/SN+대/NNB+가/JKC
되면	되/VV+면/EC
인생	인생/NNG
2막이	2/SN+막/NNB+이/JKS
시작된다고	시작/NNG+되/XSV+ㄴ다고/EC
생각했어요.	생각/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000046.102.9.3
차기작은 논산입니다.

차기작은	차기작/NNG+은/JX
논산입니다.	논산/NNP+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.102.9.4
국방의 의무를 다하면서 2막을 준비해 멋진 모습으로 돌아오겠습니다."

국방의	국방/NNG+의/JKG
의무를	의무/NNG+를/JKO
다하면서	다/MAG+하/XSV+면서/EC
2막을	2/SN+막/NNB+을/JKO
준비해	준비/NNG+하/XSV+아/EC
멋진	멋지/VA+ㄴ/ETM
모습으로	모습/NNG+으로/JKB
돌아오겠습니다."	돌아오/VV+겠/EP+습니다/EF+./SF+"/SS


