# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.381
metadata : {}


# id : NWRW1800000045.381.1.1
‘8·25합의 이행’ 이산상봉 실무접촉 진통

‘8·25합의	‘/SS+8/SN+·/SP+25/SN+합의/NNG
# id : NWRW1800000045.381.4.2
이에 따라 이날 오전 10시 50분부터 시작된 실무 접촉은 오후 10시 반 현재 11시간 반가량 이어졌지만 결론을 내지 못하고 이어졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
50분부터	50/SN+분/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
실무	실무/NNG
접촉은	접촉/NNG+은/JX
오후	오후/NNG
반	반/NNG
현재	현재/MAG
11시간	11/SN+시간/NNB
반가량	반/NNG+가량/XSN
이어졌지만	이어지/VV+었/EP+지만/EC
결론을	결론/NNG+을/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.381.4.3
당초 8·25 고위급 접촉 합의 직후여서 순탄하게 진행될 것이라던 기대와는 다른 모습이었다.

당초	당초/NNG
8·25	8/SN+·/SP+25/SN
고위급	고위급/NNG
접촉	접촉/NNG
합의	합의/NNG
직후여서	직후/NNG+이/VCP+어서/EC
순탄하게	순탄하/VA+게/EC
진행될	진행/NNG+되/XSV+ㄹ/ETM
것이라던	것/NNB+이/VCP+라던/ETM
기대와는	기대/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.381.5.1
북한은 특히 이날 적십자 실무접촉이 진행되는 동안 장외 공세까지 펼치며 협상단을 압박했다.

북한은	북한/NNP+은/JX
특히	특히/MAG
이날	이날/NNG
적십자	적십자/NNP
실무접촉이	실무/NNG+접촉/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
동안	동안/NNG
장외	장외/NNG
공세까지	공세/NNG+까지/JX
펼치며	펼치/VV+며/EC
협상단을	협상단/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.381.5.2
북한 외무성은 이날 오후 담화에서 “앞으로 조선반도(한반도)에서 또다시 원인 모를 사건이 터지거나 그로 인해 무장 충돌이 일어나는 경우 우리는 미국의 책임을 엄중히 따지게 될 것”이라고 위협하며 주한미군 철수를 요구했다.

북한	북한/NNP
외무성은	외무성/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
담화에서	담화/NNG+에서/JKB
“앞으로	“/SS+앞/NNG+으로/JKB
조선반도(한반도)에서	조선반도/NNP+(/SS+한반도/NNP+)/SS+에서/JKB
또다시	또다시/MAG
원인	원인/NNG
모를	모르/VV+ㄹ/ETM
사건이	사건/NNG+이/JKS
터지거나	터지/VV+거나/EC
그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
무장	무장/NNG
충돌이	충돌/NNG+이/JKS
일어나는	일어나/VV+는/ETM
경우	경우/NNG
우리는	우리/NP+는/JX
미국의	미국/NNP+의/JKG
책임을	책임/NNG+을/JKO
엄중히	엄중히/MAG
따지게	따지/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
위협하며	위협/NNG+하/XSV+며/EC
주한미군	주한/NNG+미군/NNG
철수를	철수/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


