# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.175
metadata : {}


# id : NWRW1800000046.175.1.1
朴의원, 명품시계 2점·안마의자 1점… 아들·부인, 시계 9점·명품가방 2점

朴의원,	朴/SH+의원/NNG+,/SP
측근	측근/NNG
정모(50)씨에	정/NNP+모/NP+(/SS+50/SN+)/SS+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
공판에서	공판/NNG+에서/JKB
그동안	그동안/NNG
알려지지	알려지/VV+지/EC
않았던	않/VX+았/EP+던/ETM
금품수수	금품/NNG+수수/NNG
내역을	내역/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.5.1
검찰에 따르면 박 의원은 분양 대행업체 I사 대표인 김모(44·구속)씨로부터 세계 최고가 시계 상표 중 하나인 해리 윈스턴(Harry Winston)사(社)가 제작한 시가 3120만원 상당의 시계 등 명품 시계 2점과 시가 1000만원 상당의 안마 의자를 받았다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
박	박/NNP
의원은	의원/NNG+은/JX
분양	분양/NNG
대행업체	대행업체/NNG
I사	I/SL+사/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
김모(44·구속)씨로부터	김/NNP+모/NP+(/SS+44/SN+·/SP+구속/NNG+)/SS+씨/NNB+로부터/JKB
세계	세계/NNG
최고가	최고/NNG+가/XSN
시계	시계/NNG
상표	상표/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
해리	해리/NNP
윈스턴(Harry	윈스턴/NNP+(/SS+Harry/SL
Winston)사(社)가	Winston/SL+)/SS+사/NNG+(/SS+社/SH+)/SS+가/JKS
제작한	제작/NNG+하/XSV+ㄴ/ETM
시가	시가/NNG
3120만원	3120/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
등	등/NNB
명품	명품/NNG
2점과	2/SN+점/NNB+과/JC
1000만원	1000/SN+만/NR+원/NNB
안마	안마/NNG
의자를	의자/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.5.2
아들과 부인 등 박 의원의 가족은 김씨로부터 또 다른 최고가 시계 상표인 위블로(Hublot)사(社)의 시가 3191만원짜리 시계 등 명품 시계 9점과 500만원 상당의 루이뷔통 가방 등 명품 가방 2점을 받은 것으로 조사됐다.

아들과	아들/NNG+과/JC
부인	부인/NNG
등	등/NNB
박	박/NNP
의원의	의원/NNG+의/JKG
가족은	가족/NNG+은/JX
김씨로부터	김/NNP+씨/NNB+로부터/JKB
또	또/MAG
다른	다른/MMD
최고가	최고/NNG+가/XSN
시계	시계/NNG
상표인	상표/NNG+이/VCP+ㄴ/ETM
위블로(Hublot)사(社)의	위블로/NNP+(/SS+Hublot/SL+)/SS+사/NNG+(/SS+社/SH+)/SS+의/JKG
시가	시가/NNG
3191만원짜리	3191/SN+만/NR+원/NNB+짜리/XSN
명품	명품/NNG
9점과	9/SN+점/NNB+과/JC
500만원	500/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
루이뷔통	루이뷔통/NNP
가방	가방/NNG
2점을	2/SN+점/NNB+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.175.6.1
박 의원은 수사가 시작되자 시계 11점 가운데 7개를 정씨를 통해 김씨에게 돌려줬다.

박	박/NNP
의원은	의원/NNG+은/JX
수사가	수사/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
시계	시계/NNG
11점	11/SN+점/NNB
가운데	가운데/NNG
7개를	7/SN+개/NNB+를/JKO
정씨를	정/NNP+씨/NNB+를/JKO
통해	통하/VV+아/EC
김씨에게	김/NNP+씨/NNB+에게/JKB
돌려줬다.	돌려주/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.175.6.2
검찰은 박 의원이 김씨로부터 현금 2억7000만원과 시계 2점, 안마 의자 등 총 3억5800만원의 불법 정치자금을 수수한 혐의 등으로 기소했다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원이	의원/NNG+이/JKS
김씨로부터	김/NNP+씨/NNB+로부터/JKB
현금	현금/NNG
2억7000만원과	2/SN+억/NR+7000/SN+만/NR+원/NNB+과/JC
시계	시계/NNG
2점,	2/SN+점/NNB+,/SP
안마	안마/NNG
의자	의자/NNG
등	등/NNB
총	총/MMA
3억5800만원의	3/SN+억/NR+5800/SN+만/NR+원/NNB+의/JKG
불법	불법/NNG
정치자금을	정치/NNG+자금/NNG+을/JKO
수수한	수수/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.6.3
검찰 관계자는 "가족이 받은 금품은 박 의원 혐의에 포함하지 않았다"고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"가족이	"/SS+가족/NNG+이/JKS
받은	받/VV+은/ETM
금품은	금품/NNG+은/JX
박	박/NNP
의원	의원/NNG
혐의에	혐의/NNG+에/JKB
포함하지	포함/NNG+하/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.7.1
박 의원의 측근인 정씨는 이날 공판에서 박 의원이 금품을 받은 사실과 박 의원이 받은 금품을 자신을 통해 김씨에게 돌려주거나 숨기도록 지시한 사실 등 자신에게 적용된 혐의를 모두 인정했다.

박	박/NNP
의원의	의원/NNG+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
정씨는	정/NNP+씨/NNB+는/JX
이날	이날/NNG
공판에서	공판/NNG+에서/JKB
의원이	의원/NNG+이/JKS
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
사실과	사실/NNG+과/JC
자신을	자신/NNG+을/JKO
통해	통하/VV+아/EC
김씨에게	김/NNP+씨/NNB+에게/JKB
돌려주거나	돌려주/VV+거나/EC
숨기도록	숨기/VV+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
사실	사실/NNG
등	등/NNB
자신에게	자신/NNG+에게/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
모두	모두/MAG
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.7.2
검찰은 "정씨가 증거를 없애기 위해 시계에 묻은 박 의원과 가족의 지문을 지우기까지 했다"고 말했다.

검찰은	검찰/NNG+은/JX
"정씨가	"/SS+정/NNP+씨/NNB+가/JKS
증거를	증거/NNG+를/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
시계에	시계/NNG+에/JKB
묻은	묻/VV+은/ETM
박	박/NNP
의원과	의원/NNG+과/JC
가족의	가족/NNG+의/JKG
지문을	지문/NNG+을/JKO
지우기까지	지우/VV+기/ETN+까지/JX
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.8.1
한편 박 의원은 이날 내년 총선 불출마와 새정치연합 탈당을 선언했다.

한편	한편/MAG
박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
내년	내년/NNG
총선	총선/NNG
불출마와	불/XPN+출마/NNG+와/JC
새정치연합	새정치연합/NNP
탈당을	탈당/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.175.8.2
박 의원은 탈당 선언문에서 "어느 때보다 당이 어려운 상황에서 3선 중진의원이 당에 오히려 누가 되고 있다. 정치자금과 과도한 축의금, 시계 선물 등의 수수 사실을 모두 인정한다"며 "30년 정치 여정을 충분한 시간을 갖고 마무리하도록 마지막 기회를 갖고 싶다"고 밝혔다.

박	박/NNP
의원은	의원/NNG+은/JX
탈당	탈당/NNG
선언문에서	선언문/NNG+에서/JKB
"어느	"/SS+어느/MMD
때보다	때/NNG+보다/JKB
당이	당/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
3선	3/SN+선/NNB
중진의원이	중진/NNG+의원/NNG+이/JKS
당에	당/NNG+에/JKB
오히려	오히려/MAG
누가	누/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF
정치자금과	정치/NNG+자금/NNG+과/JC
과도한	과도/NNG+하/XSA+ㄴ/ETM
축의금,	축의금/NNG+,/SP
시계	시계/NNG
선물	선물/NNG
등의	등/NNB+의/JKG
수수	수수/NNG
사실을	사실/NNG+을/JKO
모두	모두/MAG
인정한다"며	인정/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"30년	"/SS+30/SN+년/NNB
정치	정치/NNG
여정을	여정/NNG+을/JKO
충분한	충분하/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
갖고	갖/VV+고/EC
마무리하도록	마무리/NNG+하/XSV+도록/EC
마지막	마지막/NNG
기회를	기회/NNG+를/JKO
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


