# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.102
metadata : {}


# id : NWRW1800000045.102.1.1
[스마트 컨슈머]건강한 전립선 시원한 소변, 자신감이 살아난다…보령 쏘팔메토

[스마트	[/SS+스마트/NNG
강인한	강인하/VA+ㄴ/ETM
생명력을	생명력/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.102.3.1
남성의 90% 이상이 나이가 들면 전립샘이 커지는 현상이 발생한다.

남성의	남성/NNG+의/JKG
90%	90/SN+%/SW
이상이	이상/NNG+이/JKS
나이가	나이/NNG+가/JKS
들면	들/VV+면/EC
전립샘이	전립샘/NNG+이/JKS
커지는	커지/VV+는/ETM
현상이	현상/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.102.3.2
게다가 서구화된 식생활과 복잡해지는 사회 속에서 음주와 흡연이 증가함에 따라 한국 남성의 전립샘 건강이 위협받고 있다.

게다가	게다가/MAG
서구화된	서구/NNG+화/XSN+되/XSV+ㄴ/ETM
식생활과	식생활/NNG+과/JC
복잡해지는	복잡하/VA+아/EC+지/VX+는/ETM
사회	사회/NNG
속에서	속/NNG+에서/JKB
음주와	음주/NNG+와/JC
흡연이	흡연/NNG+이/JKS
증가함에	증가/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
한국	한국/NNP
남성의	남성/NNG+의/JKG
전립샘	전립샘/NNG
건강이	건강/NNG+이/JKS
위협받고	위협/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.102.3.3
전립샘이 커지면 방광에서 소변이 나가는 입구가 좁아지게 되고 요도를 압박해 배뇨장애와 성기능장애가 발생하게 된다.

전립샘이	전립샘/NNG+이/JKS
커지면	커지/VV+면/EC
방광에서	방광/NNG+에서/JKB
소변이	소변/NNG+이/JKS
나가는	나가/VV+는/ETM
입구가	입구/NNG+가/JKS
좁아지게	좁아지/VV+게/EC
되고	되/VV+고/EC
요도를	요도/NNG+를/JKO
압박해	압박/NNG+하/XSV+아/EC
배뇨장애와	배뇨/NNG+장애/NNG+와/JC
성기능장애가	성/NNG+기능/NNG+장애/NNG+가/JKS
발생하게	발생/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.102.4.1
더욱 강력해진 보령-복합쏘팔메토골드칸은 전립샘 건강에 효능이 있는 쏘팔메토 외 지구력 증진에 도움을 주는 옥타코사놀, 정상적인 면역과 세포분열에 필요한 아연, 에너지 생성에 필요한 비타민B2, 유해산소로부터 세포를 보호하는데 필요한 비타민E와 셀레늄 등이 복합 함유된 기능성 원료와 L-아르기닌, 호박씨유, 포도씨유, 타우린, 토마토추출물, 대두레시틴 등의 부원료를 함유하고 있다.

더욱	더욱/MAG
강력해진	강력/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
보령-복합쏘팔메토골드칸은	보령/NNP+-/SO+복합쏘팔메토골드칸/NNP+은/JX
전립샘	전립샘/NNG
건강에	건강/NNG+에/JKB
효능이	효능/NNG+이/JKS
있는	있/VA+는/ETM
쏘팔메토	쏘팔메토/NNP
외	외/NNB
지구력	지구력/NNG
증진에	증진/NNG+에/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
옥타코사놀,	옥타코사놀/NNG+,/SP
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
면역과	면역/NNG+과/JC
세포분열에	세포/NNG+분열/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
아연,	아연/NNG+,/SP
에너지	에너지/NNG
생성에	생성/NNG+에/JKB
비타민B2,	비타민/NNG+B/SL+2/SN+,/SP
유해산소로부터	유해/NNG+산소/NNG+로부터/JKB
세포를	세포/NNG+를/JKO
보호하는데	보호/NNG+하/XSV+는데/EC
비타민E와	비타민/NNG+E/SL+와/JC
셀레늄	셀레늄/NNG
등이	등/NNB+이/JKS
복합	복합/NNG
함유된	함유/NNG+되/XSV+ㄴ/ETM
기능성	기능/NNG+성/XSN
원료와	원료/NNG+와/JC
L-아르기닌,	L/SL+-/SO+아르기닌/NNG+,/SP
호박씨유,	호박씨유/NNG+,/SP
포도씨유,	포도씨유/NNG+,/SP
타우린,	타우린/NNG+,/SP
토마토추출물,	토마토/NNG+추출물/NNG+,/SP
대두레시틴	대두/NNG+레시틴/NNG
등의	등/NNB+의/JKG
부원료를	부원료/NNG+를/JKO
함유하고	함유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.102.5.1
전통의 보령제약에서 남성 전립샘 건강을 위해 출시한 보령-복합쏘팔메토골드칸은 식약처에서 기능성과 안전성을 과학적으로 인정받은 건강기능식품이다.

전통의	전통/NNG+의/JKG
보령제약에서	보령제약/NNP+에서/JKB
남성	남성/NNG
전립샘	전립샘/NNG
건강을	건강/NNG+을/JKO
위해	위하/VV+아/EC
출시한	출시/NNG+하/XSV+ㄴ/ETM
보령-복합쏘팔메토골드칸은	보령/NNP+-/SO+복합쏘팔메토골드칸/NNP+은/JX
식약처에서	식약처/NNG+에서/JKB
기능성과	기능/NNG+성/XSN+과/JC
안전성을	안전/NNG+성/XSN+을/JKO
과학적으로	과학/NNG+적/XSN+으로/JKB
인정받은	인정/NNG+받/XSV+은/ETM
건강기능식품이다.	건강/NNG+기능/NNG+식품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.102.6.1
전립샘 자가 체크는 △배뇨 후 소변이 남은 느낌이 든다 △소변이 끊기거나 가늘게 나온다 △소변을 참기가 힘들고 자주 본다 △소변이 마려워 잠을 자주 깬다 △힘을 주어야 소변이 나온다 등으로 해당 사항이 있으면 미리 보령-쏘팔메토골드칸을 섭취하는 것이 좋다.

전립샘	전립샘/NNG
자가	자가/NNG
체크는	체크/NNG+는/JX
△배뇨	△/SW+배뇨/NNG
후	후/NNG
소변이	소변/NNG+이/JKS
남은	남/VV+은/ETM
느낌이	느낌/NNG+이/JKS
든다	들/VV+ㄴ다/EF
△소변이	△/SW+소변/NNG+이/JKS
끊기거나	끊기/VV+거나/EC
가늘게	가늘/VA+게/EC
나온다	나오/VV+ㄴ다/EF
△소변을	△/SW+소변/NNG+을/JKO
참기가	참/VV+기/ETN+가/JKS
힘들고	힘들/VA+고/EC
자주	자주/MAG
본다	보/VV+ㄴ다/EF
마려워	마렵/VA+어/EC
잠을	잠/NNG+을/JKO
깬다	깨/VV+ㄴ다/EF
△힘을	△/SW+힘/NNG+을/JKO
주어야	주/VV+어야/EC
등으로	등/NNB+으로/JKB
해당	해당/NNG
사항이	사항/NNG+이/JKS
있으면	있/VA+으면/EC
미리	미리/MAG
보령-쏘팔메토골드칸을	보령/NNP+-/SO+쏘팔메토골드칸/NNP+을/JKO
섭취하는	섭취/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000045.102.7.1
보령-복합쏘팔메토골드칸 출시 5주년을 기념하여 고객들에게 감사하는 마음으로 모든 구매 고객에게 보령-복합쏘팔메토골드칸 3개월분을 추가로 준다.

보령-복합쏘팔메토골드칸	보령/NNP+-/SO+복합쏘팔메토골드칸/NNP
출시	출시/NNG
5주년을	5/SN+주년/NNB+을/JKO
기념하여	기념/NNG+하/XSV+아/EC
고객들에게	고객/NNG+들/XSN+에게/JKB
감사하는	감사/NNG+하/XSV+는/ETM
마음으로	마음/NNG+으로/JKB
모든	모든/MMN
구매	구매/NNG
고객에게	고객/NNG+에게/JKB
3개월분을	3/SN+개월/NNB+분/XSN+을/JKO
추가로	추가/NNG+로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.102.7.2
문의 080-830-3300

문의	문의/NNG
080-830-3300	080/SN+-/SO+830/SN+-/SO+3300/SN


