# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.254
metadata : {}


# id : NWRW1800000024.254.1.1
‘엘피지 하이브리드차’는 국내용?

‘엘피지	‘/SS+엘피지/NNG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일반	일반/NNG
승용차다.	승용차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.4.4
지난해 초 대통령직 인수위원회가 2015년까지 한시적으로 엘피지 하이브리드 차를 허용하면서 나올 수 있었다.

지난해	지난해/NNG
초	초/NNB
대통령직	대통령직/NNG
인수위원회가	인수/NNG+위원회/NNG+가/JKS
2015년까지	2015/SN+년/NNB+까지/JX
한시적으로	한시/NNG+적/XSN+으로/JKB
엘피지	엘피지/NNG
하이브리드	하이브리드/NNG
차를	차/NNG+를/JKO
허용하면서	허용/NNG+하/XSV+면서/EC
나올	나오/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.254.5.1
현대차는 아반떼 하이브리드의 공식 연비를 리터당 17.8㎞로 발표했다.

현대차는	현대차/NNP+는/JX
아반떼	아반떼/NNP
하이브리드의	하이브리드/NNG+의/JKG
공식	공식/NNG
연비를	연비/NNG+를/JKO
리터당	리터/NNG+당/XSN
17.8㎞로	17/SN+./SP+8/SN+㎞/SW+로/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.5.2
그런데 일반 디젤이나 휘발유 차량과 별 차이가 없다는 말이 나오자, ‘휘발유 가격 환산 연비’라는 생소한 개념을 들고 나왔다.

그런데	그런데/MAJ
일반	일반/NNG
디젤이나	디젤/NNG+이나/JC
휘발유	휘발유/NNG
차량과	차량/NNG+과/JKB
별	별/MMA
차이가	차이/NNG+가/JKS
없다는	없/VA+다는/ETM
말이	말/NNG+이/JKS
나오자,	나오/VV+자/EC+,/SP
‘휘발유	‘/SS+휘발유/NNG
가격	가격/NNG
환산	환산/NNG
연비’라는	연비/NNG+’/SS+이/VCP+라는/ETM
생소한	생소하/VA+ㄴ/ETM
개념을	개념/NNG+을/JKO
들고	들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.5.3
엘피지 값이 휘발유 값에 비해 싸기 때문에 휘발유 1리터를 주유할 비용으로 엘피지를 넣었을 때 그만큼 많이 달린다는 논리다.

엘피지	엘피지/NNG
값이	값/NNG+이/JKS
휘발유	휘발유/NNG
값에	값/NNG+에/JKB
비해	비/NNG+하/VV+아/EC
싸기	싸/VA+기/ETN
때문에	때문/NNB+에/JKB
1리터를	1/SN+리터/NNB+를/JKO
주유할	주유/NNG+하/XSV+ㄹ/ETM
비용으로	비용/NNG+으로/JKB
엘피지를	엘피지/NNG+를/JKO
넣었을	넣/VV+었/EP+을/ETM
때	때/NNG
그만큼	그만큼/MAG
많이	많이/MAG
달린다는	달리/VV+ㄴ다는/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.5.4
이 잣대를 적용할 경우 아반떼 하이브리드의 연비는 38㎞로 껑충 뛴다.

이	이/MMD
잣대를	잣대/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
아반떼	아반떼/NNP
하이브리드의	하이브리드/NNG+의/JKG
연비는	연비/NNG+는/JX
38㎞로	38/SN+㎞/SW+로/JKB
껑충	껑충/MAG
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.5.5
하지만 엘피지 값이 올라가면 바로 연비가 떨어지게 된다.

하지만	하지만/MAJ
엘피지	엘피지/NNG
값이	값/NNG+이/JKS
올라가면	올라가/VV+면/EC
바로	바로/MAG
연비가	연비/NNG+가/JKS
떨어지게	떨어지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.5.6
연비가 높아진 것은 결국 현대차의 기술력 때문이 아니라 정부가 값이 싼 엘피지를 승용차에게 쓸 수 있도록 허가를 내줬기 때문인 셈이다.

연비가	연비/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
것은	것/NNB+은/JX
결국	결국/MAG
현대차의	현대차/NNP+의/JKG
기술력	기술력/NNG
때문이	때문/NNB+이/JKC
아니라	아니/VCN+라/EC
정부가	정부/NNG+가/JKS
값이	값/NNG+이/JKS
싼	싸/VA+ㄴ/ETM
엘피지를	엘피지/NNG+를/JKO
승용차에게	승용차/NNG+에게/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허가를	허가/NNG+를/JKO
내줬기	내주/VV+었/EP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.5.7
한 자동차 전문가는 “현대 하이브리드 차의 가장 큰 이점은 기술적인 것이 아니라 정부 정책 탓에 장애인이 아닌 일반인이 준중형 엘피지 차량을 몰 수 있게 된 혜택”이라고 비꼬았다.

한	한/MMN
자동차	자동차/NNG
전문가는	전문가/NNG+는/JX
“현대	“/SS+현대/NNP
하이브리드	하이브리드/NNG
차의	차/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이점은	이점/NNG+은/JX
기술적인	기술/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
정부	정부/NNG
정책	정책/NNG
탓에	탓/NNG+에/JKB
장애인이	장애인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일반인이	일반인/NNG+이/JKS
준중형	준/XPN+중형/NNG
엘피지	엘피지/NNG
차량을	차량/NNG+을/JKO
몰	몰/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
혜택”이라고	혜택/NNG+”/SS+이라고/JKQ
비꼬았다.	비꼬/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.5.8
■ 한국의 한국인을 위한 한국형 하이브리드인가=현대·기아차는 정부 예산 지원을 받으며 일본 도요타에 버금가는 가솔린 하이브리드 차를 2010년까지 출시한다는 목표로 하이브리드 차를 개발해왔다.

■	■/SW
한국의	한국/NNP+의/JKG
한국인을	한국인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
한국형	한국/NNP+형/XSN
하이브리드인가=현대·기아차는	하이브리드/NNG+이/VCP+ㄴ가/EF+=/SW+현대/NNP+·/SP+기아차/NNP+는/JX
정부	정부/NNG
예산	예산/NNG
지원을	지원/NNG+을/JKO
받으며	받/VV+으며/EC
일본	일본/NNP
도요타에	도요타/NNP+에/JKB
버금가는	버금가/VV+는/ETM
가솔린	가솔린/NNG
하이브리드	하이브리드/NNG
차를	차/NNG+를/JKO
2010년까지	2010/SN+년/NNB+까지/JX
출시한다는	출시/NNG+하/XSV+ㄴ다는/ETM
목표로	목표/NNG+로/JKB
개발해왔다.	개발/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.254.5.9
그러다가 지난해 엘피지 하이브리드 차 양산 계획을 발표했다.

그러다가	그러/VV+다가/EC
지난해	지난해/NNG
엘피지	엘피지/NNG
하이브리드	하이브리드/NNG
차	차/NNG
양산	양산/NNG
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.5.10
현대차 쪽은 “4년 전 가솔린으로 개발을 시작해 시험차량까지 만들었지만 시장에 이미 나온 기술과 동등해서는 고객에게 어필하기 힘들다”며 “기존 하이브리드 차보다 한 단계 연비를 올리기 힘들다면 연비가 좋은 엘피지 엔진 기술을 이용하자는 생각을 하게 됐다”고 설명했다.

현대차	현대차/NNP
쪽은	쪽/NNB+은/JX
“4년	“/SS+4/SN+년/NNB
전	전/NNG
가솔린으로	가솔린/NNG+으로/JKB
개발을	개발/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
시험차량까지	시험/NNG+차량/NNG+까지/JX
만들었지만	만들/VV+었/EP+지만/EC
시장에	시장/NNG+에/JKB
이미	이미/MAG
나온	나오/VV+ㄴ/ETM
기술과	기술/NNG+과/JC
동등해서는	동등/NNG+하/XSA+아서/EC+는/JX
고객에게	고객/NNG+에게/JKB
어필하기	어필/NNG+하/XSV+기/ETN
힘들다”며	힘들/VA+다/EF+”/SS+며/EC
“기존	“/SS+기존/NNG
하이브리드	하이브리드/NNG
차보다	차/NNG+보다/JKB
한	한/MMN
단계	단계/NNG
연비를	연비/NNG+를/JKO
올리기	올리/VV+기/ETN
힘들다면	힘들/VA+다면/EC
연비가	연비/NNG+가/JKS
좋은	좋/VA+은/ETM
엘피지	엘피지/NNG
엔진	엔진/NNG
기술을	기술/NNG+을/JKO
이용하자는	이용/NNG+하/XSV+자는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.6.1
그러나 업계의 해석은 정반대다.

그러나	그러나/MAJ
업계의	업계/NNG+의/JKG
해석은	해석/NNG+은/JX
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.6.2
한 업계 관계자는 “가솔린 하이브리드 차로는 일본 기술 장벽에 접근하기가 어려운데, 시장이나 소비자의 요구가 아니라 정부나 정책의 강요 등에 떠밀리다보니 엘피지를 선택하는 판단을 내린 것”이라고 평가했다.

한	한/MMN
업계	업계/NNG
관계자는	관계자/NNG+는/JX
“가솔린	“/SS+가솔린/NNG
하이브리드	하이브리드/NNG
차로는	차/NNG+로/JKB+는/JX
일본	일본/NNP
기술	기술/NNG
장벽에	장벽/NNG+에/JKB
접근하기가	접근/NNG+하/XSV+기/ETN+가/JKS
어려운데,	어렵/VA+ㄴ데/EC+,/SP
시장이나	시장/NNG+이나/JC
소비자의	소비자/NNG+의/JKG
요구가	요구/NNG+가/JKC
아니라	아니/VCN+라/EC
정부나	정부/NNG+나/JC
정책의	정책/NNG+의/JKG
강요	강요/NNG
등에	등/NNB+에/JKB
떠밀리다보니	떠밀리/VV+다/EC+보/VX+니/EC
엘피지를	엘피지/NNG+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
판단을	판단/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.254.6.3
현대·기아차가 엘피지로 돌아선 것은 정부가 세제 혜택, 보조금 지원, 공공기관 의무 매입 등 유·무형의 다양한 혜택을 주고 있어 밑지는 장사가 아니기 때문으로 풀이된다.

현대·기아차가	현대/NNP+·/SP+기아차/NNP+가/JKS
엘피지로	엘피지/NNG+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
것은	것/NNB+은/JX
정부가	정부/NNG+가/JKS
세제	세제/NNG
혜택,	혜택/NNG+,/SP
보조금	보조금/NNG
지원,	지원/NNG+,/SP
공공기관	공공/NNG+기관/NNG
의무	의무/NNG
매입	매입/NNG
등	등/NNB
유·무형의	유·무형/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
주고	주/VV+고/EC
있어	있/VX+어/EC
밑지는	밑지/VV+는/ETM
장사가	장사/NNG+가/JKC
아니기	아니/VCN+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.254.7.1
더구나 엘피지를 차량 연료로 쓰는 나라는 우리나라와 일본 외에는 세계적으로 드물어 수출도 불가능하다.

더구나	더구나/MAG
엘피지를	엘피지/NNG+를/JKO
차량	차량/NNG
연료로	연료/NNG+로/JKB
쓰는	쓰/VV+는/ETM
나라는	나라/NNG+는/JX
우리나라와	우리나라/NNG+와/JC
일본	일본/NNP
외에는	외/NNB+에/JKB+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
드물어	드물/VA+어/EC
수출도	수출/NNG+도/JX
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.254.7.2
현대차는 “외국의 수출 문의가 빗발치고 있다”고 말하면서도 “채산성을 이유로 수출은 계획하지 않고 있다”고 밝혔다.

현대차는	현대차/NNP+는/JX
“외국의	“/SS+외국/NNG+의/JKG
수출	수출/NNG
문의가	문의/NNG+가/JKS
빗발치고	빗발치/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말하면서도	말/NNG+하/XSV+면서/EC+도/JX
“채산성을	“/SS+채산/NNG+성/XSN+을/JKO
이유로	이유/NNG+로/JKB
수출은	수출/NNG+은/JX
계획하지	계획/NNG+하/XSV+지/EC
않고	않/VX+고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.254.7.3
결국 현대·기아 하이브리드 차의 명운은 국내 소비자들의 손에 달린 셈이다.

결국	결국/MAG
현대·기아	현대/NNP+·/SP+기아/NNP
하이브리드	하이브리드/NNG
차의	차/NNG+의/JKG
명운은	명운/NNG+은/JX
국내	국내/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
손에	손/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.7.4
국내 소비자들로선 값싼 엘피지 차를 쓰는 이점이 분명히 있기 때문이다.

국내	국내/NNG
소비자들로선	소비자/NNG+들/XSN+로서/JKB+ㄴ/JX
값싼	값싸/VA+ㄴ/ETM
엘피지	엘피지/NNG
차를	차/NNG+를/JKO
쓰는	쓰/VV+는/ETM
이점이	이점/NNG+이/JKS
분명히	분명히/MAG
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.254.7.5
하지만 아반떼 하이브리드 차는 풀옵션 기준으로 2410만원으로, 세제 혜택을 받아도 일반 아반떼보다 460만원 더 비싸다.

하지만	하지만/MAJ
아반떼	아반떼/NNP
하이브리드	하이브리드/NNG
차는	차/NNG+는/JX
풀옵션	풀옵션/NNG
기준으로	기준/NNG+으로/JKB
2410만원으로,	2410/SN+만/NR+원/NNB+으로/JKB+,/SP
세제	세제/NNG
혜택을	혜택/NNG+을/JKO
받아도	받/VV+아도/EC
일반	일반/NNG
아반떼보다	아반떼/NNP+보다/JKB
460만원	460/SN+만/NR+원/NNB
더	더/MAG
비싸다.	비싸/VA+다/EF+./SF


# id : NWRW1800000024.254.7.6
경기 탓에 한푼이라도 졸라매려는 소비자들이 과연 어떤 판단을 할지 주목된다.

경기	경기/NNG
탓에	탓/NNG+에/JKB
한푼이라도	한/MMN+푼/NNB+이/VCP+라도/EC
졸라매려는	졸라매/VV+려는/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
과연	과연/MAG
어떤	어떤/MMD
판단을	판단/NNG+을/JKO
할지	하/VV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


