# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.182
metadata : {}


# id : NWRW1800000033.182.1.1
[휴지통]“내 아들을 괴롭히다니”… 학교 찾아가 주먹날린 아빠

[휴지통]“내	[/SS+휴지통/NNG+]/SS+“/SS+나/NP+의/JKG
그는 “아들이 초등학교 때 비슷한 일 때문에 힘들어한 기억이 떠올라 흥분했다”고 말했다.

그는	그/NP+는/JX
“아들이	“/SS+아들/NNG+이/JKS
초등학교	초등학교/NNG
때	때/NNG
비슷한	비슷하/VA+ㄴ/ETM
일	일/NNG
때문에	때문/NNB+에/JKB
힘들어한	힘들/VA+어/EC+하/VX+ㄴ/ETM
기억이	기억/NNG+이/JKS
떠올라	떠오르/VV+아/EC
흥분했다”고	흥분/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.182.5.1
학교 측은 경찰에 수사를 의뢰하는 한편 피해 학생들이 정상적인 학교생활을 하도록 전문상담 등을 실시키로 했다.

학교	학교/NNG
측은	측/NNB+은/JX
경찰에	경찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰하는	의뢰/NNG+하/XSV+는/ETM
한편	한편/NNG
피해	피해/NNG
학생들이	학생/NNG+들/XSN+이/JKS
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
학교생활을	학교생활/NNG+을/JKO
하도록	하/VV+도록/EC
전문상담	전문/NNG+상담/NNG
등을	등/NNB+을/JKO
실시키로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.182.5.2
대구시교육청 관계자는 “뒤늦게 후회한 아버지가 피해 학생 부모에게 사과하고 치료비를 물어주겠다고 약속했다”며 “현재 양측이 합의를 하고 있는 상태”라고 말했다.

대구시교육청	대구시교육청/NNP
관계자는	관계자/NNG+는/JX
“뒤늦게	“/SS+뒤늦/VA+게/EC
후회한	후회/NNG+하/XSV+ㄴ/ETM
아버지가	아버지/NNG+가/JKS
피해	피해/NNG
학생	학생/NNG
부모에게	부모/NNG+에게/JKB
사과하고	사과/NNG+하/XSV+고/EC
치료비를	치료비/NNG+를/JKO
물어주겠다고	물/VV+어/EC+주/VX+겠/EP+다고/EC
약속했다”며	약속/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
양측이	양측/NNG+이/JKS
합의를	합의/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


