# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.6
metadata : {}


# id : NWRW1800000054.6.1.1
미세먼지 때문에?… 5월 생산·소비 동시에 감소

미세먼지	미세/NNG+먼지/NNG
어운선 통계청 산업동향과장은 "미세먼지가 심해 외부 활동을 자제하면서 소비가 지장을 받은 것으로 보인다"고 말했다.

어운선	어운선/NNP
통계청	통계청/NNG
산업동향과장은	산업/NNG+동향과장/NNG+은/JX
"미세먼지가	"/SS+미세/NNG+먼지/NNG+가/JKS
심해	심하/VA+아/EC
외부	외부/NNG
활동을	활동/NNG+을/JKO
자제하면서	자제/NNG+하/XSV+면서/EC
소비가	소비/NNG+가/JKS
지장을	지장/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.4.5
갤럭시S8 등 스마트폰 신제품의 출시 효과가 5월 들어 떨어진 것도 소비를 주춤하게 만든 것으로 분석됐다.

갤럭시S8	갤럭시S8/NNP
등	등/NNB
스마트폰	스마트폰/NNG
신제품의	신/XPN+제품/NNG+의/JKG
출시	출시/NNG
효과가	효과/NNG+가/JKS
5월	5/SN+월/NNB
들어	들/VV+어/EC
떨어진	떨어지/VV+ㄴ/ETM
것도	것/NNB+도/JX
소비를	소비/NNG+를/JKO
주춤하게	주춤/MAG+하/XSV+게/EC
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.6.5.1
5월에는 소비뿐 아니라 전체 산업생산 역시 0.3% 감소했다.

5월에는	5/SN+월/NNB+에/JKB+는/JX
소비뿐	소비/NNG+뿐/JX
아니라	아니/VCN+라/EC
전체	전체/NNG
산업생산	산업/NNG+생산/NNG
역시	역시/MAG
0.3%	0/SN+./SP+3/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.5.2
4월에 1% 위축된 데 이어 2개월 연속 마이너스였다.

4월에	4/SN+월/NNB+에/JKB
1%	1/SN+%/SW
위축된	위축/NNG+되/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2개월	2/SN+개월/NNB
연속	연속/NNG
마이너스였다.	마이너스/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.6.5.3
7개월 연속 증가세를 보이던 서비스업 생산이 하락세(-0.3%)로 돌아선 것이 큰 영향을 줬다.

7개월	7/SN+개월/NNB
연속	연속/NNG
증가세를	증가세/NNG+를/JKO
보이던	보이/VV+던/ETM
서비스업	서비스업/NNG
생산이	생산/NNG+이/JKS
하락세(-0.3%)로	하락세/NNG+(/SS+-/SO+0/SN+./SP+3/SN+%/SW+)/SS+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
것이	것/NNB+이/JKS
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.6.5.4
4월에 대대적인 통신망 구축 사업 영향으로 서비스업 생산이 대폭 증가했다가 5월에 흐름이 끊긴 것이 주요 원인이라고 통계청은 지목했다.

4월에	4/SN+월/NNB+에/JKB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
통신망	통신망/NNG
구축	구축/NNG
사업	사업/NNG
영향으로	영향/NNG+으로/JKB
서비스업	서비스업/NNG
생산이	생산/NNG+이/JKS
대폭	대폭/MAG
증가했다가	증가/NNG+하/XSV+았/EP+다가/EC
5월에	5/SN+월/NNB+에/JKB
흐름이	흐름/NNG+이/JKS
끊긴	끊기/VV+ㄴ/ETM
것이	것/NNB+이/JKS
주요	주요/NNG
원인이라고	원인/NNG+이/VCP+라고/EC
통계청은	통계청/NNG+은/JX
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.5.5
전체 산업생산에서 서비스업 생산의 비중은 54%다.

전체	전체/NNG
산업생산에서	산업/NNG+생산/NNG+에서/JKB
서비스업	서비스업/NNG
생산의	생산/NNG+의/JKG
비중은	비중/NNG+은/JX
54%다.	54/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000054.6.5.6
반면 반도체(9.1%)와 전자제품(4.7%) 생산이 4월보다 호조를 보이면서 광공업 생산은 0.2% 늘어났다.

반면	반면/NNG
반도체(9.1%)와	반도체/NNG+(/SS+9/SN+./SP+1/SN+%/SW+)/SS+와/JC
전자제품(4.7%)	전자/NNG+제품/NNG+(/SS+4/SN+./SP+7/SN+%/SW+)/SS
생산이	생산/NNG+이/JKS
4월보다	4/SN+월/NNB+보다/JKB
호조를	호조/NNG+를/JKO
보이면서	보이/VV+면서/EC
광공업	광공업/NNG
생산은	생산/NNG+은/JX
0.2%	0/SN+./SP+2/SN+%/SW
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.5.7
광공업 생산이 소폭 증가한 덕분에 전체 산업생산이 큰 폭으로 떨어지지 않았다.

광공업	광공업/NNG
생산이	생산/NNG+이/JKS
소폭	소폭/MAG
증가한	증가/NNG+하/XSV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
전체	전체/NNG
산업생산이	산업/NNG+생산/NNG+이/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
떨어지지	떨어지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.6.6.1
5월에 생산과 소비가 둘 다 주춤했던 현상에 대해 기획재정부는 경기상승 흐름이 꺾였다기보다는 4월 경기 지표가 워낙 좋았던 탓에 다소 조정을 받는 국면이라고 설명했다.

5월에	5/SN+월/NNB+에/JKB
생산과	생산/NNG+과/JC
소비가	소비/NNG+가/JKS
둘	둘/NR
다	다/MAG
주춤했던	주춤/MAG+하/XSV+았/EP+던/ETM
현상에	현상/NNG+에/JKB
대해	대하/VV+아/EC
기획재정부는	기획/NNG+재정부/NNG+는/JX
경기상승	경기/NNG+상승/NNG
흐름이	흐름/NNG+이/JKS
꺾였다기보다는	꺾이/VV+었/EP+다기/ETN+보다/JKB+는/JX
4월	4/SN+월/NNB
경기	경기/NNG
지표가	지표/NNG+가/JKS
워낙	워낙/MAG
좋았던	좋/VA+았/EP+던/ETM
탓에	탓/NNG+에/JKB
다소	다소/MAG
조정을	조정/NNG+을/JKO
받는	받/VV+는/ETM
국면이라고	국면/NNG+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.6.6.2
주환욱 기획재정부 경제분석과장은 "길게 보면 수출이 늘고 소비심리가 개선되는 방향으로 가고 있지만 회복세가 견조하다고 보기는 어렵다"며 "가계부채나 미국 금리 인상과 같은 대외적인 위험요인 관리를 강화하는 데 힘을 쏟겠다"고 말했다.

주환욱	주환욱/NNP
기획재정부	기획/NNG+재정부/NNG
경제분석과장은	경제/NNG+분석/NNG+과장/NNG+은/JX
"길게	"/SS+길/VA+게/EC
보면	보/VV+면/EC
수출이	수출/NNG+이/JKS
늘고	늘/VV+고/EC
소비심리가	소비/NNG+심리/NNG+가/JKS
개선되는	개선/NNG+되/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
가고	가/VV+고/EC
있지만	있/VX+지만/EC
회복세가	회복세/NNG+가/JKS
견조하다고	견조/NNG+하/XSV+다고/EC
보기는	보/VV+기/ETN+는/JX
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
"가계부채나	"/SS+가계/NNG+부채/NNG+나/JC
미국	미국/NNP
금리	금리/NNG
인상과	인상/NNG+과/JKB
같은	같/VA+은/ETM
대외적인	대외/NNG+적/XSN+이/VCP+ㄴ/ETM
위험요인	위험/NNG+요인/NNG
관리를	관리/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
쏟겠다"고	쏟/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


