# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.391
metadata : {}


# id : NWRW1800000024.391.1.1
수공, 경인운하 선박 직접확보 나서나

수공,	수공/NNP+,/SP
“현실적	“/SS+현실/NNG+적/XSN
대안으로	대안/NNG+으로/JKB
검토할	검토/NNG+하/XSV+ㄹ/ETM
필요”가	필요/NNG+”/SS+가/JKS
있다고	있/VA+다고/EC
문건은	문건/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.391.5.1
국토해양부는 2011년 12월까지 인천~김포 간 18㎞ 운하구간에 23선석 규모의 부두를 건설한다는 계획이다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
2011년	2011/SN+년/NNB
12월까지	12/SN+월/NNB+까지/JX
인천~김포	인천/NNP+~/SO+김포/NNP
간	간/NNB
18㎞	18/SN+㎞/SW
운하구간에	운하/NNG+구간/NNG+에/JKB
23선석	23/SN+선석/NNG
규모의	규모/NNG+의/JKG
부두를	부두/NNG+를/JKO
건설한다는	건설/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.391.5.2
국토부는 여기에 아르에스선(4000t급, 250TEU)을 투입하면 길이 20피트짜리 컨테이너 기준으로 하루 평균 2600개의 화물 수요가 있을 것으로 예상하고 있다.

국토부는	국토부/NNG+는/JX
여기에	여기/NP+에/JKB
아르에스선(4000t급,	아르에스선/NNG+(/SS+4000/SN+t/SW+급/NNG+,/SP
250TEU)을	250/SN+TEU/SW+)/SS+을/JKO
투입하면	투입/NNG+하/XSV+면/EC
길이	길이/NNG
20피트짜리	20/SN+피트/NNB+짜리/XSN
컨테이너	컨테이너/NNG
기준으로	기준/NNG+으로/JKB
하루	하루/NNG
평균	평균/NNG
2600개의	2600/SN+개/NNB+의/JKG
화물	화물/NNG
수요가	수요/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.391.6.1
하지만 학계와 업계에선 경인운하의 물동량이 과대 산정됐으며, 해운업계가 값비싼 아르에스선 건조에 나서지 않을 것이란 비판이 지속적으로 제기돼왔다.

하지만	하지만/MAJ
학계와	학계/NNG+와/JC
업계에선	업계/NNG+에서/JKB+ㄴ/JX
경인운하의	경인운하/NNP+의/JKG
물동량이	물동량/NNG+이/JKS
과대	과대/NNG
산정됐으며,	산정/NNG+되/XSV+었/EP+으며/EC+,/SP
해운업계가	해운업/NNG+계/XSN+가/JKS
값비싼	값비싸/VA+ㄴ/ETM
아르에스선	아르에스선/NNG
건조에	건조/NNG+에/JKB
나서지	나서/VV+지/EC
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
비판이	비판/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
제기돼왔다.	제기/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.391.6.2
실제로 조 의원이 최근 한국물류협회 회원사 관계자 40명을 대상으로 실시한 설문 조사를 보면, 60%(24명)가 “경인운하의 물동량 예측과 선석 건설 규모가 과도하다”고 답했다.

실제로	실제로/MAG
조	조/NNP
의원이	의원/NNG+이/JKS
최근	최근/MAG
한국물류협회	한국물류협회/NNP
회원사	회원사/NNG
관계자	관계자/NNG
40명을	40/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
설문	설문/NNG
조사를	조사/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
60%(24명)가	60/SN+%/SW+(/SS+24/SN+명/NNB+)/SS+가/JKS
“경인운하의	“/SS+경인운하/NNP+의/JKG
물동량	물동량/NNG
예측과	예측/NNG+과/JC
선석	선석/NNG
건설	건설/NNG
규모가	규모/NNG+가/JKS
과도하다”고	과도/NNG+하/XSA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.391.6.3
또 4000t급 규모의 아르에스선 건조 능력이 있는 20곳 안팎의 국내 해운업체 가운데 아르에스선 건조 계획이 있는 곳은 없는 것으로 추정된다.

또	또/MAG
4000t급	4000/SN+t/SW+급/NNG
규모의	규모/NNG+의/JKG
아르에스선	아르에스선/NNG
건조	건조/NNG
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
20곳	20/SN+곳/NNG
안팎의	안팎/NNG+의/JKG
국내	국내/NNG
해운업체	해운업체/NNG
가운데	가운데/NNG
계획이	계획/NNG+이/JKS
곳은	곳/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.391.6.4
조 의원은 “해운업계 관계자의 말을 들어보니, 경인운하를 이용할 수 있는 물동량이 불투명한 상황에서 해운업계가 값비싼 아르에스선 건조계획을 수립하는 것은 어렵다고 한다”고 전했다.

조	조/NNP
의원은	의원/NNG+은/JX
“해운업계	“/SS+해운업/NNG+계/XSN
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
들어보니,	듣/VV+어/EC+보/VX+니/EC+,/SP
경인운하를	경인운하/NNP+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
물동량이	물동량/NNG+이/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
해운업계가	해운업/NNG+계/XSN+가/JKS
값비싼	값비싸/VA+ㄴ/ETM
아르에스선	아르에스선/NNG
건조계획을	건조/NNG+계획/NNG+을/JKO
수립하는	수립/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
어렵다고	어렵/VA+다고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.391.7.1
조 의원은 “경인운하가 경제적 타당성이 없는 것도 문제지만 물동량을 운송할 선박 자체가 없다는 것은 더 심각한 문제”라며 “선박 건조 등 운하 기능 확보를 위해 추진되고 있는 무리한 사업들을 즉각 중단하고 경인운하 사업 추진 여부도 면밀히 재검토해야 한다”고 말했다.

조	조/NNP
의원은	의원/NNG+은/JX
“경인운하가	“/SS+경인운하/NNP+가/JKS
경제적	경제/NNG+적/XSN
타당성이	타당성/NNG+이/JKS
없는	없/VA+는/ETM
것도	것/NNB+도/JX
문제지만	문제/NNG+이/VCP+지만/EC
물동량을	물동량/NNG+을/JKO
운송할	운송/NNG+하/XSV+ㄹ/ETM
선박	선박/NNG
자체가	자체/NNG+가/JKS
없다는	없/VA+다는/ETM
것은	것/NNB+은/JX
더	더/MAG
심각한	심각하/VA+ㄴ/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“선박	“/SS+선박/NNG
건조	건조/NNG
등	등/NNB
운하	운하/NNG
기능	기능/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
추진되고	추진/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
사업들을	사업/NNG+들/XSN+을/JKO
즉각	즉각/MAG
중단하고	중단/NNG+하/XSV+고/EC
경인운하	경인운하/NNP
사업	사업/NNG
추진	추진/NNG
여부도	여부/NNG+도/JX
면밀히	면밀히/MAG
재검토해야	재/XPN+검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.391.8.1
이에 대해 수공 관계자는 “선박 확보 방안을 검토한 것은 사실”이라며 “경인운하 사업이 굉장히 빠르게 진행되고 있는데, 현재 해운업 경기가 좋지 않은데다 초기 비용이 많이 들기 때문에 해운업체들이 선박 확보에 잘 나서지 않아서 이런 방안까지 검토하게 된 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
수공	수공/NNP
관계자는	관계자/NNG+는/JX
“선박	“/SS+선박/NNG
확보	확보/NNG
방안을	방안/NNG+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실”이라며	사실/NNG+”/SS+이/VCP+라며/EC
“경인운하	“/SS+경인운하/NNP
사업이	사업/NNG+이/JKS
굉장히	굉장히/MAG
빠르게	빠르/VA+게/EC
진행되고	진행/NNG+되/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
현재	현재/MAG
해운업	해운업/NNG
경기가	경기/NNG+가/JKS
좋지	좋/VA+지/EC
않은데다	않/VX+은데/EC+다/JX
초기	초기/NNG
비용이	비용/NNG+이/JKS
많이	많이/MAG
들기	들/VV+기/ETN
때문에	때문/NNB+에/JKB
해운업체들이	해운업체/NNG+들/XSN+이/JKS
선박	선박/NNG
확보에	확보/NNG+에/JKB
잘	잘/MAG
나서지	나서/VV+지/EC
않아서	않/VX+아서/EC
이런	이런/MMD
방안까지	방안/NNG+까지/JX
검토하게	검토/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


