# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.22
metadata : {}


# id : NWRW1800000037.22.1.1
너도나도 “기능성”… 식음료업계, 인증도 안받고 홍보 남발

너도나도	너도나도/MAG
‘고(高)식이섬유	‘/SS+고/XPN+(/SS+高/SH+)/SS+식이/NNG+섬유/NNG
건강	건강/NNG
지향	지향/NNG
콜라’와	콜라/NNG+’/SS+와/JC
‘건강	‘/SS+건강/NNG
기능성	기능/NNG+성/XSN
음료’라는	음료/NNG+’/SS+이/VCP+라는/ETM
문구로	문구/NNG+로/JKB
홈페이지에서	홈페이지/NNG+에서/JKB
제품을	제품/NNG+을/JKO
홍보했다.	홍보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.3.3
하지만 6일 동아일보 취재 결과 이 제품은 식품의약품안전처(식약처)나 다른 공인 기관에서 별도로 기능성 인증을 받지 않은 것으로 드러났다.

하지만	하지만/MAJ
6일	6/SN+일/NNB
동아일보	동아일보/NNP
취재	취재/NNG
결과	결과/NNG
이	이/MMD
제품은	제품/NNG+은/JX
식품의약품안전처(식약처)나	식품/NNG+의약품/NNG+안전처/NNG+(/SS+식약처/NNG+)/SS+나/JC
다른	다른/MMD
공인	공인/NNG
기관에서	기관/NNG+에서/JKB
별도로	별도/NNG+로/JKB
기능성	기능/NNG+성/XSN
인증을	인증/NNG+을/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.3.4
‘공식적’으로는 건강에 도움을 주는 제품인지 알 수 없다는 뜻이다.

‘공식적’으로는	‘/SS+공식/NNG+적/XSN+’/SS+으로/JKB+는/JX
건강에	건강/NNG+에/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
제품인지	제품/NNG+이/VCP+ㄴ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.22.4.1
이에 대해 하이트진로음료 관계자는 “기능성 인증을 받지 않았지만 식이섬유를 넣었기 때문에 ‘기능성 음료’라고 한 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
하이트진로음료	하이트진로음료/NNP
관계자는	관계자/NNG+는/JX
“기능성	“/SS+기능/NNG+성/XSN
인증을	인증/NNG+을/JKO
받지	받/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
식이섬유를	식이/NNG+섬유/NNG+를/JKO
넣었기	넣/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
‘기능성	‘/SS+기능/NNG+성/XSN
음료’라고	음료/NNG+’/SS+라고/JKQ
한	하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.4.2
이 제품과 함께 나온 ‘이다 맑고 진한 홍삼수’ 역시 홍삼 성분의 주원료인 ‘진세노사이드 성분을 강화했다’며 기능성 음료로 소개했지만 기능성 인증을 받지 않았다.

이	이/MMD
제품과	제품/NNG+과/JKB
함께	함께/MAG
나온	나오/VV+ㄴ/ETM
‘이다	‘/SS+이다/NNP
맑고	맑/VA+고/EC
진한	진하/VA+ㄴ/ETM
홍삼수’	홍삼수/NNG+’/SS
역시	역시/MAG
홍삼	홍삼/NNG
성분의	성분/NNG+의/JKG
주원료인	주원료/NNG+이/VCP+ㄴ/ETM
‘진세노사이드	‘/SS+진세노사이드/NNG
성분을	성분/NNG+을/JKO
강화했다’며	강화/NNG+하/XSV+았/EP+다/EF+’/SS+며/EC
기능성	기능/NNG+성/XSN
음료로	음료/NNG+로/JKB
소개했지만	소개/NNG+하/XSV+았/EP+지만/EC
인증을	인증/NNG+을/JKO
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.22.5.1
○ “인증 받았나” 물어보면 “마케팅이에요”

○	○/SW
“인증	“/SS+인증/NNG
받았나”	받/VV+았/EP+나/EF+”/SS
물어보면	물어보/VV+면/EC
“마케팅이에요”	“/SS+마케팅/NNG+이/VCP+에요/EF+”/SS


# id : NWRW1800000037.22.6.1
음료 시장의 경쟁이 치열해지면서 특별한 성분을 넣은 제품이 앞다퉈 시판되고 있다.

음료	음료/NNG
시장의	시장/NNG+의/JKG
경쟁이	경쟁/NNG+이/JKS
치열해지면서	치열/NNG+하/XSA+아/EC+지/VX+면서/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
성분을	성분/NNG+을/JKO
넣은	넣/VV+은/ETM
제품이	제품/NNG+이/JKS
앞다퉈	앞다투/VV+어/EC
시판되고	시판/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.22.6.2
이 제품들의 홍보 문구에는 ‘몸에 좋은 성분이 들어 있는 기능성 음료’라는 메시지가 빠지지 않는다.

이	이/MMD
제품들의	제품/NNG+들/XSN+의/JKG
홍보	홍보/NNG
문구에는	문구/NNG+에/JKB+는/JX
‘몸에	‘/SS+몸/NNG+에/JKB
좋은	좋/VA+은/ETM
성분이	성분/NNG+이/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
기능성	기능/NNG+성/XSN
음료’라는	음료/NNG+’/SS+이/VCP+라는/ETM
메시지가	메시지/NNG+가/JKS
빠지지	빠지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.22.6.3
‘기능성’이란 단어는 식약처의 별도 심사를 거쳐 해당 기능성을 인증 받아야 제품에 사용할 수 있다.

‘기능성’이란	‘/SS+기능/NNG+성/XSN+’/SS+이/VCP+란/ETM
단어는	단어/NNG+는/JX
식약처의	식약처/NNG+의/JKG
별도	별도/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
해당	해당/NNG
기능성을	기능/NNG+성/XSN+을/JKO
인증	인증/NNG
받아야	받/VV+아야/EC
제품에	제품/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.22.7.1
그렇지만 취재 결과 시중에서 팔리는 음료 제품 상당수에서 별도 인증 없이 ‘기능성’이란 문구가 쓰이고 있는 것으로 나타났다.

그렇지만	그렇지만/MAJ
취재	취재/NNG
결과	결과/NNG
시중에서	시중/NNG+에서/JKB
팔리는	팔리/VV+는/ETM
음료	음료/NNG
제품	제품/NNG
상당수에서	상당수/NNG+에서/JKB
별도	별도/NNG
인증	인증/NNG
없이	없이/MAG
‘기능성’이란	‘/SS+기능/NNG+성/XSN+’/SS+이/VCP+란/ETM
문구가	문구/NNG+가/JKS
쓰이고	쓰이/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.7.2
특히 건강과 다이어트에 관심 있는 사람들이 늘면서 이들을 겨냥한 식음료 제품에서 이른바 ‘기능성 마케팅’이 붐을 이루고 있다.

특히	특히/MAG
건강과	건강/NNG+과/JC
다이어트에	다이어트/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘면서	늘/VV+면서/EC
이들을	이/NP+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
식음료	식음료/NNG
제품에서	제품/NNG+에서/JKB
이른바	이른바/MAG
‘기능성	‘/SS+기능/NNG+성/XSN
마케팅’이	마케팅/NNG+’/SS+이/JKS
붐을	붐/NNG+을/JKO
이루고	이루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.22.8.1
편의점 ‘씨유(CU)’를 운영하는 BGF리테일은 최근 자체브랜드(PB) 상품인 ‘씨유 저지방 우유’를 내놓으며 “업계 최초로 기능성 저지방 우유를 내놨다”고 밝혔다.

편의점	편의점/NNG
‘씨유(CU)’를	‘/SS+씨유/NNP+(/SS+CU/SL+)/SS+’/SS+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
BGF리테일은	BGF리테일/NNP+은/JX
최근	최근/NNG
자체브랜드(PB)	자체/NNG+브랜드/NNG+(/SS+PB/SL+)/SS
상품인	상품/NNG+이/VCP+ㄴ/ETM
‘씨유	‘/SS+씨유/NNP
저지방	저/XPN+지방/NNG
우유’를	우유/NNG+’/SS+를/JKO
내놓으며	내놓/VV+으며/EC
“업계	“/SS+업계/NNG
최초로	최초/NNG+로/JKB
기능성	기능/NNG+성/XSN
우유를	우유/NNG+를/JKO
내놨다”고	내놓/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.22.8.2
하지만 어떤 기능이 있는지는 제품 표지에 구체적으로 명시돼 있지 않다.

하지만	하지만/MAJ
어떤	어떤/MMD
기능이	기능/NNG+이/JKS
있는지는	있/VA+는지/EF+는/JX
제품	제품/NNG
표지에	표지/NNG+에/JKB
구체적으로	구체/NNG+적/XSN+으로/JKB
명시돼	명시/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.22.8.3
이에 대해 BGF리테일의 한 관계자는 “식약처로부터 기능성 인증을 받지는 않은 제품”이라며 “좋은 이미지를 내기 위해 (기능성이란 단어를) 홍보 문구로 쓴 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
BGF리테일의	BGF리테일/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“식약처로부터	“/SS+식약처/NNG+로부터/JKB
기능성	기능/NNG+성/XSN
인증을	인증/NNG+을/JKO
받지는	받/VV+지/EC+는/JX
않은	않/VX+은/ETM
제품”이라며	제품/NNG+”/SS+이/VCP+라며/EC
“좋은	“/SS+좋/VA+은/ETM
이미지를	이미지/NNG+를/JKO
내기	내/VV+기/ETN
위해	위하/VV+아/EC
(기능성이란	(/SS+기능/NNG+성/XSN+이/VCP+란/ETM
단어를)	단어/NNG+를/JKO+)/SS
홍보	홍보/NNG
문구로	문구/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.9.1
인터넷 홈페이지에 자사를 ‘기능성 과일음료 전문 기업’으로 소개한 음료 브랜드 ‘스무디킹’은 기능성 인증 여부와 근거에 대한 동아일보 취재가 시작되자 최근 문구를 ‘스무디 전문 기업’으로 바꿨다.

인터넷	인터넷/NNG
홈페이지에	홈페이지/NNG+에/JKB
자사를	자사/NNG+를/JKO
‘기능성	‘/SS+기능/NNG+성/XSN
과일음료	과일음료/NNG
전문	전문/NNG
기업’으로	기업/NNG+’/SS+으로/JKB
소개한	소개/NNG+하/XSV+ㄴ/ETM
음료	음료/NNG
브랜드	브랜드/NNG
‘스무디킹’은	‘/SS+스무디킹/NNP+’/SS+은/JX
기능성	기능/NNG+성/XSN
인증	인증/NNG
여부와	여부/NNG+와/JC
근거에	근거/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
동아일보	동아일보/NNP
취재가	취재/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
최근	최근/NNG
문구를	문구/NNG+를/JKO
‘스무디	‘/SS+스무디/NNG
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.22.9.2
이에 대해 스무디킹 관계자는 “기능성 과일음료라는 것은 ‘콘셉트’”라며 “오해가 없도록 인터넷 홈페이지의 새 단장 시기에 맞물려 문구를 수정했다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
스무디킹	스무디킹/NNP
관계자는	관계자/NNG+는/JX
“기능성	“/SS+기능/NNG+성/XSN
과일음료라는	과일음료/NNG+이/VCP+라는/ETM
것은	것/NNB+은/JX
‘콘셉트’”라며	‘/SS+콘셉트/NNG+’/SS+”/SS+이/VCP+라며/EC
“오해가	“/SS+오해/NNG+가/JKS
없도록	없/VA+도록/EC
인터넷	인터넷/NNG
홈페이지의	홈페이지/NNG+의/JKG
새	새/MMA
단장	단장/NNG
시기에	시기/NNG+에/JKB
맞물려	맞물리/VV+어/EC
문구를	문구/NNG+를/JKO
수정했다”고	수정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.10.1
○ 소비자 혼동만 불러

○	○/SW
소비자	소비자/NNG
혼동만	혼동/NNG+만/JX
불러	부르/VV+어/EF


# id : NWRW1800000037.22.11.1
전문가들은 업체들이 다른 제품과 차별화하기 위해 ‘기능성’이란 단어를 관행처럼 마케팅 도구로 사용하고 있다는 점에 우려를 나타낸다.

전문가들은	전문가/NNG+들/XSN+은/JX
업체들이	업체/NNG+들/XSN+이/JKS
다른	다른/MMD
제품과	제품/NNG+과/JKB
차별화하기	차별/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
‘기능성’이란	‘/SS+기능/NNG+성/XSN+’/SS+이/VCP+란/ETM
단어를	단어/NNG+를/JKO
관행처럼	관행/NNG+처럼/JKB
마케팅	마케팅/NNG
도구로	도구/NNG+로/JKB
사용하고	사용/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점에	점/NNG+에/JKB
우려를	우려/NNG+를/JKO
나타낸다.	나타내/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.22.11.2
오세조 연세대 교수(경영학)는 “소비자들이 ‘기능성’이란 문구를 보고 마치 해당 제품이 다른 것과 달리 특별한 효능이 있는 것으로 오인할 수 있다”고 지적했다.

오세조	오세조/NNP
연세대	연세대/NNP
교수(경영학)는	교수/NNG+(/SS+경영학/NNG+)/SS+는/JX
“소비자들이	“/SS+소비자/NNG+들/XSN+이/JKS
‘기능성’이란	‘/SS+기능/NNG+성/XSN+’/SS+이/VCP+란/ETM
문구를	문구/NNG+를/JKO
보고	보/VV+고/EC
마치	마치/MAG
해당	해당/NNG
제품이	제품/NNG+이/JKS
다른	다른/MMD
것과	것/NNB+과/JKB
달리	달리/MAG
특별한	특별/NNG+하/XSA+ㄴ/ETM
효능이	효능/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
오인할	오인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.11.3
게다가 ‘기능성’ 문구를 붙인 제품 중 일부는 고급으로 분류돼 일반 제품보다 비싸다.

게다가	게다가/MAG
‘기능성’	‘/SS+기능/NNG+성/XSN+’/SS
문구를	문구/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
제품	제품/NNG
중	중/NNB
일부는	일부/NNG+는/JX
고급으로	고급/NNG+으로/JKB
분류돼	분류/NNG+되/XSV+어/EC
일반	일반/NNG
제품보다	제품/NNG+보다/JKB
비싸다.	비싸/VA+다/EF+./SF


# id : NWRW1800000037.22.12.1
‘기능성’ 단어가 홍보 문구로 사용되는 데에는 느슨한 제도도 한몫한다는 지적이 나온다.

‘기능성’	‘/SS+기능/NNG+성/XSN+’/SS
단어가	단어/NNG+가/JKS
홍보	홍보/NNG
문구로	문구/NNG+로/JKB
사용되는	사용/NNG+되/XSV+는/ETM
데에는	데/NNB+에/JKB+는/JX
느슨한	느슨하/VA+ㄴ/ETM
제도도	제도/NNG+도/JX
한몫한다는	한몫/NNG+하/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.22.13.1
식약처의 한 관계자는 “건강기능식품의 경우 10년 전 ‘건강기능식품에 관한 법률’이 제정됐다.

식약처의	식약처/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“건강기능식품의	“/SS+건강/NNG+기능/NNG+식품/NNG+의/JKG
경우	경우/NNG
10년	10/SN+년/NNB
전	전/NNG
‘건강기능식품에	‘/SS+건강/NNG+기능/NNG+식품/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’이	법률/NNG+’/SS+이/JKS
제정됐다.	제정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.22.13.2
하지만 일반식품은 ‘기능성’ 여부를 판단할 만한 틀이 마련되지 않은 것이 사실”이라고 말했다.

하지만	하지만/MAJ
일반식품은	일반/NNG+식품/NNG+은/JX
‘기능성’	‘/SS+기능/NNG+성/XSN+’/SS
여부를	여부/NNG+를/JKO
판단할	판단/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
틀이	틀/NNG+이/JKS
마련되지	마련/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
사실”이라고	사실/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.22.14.1
건강기능식품은 허위·과대광고 여부와 관련해서도 제품 출시 전 식품산업협회로부터 심의를 받는다.

건강기능식품은	건강/NNG+기능/NNG+식품/NNG+은/JX
허위·과대광고	허위/NNG+·/SP+과대광고/NNG
여부와	여부/NNG+와/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
제품	제품/NNG
출시	출시/NNG
전	전/NNG
식품산업협회로부터	식품산업협회/NNP+로부터/JKB
심의를	심의/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000037.22.14.2
그러나 대부분의 일반식품은 심의 대상에서 제외돼 있다.

그러나	그러나/MAJ
대부분의	대/XPN+부분/NNG+의/JKG
일반식품은	일반/NNG+식품/NNG+은/JX
심의	심의/NNG
대상에서	대상/NNG+에서/JKB
제외돼	제외/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.22.14.3
오 교수는 “객관적 증거가 없는 ‘기능성 마케팅’은 소비자를 현혹하고 기업의 신뢰를 떨어뜨린다”며 “건강기능식품처럼 명확한 기준과 검증 제도가 시급하다”고 말했다.

오	오/NNP
교수는	교수/NNG+는/JX
“객관적	“/SS+객관/NNG+적/XSN
증거가	증거/NNG+가/JKS
없는	없/VA+는/ETM
‘기능성	‘/SS+기능/NNG+성/XSN
마케팅’은	마케팅/NNG+’/SS+은/JX
소비자를	소비자/NNG+를/JKO
현혹하고	현혹/NNG+하/XSV+고/EC
기업의	기업/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
떨어뜨린다”며	떨어뜨리/VV+ㄴ다/EF+”/SS+며/EC
“건강기능식품처럼	“/SS+건강/NNG+기능/NNG+식품/NNG+처럼/JKB
명확한	명확하/VA+ㄴ/ETM
기준과	기준/NNG+과/JC
검증	검증/NNG
제도가	제도/NNG+가/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


