# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.338
metadata : {}


# id : NWRW1800000037.338.1.1
[안보리 대북제재 결의 이후]軍 “北, 핵공격땐 지구상서 소멸될 것”

[안보리	[/SS+안보리/NNG
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.4.3
2010년 연평도 포격과 같은 무력 도발이 재연될 수 있음을 위협한 것이다.

2010년	2010/SN+년/NNB
연평도	연평도/NNP
포격과	포격/NNG+과/JKB
같은	같/VA+은/ETM
무력	무력/NNG
도발이	도발/NNG+이/JKS
재연될	재연/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
위협한	위협/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.338.4.4
조선중앙통신은 이날 김정은 노동당 제1비서가 7일 새벽 연평도를 포격했던 장재도, 무도 방어대를 전격 방문해 “우리 식의 전면전을 개시할 만단의 준비가 돼 있다”고 말했다고 보도했다.

조선중앙통신은	조선중앙통신/NNP+은/JX
이날	이날/NNG
김정은	김정은/NNP
노동당	노동당/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
7일	7/SN+일/NNB
새벽	새벽/NNG
연평도를	연평도/NNP+를/JKO
포격했던	포격/NNG+하/XSV+았/EP+던/ETM
장재도,	장재도/NNP+,/SP
무도	무도/NNP
방어대를	방어/NNG+대/NNG+를/JKO
전격	전격/NNG
방문해	방문/NNG+하/XSV+아/EC
“우리	“/SS+우리/NP
식의	식/NA+의/JKG
전면전을	전면전/NNG+을/JKO
개시할	개시/NNG+하/XSV+ㄹ/ETM
만단의	만단/NNG+의/JKG
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.5.1
노동신문은 인민군 대표의 연설을 인용해 “대륙간 탄도미사일을 비롯한 각종 미사일은 핵탄두를 장착하고 대기 상태에 있다”고 주장했다.

노동신문은	노동신문/NNP+은/JX
인민군	인민군/NNG
대표의	대표/NNG+의/JKG
연설을	연설/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“대륙간	“/SS+대륙/NNG+간/NNB
탄도미사일을	탄도/NNG+미사일/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
각종	각종/NNG
미사일은	미사일/NNG+은/JX
핵탄두를	핵탄두/NNG+를/JKO
장착하고	장착/NNG+하/XSV+고/EC
대기	대기/NNG
상태에	상태/NNG+에/JKB
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.5.2
총련 기관지 조선신보도 “조선(북한)은 전쟁 시 핵사용을 불사할 결의를 보여주고 있다”고 주장했다.

총련	총련/NNP
기관지	기관지/NNG
조선신보도	조선신보/NNP+도/JX
“조선(북한)은	“/SS+조선/NNP+(/SS+북한/NNP+)/SS+은/JX
전쟁	전쟁/NNG
시	시/NNB
핵사용을	핵/NNG+사용/NNG+을/JKO
불사할	불사/NNG+하/XSV+ㄹ/ETM
결의를	결의/NNG+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.6.1
이에 대해 김민석 국방부 대변인은 “북한이 핵무기로 공격한다면 대한민국은 물론이고 인류의 의지로 김정은 정권은 지구상에서 소멸될 것”이라며 “우리 군의 보복 응징 규모에 제한이 없다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
김민석	김민석/NNP
국방부	국방부/NNG
대변인은	대변인/NNG+은/JX
“북한이	“/SS+북한/NNP+이/JKS
핵무기로	핵무기/NNG+로/JKB
공격한다면	공격/NNG+하/XSV+ㄴ다면/EC
대한민국은	대한민국/NNP+은/JX
물론이고	물론/NNG+이/VCP+고/EC
인류의	인류/NNG+의/JKG
의지로	의지/NNG+로/JKB
김정은	김정은/NNP
정권은	정권/NNG+은/JX
지구상에서	지구/NNG+상/XSN+에서/JKB
소멸될	소멸/NNG+되/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“우리	“/SS+우리/NP
군의	군/NNG+의/JKG
보복	보복/NNG
응징	응징/NNG
규모에	규모/NNG+에/JKB
제한이	제한/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.338.7.1
박근혜 대통령은 8일 청와대 내 지하 벙커인 국가안보실 예하 위기관리상황실을 찾아 북한군 동향과 우리 군의 대비태세에 대한 보고를 받았다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
8일	8/SN+일/NNB
청와대	청와대/NNP
내	내/NNB
지하	지하/NNG
벙커인	벙커/NNG+이/VCP+ㄴ/ETM
국가안보실	국가/NNG+안보실/NNG
예하	예하/NNG
위기관리상황실을	위기관리/NNG+상황실/NNG+을/JKO
찾아	찾/VV+아/EC
북한군	북한군/NNG
동향과	동향/NNG+과/JC
우리	우리/NP
군의	군/NNG+의/JKG
대비태세에	대비/NNG+태세/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보고를	보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.7.2
박 대통령이 이곳을 찾은 것은 처음이다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
이곳을	이곳/NP+을/JKO
찾은	찾/VV+은/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.338.7.3
김장수 국가안보실장 내정자도 동석했다.

김장수	김장수/NNP
국가안보실장	국가/NNG+안보실장/NNG
내정자도	내정자/NNG+도/JX
동석했다.	동석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.7.4
박 대통령은 “북한의 어떠한 도발행위도 즉각 무력화할 수 있는 한미연합 태세를 갖춰주길 바란다”며 “연평도 주민에 대한 대비 태세도 잘 갖춰 달라”고 당부했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
“북한의	“/SS+북한/NNP+의/JKG
어떠한	어떠하/VA+ㄴ/ETM
도발행위도	도발/NNG+행위/NNG+도/JX
즉각	즉각/MAG
무력화할	무력/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
한미연합	한미/NNP+연합/NNG
태세를	태세/NNG+를/JKO
갖춰주길	갖추/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바란다”며	바라/VV+ㄴ다/EF+”/SS+며/EC
“연평도	“/SS+연평도/NNP
주민에	주민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비	대비/NNG
태세도	태세/NNG+도/JX
잘	잘/MAG
갖춰	갖추/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.8.1
중국 정부가 1월 채택된 유엔 안보리의 대북 결의 2087호를 철저히 이행하라고 교통운수부, 세관, 금융, 공안·변방부대 등 전 관계당국에 지시한 사실도 8일 알려졌다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
1월	1/SN+월/NNB
채택된	채택/NNG+되/XSV+ㄴ/ETM
유엔	유엔/NNP
안보리의	안보리/NNG+의/JKG
대북	대북/NNG
결의	결의/NNG
2087호를	2087/SN+호/NNB+를/JKO
철저히	철저히/MAG
이행하라고	이행/NNG+하/XSV+라고/EC
교통운수부,	교통/NNG+운수부/NNG+,/SP
세관,	세관/NNG+,/SP
금융,	금융/NNG+,/SP
공안·변방부대	공안/NNG+·/SP+변방/NNG+부대/NNG
등	등/NNB
전	전/MMN
관계당국에	관계/NNG+당국/NNG+에/JKB
지시한	지시/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
8일	8/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.338.8.2
결의 2087호는 북한의 지난해 12월 장거리 로켓 발사에 대한 제재 조치를 담고 있다.

결의	결의/NNG
2087호는	2087/SN+호/NNB+는/JX
북한의	북한/NNP+의/JKG
지난해	지난해/NNG
12월	12/SN+월/NNB
장거리	장거리/NNG
로켓	로켓/NNG
발사에	발사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재	제재/NNG
조치를	조치/NNG+를/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.338.8.3
중국 교통운수부 국제합작사(司·국)는 지난달 21일 홈페이지 공고를 통해 “외교부 요청에 따라 국제 의무를 이행하기 위해 각 유관 단위가 엄격히 결의(2087호)를 집행하라”고 지시했다.

중국	중국/NNP
교통운수부	교통/NNG+운수부/NNG
국제합작사(司·국)는	국제/NNG+합작사/NNG+(/SS+司/SH+·/SP+국/NNG+)/SS+는/JX
지난달	지난달/NNG
21일	21/SN+일/NNB
홈페이지	홈페이지/NNG
공고를	공고/NNG+를/JKO
통해	통하/VV+아/EC
“외교부	“/SS+외교부/NNG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
국제	국제/NNG
의무를	의무/NNG+를/JKO
이행하기	이행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
각	각/MMD
유관	유관/NNG
단위가	단위/NNG+가/JKS
엄격히	엄격히/MAG
결의(2087호)를	결의/NNG+(/SS+2087/SN+호/NNB+)/SS+를/JKO
집행하라”고	집행/NNG+하/XSV+라/EF+”/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.338.8.4
중국 정부의 공개적인 대북 결의 이행 지시는 이번이 처음이다.

중국	중국/NNP
정부의	정부/NNG+의/JKG
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
결의	결의/NNG
이행	이행/NNG
지시는	지시/NNG+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.338.9.1
기도 베스터벨레 독일 외교장관은 8일 “유럽연합(EU) 외교장관들이 11일 벨기에 브뤼셀에서 유엔의 결의에 이어 추가로 대북 (양자)제재를 할지에 대해 논의할 것”이라고 말했다.

기도	기도/NNP
베스터벨레	베스터벨레/NNP
독일	독일/NNP
외교장관은	외교/NNG+장관/NNG+은/JX
8일	8/SN+일/NNB
“유럽연합(EU)	“/SS+유럽연합/NNP+(/SS+EU/SL+)/SS
외교장관들이	외교/NNG+장관/NNG+들/XSN+이/JKS
11일	11/SN+일/NNB
벨기에	벨기에/NNP
브뤼셀에서	브뤼셀/NNP+에서/JKB
유엔의	유엔/NNP+의/JKG
결의에	결의/NNG+에/JKB
이어	잇/VV+어/EC
추가로	추가/NNG+로/JKB
대북	대북/NNG
(양자)제재를	(/SS+양자/NNG+)/SS+제재/NNG+를/JKO
할지에	하/VV+ㄹ지/EF+에/JKB
대해	대하/VV+아/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


