# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.84
metadata : {}


# id : NWRW1800000021.84.1.1
“술자리-성접대 강요받았다”

“술자리-성접대	“/SS+술자리/NNG+-/SO+성/NNG+접대/NNG
여기엔 기획사 관계자로부터 술과 골프 접대를 요구받았고 유흥주점에서 여러 명을 접대했다는 구체적인 내용이 담긴 것으로 전해졌다.

여기엔	여기/NP+에/JKB+ㄴ/JX
기획사	기획사/NNG
관계자로부터	관계자/NNG+로부터/JKB
술과	술/NNG+과/JC
골프	골프/NNG
접대를	접대/NNG+를/JKO
요구받았고	요구/NNG+받/XSV+았/EP+고/EC
유흥주점에서	유흥/NNG+주점/NNG+에서/JKB
여러	여러/MMN
명을	명/NNB+을/JKO
접대했다는	접대/NNG+하/XSV+았/EP+다는/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.84.4.2
또한 이 관계자가 장 씨를 방 안에 가둬놓고 욕설과 함께 수차례에 걸쳐 손과 페트병 등으로 구타했다는 내용도 포함된 것으로 보도됐다.

또한	또한/MAG
이	이/MMD
관계자가	관계자/NNG+가/JKS
장	장/NNP
씨를	씨/NNB+를/JKO
방	방/NNG
안에	안/NNG+에/JKB
가둬놓고	가두/VV+어/EC+놓/VX+고/EC
욕설과	욕설/NNG+과/JKB
함께	함께/MAG
수차례에	수차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
손과	손/NNG+과/JC
페트병	페트병/NNG
등으로	등/NNB+으로/JKB
구타했다는	구타/NNG+하/XSV+았/EP+다는/ETM
내용도	내용/NNG+도/JX
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보도됐다.	보도/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.84.5.1
장 씨는 이 때문에 정신과 치료까지 받고 있으며 거짓이 아님을 증명하기 위해 실명과 주민등록번호를 쓰고 지장까지 찍었다.

장	장/NNP
씨는	씨/NNB+는/JX
이	이/MMD
때문에	때문/NNB+에/JKB
정신과	정신과/NNG
치료까지	치료/NNG+까지/JX
받고	받/VV+고/EC
있으며	있/VX+으며/EC
거짓이	거짓/NNG+이/JKC
아님을	아니/VCN+ㅁ/ETN+을/JKO
증명하기	증명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
실명과	실명/NNG+과/JC
주민등록번호를	주민/NNG+등록/NNG+번호/NNG+를/JKO
쓰고	쓰/VV+고/EC
지장까지	지장/NNG+까지/JX
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.84.5.2
장 씨는 “배우 장자연은 거짓 하나 없으며 나약하고 힘없는 신인배우입니다.

장	장/NNP
씨는	씨/NNB+는/JX
“배우	“/SS+배우/NNG
장자연은	장자연/NNP+은/JX
거짓	거짓/NNG
하나	하나/NR
없으며	없/VA+으며/EC
나약하고	나약/NNG+하/XSA+고/EC
힘없는	힘없/VA+는/ETM
신인배우입니다.	신인/NNG+배우/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000021.84.5.3
꿈을 갖고 살고 있습니다.

꿈을	꿈/NNG+을/JKO
갖고	갖/VV+고/EC
살고	살/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000021.84.5.4
고통에서 벗어나고 싶습니다”라고 문건을 마무리한 것으로 알려졌다.

고통에서	고통/NNG+에서/JKB
벗어나고	벗어나/VV+고/EC
싶습니다”라고	싶/VX+습니다/EF+”/SS+라고/JKQ
문건을	문건/NNG+을/JKO
마무리한	마무리/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.84.6.1
문건에 나오는 기획사 관계자는 현재 일본에 체류 중인 것으로 전해졌다.

문건에	문건/NNG+에/JKB
나오는	나오/VV+는/ETM
기획사	기획사/NNG
관계자는	관계자/NNG+는/JX
현재	현재/MAG
일본에	일본/NNP+에/JKB
체류	체류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.84.7.1
장 씨의 자살 경위를 파악 중인 경기 분당경찰서는 “문서를 확보하지 못해 아직 단정할 수는 없지만 만약 그런 내용이 있다면 다시 수사해야 할 것 같다”고 말했다.

장	장/NNP
씨의	씨/NNB+의/JKG
자살	자살/NNG
경위를	경위/NNG+를/JKO
파악	파악/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경기	경기/NNP
분당경찰서는	분당경찰서/NNP+는/JX
“문서를	“/SS+문서/NNG+를/JKO
확보하지	확보/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
아직	아직/MAG
단정할	단정/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
만약	만약/MAG
그런	그런/MMD
내용이	내용/NNG+이/JKS
있다면	있/VA+다면/EC
다시	다시/MAG
수사해야	수사/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.8.1
경찰은 이날 장 씨의 전 매니저 유 씨를 불러 조사했지만 유 씨는 “유족과의 약속”이라며 문서의 자세한 내용은 밝히지 않았다.

경찰은	경찰/NNG+은/JX
이날	이날/NNG
장	장/NNP
씨의	씨/NNB+의/JKG
전	전/MMD
매니저	매니저/NNG
유	유/NNP
씨를	씨/NNB+를/JKO
불러	부르/VV+어/EC
조사했지만	조사/NNG+하/XSV+았/EP+지만/EC
씨는	씨/NNB+는/JX
“유족과의	“/SS+유족/NNG+과/JKB+의/JKG
약속”이라며	약속/NNG+”/SS+이/VCP+라며/EC
문서의	문서/NNG+의/JKG
자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.84.9.1
유 씨는 경찰 조사 직전 기자들에게 “장 씨가 나에게 문서를 준 것은 억울함이 많기 때문”이라며 “분명히 벌을 받아야 될 사람이 있고, 꼭 문서가 아니더라도 진실은 밝혀질 것”이라고 말했다.

유	유/NNP
씨는	씨/NNB+는/JX
경찰	경찰/NNG
조사	조사/NNG
직전	직전/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
“장	“/SS+장/NNP
씨가	씨/NNB+가/JKS
나에게	나/NP+에게/JKB
문서를	문서/NNG+를/JKO
준	주/VV+ㄴ/ETM
것은	것/NNB+은/JX
억울함이	억울/NNG+하/XSA+ㅁ/ETN+이/JKS
많기	많/VA+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“분명히	“/SS+분명히/MAG
벌을	벌/NNG+을/JKO
받아야	받/VV+아야/EC
될	되/VV+ㄹ/ETM
사람이	사람/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
꼭	꼭/MAG
문서가	문서/NNG+가/JKC
아니더라도	아니/VCN+더라도/EC
진실은	진실/NNG+은/JX
밝혀질	밝혀지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.10.1
숨진 장 씨와 동갑내기로 친분이 두터웠던 유 씨는 “장 씨가 우울증만으로 자살한 것처럼 보여 너무 억울했다”며 “문서를 갖고 있는 유족이 원치 않아 내용을 밝힐 수는 없다”고 말했다.

숨진	숨지/VV+ㄴ/ETM
장	장/NNP
씨와	씨/NNB+와/JKB
동갑내기로	동갑내기/NNG+로/JKB
친분이	친분/NNG+이/JKS
두터웠던	두텁/VA+었/EP+던/ETM
유	유/NNP
씨는	씨/NNB+는/JX
“장	“/SS+장/NNP
씨가	씨/NNB+가/JKS
우울증만으로	우울증/NNG+만/JX+으로/JKB
자살한	자살/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보여	보이/VV+어/EC
너무	너무/MAG
억울했다”며	억울/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“문서를	“/SS+문서/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
유족이	유족/NNG+이/JKS
원치	원/NNG+하/XSV+지/EC
않아	않/VX+아/EC
내용을	내용/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.11.1
경찰 조사를 받고 나온 유 씨는 13일 밤 자살 소동을 벌였다고 연합뉴스가 보도했다.

경찰	경찰/NNG
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
나온	나오/VV+ㄴ/ETM
유	유/NNP
씨는	씨/NNB+는/JX
13일	13/SN+일/NNB
밤	밤/NNG
자살	자살/NNG
소동을	소동/NNG+을/JKO
벌였다고	벌이/VV+었/EP+다고/EC
연합뉴스가	연합뉴스/NNP+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.12.1
유 씨가 대표를 맡고 있는 기획사의 한 직원은 연합뉴스와의 전화 통화에서 “(유 씨가) 전화를 받지 않아 이상한 생각이 들어 오후 10시쯤 오피스텔로 찾아갔더니 목을 매 자살하려 하고 있었다”며 “발견 즉시 병원으로 옮겼는데 현재 사람을 알아보지 못하는 상태”라고 말했다.

유	유/NNP
씨가	씨/NNB+가/JKS
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
기획사의	기획사/NNG+의/JKG
한	한/MMN
직원은	직원/NNG+은/JX
연합뉴스와의	연합뉴스/NNP+와/JKB+의/JKG
전화	전화/NNG
통화에서	통화/NNG+에서/JKB
“(유	“/SS+(/SS+유/NNP
씨가)	씨/NNB+가/JKS+)/SS
전화를	전화/NNG+를/JKO
받지	받/VV+지/EC
않아	않/VX+아/EC
이상한	이상/NNG+하/XSA+ㄴ/ETM
생각이	생각/NNG+이/JKS
들어	들/VV+어/EC
오후	오후/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
오피스텔로	오피스텔/NNG+로/JKB
찾아갔더니	찾아가/VV+았/EP+더니/EC
목을	목/NNG+을/JKO
매	매/VV+어/EC
자살하려	자살/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“발견	“/SS+발견/NNG
즉시	즉시/MAG
병원으로	병원/NNG+으로/JKB
옮겼는데	옮기/VV+었/EP+는데/EC
현재	현재/MAG
사람을	사람/NNG+을/JKO
알아보지	알아보/VV+지/EC
못하는	못하/VX+는/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.13.1
장 씨가 문건에서 언급한 기획사 관계자 김모 씨는 13일 한 언론과의 통화에서 “문서 내용은 모두 사실이 아니다”라고 반박했다.

장	장/NNP
씨가	씨/NNB+가/JKS
문건에서	문건/NNG+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
기획사	기획사/NNG
관계자	관계자/NNG
김모	김/NNP+모/NP
씨는	씨/NNB+는/JX
13일	13/SN+일/NNB
한	한/MMN
언론과의	언론/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“문서	“/SS+문서/NNG
내용은	내용/NNG+은/JX
모두	모두/MAG
사실이	사실/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.14.1
김 씨는 “우리 회사가 유 씨를 상대로 민형사 소송 4건을 진행하고 있는 것에 대해 유 씨가 앙심을 품고 벌인 자작극”이라고 말했다.

김	김/NNP
씨는	씨/NNB+는/JX
“우리	“/SS+우리/NP
회사가	회사/NNG+가/JKS
유	유/NNP
씨를	씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
민형사	민형사/NNG
소송	소송/NNG
4건을	4/SN+건/NNB+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
씨가	씨/NNB+가/JKS
앙심을	앙심/NNG+을/JKO
품고	품/VV+고/EC
벌인	벌이/VV+ㄴ/ETM
자작극”이라고	자작극/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.84.15.1
한편 장 씨의 오빠는 이날 연합뉴스와의 통화에서 “조만간 기자회견 등의 형식을 통해 유족의 입장을 밝히겠다”고 말했다.

한편	한편/MAG
장	장/NNP
씨의	씨/NNB+의/JKG
오빠는	오빠/NNG+는/JX
이날	이날/NNG
연합뉴스와의	연합뉴스/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“조만간	“/SS+조만간/MAG
기자회견	기자/NNG+회견/NNG
등의	등/NNB+의/JKG
형식을	형식/NNG+을/JKO
통해	통하/VV+아/EC
유족의	유족/NNG+의/JKG
입장을	입장/NNG+을/JKO
밝히겠다”고	밝히/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


