# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.236
metadata : {}


# id : NWRW1800000048.236.1.1
‘해킹 의료사고’ 우려 큰데…정부, 원격의료 확대

‘해킹	‘/SS+해킹/NNG
정부는 보건복지부와 미래창조과학부 등 관계부처 합동으로 26일 ‘원격협진 활성화 및 원격의료 시범사업 확대 계획’을 발표하고, 3월부터 농어촌 응급실과 대도시 거점병원 사이 원격협진 및 현재 추진 중인 원격의료 시범사업을 단계적으로 확대한다고 밝혔다.

정부는	정부/NNG+는/JX
보건복지부와	보건/NNG+복지부/NNG+와/JC
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
등	등/NNB
관계부처	관계/NNG+부처/NNG
합동으로	합동/NNG+으로/JKB
26일	26/SN+일/NNB
‘원격협진	‘/SS+원격/NNG+협진/NNG
활성화	활성/NNG+화/XSN
및	및/MAG
원격의료	원격/NNG+의료/NNG
시범사업	시범/NNG+사업/NNG
확대	확대/NNG
계획’을	계획/NNG+’/SS+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
3월부터	3/SN+월/NNB+부터/JX
농어촌	농어촌/NNG
응급실과	응급실/NNG+과/JC
대도시	대/XPN+도시/NNG
거점병원	거점/NNG+병원/NNG
사이	사이/NNG
원격협진	원격/NNG+협진/NNG
현재	현재/MAG
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
시범사업을	시범/NNG+사업/NNG+을/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
확대한다고	확대/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.236.8.1
정부 계획을 좀더 구체적으로 살피면, 먼저 현재 동네의원과 보건소 18곳에서 진행 중인 원격의료 시범사업은 4월부터 최대 50곳으로 그 대상이 확대된다.

정부	정부/NNG
계획을	계획/NNG+을/JKO
좀더	좀/MAG+더/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
살피면,	살피/VV+면/EC+,/SP
먼저	먼저/MAG
현재	현재/MAG
동네의원과	동네/NNG+의원/NNG+과/JC
보건소	보건소/NNG
18곳에서	18/SN+곳/NNG+에서/JKB
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
원격의료	원격/NNG+의료/NNG
시범사업은	시범/NNG+사업/NNG+은/JX
4월부터	4/SN+월/NNB+부터/JX
최대	최대/NNG
50곳으로	50/SN+곳/NNG+으로/JKB
그	그/MMD
대상이	대상/NNG+이/JKS
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.236.8.2
현재 800명 규모인 시범사업 대상 환자도 1800여명으로 는다.

현재	현재/MAG
800명	800/SN+명/NNB
규모인	규모/NNG+이/VCP+ㄴ/ETM
시범사업	시범/NNG+사업/NNG
대상	대상/NNG
환자도	환자/NNG+도/JX
1800여명으로	1800/SN+여/XSN+명/NNB+으로/JKB
는다.	늘/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.236.8.3
원양어선 등 물리적 접근이 어려운 특수지 대상의 원격의료 서비스도 활성화된다.

원양어선	원양/NNG+어선/NNG
등	등/NNB
물리적	물리/NNG+적/XSN
접근이	접근/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
특수지	특수지/NNG
대상의	대상/NNG+의/JKG
원격의료	원격/NNG+의료/NNG
서비스도	서비스/NNG+도/JX
활성화된다.	활성/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.236.8.4
4월에는 원양어선 등 선박 6척의 선원 100여명에 대한 원격의료 서비스가 시작되고, 7월에는 군장병이나 교도소 등 교정시설 수감자를 대상으로 하는 원격의료 시범사업이 확대·실시된다.

4월에는	4/SN+월/NNB+에/JKB+는/JX
원양어선	원양/NNG+어선/NNG
등	등/NNB
선박	선박/NNG
6척의	6/SN+척/NNB+의/JKG
선원	선원/NNG
100여명에	100/SN+여/XSN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
원격의료	원격/NNG+의료/NNG
서비스가	서비스/NNG+가/JKS
시작되고,	시작/NNG+되/XSV+고/EC+,/SP
7월에는	7/SN+월/NNB+에/JKB+는/JX
군장병이나	군/NNG+장병/NNG+이나/JC
교도소	교도소/NNG
교정시설	교정/NNG+시설/NNG
수감자를	수감자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
시범사업이	시범/NNG+사업/NNG+이/JKS
확대·실시된다.	확대/NNG+·/SP+실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.236.8.5
군장병 대상의 시범사업은 현재 휴전선 근처 전방부대 두곳에서 진행 중인데, 전·후방 격오지 부대 40곳으로 범위를 넓힌다.

군장병	군/NNG+장병/NNG
대상의	대상/NNG+의/JKG
시범사업은	시범/NNG+사업/NNG+은/JX
현재	현재/MAG
휴전선	휴전선/NNG
근처	근처/NNG
전방부대	전방/NNG+부대/NNG
두곳에서	두/MMN+곳/NNG+에서/JKB
진행	진행/NNG
중인데,	중/NNB+이/VCP+ㄴ데/EC+,/SP
전·후방	전·후방/NNG
격오지	격오지/NNG
부대	부대/NNG
40곳으로	40/SN+곳/NNG+으로/JKB
범위를	범위/NNG+를/JKO
넓힌다.	넓히/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.236.8.6
대상자는 2000여명이다.

대상자는	대상자/NNG+는/JX
2000여명이다.	2000/SN+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.236.9.1
정부는 이처럼 의료진을 직접 만나기 어려운 곳에서 생활하는 이들의 의료접근권을 제대로 보장하려면 현실적으로 원격의료 확대가 불가피하다는 태도지만, 대한의사협회(의협) 등 의료계는 원격의료 시범사업 규모를 무턱대고 키우기보다 안전성 우려와 관련한 철저한 검증이 먼저라는 태도다.

정부는	정부/NNG+는/JX
이처럼	이/NP+처럼/JKB
의료진을	의료진/NNG+을/JKO
직접	직접/MAG
만나기	만나/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
생활하는	생활/NNG+하/XSV+는/ETM
이들의	이/NNB+들/XSN+의/JKG
의료접근권을	의료/NNG+접근/NNG+권/XSN+을/JKO
제대로	제대로/MAG
보장하려면	보장/NNG+하/XSV+려면/EC
현실적으로	현실/NNG+적/XSN+으로/JKB
원격의료	원격/NNG+의료/NNG
확대가	확대/NNG+가/JKS
불가피하다는	불가피하/VA+다는/ETM
태도지만,	태도/NNG+이/VCP+지만/EC+,/SP
대한의사협회(의협)	대한의사협회/NNP+(/SS+의협/NNP+)/SS
등	등/NNB
의료계는	의료/NNG+계/XSN+는/JX
시범사업	시범/NNG+사업/NNG
규모를	규모/NNG+를/JKO
무턱대고	무턱대고/MAG
키우기보다	키우/VV+기/ETN+보다/JKB
안전성	안전/NNG+성/XSN
우려와	우려/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
철저한	철저/NNG+하/XSA+ㄴ/ETM
검증이	검증/NNG+이/JKS
먼저라는	먼저/NNG+이/VCP+라는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.236.10.1
특히 의협은 최근 정보보안 전문연구기관과 함께 시범사업을 진행하고 있는 원격의료 현장 한 곳을 살피니, 상당수 원격의료시스템이 해킹에 무방비 상태인 것으로 드러나는 등 원격의료의 안전성 우려가 높다고 지적했다.

특히	특히/MAG
의협은	의협/NNP+은/JX
최근	최근/MAG
정보보안	정보/NNG+보안/NNG
전문연구기관과	전문/NNG+연구/NNG+기관/NNG+과/JKB
함께	함께/MAG
시범사업을	시범/NNG+사업/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
원격의료	원격/NNG+의료/NNG
현장	현장/NNG
한	한/MMN
곳을	곳/NNG+을/JKO
살피니,	살피/VV+니/EC+,/SP
상당수	상당수/NNG
원격의료시스템이	원격/NNG+의료/NNG+시스템/NNG+이/JKS
해킹에	해킹/NNG+에/JKB
무방비	무/XPN+방비/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러나는	드러나/VV+는/ETM
등	등/NNB
원격의료의	원격/NNG+의료/NNG+의/JKG
안전성	안전/NNG+성/XSN
우려가	우려/NNG+가/JKS
높다고	높/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.236.10.2
의협이 확인한 원격의료시스템의 기술적 문제는 원격의료의 주요 수단인 피씨의 악성코드·바이러스 감염 우려와 환자 정보의 취약한 보안성, 의료진의 낮은 전문성 등이다.

의협이	의협/NNP+이/JKS
확인한	확인/NNG+하/XSV+ㄴ/ETM
원격의료시스템의	원격/NNG+의료/NNG+시스템/NNG+의/JKG
기술적	기술/NNG+적/XSN
문제는	문제/NNG+는/JX
원격의료의	원격/NNG+의료/NNG+의/JKG
주요	주요/NNG
수단인	수단/NNG+이/VCP+ㄴ/ETM
피씨의	피씨/NNG+의/JKG
악성코드·바이러스	악성/NNG+코드/NNG+·/SP+바이러스/NNG
감염	감염/NNG
우려와	우려/NNG+와/JC
환자	환자/NNG
정보의	정보/NNG+의/JKG
취약한	취약/NNG+하/XSA+ㄴ/ETM
보안성,	보안/NNG+성/XSN+,/SP
의료진의	의료진/NNG+의/JKG
낮은	낮/VA+은/ETM
전문성	전문/NNG+성/XSN
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.236.10.3
이는 곧 원격의료로 되레 환자 목숨이 위협받을 수 있다는 사실을 뜻하는 만큼, 원격의료의 안전성에 대한 투명한 검증이 시급하다는 게 의협 주장이다.

이는	이/NP+는/JX
곧	곧/MAG
원격의료로	원격/NNG+의료/NNG+로/JKB
되레	되레/MAG
환자	환자/NNG
목숨이	목숨/NNG+이/JKS
위협받을	위협/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
만큼,	만큼/NNB+,/SP
원격의료의	원격/NNG+의료/NNG+의/JKG
안전성에	안전/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
투명한	투명/NNG+하/XSA+ㄴ/ETM
검증이	검증/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
게	거/NNB+이/JKS
의협	의협/NNP
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.236.11.1
최재욱 의협 의료정책연구소장은 “환자의 의료정보가 암호화되지도 않은 채 저장·전송되거나, 일부 원격의료 피씨에 의료 행위와 무관한 게임이나 메신저가 설치돼 있다는 점, 환자의 안색조차 제대로 확인하기 어려운 저사양의 원격의료 영상장치 등이 원격의료 현장에서 발견된 문제”라며 “원격의료시스템이 이처럼 보안에 취약하다는 것은 환자의 의료정보가 해킹 등으로 외부에 유출되거나 의료기기의 오작동으로 잘못된 처방이 내려질 위험이 있다는 뜻”이라고 지적했다.

최재욱	최재욱/NNP
의협	의협/NNP
의료정책연구소장은	의료/NNG+정책/NNG+연구소장/NNG+은/JX
“환자의	“/SS+환자/NNG+의/JKG
의료정보가	의료/NNG+정보/NNG+가/JKS
암호화되지도	암호/NNG+화/XSN+되/XSV+지/EC+도/JX
않은	않/VX+은/ETM
채	채/NNB
저장·전송되거나,	저장/NNG+·/SP+전송/NNG+되/XSV+거나/EC+,/SP
일부	일부/NNG
원격의료	원격/NNG+의료/NNG
피씨에	피씨/NNG+에/JKB
의료	의료/NNG
행위와	행위/NNG+와/JKB
무관한	무관하/VA+ㄴ/ETM
게임이나	게임/NNG+이나/JC
메신저가	메신저/NNG+가/JKS
설치돼	설치/NNG+되/XSV+어/EC
있다는	있/VA+다는/ETM
점,	점/NNG+,/SP
환자의	환자/NNG+의/JKG
안색조차	안색/NNG+조차/JX
제대로	제대로/MAG
확인하기	확인/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
저사양의	저/XPN+사양/NNG+의/JKG
영상장치	영상/NNG+장치/NNG
등이	등/NNB+이/JKS
현장에서	현장/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“원격의료시스템이	“/SS+원격/NNG+의료/NNG+시스템/NNG+이/JKS
이처럼	이/NP+처럼/JKB
보안에	보안/NNG+에/JKB
취약하다는	취약/NNG+하/XSA+다는/ETM
것은	것/NNB+은/JX
해킹	해킹/NNG
등으로	등/NNB+으로/JKB
외부에	외부/NNG+에/JKB
유출되거나	유출/NNG+되/XSV+거나/EC
의료기기의	의료/NNG+기기/NNG+의/JKG
오작동으로	오작동/NNG+으로/JKB
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
처방이	처방/NNG+이/JKS
내려질	내려지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
뜻”이라고	뜻/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


