# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.210
metadata : {}


# id : NWRW1800000036.210.1.1
‘공황장애’ 기관사 선로 뛰어들어 숨져

‘공황장애’	‘/SS+공황/NNG+장애/NNG+’/SS
않아	않/VX+아/EC
심적	심적/MMA
괴로움을	괴로움/NNG+을/JKO
호소해	호소/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.210.5.1
12일 오전 8시5분께 서울 지하철 5호선 왕십리역에서 지하철 기관사 이아무개(43)씨가 마천행 열차에 뛰어들어 그 자리에서 숨졌다.

12일	12/SN+일/NNB
오전	오전/NNG
8시5분께	8/SN+시/NNB+5/SN+분/NNB+께/XSN
서울	서울/NNP
지하철	지하철/NNG
5호선	5/SN+호선/NNB
왕십리역에서	왕십리역/NNP+에서/JKB
기관사	기관사/NNG
이아무개(43)씨가	이/NNP+아무개/NP+(/SS+43/SN+)/SS+씨/NNB+가/JKS
마천행	마천행/NNG
열차에	열차/NNG+에/JKB
뛰어들어	뛰어들/VV+어/EC
그	그/MMD
자리에서	자리/NNG+에서/JKB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.210.5.2
이씨는 직원 전용 스크린도어 출입문을 열고, 터널을 통과해 들어오던 열차에 몸을 던졌다.

이씨는	이/NNP+씨/NNB+는/JX
직원	직원/NNG
전용	전용/NNG
스크린도어	스크린/NNG+도어/NNG
출입문을	출입문/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
터널을	터널/NNG+을/JKO
통과해	통과/NNG+하/XSV+아/EC
들어오던	들어오/VV+던/ETM
열차에	열차/NNG+에/JKB
몸을	몸/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.210.5.3
이씨는 이날 오전 6시48분부터 7시55분까지 오전 근무를 마치고 5호선 답십리역에서 다음 근무자와 교대했다.

이씨는	이/NNP+씨/NNB+는/JX
이날	이날/NNG
오전	오전/NNG
6시48분부터	6/SN+시/NNB+48/SN+분/NNB+부터/JX
7시55분까지	7/SN+시/NNB+55/SN+분/NNB+까지/JX
근무를	근무/NNG+를/JKO
마치고	마치/VV+고/EC
5호선	5/SN+호선/NNB
답십리역에서	답십리역/NNP+에서/JKB
다음	다음/NNG
근무자와	근무자/NNG+와/JKB
교대했다.	교대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.210.6.1
민주노총 도시철도노조와 유가족들의 말을 들어보면, 이씨는 지난해 6월 공황장애로 10일간 입원 치료를 받았다.

민주노총	민주노총/NNP
도시철도노조와	도시철도노조/NNP+와/JC
유가족들의	유가족/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
들어보면,	듣/VV+어/EC+보/VX+면/EC+,/SP
이씨는	이/NNP+씨/NNB+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
공황장애로	공황/NNG+장애/NNG+로/JKB
10일간	10/SN+일/NNB+간/XSN
입원	입원/NNG
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.210.6.2
이씨는 또 지난해 초와 올해 2월 “공황장애로 승무업무를 할 수 없다”며 회사 쪽에 전직 신청을 했지만 받아들여지지 않았다.

이씨는	이/NNP+씨/NNB+는/JX
또	또/MAG
지난해	지난해/NNG
초와	초/NNB+와/JC
올해	올해/NNG
2월	2/SN+월/NNB
“공황장애로	“/SS+공황/NNG+장애/NNG+로/JKB
승무업무를	승무/NNG+업무/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
회사	회사/NNG
쪽에	쪽/NNB+에/JKB
전직	전직/NNG
신청을	신청/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.210.6.3
도시철도공사 관계자는 “사무직은 선호하는 사람이 많아 전직 신청을 전부 다 받아줄 수 없었다”고 설명했다.

도시철도공사	도시철도공사/NNP
관계자는	관계자/NNG+는/JX
“사무직은	“/SS+사무직/NNG+은/JX
선호하는	선호/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많아	많/VA+아/EC
전직	전직/NNG
신청을	신청/NNG+을/JKO
전부	전부/MAG
다	다/MAG
받아줄	받/VV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.210.7.1
노조는 13일 오전 이씨의 죽음과 관련해 도시철도공사를 규탄하는 기자회견을 열 예정이다.

노조는	노조/NNG+는/JX
13일	13/SN+일/NNB
오전	오전/NNG
이씨의	이/NNP+씨/NNB+의/JKG
죽음과	죽음/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
도시철도공사를	도시철도공사/NNP+를/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
기자회견을	기자/NNG+회견/NNG+을/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.210.7.2
노조 관계자는 “운행이 힘든 상황의 기관사를 무리하게 열차에 태워 사고가 난 것”이라며 “정신적 문제로 스스로 목숨을 끊은 기관사가 2004년부터 지금까지 3명에 이른다”고 말했다.

노조	노조/NNG
관계자는	관계자/NNG+는/JX
“운행이	“/SS+운행/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
상황의	상황/NNG+의/JKG
기관사를	기관사/NNG+를/JKO
무리하게	무리/NNG+하/XSA+게/EC
열차에	열차/NNG+에/JKB
태워	태우/VV+어/EC
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“정신적	“/SS+정신/NNG+적/XSN
문제로	문제/NNG+로/JKB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
기관사가	기관사/NNG+가/JKS
2004년부터	2004/SN+년/NNB+부터/JX
지금까지	지금/NNG+까지/JX
3명에	3/SN+명/NNB+에/JKB
이른다”고	이르/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.210.7.3
공사 쪽은 “사망 경위가 확실하게 밝혀지지 않은 상황에서 무조건 전직 문제로 연결짓는 것이 조심스럽다”고 말했다.

공사	공사/NNG
쪽은	쪽/NNB+은/JX
“사망	“/SS+사망/NNG
경위가	경위/NNG+가/JKS
확실하게	확실하/VA+게/EC
밝혀지지	밝혀지/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
무조건	무/XPN+조건/NNG
전직	전직/NNG
문제로	문제/NNG+로/JKB
연결짓는	연결/NNG+짓/VV+는/ETM
것이	것/NNB+이/JKS
조심스럽다”고	조심/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


