# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.81
metadata : {}


# id : NWRW1800000022.81.1.1
한국화학시험硏, 화순으로 옮겨온다

한국화학시험硏,	한국화학시험硏/NNP+,/SP
수도	수/NNG+도/JX
지난	지나/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
2933개에서	2933/SN+개/NNB+에서/JKB
2014년	2014/SN+년/NNB
7000여개로	7000/SN+여/XSN+개/NNB+로/JKB
증가할	증가/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
도는	도/NNG+는/JX
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.81.7.1
전남도는 "식품·의약·해양·한방 등 생물산업에서 기능성 평가 및 안전성 검증에 대한 요구가 갈수록 늘어나는 현실에서, 시험분석 데이터 제공과 각종 생산품에 대한 시험 인증평가 등을 지원함으로써 기업 경쟁력 강화에 도움을 줄 것"이라고 기대했다.

전남도는	전남도/NNP+는/JX
"식품·의약·해양·한방	"/SS+식품/NNG+·/SP+의약/NNG+·/SP+해양/NNG+·/SP+한방/NNG
등	등/NNB
생물산업에서	생물/NNG+산업/NNG+에서/JKB
기능성	기능/NNG+성/XSN
평가	평가/NNG
및	및/MAG
안전성	안전/NNG+성/XSN
검증에	검증/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
요구가	요구/NNG+가/JKS
갈수록	갈수록/MAG
늘어나는	늘어나/VV+는/ETM
현실에서,	현실/NNG+에서/JKB+,/SP
시험분석	시험/NNG+분석/NNG
데이터	데이터/NNG
제공과	제공/NNG+과/JKB
각종	각종/NNG
생산품에	생산품/NNG+에/JKB
시험	시험/NNG
인증평가	인증/NNG+평가/NNG
등을	등/NNB+을/JKO
지원함으로써	지원/NNG+하/XSV+ㅁ/ETN+으로써/JKB
기업	기업/NNG
경쟁력	경쟁력/NNG
강화에	강화/NNG+에/JKB
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.81.8.1
GLP(Good Laboratory Practice ·비임상시험관리기준)는 시험기관에서 수행하는 시험의 계획·실행·점검·기록과 보고되는 체계적인 과정 및 이와 관련된 전반적 사항을 정한 기준이다.

GLP(Good	GLP/SL+(/SS+Good/SL
Laboratory	Laboratory/SL
Practice	Practice/SL
·비임상시험관리기준)는	·/SP+비/XPN+임상/NNG+시험/NNG+관리/NNG+기준/NNG+)/SS+는/JX
시험기관에서	시험/NNG+기관/NNG+에서/JKB
수행하는	수행/NNG+하/XSV+는/ETM
시험의	시험/NNG+의/JKG
계획·실행·점검·기록과	계획/NNG+·/SP+실행/NNG+·/SP+점검/NNG+·/SP+기록/NNG+과/JKB
보고되는	보고/NNG+되/XSV+는/ETM
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
과정	과정/NNG
및	및/MAG
이와	이/NP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
전반적	전반/NNG+적/XSN
사항을	사항/NNG+을/JKO
정한	정하/VV+ㄴ/ETM
기준이다.	기준/NNG+이/VCP+다/EF+./SF


