# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.223
metadata : {}


# id : NWRW1800000045.223.1.1
“한국-한국계가 우승 못해야 뉴스”

“한국-한국계가	“/SS+한국/NNP+-/SO+한국/NNP+계/XSN+가/JKS
선수	선수/NNG
중	중/NNB
최대	최대/NNG
4명까지	4/SN+명/NNB+까지/JX
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.223.6.1
몇 년 전만 해도 한국 선수의 강세는 LPGA투어의 흥행을 저해한다며 거센 역풍을 맞기도 했다.

몇	몇/NR
년	년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
한국	한국/NNP
선수의	선수/NNG+의/JKG
강세는	강세/NNG+는/JX
LPGA투어의	LPGA/SL+투어/NNG+의/JKG
흥행을	흥행/NNG+을/JKO
저해한다며	저해/NNG+하/XSV+ㄴ다며/EC
거센	거세/VA+ㄴ/ETM
역풍을	역풍/NNG+을/JKO
맞기도	맞/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.223.6.2
영어 테스트를 의무화해야 한다는 인종차별적인 논의까지 일었다.

영어	영어/NNP
테스트를	테스트/NNG+를/JKO
의무화해야	의무/NNG+화/XSN+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
인종차별적인	인종/NNG+차별/NNG+적/XSN+이/VCP+ㄴ/ETM
논의까지	논의/NNG+까지/JX
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.6.3
하지만 최근 분위기는 달라졌다.

하지만	하지만/MAJ
최근	최근/NNG
분위기는	분위기/NNG+는/JX
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.6.4
2010년 부임한 마이크 완 LPGA 커미셔너는 미국 시장을 벗어나 투어의 글로벌화를 주도하고 있다.

2010년	2010/SN+년/NNB
부임한	부임/NNG+하/XSV+ㄴ/ETM
마이크	마이크/NNP
완	완/NNP
LPGA	LPGA/SL
커미셔너는	커미셔너/NNG+는/JX
미국	미국/NNP
시장을	시장/NNG+을/JKO
벗어나	벗어나/VV+아/EC
투어의	투어/NNG+의/JKG
글로벌화를	글로벌/NNG+화/XSN+를/JKO
주도하고	주도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.223.6.5
완 커미셔너는 “한국 선수를 포함한 아시아 선수들의 맹활약은 새로운 팬과 파트너를 창출해 투어 활성화에 기여한다.

완	완/NNP
커미셔너는	커미셔너/NNG+는/JX
“한국	“/SS+한국/NNP
선수를	선수/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
아시아	아시아/NNP
선수들의	선수/NNG+들/XSN+의/JKG
맹활약은	맹활약/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
팬과	팬/NNG+과/JC
파트너를	파트너/NNG+를/JKO
창출해	창출/NNG+하/XSV+아/EC
투어	투어/NNG
활성화에	활성/NNG+화/XSN+에/JKB
기여한다.	기여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.223.6.6
LPGA 세계화를 이끄는 대사들”이라고 반겼다.

LPGA	LPGA/SL
세계화를	세계/NNG+화/XSN+를/JKO
이끄는	이끌/VV+는/ETM
대사들”이라고	대사/NNG+들/XSN+”/SS+이라고/JKQ
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.223.6.7
한때 성적에만 매달려 주위를 살필 줄 모른다는 비난에 휩싸였던 한국 선수들이 요즘은 자선 활동과 기부에도 적극적이다.

한때	한때/MAG
성적에만	성적/NNG+에/JKB+만/JX
매달려	매달리/VV+어/EC
주위를	주위/NNG+를/JKO
살필	살피/VV+ㄹ/ETM
줄	줄/NNB
모른다는	모르/VV+ㄴ다는/ETM
비난에	비난/NNG+에/JKB
휩싸였던	휩싸이/VV+었/EP+던/ETM
한국	한국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
요즘은	요즘/NNG+은/JX
자선	자선/NNG
활동과	활동/NNG+과/JC
기부에도	기부/NNG+에/JKB+도/JX
적극적이다.	적극/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.223.6.8
어설프더라도 영어로 인터뷰하려고 노력하는 모습도 긍정적인 이미지를 창출하고 있다.

어설프더라도	어설프/VA+더라도/EC
영어로	영어/NNP+로/JKB
인터뷰하려고	인터뷰/NNG+하/XSV+려고/EC
노력하는	노력/NNG+하/XSV+는/ETM
모습도	모습/NNG+도/JX
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
창출하고	창출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.223.6.9
박인비는 우승 후 준비한 메모를 통해 스폰서와 골프장 관계자 이름을 일일이 호명해 찬사를 받았다.

박인비는	박인비/NNP+는/JX
우승	우승/NNG
후	후/NNG
준비한	준비/NNG+하/XSV+ㄴ/ETM
메모를	메모/NNG+를/JKO
통해	통하/VV+아/EC
스폰서와	스폰서/NNG+와/JC
골프장	골프장/NNG
관계자	관계자/NNG
이름을	이름/NNG+을/JKO
일일이	일일이/MAG
호명해	호명/NNG+하/XSV+아/EC
찬사를	찬사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


