# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.84
metadata : {}


# id : NWRW1800000041.84.1.1
[프리미엄뷰]힘내라 대한민국 내 사랑, 대한국인, 신나게 노래해요 자랑스러운 우리 영웅들

[프리미엄뷰]힘내라	[/SS+프리미엄뷰/NNG+]/SS+힘내/VV+어라/EF
대한민국전몰군경미망인회장,	대한민국전몰군경미망인회장/NNG+,/SP
김용태	김용태/NNP
의원,	의원/NNG+,/SP
보훈	보훈/NNG


# id : NWRW1800000041.84.5.1
가족 방송인 박경림 씨 등이 참석했다.

가족	가족/NNG
방송인	방송인/NNG
박경림	박경림/NNP
씨	씨/NNB
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.84.6.1
이 자리에서 롯데백화점은 나라 사랑 주제가 ‘대한민국을 빛낸 100人의 영웅들’을 선보여 큰 호응을 얻었다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
롯데백화점은	롯데백화점/NNP+은/JX
나라	나라/NNG
사랑	사랑/NNG
주제가	주제가/NNG
‘대한민국을	‘/SS+대한민국/NNP+을/JKO
빛낸	빛내/VV+ㄴ/ETM
100人의	100/SN+人/SH+의/JKG
영웅들’을	영웅/NNG+들/XSN+’/SS+을/JKO
선보여	선보이/VV+어/EC
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.84.6.2
이 대표이사는 “국가를 위해 희생한 순국선열들은 사회의 발전과 평화의 토대를 만든 분들이다” 라며 “앞으로는 우리 모두가 순국선열들의 희생에 보답해 국가의 발전을 위해 힘쓸 차례이며, 롯데백화점은 이에 대한 지속적인 관심과 후원을 아끼지 않을 것”이라고 말했다.

이	이/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
“국가를	“/SS+국가/NNG+를/JKO
위해	위하/VV+아/EC
희생한	희생/NNG+하/XSV+ㄴ/ETM
순국선열들은	순국선열/NNG+들/XSN+은/JX
사회의	사회/NNG+의/JKG
발전과	발전/NNG+과/JC
평화의	평화/NNG+의/JKG
토대를	토대/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
분들이다”	분/NNB+들/XSN+이/VCP+다/EF+”/SS
라며	이/VCP+라며/EC
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
우리	우리/NP
모두가	모두/NNG+가/JKS
순국선열들의	순국선열/NNG+들/XSN+의/JKG
희생에	희생/NNG+에/JKB
보답해	보답/NNG+하/XSV+아/EC
국가의	국가/NNG+의/JKG
발전을	발전/NNG+을/JKO
힘쓸	힘쓰/VV+ㄹ/ETM
차례이며,	차례/NNG+이/VCP+며/EC+,/SP
롯데백화점은	롯데백화점/NNP+은/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
관심과	관심/NNG+과/JC
후원을	후원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.84.6.3
오는 8일까지 본점 정문 앞 특설행사장에서 연예인 정치인 등 유명인사와 고객들의 소장품을 판매한다.

오는	오/VV+는/ETM
8일까지	8/SN+일/NNB+까지/JX
본점	본점/NNG
정문	정문/NNG
앞	앞/NNG
특설행사장에서	특설/NNG+행사장/NNG+에서/JKB
연예인	연예인/NNG
정치인	정치인/NNG
등	등/NNB
유명인사와	유명/NNG+인사/NNG+와/JC
고객들의	고객/NNG+들/XSN+의/JKG
소장품을	소장품/NNG+을/JKO
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.84.7.1
박승춘 국가보훈처장 , 김종태 국회의원(새누리당), 김재윤 국회의원(새정치민주연합), 배우

박승춘	박승춘/NNP
국가보훈처장	국가/NNG+보훈처장/NNG
,	,/SP
김종태	김종태/NNP
국회의원(새누리당),	국회/NNG+의원/NNG+(/SS+새누리당/NNP+)/SS+,/SP
김재윤	김재윤/NNP
국회의원(새정치민주연합),	국회/NNG+의원/NNG+(/SS+새정치민주연합/NNP+)/SS+,/SP
배우	배우/NNG


# id : NWRW1800000041.84.8.1
김수현과 그룹 소녀시대, 이원준 대표이사 등 유명 인사들이 아끼던 물품들을 내놓았다.

김수현과	김수현/NNP+과/JC
그룹	그룹/NNG
소녀시대,	소녀시대/NNP+,/SP
이원준	이원준/NNP
대표이사	대표/NNG+이사/NNG
등	등/NNB
유명	유명/NNG
인사들이	인사/NNG+들/XSN+이/JKS
아끼던	아끼/VV+던/ETM
물품들을	물품/NNG+들/XSN+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.84.8.2
행사 첫날부터 고객들이 기증품을 구매하기 위해 길게 줄을 서고, 다수 품목이 일찌감치 판매 완료

행사	행사/NNG
첫날부터	첫날/NNG+부터/JX
고객들이	고객/NNG+들/XSN+이/JKS
기증품을	기증품/NNG+을/JKO
구매하기	구매/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
길게	길/VA+게/EC
줄을	줄/NNG+을/JKO
서고,	서/VV+고/EC+,/SP
다수	다수/NNG
품목이	품목/NNG+이/JKS
일찌감치	일찌감치/MAG
판매	판매/NNG
완료	완료/NNG


# id : NWRW1800000041.84.9.1
되는 진풍경이 펼쳐졌다.

되는	되/VV+는/ETM
진풍경이	진풍경/NNG+이/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.84.9.2
수익금은 당연히 모두 대한민국전몰군경유족회 및 대한민국전몰군경미망인회에 전달된다.

수익금은	수익금/NNG+은/JX
당연히	당연히/MAG
모두	모두/MAG
대한민국전몰군경유족회	대한민국전몰군경유족회/NNP
및	및/MAG
대한민국전몰군경미망인회에	대한민국전몰군경미망인회/NNP+에/JKB
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.84.10.1
롯데백화점과 동아일보가 함께 선정한 우리나라의 영웅들을 소개하는 나라사랑 주제가(‘대한민국을 빛낸 100인의 영웅들’)에도 뜨거운 관심이 쏠리고 있다.

롯데백화점과	롯데백화점/NNP+과/JC
동아일보가	동아일보/NNP+가/JKS
함께	함께/MAG
선정한	선정/NNG+하/XSV+ㄴ/ETM
우리나라의	우리나라/NNG+의/JKG
영웅들을	영웅/NNG+들/XSN+을/JKO
소개하는	소개/NNG+하/XSV+는/ETM
나라사랑	나라/NNG+사랑/NNG
주제가(‘대한민국을	주제가/NNG+(/SS+‘/SS+대한민국/NNP+을/JKO
빛낸	빛내/VV+ㄴ/ETM
100인의	100/SN+인/NNG+의/JKG
영웅들’)에도	영웅/NNG+들/XSN+’/SS+)/SS+에/JKB+도/JX
뜨거운	뜨겁/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.84.10.2
이 노래는 제목처럼 1948년 대한민국 건국에 기여한 위인들과 건국 이후 대한민국을 세계에 알린 영웅 100명의 이름으로 만들어졌다.

이	이/MMD
노래는	노래/NNG+는/JX
제목처럼	제목/NNG+처럼/JKB
1948년	1948/SN+년/NNB
대한민국	대한민국/NNP
건국에	건국/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
위인들과	위인/NNG+들/XSN+과/JC
건국	건국/NNG
이후	이후/NNG
대한민국을	대한민국/NNP+을/JKO
세계에	세계/NNG+에/JKB
알린	알리/VV+ㄴ/ETM
영웅	영웅/NNG
100명의	100/SN+명/NNB+의/JKG
이름으로	이름/NNG+으로/JKB
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.84.10.3
독립선언문을 발표한 민족대표 33인 중 23인이 포함됐고 유관순 안중근 윤봉길 의사와 김구 선생 등 독립운동가, 세계에서 빛난 스포츠 스타, 예술가, 한류 스타 등이 이름을 올렸다.

독립선언문을	독립/NNG+선언문/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
민족대표	민족/NNG+대표/NNG
33인	33/SN+인/NNG
중	중/NNB
23인이	23/SN+인/NNG+이/JKS
포함됐고	포함/NNG+되/XSV+었/EP+고/EC
유관순	유관순/NNP
안중근	안중근/NNP
윤봉길	윤봉길/NNP
의사와	의사/NNG+와/JC
김구	김구/NNP
선생	선생/NNG
등	등/NNB
독립운동가,	독립운동가/NNG+,/SP
세계에서	세계/NNG+에서/JKB
빛난	빛나/VV+ㄴ/ETM
스포츠	스포츠/NNG
스타,	스타/NNG+,/SP
예술가,	예술가/NNG+,/SP
한류	한류/NNG
스타	스타/NNG
등이	등/NNB+이/JKS
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.84.10.4
방송인 박명수 씨가 음원의 작사와 작곡, 노래를 맡아 더욱 화제가 됐으며, 의미있는 가사와 따라 부르기 쉬운 멜로디로 많은 사랑을 받을 것으로 기대된다 .

방송인	방송인/NNG
박명수	박명수/NNP
씨가	씨/NNB+가/JKS
음원의	음원/NNG+의/JKG
작사와	작사/NNG+와/JC
작곡,	작곡/NNG+,/SP
노래를	노래/NNG+를/JKO
맡아	맡/VV+아/EC
더욱	더욱/MAG
화제가	화제/NNG+가/JKC
됐으며,	되/VV+었/EP+으며/EC+,/SP
의미있는	의미/NNG+있/VA+는/ETM
가사와	가사/NNG+와/JKB
따라	따르/VV+아/EC
부르기	부르/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
멜로디로	멜로디/NNG+로/JKB
많은	많/VA+은/ETM
사랑을	사랑/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
기대된다	기대/NNG+되/XSV+ㄴ다/EF
.	./SF


# id : NWRW1800000041.84.11.1
국내외 모든 음원 사이트를 통해 공개된 이 노래의 수익금 역시 대한민국전몰군경유족회와 대한민국전몰군경미망인회에 전액 기부된다 .

국내외	국내외/NNG
모든	모든/MMN
음원	음원/NNG
사이트를	사이트/NNG+를/JKO
통해	통하/VV+아/EC
공개된	공개/NNG+되/XSV+ㄴ/ETM
이	이/MMD
노래의	노래/NNG+의/JKG
수익금	수익금/NNG
역시	역시/MAG
대한민국전몰군경유족회와	대한민국전몰군경유족회/NNP+와/JC
대한민국전몰군경미망인회에	대한민국전몰군경미망인회/NNP+에/JKB
전액	전액/NNG
기부된다	기부/NNG+되/XSV+ㄴ다/EF
.	./SF


# id : NWRW1800000041.84.12.1
2일에는 대한민국을 대표하는 태극기와 무궁화를 모티브로 이색 의상 패션쇼가 열렸다.

2일에는	2/SN+일/NNB+에/JKB+는/JX
대한민국을	대한민국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
태극기와	태극기/NNG+와/JC
무궁화를	무궁화/NNG+를/JKO
모티브로	모티브/NNG+로/JKB
이색	이색/NNG
의상	의상/NNG
패션쇼가	패션쇼/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.84.12.2
6월 호국보훈의 달과 월드컵 시즌을 맞아 ‘나라사랑 태극기 / A Lovely Flower 무궁화 / 월드컵 선전 기원’의 3개 주제로 진행되며, 서울전문학교 패션디자인학과 2학년 학생 26명이 의상 디자인에 참여했다.

6월	6/SN+월/NNB
호국보훈의	호국/NNG+보훈/NNG+의/JKG
달과	달/NNG+과/JC
월드컵	월드컵/NNG
시즌을	시즌/NNG+을/JKO
맞아	맞/VV+아/EC
‘나라사랑	‘/SS+나라/NNG+사랑/NNG
태극기	태극기/NNG
/	//SP
A	A/SL
Lovely	Lovely/SL
Flower	Flower/SL
무궁화	무궁화/NNG
선전	선전/NNG
기원’의	기원/NNG+’/SS+의/JKG
3개	3/SN+개/NNB
주제로	주제/NNG+로/JKB
진행되며,	진행/NNG+되/XSV+며/EC+,/SP
서울전문학교	서울전문학교/NNP
패션디자인학과	패션/NNG+디자인학과/NNG
2학년	2/SN+학년/NNG
학생	학생/NNG
26명이	26/SN+명/NNB+이/JKS
의상	의상/NNG
디자인에	디자인/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.84.13.1
이완신 롯데백화점 마케팅부문장은 “6월 호국보훈의 달을 맞아 나라사랑에 더 쉽고 재미있게 참여할 수 있는 장을 마련하고자 했다”며 “다양한 방법으로 국가 발전에 이바지하는 애국 마케팅을 전개할 것”이라고 밝혔다.

이완신	이완신/NNP
롯데백화점	롯데백화점/NNP
마케팅부문장은	마케팅/NNG+부문장/NNG+은/JX
“6월	“/SS+6/SN+월/NNB
호국보훈의	호국/NNG+보훈/NNG+의/JKG
달을	달/NNG+을/JKO
맞아	맞/VV+아/EC
나라사랑에	나라/NNG+사랑/NNG+에/JKB
더	더/MAG
쉽고	쉽/VA+고/EC
재미있게	재미있/VA+게/EC
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장을	장/NNG+을/JKO
마련하고자	마련/NNG+하/XSV+고자/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“다양한	“/SS+다양/NNG+하/XSA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
국가	국가/NNG
발전에	발전/NNG+에/JKB
이바지하는	이바지/NNG+하/XSV+는/ETM
애국	애국/NNG
마케팅을	마케팅/NNG+을/JKO
전개할	전개/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


