# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.36
metadata : {}


# id : NWRW1800000054.36.1.1
교황, 불교 국가 미얀마 연말 첫 방문

교황,	교황/NNG+,/SP
발표할	발표/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.36.4.2
현재 교황청 인사들은 교황 방문에 따른 세부 사항을 조율하기 위해 미얀마와 방글라데시를 방문 중이다.

현재	현재/MAG
교황청	교황청/NNG
인사들은	인사/NNG+들/XSN+은/JX
교황	교황/NNG
방문에	방문/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
세부	세부/NNG
사항을	사항/NNG+을/JKO
조율하기	조율/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미얀마와	미얀마/NNP+와/JC
방글라데시를	방글라데시/NNP+를/JKO
방문	방문/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.36.4.3
바티칸은 지난 5월 미얀마와 정식 수교를 맺고 장인남 대주교를 초대 교황 대사로 임명했다.

바티칸은	바티칸/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
미얀마와	미얀마/NNP+와/JKB
정식	정식/NNG
수교를	수교/NNG+를/JKO
맺고	맺/VV+고/EC
장인남	장인남/NNP
대주교를	대/XPN+주교/NNG+를/JKO
초대	초대/NNG
교황	교황/NNG
대사로	대사/NNG+로/JKB
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.36.4.4
당시 아웅산 수지 여사가 바티칸을 찾아 교황을 만나기도 했다.

당시	당시/NNG
아웅산	아웅산/NNP
수지	수지/NNP
여사가	여사/NNG+가/JKS
바티칸을	바티칸/NNP+을/JKO
찾아	찾/VV+아/EC
교황을	교황/NNG+을/JKO
만나기도	만나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.36.5.1
교황이 이번 방문 때 미얀마·방글라데시 양국 사이에 끼인 이슬람계 소수민족 로힝야족(族) 박해 문제를 언급할지에 관심이 쏠리고 있다.

교황이	교황/NNG+이/JKS
이번	이번/NNG
방문	방문/NNG
때	때/NNG
미얀마·방글라데시	미얀마/NNP+·/SP+방글라데시/NNP
양국	양국/NNG
사이에	사이/NNG+에/JKB
끼인	끼이/VV+ㄴ/ETM
이슬람계	이슬람/NNG+계/XSN
소수민족	소수/NNG+민족/NNG
로힝야족(族)	로힝야족/NNP+(/SS+族/SH+)/SS
박해	박해/NNG
문제를	문제/NNG+를/JKO
언급할지에	언급/NNG+하/XSV+ㄹ지/EF+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.36.5.2
불교 신자가 인구 90%에 육박하는 미얀마는 이슬람교를 믿는 로힝야족 100만명을 방글라데시에서 온 불법 이민자로 보고 시민권을 주지 않고 있다.

불교	불교/NNG
신자가	신자/NNG+가/JKS
인구	인구/NNG
90%에	90/SN+%/SW+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
미얀마는	미얀마/NNP+는/JX
이슬람교를	이슬람교/NNG+를/JKO
믿는	믿/VV+는/ETM
로힝야족	로힝야족/NNP
100만명을	100/SN+만/NR+명/NNB+을/JKO
방글라데시에서	방글라데시/NNP+에서/JKB
온	오/VV+ㄴ/ETM
불법	불법/NNG
이민자로	이민자/NNG+로/JKB
보고	보/VV+고/EC
시민권을	시민/NNG+권/XSN+을/JKO
주지	주/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.36.6.1
유엔 인권최고대표사무소(UN OH CHR)는 지난 2월 미얀마군(軍)이 로힝야족에게 방화와 성폭행, 학살 등의 반인륜적 전쟁범죄를 자행하고 있다는 내용을 담은 보고서를 내고 탄압 중단을 촉구했다.

유엔	유엔/NNP
인권최고대표사무소(UN	인권최고대표사무소/NNP+(/SS+UN/SL
OH	OH/SL
CHR)는	CHR/SL+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
미얀마군(軍)이	미얀마군/NNG+(/SS+軍/SH+)/SS+이/JKS
로힝야족에게	로힝야족/NNP+에게/JKB
방화와	방화/NNG+와/JC
성폭행,	성폭행/NNG+,/SP
학살	학살/NNG
등의	등/NNB+의/JKG
반인륜적	반/XPN+인륜/NNG+적/XSN
전쟁범죄를	전쟁/NNG+범죄/NNG+를/JKO
자행하고	자행/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
보고서를	보고서/NNG+를/JKO
내고	내/VV+고/EC
탄압	탄압/NNG
중단을	중단/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.36.7.1
당시 프란치스코 교황은 "핍박받는 로힝야족을 위해 함께 기도해달라"며 "로힝야족은 미얀마에서 내쫓겨 떠돌지만 그들은 평화를 사랑하는 선량한 사람들"이라고 발언했다.

당시	당시/NNG
프란치스코	프란치스코/NNP
교황은	교황/NNG+은/JX
"핍박받는	"/SS+핍박/NNG+받/XSV+는/ETM
로힝야족을	로힝야족/NNP+을/JKO
위해	위하/VV+아/EC
함께	함께/MAG
기도해달라"며	기도/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+며/EC
"로힝야족은	"/SS+로힝야족/NNP+은/JX
미얀마에서	미얀마/NNP+에서/JKB
내쫓겨	내쫓기/VV+어/EC
떠돌지만	떠돌/VV+지만/EC
그들은	그/NP+들/XSN+은/JX
평화를	평화/NNG+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
선량한	선량/NNG+하/XSA+ㄴ/ETM
사람들"이라고	사람/NNG+들/XSN+"/SS+이라고/JKQ
발언했다.	발언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.36.7.2
지금까지 로힝야족 약 40만명이 이슬람교 신자가 많은 인접 국가 방글라데시로 도피한 것으로 추정된다.

지금까지	지금/NNG+까지/JX
로힝야족	로힝야족/NNP
약	약/MMA
40만명이	40/SN+만/NR+명/NNB+이/JKS
이슬람교	이슬람교/NNG
신자가	신자/NNG+가/JKS
많은	많/VA+은/ETM
인접	인접/NNG
국가	국가/NNG
방글라데시로	방글라데시/NNP+로/JKB
도피한	도피/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.36.7.3
하지만 방글라데시 역시 이들을 난민 수용소에 몰아넣고, 다시 미얀마로 추방하려 하고 있다.

하지만	하지만/MAJ
방글라데시	방글라데시/NNP
역시	역시/MAG
이들을	이/NP+들/XSN+을/JKO
난민	난민/NNG
수용소에	수용소/NNG+에/JKB
몰아넣고,	몰아넣/VV+고/EC+,/SP
다시	다시/MAG
미얀마로	미얀마/NNP+로/JKB
추방하려	추방/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.36.8.1
로힝야족 박해 문제를 두고 대립하는 미얀마와 바티칸이 교황 방문에 합의한 배경을 두고 다양한 분석이 나온다.

로힝야족	로힝야족/NNP
박해	박해/NNG
문제를	문제/NNG+를/JKO
두고	두/VV+고/EC
대립하는	대립/NNG+하/XSV+는/ETM
미얀마와	미얀마/NNP+와/JC
바티칸이	바티칸/NNP+이/JKS
교황	교황/NNG
방문에	방문/NNG+에/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
배경을	배경/NNG+을/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.36.8.2
미얀마의 한 정치 평론가는 뉴욕타임스에 "교황을 미얀마에 초대해 화합한 미얀마 민족의 모습을 보여주고 국제사회와 대화의 물꼬를 트려는 의도"라며 "교황이 국제사회의 격렬한 비판을 가라앉힐 수 있는 공정한 인물이라고 본 것"이라고 밝혔다.

미얀마의	미얀마/NNP+의/JKG
한	한/MMN
정치	정치/NNG
평론가는	평론가/NNG+는/JX
뉴욕타임스에	뉴욕타임스/NNP+에/JKB
"교황을	"/SS+교황/NNG+을/JKO
미얀마에	미얀마/NNP+에/JKB
초대해	초대/NNG+하/XSV+아/EC
화합한	화합/NNG+하/XSV+ㄴ/ETM
미얀마	미얀마/NNP
민족의	민족/NNG+의/JKG
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
국제사회와	국제/NNG+사회/NNG+와/JKB
대화의	대화/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
트려는	트/VV+려는/ETM
의도"라며	의도/NNG+"/SS+이/VCP+라며/EC
"교황이	"/SS+교황/NNG+이/JKS
국제사회의	국제/NNG+사회/NNG+의/JKG
격렬한	격렬하/VA+ㄴ/ETM
비판을	비판/NNG+을/JKO
가라앉힐	가라앉히/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공정한	공정/NNG+하/XSA+ㄴ/ETM
인물이라고	인물/NNG+이/VCP+라고/EC
본	보/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


