# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.84
metadata : {}


# id : NWRW1800000033.84.1.1
방글라 옷공장 화재 124명 참변

방글라	방글라/NNP
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.84.3.3
2006년 이후 최근까지 방글라데시에서 의류 공장 화재로 600명 가까운 근로자가 숨졌다.

2006년	2006/SN+년/NNB
이후	이후/NNG
최근까지	최근/NNG+까지/JX
방글라데시에서	방글라데시/NNP+에서/JKB
의류	의류/NNG
공장	공장/NNG
화재로	화재/NNG+로/JKB
600명	600/SN+명/NNB
가까운	가깝/VA+ㄴ/ETM
근로자가	근로자/NNG+가/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.84.3.4
이번에 불이 난 타즈린 공장도 1층으로 가는 3개의 계단이 있었을 뿐 건물 밖으로 나갈 수 있는 비상 출구는 한 군데도 없었다.

이번에	이번/NNG+에/JKB
불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
타즈린	타즈린/NNP
공장도	공장/NNG+도/JX
1층으로	1/SN+층/NNG+으로/JKB
가는	가/VV+는/ETM
3개의	3/SN+개/NNB+의/JKG
계단이	계단/NNG+이/JKS
있었을	있/VA+었/EP+을/ETM
뿐	뿐/NNB
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비상	비상/NNG
출구는	출구/NNG+는/JX
한	한/MMN
군데도	군데/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.84.4.1
방글라데시는 중국 다음으로 손꼽히는 대표적인 세계 의류 공장이다.

방글라데시는	방글라데시/NNP+는/JX
중국	중국/NNP
다음으로	다음/NNG+으로/JKB
손꼽히는	손꼽히/VV+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
세계	세계/NNG
의류	의류/NNG
공장이다.	공장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.84.4.2
4500개 공장에 약 200만 명 이상이 일하고 있다.

4500개	4500/SN+개/NNB
공장에	공장/NNG+에/JKB
약	약/MMA
200만	200/SN+만/NR
명	명/NNB
이상이	이상/NNG+이/JKS
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.84.4.3
연간 평균 수출액 240억 달러(약 26조 원) 가운데 80%가 의류 수출에서 나온다.

연간	연간/NNG
평균	평균/NNG
수출액	수출액/NNG
240억	240/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
26조	26/SN+조/NR
원)	원/NNB+)/SS
가운데	가운데/NNG
80%가	80/SN+%/SW+가/JKS
의류	의류/NNG
수출에서	수출/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.84.4.4
올해 상반기만 190억 달러의 의류를 수출했다.

올해	올해/NNG
상반기만	상반기/NNG+만/JX
190억	190/SN+억/NR
달러의	달러/NNB+의/JKG
의류를	의류/NNG+를/JKO
수출했다.	수출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.84.4.5
유명 의류업체 H&M, 막스앤스펜서 등 서구 의류업체 대다수가 방글라데시에 자사 생산 공장을 가지고 있다.

유명	유명/NNG
의류업체	의류업체/NNG
H&M,	H/SL+&/SW+M/SL+,/SP
막스앤스펜서	막스앤스펜서/NNP
등	등/NNB
서구	서구/NNG
대다수가	대/XPN+다수/NNG+가/JKS
방글라데시에	방글라데시/NNP+에/JKB
자사	자사/NNG
생산	생산/NNG
공장을	공장/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


