# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.78
metadata : {}


# id : NWRW1800000044.78.1.1
우크라 남부서도 유혈사태…46명 숨져

우크라	우크라/NNP

1000여명의	1000/SN+여/XSN+명/NNB+의/JKG
시위대가	시위대/NNG+가/JKS
오데사	오데사/NNP
경찰청	경찰청/NNG
건물을	건물/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
뒤	뒤/NNG
창문을	창문/NNG+을/JKO
깨고	깨/VV+고/EC
정문	정문/NNG
진입을	진입/NNG+을/JKO
시도하자,	시도/NNG+하/XSV+자/EC+,/SP
경찰은	경찰/NNG+은/JX
2일	2/SN+일/NNB
충돌	충돌/NNG
과정에서	과정/NNG+에서/JKB
체포했던	체포/NNG+하/XSV+았/EP+던/ETM
분리주의	분리주의/NNG
지지자	지지자/NNG
67명을	67/SN+명/NNB+을/JKO
석방했다.	석방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.8.3
검찰은 곧장 ‘노골적인 임무 방기’ 혐의로 관련 경찰들을 기소했다.

검찰은	검찰/NNG+은/JX
곧장	곧장/MAG
‘노골적인	‘/SS+노골/NNG+적/XSN+이/VCP+ㄴ/ETM
임무	임무/NNG
방기’	방기/NNG+’/SS
혐의로	혐의/NNG+로/JKB
관련	관련/NNG
경찰들을	경찰/NNG+들/XSN+을/JKO
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.9.1
1905년 러시아 혁명을 다룬 옛소련 영화 <전함 포템킨>의 무대로 유명한 오데사는 100만여명이 거주하는 우크라이나의 주요 도시이다.

1905년	1905/SN+년/NNB
러시아	러시아/NNP
혁명을	혁명/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
옛소련	옛/MMA+소련/NNP
영화	영화/NNG
<전함	</SS+전함/NNG
포템킨>의	포템킨/NNG+>/SS+의/JKG
무대로	무대/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
오데사는	오데사/NNP+는/JX
100만여명이	100/SN+만/NR+여/XSN+명/NNB+이/JKS
거주하는	거주/NNG+하/XSV+는/ETM
우크라이나의	우크라이나/NNP+의/JKG
주요	주요/NNG
도시이다.	도시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.78.9.2
러시아계가 인구의 29%에 이르지만, 우크라이나계가 62%로 더 많다.

러시아계가	러시아/NNP+계/XSN+가/JKS
인구의	인구/NNG+의/JKG
29%에	29/SN+%/SW+에/JKB
이르지만,	이르/VV+지만/EC+,/SP
우크라이나계가	우크라이나/NNP+계/XSN+가/JKS
62%로	62/SN+%/SW+로/JKB
더	더/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000044.78.9.3
정부군과 친러 무장세력이 맞선 동부와 또 다르게 우크라이나계와 러시아계 민간 민족주의 세력이 직접 무력 대치하는 한층 위험한 충돌 지역으로 떠오르는 것 아니냐는 우려가 나온다.

정부군과	정부군/NNG+과/JC
친러	친/XPN+러/NNP
무장세력이	무장/NNG+세력/NNG+이/JKS
맞선	맞서/VV+ㄴ/ETM
동부와	동부/NNG+와/JKB
또	또/MAG
다르게	다르/VA+게/EC
우크라이나계와	우크라이나/NNP+계/XSN+와/JC
러시아계	러시아/NNP+계/XSN
민간	민간/NNG
민족주의	민족주의/NNG
세력이	세력/NNG+이/JKS
직접	직접/MAG
무력	무력/NNG
대치하는	대치/NNG+하/XSV+는/ETM
한층	한층/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
충돌	충돌/NNG
지역으로	지역/NNG+으로/JKB
떠오르는	떠오르/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.78.10.1
동부 지역에서도 우크라이나 정부군과 분리주의 무장세력 간 무력충돌이 이어지고 있다.

동부	동부/NNG
지역에서도	지역/NNG+에서/JKB+도/JX
우크라이나	우크라이나/NNP
정부군과	정부군/NNG+과/JC
분리주의	분리주의/NNG
무장세력	무장/NNG+세력/NNG
간	간/NNB
무력충돌이	무력/NNG+충돌/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.78.10.2
아르센 아바코프 과도정부 내무장관은 3일 “도네츠크주의 크라마토르스크에서 진압 작전을 벌여 방송사를 탈환했다”고 밝혔다.

아르센	아르센/NNP
아바코프	아바코프/NNP
과도정부	과도/NNG+정부/NNG
내무장관은	내무/NNG+장관/NNG+은/JX
3일	3/SN+일/NNB
“도네츠크주의	“/SS+도네츠크주/NNP+의/JKG
크라마토르스크에서	크라마토르스크/NNP+에서/JKB
진압	진압/NNG
작전을	작전/NNG+을/JKO
벌여	벌이/VV+어/EC
방송사를	방송사/NNG+를/JKO
탈환했다”고	탈환/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.10.3
러시아 <이타르타스> 통신은 슬라뱐스크 외곽의 안드레예프카 지역에서 과도정부를 지지하는 극우민족주의 무장세력의 공격으로 10명이 숨지고 40명이 부상했다고 보도했다.

러시아	러시아/NNP
<이타르타스>	</SS+이타르타스/NNG+>/SS
통신은	통신/NNG+은/JX
슬라뱐스크	슬라뱐스크/NNP
외곽의	외곽/NNG+의/JKG
안드레예프카	안드레예프카/NNP
지역에서	지역/NNG+에서/JKB
과도정부를	과도/NNG+정부/NNG+를/JKO
지지하는	지지/NNG+하/XSV+는/ETM
극우민족주의	극우/NNG+민족주의/NNG
무장세력의	무장/NNG+세력/NNG+의/JKG
공격으로	공격/NNG+으로/JKB
10명이	10/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
40명이	40/SN+명/NNB+이/JKS
부상했다고	부상/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.10.4
마리우폴에선 정부군 5명이 분리주의 무장세력이 보낸 수면제가 든 음식물을 먹고 잠이 든 뒤 포로로 잡혔다가 협상 끝에 풀려나기도 했다고 <뉴욕 타임스>가 전했다.

마리우폴에선	마리우폴/NNP+에서/JKB+ㄴ/JX
정부군	정부군/NNG
5명이	5/SN+명/NNB+이/JKS
분리주의	분리주의/NNG
무장세력이	무장/NNG+세력/NNG+이/JKS
보낸	보내/VV+ㄴ/ETM
수면제가	수면제/NNG+가/JKS
든	들/VV+ㄴ/ETM
음식물을	음식물/NNG+을/JKO
먹고	먹/VV+고/EC
잠이	잠/NNG+이/JKS
뒤	뒤/NNG
포로로	포로/NNG+로/JKB
잡혔다가	잡히/VV+었/EP+다가/EC
협상	협상/NNG
끝에	끝/NNG+에/JKB
풀려나기도	풀려나/VV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.10.5
분리주의 무장세력은 오는 25일로 예정된 우크라이나 대통령 선거에 앞서 11일 독자적인 분리독립 찬반 주민투표를 강행하겠다고 4일 거듭 밝혔다.

분리주의	분리주의/NNG
무장세력은	무장/NNG+세력/NNG+은/JX
오는	오/VV+는/ETM
25일로	25/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
우크라이나	우크라이나/NNP
대통령	대통령/NNG
선거에	선거/NNG+에/JKB
앞서	앞서/VV+어/EC
11일	11/SN+일/NNB
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
분리독립	분리/NNG+독립/NNG
찬반	찬반/NNG
주민투표를	주민/NNG+투표/NNG+를/JKO
강행하겠다고	강행/NNG+하/XSV+겠/EP+다고/EC
4일	4/SN+일/NNB
거듭	거듭/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.11.1
러시아는 “우크라이나 현지 러시아계 주민의 도움 요청이 쇄도하고 있다”며 개입 가능성을 경고했다.

러시아는	러시아/NNP+는/JX
“우크라이나	“/SS+우크라이나/NNP
현지	현지/NNG
러시아계	러시아/NNP+계/XSN
주민의	주민/NNG+의/JKG
도움	도움/NNG
요청이	요청/NNG+이/JKS
쇄도하고	쇄도/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
개입	개입/NNG
가능성을	가능/NNG+성/XSN+을/JKO
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.11.2
드미트리 페스코프 크레믈 공보비서는 “이런 요청들은 블라디미르 푸틴 대통령에게 모두 보고되고 있다”고 강조했다.

드미트리	드미트리/NNP
페스코프	페스코프/NNP
크레믈	크레믈/NNP
공보비서는	공보/NNG+비서/NNG+는/JX
“이런	“/SS+이런/MMD
요청들은	요청/NNG+들/XSN+은/JX
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
대통령에게	대통령/NNG+에게/JKB
모두	모두/MAG
보고되고	보고/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.12.1
세르게이 라브로프 러시아 외무장관은 존 케리 미국 국무장관과의 통화에서 “우크라이나가 골육상잔의 위기에 놓였다.

세르게이	세르게이/NNP
라브로프	라브로프/NNP
러시아	러시아/NNP
외무장관은	외무/NNG+장관/NNG+은/JX
존	존/NNP
케리	케리/NNP
미국	미국/NNP
국무장관과의	국무/NNG+장관/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“우크라이나가	“/SS+우크라이나/NNP+가/JKS
골육상잔의	골육상잔/NNG+의/JKG
위기에	위기/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.12.2
과도정부가 작전을 중단하고 시위대를 석방하도록 미국이 영향력을 행사해달라”고 요구했다.

과도정부가	과도/NNG+정부/NNG+가/JKS
작전을	작전/NNG+을/JKO
중단하고	중단/NNG+하/XSV+고/EC
시위대를	시위대/NNG+를/JKO
석방하도록	석방/NNG+하/XSV+도록/EC
미국이	미국/NNP+이/JKS
영향력을	영향력/NNG+을/JKO
행사해달라”고	행사/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.78.12.3
반면 케리 장관은 “러시아가 분리주의자들에 대한 지원을 철회하는 것이 중요하다.

반면	반면/NNG
케리	케리/NNP
장관은	장관/NNG+은/JX
“러시아가	“/SS+러시아/NNP+가/JKS
분리주의자들에	분리주의자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
지원을	지원/NNG+을/JKO
철회하는	철회/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.78.12.4
러시아의 지지를 받는 세력이 선거에 대한 개입을 계속한다면 취약한 러시아 경제의 특정 부분을 겨냥한 제재가 이뤄질 것”이라고 맞섰다.

러시아의	러시아/NNP+의/JKG
지지를	지지/NNG+를/JKO
받는	받/VV+는/ETM
세력이	세력/NNG+이/JKS
선거에	선거/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개입을	개입/NNG+을/JKO
계속한다면	계속/NNG+하/XSV+ㄴ다면/EC
취약한	취약/NNG+하/XSA+ㄴ/ETM
러시아	러시아/NNP
경제의	경제/NNG+의/JKG
특정	특정/NNG
부분을	부분/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
제재가	제재/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.78.13.1
사태의 유일한 진전 요소는 슬라뱐스크 민병대가 3일 정부군의 공세에 앞서 지난달 25일부터 억류해온 유럽안보협력기구(OSCE) 감시단원들을 풀어준 점이다.

사태의	사태/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
진전	진전/NNG
요소는	요소/NNG+는/JX
슬라뱐스크	슬라뱐스크/NNP
민병대가	민병대/NNG+가/JKS
3일	3/SN+일/NNB
정부군의	정부군/NNG+의/JKG
공세에	공세/NNG+에/JKB
앞서	앞서/VV+어/EC
지난달	지난달/NNG
25일부터	25/SN+일/NNB+부터/JX
억류해온	억류/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
유럽안보협력기구(OSCE)	유럽안보협력기구/NNP+(/SS+OSCE/SL+)/SS
감시단원들을	감시/NNG+단원/NNG+들/XSN+을/JKO
풀어준	풀/VV+어/EC+주/VX+ㄴ/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.78.13.2
크레믈은 4일 “푸틴 대통령이 앙겔라 메르켈 독일 총리와의 전화통화에서 추가적 대화의 중요성에 공감했다”며 “유럽안보협력기구 의장이 오는 7일 모스크바를 방문해 사태를 협의할 예정”이라고 밝혔다.

크레믈은	크레믈/NNP+은/JX
4일	4/SN+일/NNB
“푸틴	“/SS+푸틴/NNP
대통령이	대통령/NNG+이/JKS
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리와의	총리/NNG+와/JKB+의/JKG
전화통화에서	전화/NNG+통화/NNG+에서/JKB
추가적	추가/NNG+적/XSN
대화의	대화/NNG+의/JKG
중요성에	중요/NNG+성/XSN+에/JKB
공감했다”며	공감/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“유럽안보협력기구	“/SS+유럽안보협력기구/NNP
의장이	의장/NNG+이/JKS
오는	오/VV+는/ETM
7일	7/SN+일/NNB
모스크바를	모스크바/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
사태를	사태/NNG+를/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


