# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.119
metadata : {}


# id : NWRW1800000041.119.1.1
“대본 본 순간 ‘이거다’ 느낌이 팍팍… 홈즈랑 함께 늙어가야죠”

“대본	“/SS+대본/NNG
예술을	예술/NNG+을/JKO
담아내는	담아내/VV+는/ETM
다른	다른/MMD
그릇일	그릇/NNG+이/VCP+ㄹ/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
지론이다.	지론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.119.11.2
여러 일을 하다 보니 1월 결혼했지만 신혼여행도 아직 못 갔다.

여러	여러/MMN
일을	일/NNG+을/JKO
하다	하/VV+다/EC
보니	보/VX+니/EC
1월	1/SN+월/NNB
결혼했지만	결혼/NNG+하/XSV+았/EP+지만/EC
신혼여행도	신혼여행/NNG+도/JX
아직	아직/MAG
못	못/MAG
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.12.1
“뉴욕에서 ‘빌리 엘리엇’을 봤는데 한국과 달리 원로 여배우가 할머니 역할을 하더라고요.

“뉴욕에서	“/SS+뉴욕/NNP+에서/JKB
‘빌리	‘/SS+빌리/NNP
엘리엇’을	엘리엇/NNP+’/SS+을/JKO
봤는데	보/VV+았/EP+는데/EC
한국과	한국/NNP+과/JKB
달리	달리/MAG
원로	원로/NNG
여배우가	여배우/NNG+가/JKS
할머니	할머니/NNG
역할을	역할/NNG+을/JKO
하더라고요.	하/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000041.119.12.2
커튼콜 때 잘 걷지 못해 다리를 절뚝이며 나올 정도였죠.

커튼콜	커튼콜/NNG
때	때/NNG
잘	잘/MAG
걷지	걷/VV+지/EC
못해	못하/VX+아/EC
다리를	다리/NNG+를/JKO
절뚝이며	절뚝이/VV+며/EC
나올	나오/VV+ㄹ/ETM
정도였죠.	정도/NNG+이/VCP+었/EP+죠/EF+./SF


# id : NWRW1800000041.119.12.3
저도 홈즈와 함께 늙어가고 싶어요.”

저도	저/NP+도/JX
홈즈와	홈즈/NNP+와/JKB
함께	함께/MAG
늙어가고	늙/VV+어/EC+가/VX+고/EC
싶어요.”	싶/VX+어요/EF+./SF+”/SS


# id : NWRW1800000041.119.13.1
▼ “창작뮤지컬도 한류”… 삼총사 등 中-日 진출 가속도 ▼

▼	▼/SW
“창작뮤지컬도	“/SS+창작/NNG+뮤지컬/NNG+도/JX
한류”…	한류/NNG+”/SS+…/SE
삼총사	삼총사/NNP
등	등/NNB
中-日	中/SH+-/SO+日/SH
진출	진출/NNG
가속도	가속도/NNG


# id : NWRW1800000041.119.14.1
송용진이 주연을 맡은 ‘셜록홈즈’를 비롯해 한국 창작뮤지컬의 해외 진출에 가속도가 붙고 있다.

송용진이	송용진/NNP+이/JKS
주연을	주연/NNG+을/JKO
맡은	맡/VV+은/ETM
‘셜록홈즈’를	‘/SS+셜록홈즈/NNP+’/SS+를/JKO
비롯해	비롯하/VV+아/EC
한국	한국/NNP
창작뮤지컬의	창작/NNG+뮤지컬/NNG+의/JKG
해외	해외/NNG
진출에	진출/NNG+에/JKB
가속도가	가속도/NNG+가/JKS
붙고	붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.119.15.1
‘셜록홈즈’는 일본 유명 뮤지컬 제작사 토호가 라이선스를 사들여 ‘셜록홈즈1-앤더슨가의 비밀’이 현재 공연 중이다.

‘셜록홈즈’는	‘/SS+셜록홈즈/NNP+’/SS+는/JX
일본	일본/NNP
유명	유명/NNG
뮤지컬	뮤지컬/NNG
제작사	제작사/NNG
토호가	토호/NNP+가/JKS
라이선스를	라이선스/NNG+를/JKO
사들여	사들이/VV+어/EC
‘셜록홈즈1-앤더슨가의	‘/SS+셜록홈즈/NNP+1/SN+-/SO+앤더슨가/NNG+의/JKG
비밀’이	비밀/NNG+’/SS+이/JKS
현재	현재/MAG
공연	공연/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.119.15.2
‘셜록홈즈2-블러디게임’도 현재 일본 수출이 논의되고 있다.

‘셜록홈즈2-블러디게임’도	‘/SS+셜록홈즈/NNP+2/SN+-/SO+블러디게임/NNP+’/SS+도/JX
현재	현재/MAG
일본	일본/NNP
수출이	수출/NNG+이/JKS
논의되고	논의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.119.16.1
‘삼총사’는 3월 한국과 일본에서 동시에 막을 올린다.

‘삼총사’는	‘/SS+삼총사/NNP+’/SS+는/JX
3월	3/SN+월/NNB
한국과	한국/NNP+과/JC
일본에서	일본/NNP+에서/JKB
동시에	동시/NNG+에/JKB
막을	막/NNG+을/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.119.16.2
‘삼총사’는 원래 체코 뮤지컬이지만 90% 이상 국내에서 다시 창작돼 일본에는 ‘한국판 삼총사’가 수출됐다.

‘삼총사’는	‘/SS+삼총사/NNP+’/SS+는/JX
원래	원래/MAG
체코	체코/NNP
뮤지컬이지만	뮤지컬/NNG+이/VCP+지만/EC
90%	90/SN+%/SW
이상	이상/NNG
국내에서	국내/NNG+에서/JKB
다시	다시/MAG
창작돼	창작/NNG+되/XSV+어/EC
일본에는	일본/NNP+에/JKB+는/JX
‘한국판	‘/SS+한국판/NNG
삼총사’가	삼총사/NNP+’/SS+가/JKS
수출됐다.	수출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.119.17.1
이에 앞서 ‘김종욱 찾기’는 지난해 일본에 이어 중국에도 진출했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
‘김종욱	‘/SS+김종욱/NNP
찾기’는	찾/VV+기/ETN+’/SS+는/JX
지난해	지난해/NNG
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
중국에도	중국/NNP+에/JKB+도/JX
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.17.2
창작뮤지컬 ‘빨래’ 역시 2012년 일본에서 공연돼 호평을 받았다.

창작뮤지컬	창작/NNG+뮤지컬/NNG
‘빨래’	‘/SS+빨래/NNP+’/SS
역시	역시/MAG
2012년	2012/SN+년/NNB
일본에서	일본/NNP+에서/JKB
공연돼	공연/NNG+되/XSV+어/EC
호평을	호평/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.119.17.3
‘잭더리퍼’ ‘궁’ ‘싱글즈’ 등도 일본에 수출됐다.

‘잭더리퍼’	‘/SS+잭더리퍼/NNP+’/SS
‘궁’	‘/SS+궁/NNG+’/SS
‘싱글즈’	‘/SS+싱글즈/NNG+’/SS
등도	등/NNB+도/JX
일본에	일본/NNP+에/JKB
수출됐다.	수출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.119.18.1
한국 창작 뮤지컬이 주로 수출되는 국가는 일본과 중국이다.

한국	한국/NNP
창작	창작/NNG
뮤지컬이	뮤지컬/NNG+이/JKS
주로	주로/MAG
수출되는	수출/NNG+되/XSV+는/ETM
국가는	국가/NNG+는/JX
일본과	일본/NNP+과/JC
중국이다.	중국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.119.18.2
한국과 정서가 비슷한 데다 드라마와 케이팝, 영화 등을 통해 한국 문화와 친숙하다는 것이 공연계 분석이다.

한국과	한국/NNP+과/JKB
정서가	정서/NNG+가/JKS
비슷한	비슷하/VA+ㄴ/ETM
데다	데/NNB+다/JX
드라마와	드라마/NNG+와/JC
케이팝,	케이팝/NNG+,/SP
영화	영화/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
한국	한국/NNP
문화와	문화/NNG+와/JKB
친숙하다는	친숙/NNG+하/XSA+다는/ETM
것이	것/NNB+이/JKS
공연계	공연/NNG+계/XSN
분석이다.	분석/NNG+이/VCP+다/EF+./SF


