# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.259
metadata : {}


# id : NWRW1800000033.259.1.1
대기업 두 곳 나서자, KBO이사회 만장일치 승인

대기업	대/XPN+기업/NNG
6월 임시 이사회 당시 롯데 삼성 등의 반대 속에 표결조차 하지 못했던 분위기와는 사뭇 다른 풍경이었다.

6월	6/SN+월/NNB
임시	임시/NNG
이사회	이사회/NNG
당시	당시/NNG
롯데	롯데/NNP
삼성	삼성/NNP
등의	등/NNB+의/JKG
반대	반대/NNG
속에	속/NNG+에/JKB
표결조차	표결/NNG+조차/JX
하지	하/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
분위기와는	분위기/NNG+와/JKB+는/JX
사뭇	사뭇/MAG
다른	다르/VA+ㄴ/ETM
풍경이었다.	풍경/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.259.4.6
KBO 이사회가 6개월 만에 ‘반대’에서 ‘찬성’으로 돌아선 이유는 뭘까?

KBO	KBO/SL
이사회가	이사회/NNG+가/JKS
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
‘반대’에서	‘/SS+반대/NNG+’/SS+에서/JKB
‘찬성’으로	‘/SS+찬성/NNG+’/SS+으로/JKB
돌아선	돌아서/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
뭘까?	뭐/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000033.259.5.1
○ 복수의 10구단 후보 등장

○	○/SW
복수의	복수/NNG+의/JKG
10구단	10/SN+구단/NNG
후보	후보/NNG
등장	등장/NNG


# id : NWRW1800000033.259.6.1
최근 10구단 유치를 희망하는 수원과 전북이 각각 KT와 부영을 파트너 기업으로 공개한 것이 이번 이사회에서 10구단 체제를 하기로 결정한 신호탄이었다.

최근	최근/NNG
10구단	10/SN+구단/NNG
유치를	유치/NNG+를/JKO
희망하는	희망/NNG+하/XSV+는/ETM
수원과	수원/NNP+과/JC
전북이	전북/NNP+이/JKS
각각	각각/MAG
KT와	KT/SL+와/JC
부영을	부영/NNP+을/JKO
파트너	파트너/NNG
기업으로	기업/NNG+으로/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
이번	이번/NNG
이사회에서	이사회/NNG+에서/JKB
체제를	체제/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
신호탄이었다.	신호탄/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.259.7.1
가장 강력하게 반대 목소리를 냈던 장병수 롯데 사장은 그동안 “연간 300억 원이 필요한 프로야구 구단 운영은 중견기업이 할 수 있는 사업이 아니다”며 10구단 시기상조론을 주장해 왔다.

가장	가장/MAG
강력하게	강력/NNG+하/XSA+게/EC
반대	반대/NNG
목소리를	목소리/NNG+를/JKO
냈던	내/VV+었/EP+던/ETM
장병수	장병수/NNP
롯데	롯데/NNP
사장은	사장/NNG+은/JX
그동안	그동안/NNG
“연간	“/SS+연간/NNG
300억	300/SN+억/NR
원이	원/NNB+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
구단	구단/NNG
운영은	운영/NNG+은/JX
중견기업이	중견/NNG+기업/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사업이	사업/NNG+이/JKC
아니다”며	아니/VCN+다/EF+”/SS+며/EC
10구단	10/SN+구단/NNG
시기상조론을	시기상조/NNG+론/XSN+을/JKO
주장해	주장/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.259.7.2
그러나 KT 부영 등 대기업이 전면에 등장하면서 반대할 명분이 사라졌다.

그러나	그러나/MAJ
KT	KT/SL
부영	부영/NNP
등	등/NNB
대기업이	대/XPN+기업/NNG+이/JKS
전면에	전면/NNG+에/JKB
등장하면서	등장/NNG+하/XSV+면서/EC
반대할	반대/NNG+하/XSV+ㄹ/ETM
명분이	명분/NNG+이/JKS
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.259.8.1
또 롯데와 삼성은 일방적으로 신생 기업의 참여를 가로막는 ‘구단 이기주의의 극치’라는 비판을 받았다.

또	또/MAG
롯데와	롯데/NNP+와/JC
삼성은	삼성/NNP+은/JX
일방적으로	일방/NNG+적/XSN+으로/JKB
신생	신생/NNG
기업의	기업/NNG+의/JKG
참여를	참여/NNG+를/JKO
가로막는	가로막/VV+는/ETM
‘구단	‘/SS+구단/NNG
이기주의의	이기주의/NNG+의/JKG
극치’라는	극치/NNG+’/SS+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.8.2
여기에 대선 후보들까지 10구단 창단을 적극 지지하면서 반대파의 입지는 크게 줄어들었다.

여기에	여기/NP+에/JKB
대선	대선/NNG
후보들까지	후보/NNG+들/XSN+까지/JX
10구단	10/SN+구단/NNG
창단을	창단/NNG+을/JKO
적극	적극/NNG
지지하면서	지지/NNG+하/XSV+면서/EC
반대파의	반대파/NNG+의/JKG
입지는	입지/NNG+는/JX
크게	크/VA+게/EC
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.259.9.1
○ 선수협의 ‘보이콧’ 초강수 적중

○	○/SW
선수협의	선수협/NNG+의/JKG
‘보이콧’	‘/SS+보이콧/NNG+’/SS
초강수	초/XPN+강수/NNG
적중	적중/NNG


# id : NWRW1800000033.259.10.1
프로야구선수협의회(이하 선수협)의 강한 단체행동도 10구단 창단에 힘을 실었다.

프로야구선수협의회(이하	프로/NNG+야구/NNG+선수/NNG+협의회/NNG+(/SS+이하/NNG
선수협)의	선수협/NNG+)/SS+의/JKG
강한	강하/VA+ㄴ/ETM
단체행동도	단체/NNG+행동/NNG+도/JX
10구단	10/SN+구단/NNG
창단에	창단/NNG+에/JKB
힘을	힘/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.259.10.2
선수협은 7월 올스타전 보이콧을 철회하면서 ‘연말까지 10구단 창단 관련 움직임을 구체화해야한다’는 조건을 내걸었다.

선수협은	선수협/NNG+은/JX
7월	7/SN+월/NNB
올스타전	올스타전/NNG
보이콧을	보이콧/NNG+을/JKO
철회하면서	철회/NNG+하/XSV+면서/EC
‘연말까지	‘/SS+연말/NNG+까지/JX
10구단	10/SN+구단/NNG
창단	창단/NNG
관련	관련/NNG
움직임을	움직임/NNG+을/JKO
구체화해야한다’는	구체/NNG+화/XSN+하/XSV+아야/EC+하/VX+ㄴ다/EF+’/SS+는/ETM
조건을	조건/NNG+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.259.10.3
그러나 10구단 창단 추진이 지지부진하자 6일 전격적으로 골든글러브 시상식 불참을 선언했다.

그러나	그러나/MAJ
10구단	10/SN+구단/NNG
창단	창단/NNG
추진이	추진/NNG+이/JKS
지지부진하자	지지부진/NNG+하/XSV+자/EC
6일	6/SN+일/NNB
전격적으로	전격/NNG+적/XSN+으로/JKB
골든글러브	골든글러브/NNG
시상식	시상식/NNG
불참을	불참/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.10.4
내년 3월 제3회 월드베이스볼클래식(WBC)과 전지훈련, 내년 정규시즌까지 보이콧할 수 있다고 KBO와 각 구단을 압박했다.

내년	내년/NNG
3월	3/SN+월/NNB
제3회	제/XPN+3/SN+회/NNB
월드베이스볼클래식(WBC)과	월드베이스볼클래식/NNG+(/SS+WBC/SL+)/SS+과/JC
전지훈련,	전지훈련/NNG+,/SP
정규시즌까지	정규/NNG+시즌/NNG+까지/JX
보이콧할	보이콧/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
KBO와	KBO/SL+와/JC
각	각/MMD
구단을	구단/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.10.5
이날 정기총회에서는 “10구단 창단이 승인될 때까지 단체행동을 계속하겠다”고 결의해 KBO 이사회의 조속한 개최를 촉구했다.

이날	이날/NNG
정기총회에서는	정기/NNG+총회/NNG+에서/JKB+는/JX
“10구단	“/SS+10/SN+구단/NNG
창단이	창단/NNG+이/JKS
승인될	승인/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
단체행동을	단체/NNG+행동/NNG+을/JKO
계속하겠다”고	계속/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
결의해	결의/NNG+하/XSV+아/EC
KBO	KBO/SL
이사회의	이사회/NNG+의/JKG
조속한	조속하/VA+ㄴ/ETM
개최를	개최/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.11.1
양해영 총장은 “선수협이 약속했던 연말이 되기도 전에 골든글러브 시상식부터 보이콧하겠다고 해 당혹스러웠다”며 “10구단은 선수협에 떠밀려 결정한 것이 아니다.

양해영	양해영/NNP
총장은	총장/NNG+은/JX
“선수협이	“/SS+선수협/NNG+이/JKS
약속했던	약속/NNG+하/XSV+았/EP+던/ETM
연말이	연말/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
골든글러브	골든글러브/NNG
시상식부터	시상식/NNG+부터/JX
보이콧하겠다고	보이콧/NNG+하/XSV+겠/EP+다고/EC
해	하/VV+아/EC
당혹스러웠다”며	당혹/NNG+스럽/XSA+었/EP+다/EF+”/SS+며/EC
“10구단은	“/SS+10/SN+구단/NNG+은/JX
선수협에	선수협/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.259.11.2
이미 12월 초부터 긍정적인 합의들이 있었다”고 해명했다.

이미	이미/MAG
12월	12/SN+월/NNB
초부터	초/NNB+부터/JX
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
합의들이	합의/NNG+들/XSN+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.259.12.1
내년 시즌에 8팀은 경기를 하고 한 팀은 쉬는 홀수 구단 체제의 폐해가 드러난 것도 기존 구단의 방침이 바뀐 이유 중 하나다.

내년	내년/NNG
시즌에	시즌/NNG+에/JKB
8팀은	8/SN+팀/NNG+은/JX
경기를	경기/NNG+를/JKO
하고	하/VV+고/EC
한	한/MMN
팀은	팀/NNG+은/JX
쉬는	쉬/VV+는/ETM
홀수	홀수/NNG
구단	구단/NNG
체제의	체제/NNG+의/JKG
폐해가	폐해/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
것도	것/NNB+도/JX
기존	기존/NNG
구단의	구단/NNG+의/JKG
방침이	방침/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
이유	이유/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000033.259.12.2
최근 롯데는 9구단 체제로 운영되는 내년 시즌에 가장 먼 거리를 이동해야 한다고 문제를 제기해 KBO가 일정 재조정에 들어간 상태다.

최근	최근/NNG
롯데는	롯데/NNP+는/JX
9구단	9/SN+구단/NNG
체제로	체제/NNG+로/JKB
운영되는	운영/NNG+되/XSV+는/ETM
내년	내년/NNG
시즌에	시즌/NNG+에/JKB
가장	가장/MAG
먼	멀/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
이동해야	이동/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
문제를	문제/NNG+를/JKO
제기해	제기/NNG+하/XSV+아/EC
KBO가	KBO/SL+가/JKS
일정	일정/NNG
재조정에	재/XPN+조정/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


