# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.389
metadata : {}


# id : NWRW1800000041.389.1.1
[수도권]민원인과 캣맘들 사이 길잃은 길고양이 관리

[수도권]민원인과	[/SS+수도/NNG+권/XSN+]/SS+민원인/NNG+과/JC
잡히거나	잡히/VV+거나/EC
학대받을	학대/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
캣맘들의	캣맘/NNG+들/XSN+의/JKG
항의가	항의/NNG+가/JKS
빗발쳐	빗발치/VV+어/EC
사업이	사업/NNG+이/JKS
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.389.5.1
○ 캣맘 vs 주민 갈등 커져

○	○/SW
캣맘	캣맘/NNG
vs	vs/SL
주민	주민/NNG
갈등	갈등/NNG
커져	커지/VV+어/EF


# id : NWRW1800000041.389.6.1
과거 도둑고양이라고 불리던 길고양이는 동물보호법에 ‘도심지나 주택가에서 자연적으로 번식해 자생적으로 살아가는 고양이’로 정의돼 있다.

과거	과거/NNG
도둑고양이라고	도둑고양이/NNG+이/VCP+라고/EC
불리던	불리/VV+던/ETM
길고양이는	길고양이/NNG+는/JX
동물보호법에	동물/NNG+보호법/NNG+에/JKB
‘도심지나	‘/SS+도심지/NNG+나/JC
주택가에서	주택가/NNG+에서/JKB
자연적으로	자연/NNG+적/XSN+으로/JKB
번식해	번식/NNG+하/XSV+아/EC
자생적으로	자생/NNG+적/XSN+으로/JKB
살아가는	살아가/VV+는/ETM
고양이’로	고양이/NNG+’/SS+로/JKB
정의돼	정의/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.389.6.2
서울 길고양이는 1km²당 550마리 정도로, 서울 시내에 20만 마리가 살고 있는 것으로 추산된다.

서울	서울/NNP
길고양이는	길고양이/NNG+는/JX
1km²당	1/SN+km²/SW+당/XSN
550마리	550/SN+마리/NNB
정도로,	정도/NNG+로/JKB+,/SP
시내에	시내/NNG+에/JKB
20만	20/SN+만/NR
마리가	마리/NNB+가/JKS
살고	살/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.389.6.3
암고양이가 일생(평균 수명 3년) 동안 보통 22∼33마리를 낳는 엄청난 번식력을 가진 데다 먹을 것이 흔한 도시에서 수를 불리고 있기 때문이다.

암고양이가	암고양이/NNG+가/JKS
일생(평균	일생/NNG+(/SS+평균/NNG
수명	수명/NNG
3년)	3/SN+년/NNB+)/SS
동안	동안/NNG
보통	보통/MAG
22∼33마리를	22/SN+∼/SO+33/SN+마리/NNB+를/JKO
낳는	낳/VV+는/ETM
엄청난	엄청나/VA+ㄴ/ETM
번식력을	번식력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
데다	데/NNB+다/JX
먹을	먹/VV+을/ETM
것이	것/NNB+이/JKS
흔한	흔하/VA+ㄴ/ETM
도시에서	도시/NNG+에서/JKB
수를	수/NNG+를/JKO
불리고	불리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.389.7.1
길고양이 수가 늘어나자 혐오 민원과 애호 민원이 번갈아 구청에 쏟아지고 있다.

길고양이	길고양이/NNG
수가	수/NNG+가/JKS
늘어나자	늘어나/VV+자/EC
혐오	혐오/NNG
민원과	민원/NNG+과/JC
애호	애호/NNG
민원이	민원/NNG+이/JKS
번갈아	번갈/VV+아/EC
구청에	구청/NNG+에/JKB
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.389.7.2
고양이가 무리지어 다니며 밤마다 싸우는 소리에 시달리다 민원을 제기하거나 몰래 밥을 주는 캣맘을 신고하기도 한다.

고양이가	고양이/NNG+가/JKS
무리지어	무리/NNG+짓/VV+어/EC
다니며	다니/VV+며/EC
밤마다	밤/NNG+마다/JX
싸우는	싸우/VV+는/ETM
소리에	소리/NNG+에/JKB
시달리다	시달리/VV+다/EC
민원을	민원/NNG+을/JKO
제기하거나	제기/NNG+하/XSV+거나/EC
몰래	몰래/MAG
밥을	밥/NNG+을/JKO
주는	주/VV+는/ETM
캣맘을	캣맘/NNG+을/JKO
신고하기도	신고/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.389.7.3
반면 길고양이를 잡는 포획자를 신고하거나, 급식소 설치를 요구하는 캣맘들의 민원도 적지 않다.

반면	반면/NNG
길고양이를	길고양이/NNG+를/JKO
잡는	잡/VV+는/ETM
포획자를	포획자/NNG+를/JKO
신고하거나,	신고/NNG+하/XSV+거나/EC+,/SP
급식소	급식소/NNG
설치를	설치/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
캣맘들의	캣맘/NNG+들/XSN+의/JKG
민원도	민원/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.389.8.1
길고양이를 혐오하는 주민과 돌보는 캣맘이 번갈아 민원을 제기하면서 서울시와 자치구도 속앓이를 하고 있다.

길고양이를	길고양이/NNG+를/JKO
혐오하는	혐오/NNG+하/XSV+는/ETM
주민과	주민/NNG+과/JC
돌보는	돌보/VV+는/ETM
캣맘이	캣맘/NNG+이/JKS
번갈아	번갈/VV+아/EC
민원을	민원/NNG+을/JKO
제기하면서	제기/NNG+하/XSV+면서/EC
서울시와	서울시/NNP+와/JC
자치구도	자치구/NNG+도/JX
속앓이를	속앓이/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.389.8.2
2년 전 인천에서 캣맘을 때린 뒤 음식물 쓰레기통에 처박은 사건처럼 고양이 혐오 주민과 애호 주민 간의 다툼이 폭력으로 번지기도 했다.

2년	2/SN+년/NNB
전	전/NNG
인천에서	인천/NNP+에서/JKB
캣맘을	캣맘/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
뒤	뒤/NNG
음식물	음식물/NNG
쓰레기통에	쓰레기통/NNG+에/JKB
처박은	처박/VV+은/ETM
사건처럼	사건/NNG+처럼/JKB
고양이	고양이/NNG
혐오	혐오/NNG
주민과	주민/NNG+과/JC
애호	애호/NNG
주민	주민/NNG
간의	간/NNB+의/JKG
다툼이	다툼/NNG+이/JKS
폭력으로	폭력/NNG+으로/JKB
번지기도	번지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.389.9.1
서울시는 2008년부터 길고양이 중성화 사업을 해왔다.

서울시는	서울시/NNP+는/JX
2008년부터	2008/SN+년/NNB+부터/JX
길고양이	길고양이/NNG
중성화	중성/NNG+화/XSN
사업을	사업/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.389.9.2
길고양이로 불편을 겪는 주민들의 민원을 해결하고, 안락사를 시키는 반인도적 방식 대신 번식을 막는 수술을 해주는 것이다.

길고양이로	길고양이/NNG+로/JKB
불편을	불편/NNG+을/JKO
겪는	겪/VV+는/ETM
주민들의	주민/NNG+들/XSN+의/JKG
민원을	민원/NNG+을/JKO
해결하고,	해결/NNG+하/XSV+고/EC+,/SP
안락사를	안락사/NNG+를/JKO
시키는	시키/VV+는/ETM
반인도적	반/XPN+인도/NNG+적/XSN
방식	방식/NNG
대신	대신/NNG
번식을	번식/NNG+을/JKO
막는	막/VV+는/ETM
수술을	수술/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.389.9.3
올해는 서울시와 자치구가 함께 9억 원을 투입해 길고양이 4500마리 이상에게 중성화 수술을 해줬음에도 길고양이 수는 좀처럼 줄지 않고 있다.

올해는	올해/NNG+는/JX
서울시와	서울시/NNP+와/JC
자치구가	자치구/NNG+가/JKS
함께	함께/MAG
9억	9/SN+억/NR
원을	원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
길고양이	길고양이/NNG
4500마리	4500/SN+마리/NNB
이상에게	이상/NNG+에게/JKB
중성화	중성/NNG+화/XSN
수술을	수술/NNG+을/JKO
해줬음에도	하/VV+아/EC+주/VX+었/EP+음/ETN+에/JKB+도/JX
수는	수/NNG+는/JX
좀처럼	좀처럼/MAG
줄지	줄/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.389.9.4
개체 수를 줄이려면 전체 고양이의 15% 이상씩 수술이 필요한데 수술 건수가 이에 크게 못 미쳐서다.

개체	개체/NNG
수를	수/NNG+를/JKO
줄이려면	줄이/VV+려면/EC
전체	전체/NNG
고양이의	고양이/NNG+의/JKG
15%	15/SN+%/SW
이상씩	이상/NNG+씩/XSN
수술이	수술/NNG+이/JKS
필요한데	필요/NNG+하/XSA+ㄴ데/EC
수술	수술/NNG
건수가	건수/NNG+가/JKS
이에	이/NP+에/JKB
크게	크/VA+게/EC
못	못/MAG
미쳐서다.	미치/VV+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000041.389.10.1
○ 길고양이 보호, 먹이 주기만으로 해결 안 돼

○	○/SW
길고양이	길고양이/NNG
보호,	보호/NNG+,/SP
먹이	먹이/NNG
주기만으로	주/VV+기/ETN+만/JX+으로/JKB
해결	해결/NNG
안	안/MAG
돼	되/VV+어/EF


# id : NWRW1800000041.389.11.1
서울시가 ‘길고양이를 부탁해’ 사업을 추진한 것은 캣맘들의 도움을 받아 도시에서 사람과 길고양이가 공존할 방법을 찾자는 취지였다.

서울시가	서울시/NNP+가/JKS
‘길고양이를	‘/SS+길고양이/NNG+를/JKO
부탁해’	부탁/NNG+하/XSV+아/EF+’/SS
사업을	사업/NNG+을/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
캣맘들의	캣맘/NNG+들/XSN+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
도시에서	도시/NNG+에서/JKB
사람과	사람/NNG+과/JC
길고양이가	길고양이/NNG+가/JKS
공존할	공존/NNG+하/XSV+ㄹ/ETM
방법을	방법/NNG+을/JKO
찾자는	찾/VV+자는/ETM
취지였다.	취지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.389.11.2
개체 수가 급증해 쓰레기를 뒤지고, 분변을 흘리는 등 사람들의 일상을 침범하면 길고양이에 대한 인식은 나빠질 수밖에 없다.

개체	개체/NNG
수가	수/NNG+가/JKS
급증해	급증/NNG+하/XSV+아/EC
쓰레기를	쓰레기/NNG+를/JKO
뒤지고,	뒤지/VV+고/EC+,/SP
분변을	분변/NNG+을/JKO
흘리는	흘리/VV+는/ETM
등	등/NNB
사람들의	사람/NNG+들/XSN+의/JKG
일상을	일상/NNG+을/JKO
침범하면	침범/NNG+하/XSV+면/EC
길고양이에	길고양이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식은	인식/NNG+은/JX
나빠질	나빠지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.389.12.1
지난해 5월부터 길고양이 급식소를 운영해온 서울 강동구는 길고양이 관리 모범 사례로 꼽힌다.

지난해	지난해/NNG
5월부터	5/SN+월/NNB+부터/JX
길고양이	길고양이/NNG
급식소를	급식소/NNG+를/JKO
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
서울	서울/NNP
강동구는	강동구/NNP+는/JX
관리	관리/NNG
모범	모범/NNG
사례로	사례/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.389.12.2
현재 47개 급식소에서 자원봉사자들이 먹이와 물을 공급하며 이들을 관리한다.

현재	현재/MAG
47개	47/SN+개/NNB
급식소에서	급식소/NNG+에서/JKB
자원봉사자들이	자원봉사자/NNG+들/XSN+이/JKS
먹이와	먹이/NNG+와/JC
물을	물/NNG+을/JKO
공급하며	공급/NNG+하/XSV+며/EC
이들을	이/NP+들/XSN+을/JKO
관리한다.	관리/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.389.12.3
먹이를 먹기 위해 오는 길고양이를 포획하기도 쉽고 번식력이 강한 우두머리 수컷을 찾아내기도 쉬워 중성화 수술 건수가 크게 늘었다.

먹이를	먹이/NNG+를/JKO
먹기	먹/VV+기/ETN
위해	위하/VV+아/EC
오는	오/VV+는/ETM
길고양이를	길고양이/NNG+를/JKO
포획하기도	포획/NNG+하/XSV+기/ETN+도/JX
쉽고	쉽/VA+고/EC
번식력이	번식력/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
우두머리	우두머리/NNG
수컷을	수컷/NNG+을/JKO
찾아내기도	찾아내/VV+기/ETN+도/JX
쉬워	쉽/VA+어/EC
중성화	중성/NNG+화/XSN
수술	수술/NNG
건수가	건수/NNG+가/JKS
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.389.12.4
급식소를 운영한 뒤부터 올해 10월까지 중성화 수술을 받은 길고양이는 364마리에 이른다.

급식소를	급식소/NNG+를/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
뒤부터	뒤/NNG+부터/JX
올해	올해/NNG
10월까지	10/SN+월/NNB+까지/JX
중성화	중성/NNG+화/XSN
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
길고양이는	길고양이/NNG+는/JX
364마리에	364/SN+마리/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.389.12.5
월 평균 8.8마리에서 21.4마리로 급식소 운영 전후로 2.43배가 증가했다.

월	월/NNG
평균	평균/NNG
8.8마리에서	8/SN+./SP+8/SN+마리/NNB+에서/JKB
21.4마리로	21/SN+./SP+4/SN+마리/NNB+로/JKB
급식소	급식소/NNG
운영	운영/NNG
전후로	전후/NNG+로/JKB
2.43배가	2/SN+./SP+43/SN+배/NNG+가/JKS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.389.13.1
서울시는 캣맘들의 우려가 계속되자 30일 ‘길냥이를 부탁해 운영방안 시민의견 수렴회의’를 열었다.

서울시는	서울시/NNP+는/JX
캣맘들의	캣맘/NNG+들/XSN+의/JKG
우려가	우려/NNG+가/JKS
계속되자	계속/NNG+되/XSV+자/EC
30일	30/SN+일/NNB
‘길냥이를	‘/SS+길냥이/NNG+를/JKO
부탁해	부탁/NNG+하/XSV+아/EF
운영방안	운영/NNG+방안/NNG
시민의견	시민/NNG+의견/NNG
수렴회의’를	수렴/NNG+회의/NNG+’/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.389.13.2
여전히 찬반 의견이 갈리지만 의견 수렴을 계속해 ‘길고양이와의 공존법’을 찾을 방침이다.

여전히	여전히/MAG
찬반	찬반/NNG
의견이	의견/NNG+이/JKS
갈리지만	갈리/VV+지만/EC
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
계속해	계속/NNG+하/XSV+아/EC
‘길고양이와의	‘/SS+길고양이/NNG+와/JKB+의/JKG
공존법’을	공존법/NNG+’/SS+을/JKO
찾을	찾/VV+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.389.13.3
배진선 동물복지과 주무관은 “길고양이를 보호하려면 먹이 주기와 함께 중성화 수술로 개체 수를 관리해야 한다.

배진선	배진선/NNP
동물복지과	동물/NNG+복지과/NNG
주무관은	주무관/NNG+은/JX
“길고양이를	“/SS+길고양이/NNG+를/JKO
보호하려면	보호/NNG+하/XSV+려면/EC
먹이	먹이/NNG
주기와	주/VV+기/ETN+와/JKB
함께	함께/MAG
중성화	중성/NNG+화/XSN
수술로	수술/NNG+로/JKB
개체	개체/NNG
수를	수/NNG+를/JKO
관리해야	관리/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.389.13.4
캣맘들과 소통을 계속하겠다”고 말했다.

캣맘들과	캣맘/NNG+들/XSN+과/JKB
소통을	소통/NNG+을/JKO
계속하겠다”고	계속/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


