# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.238
metadata : {}


# id : NWRW1800000026.238.1.1
[누구?] '제빵왕 김탁구' 구마준役 주원;가수·뮤지컬 배우 거쳐 TV로… " '제2의 강동원' 별명은 영광"

[누구?]	[/SS+누구/NP+?/SF+]/SS
바랄	바라/VV+ㄹ/ETM
바가	바/NNB+가/JKS
없어요."	없/VA+어요/EF+./SF+"/SS
그는	그/NP+는/JX
"마준이는	"/SS+마준이/NNP+는/JX
상처입은	상처/NNG+입/VV+은/ETM
영혼일	영혼/NNG+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
결코	결코/MAG
악역이	악역/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"그래서	"/SS+그래서/MAJ
연기할	연기/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
소리	소리/NNG
지르고	지르/VV+고/EC
노려보는	노려보/VV+는/ETM
모습이	모습/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
가슴속에	가슴속/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
아픔을	아픔/NNG+을/JKO
꾹꾹	꾹꾹/MAG
누르려는	누르/VV+려는/ETM
모습을	모습/NNG+을/JKO
보여주려고	보이/VV+어/EC+주/VX+려고/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.238.4.1
데뷔한 지 만 3년.

데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
지	지/NNB
만	만/MMA
3년.	3/SN+년/NNB+./SF


# id : NWRW1800000026.238.4.2
주원의 첫 무대는 사실 노래였다.

주원의	주원/NNP+의/JKG
첫	첫/MMN
무대는	무대/NNG+는/JX
사실	사실/MAG
노래였다.	노래/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.238.4.3
'프리즈'라는 이름으로 결성한 5인조 그룹.

'프리즈'라는	'/SS+프리즈/NNP+'/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
결성한	결성/NNG+하/XSV+ㄴ/ETM
5인조	5/SN+인/NNG+조/NNG
그룹.	그룹/NNG+./SF


# id : NWRW1800000026.238.4.4
2007년 1집 '너의 꿈을 말해봐'를 내고 리드보컬로 가수 활동을 했지만 "잘 안 돼서 그만뒀다"고 했다.

2007년	2007/SN+년/NNB
1집	1/SN+집/NNB
'너의	'/SS+너/NP+의/JKG
꿈을	꿈/NNG+을/JKO
말해봐'를	말/NNG+하/XSV+아/EC+보/VX+아/EF+'/SS+를/JKO
내고	내/VV+고/EC
리드보컬로	리드/NNG+보컬/NNG+로/JKB
가수	가수/NNG
활동을	활동/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
"잘	"/SS+잘/MAG
안	안/MAG
돼서	되/VV+어서/EC
그만뒀다"고	그만두/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.238.4.5
하지만 그때 경험은 단단한 살집이 돼 뮤지컬 무대로 이어졌다.

하지만	하지만/MAJ
그때	그때/NNG
경험은	경험/NNG+은/JX
단단한	단단하/VA+ㄴ/ETM
살집이	살집/NNG+이/JKC
돼	되/VV+어/EC
뮤지컬	뮤지컬/NNG
무대로	무대/NNG+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.238.4.6
'알타보이즈' '싱글즈' '그리스' '신상남' '스프링 어웨이크닝' 등 그가 3년간 누빈 무대가 다 뮤지컬이다.

'알타보이즈'	'/SS+알타보이즈/NNG+'/SS
'싱글즈'	'/SS+싱글즈/NNG+'/SS
'그리스'	'/SS+그리스/NNP+'/SS
'신상남'	'/SS+신상남/NNG+'/SS
'스프링	'/SS+스프링/NNG
어웨이크닝'	어웨이크닝/NNG+'/SS
등	등/NNB
그가	그/NP+가/JKS
3년간	3/SN+년/NNB+간/XSN
누빈	누비/VV+ㄴ/ETM
무대가	무대/NNG+가/JKS
다	다/MAG
뮤지컬이다.	뮤지컬/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.238.5.1
그가 연기를 시작한 건 학창시절 '외모 콤플렉스' 때문이었다.

그가	그/NP+가/JKS
연기를	연기/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
학창시절	학창/NNG+시절/NNG
'외모	'/SS+외모/NNG
콤플렉스'	콤플렉스/NNG+'/SS
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.238.5.2
지금은 185㎝의 장신이지만 사춘기 시절엔 키 작고 뚱뚱한 '별 볼 일 없는 아이'였다고 했다.

지금은	지금/NNG+은/JX
185㎝의	185/SN+㎝/SW+의/JKG
장신이지만	장신/NNG+이/VCP+지만/EC
사춘기	사춘기/NNG
시절엔	시절/NNG+에/JKB+ㄴ/JX
키	키/NNG
작고	작/VA+고/EC
뚱뚱한	뚱뚱/MAG+하/XSA+ㄴ/ETM
'별	'/SS+별/MMA
볼	보/VV+ㄹ/ETM
일	일/NNG
없는	없/VA+는/ETM
아이'였다고	아이/NNG+'/SS+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.238.5.3
"중학교 2학년 때 키가 160㎝도 안 됐어요.

"중학교	"/SS+중학교/NNG
2학년	2/SN+학년/NNG
때	때/NNG
키가	키/NNG+가/JKS
160㎝도	160/SN+㎝/SW+도/JX
안	안/MAG
됐어요.	되/VV+었/EP+어요/EF+./SF


# id : NWRW1800000026.238.5.4
자리는 늘 앞쪽이었고요.

자리는	자리/NNG+는/JX
늘	늘/MAG
앞쪽이었고요.	앞쪽/NNG+이/VCP+었/EP+고/EC+요/JX+./SF


# id : NWRW1800000026.238.5.5
소심한 성격이 점점 더 소심해졌죠.

소심한	소심하/VA+ㄴ/ETM
성격이	성격/NNG+이/JKS
점점	점점/MAG
더	더/MAG
소심해졌죠.	소심하/VA+아/EC+지/VX+었/EP+죠/EF+./SF


# id : NWRW1800000026.238.5.6
반에서 있는지 없는지도 모르는 그런 스타일이었어요." 보다 못한 부모가 '좀 당당해지라'며 그를 억지로 학교 연극부에 가입시켰고, 그걸 계기로 그는 자신의 인생행로를 바꿨다.

반에서	반/NNG+에서/JKB
있는지	있/VA+는지/EF
없는지도	없/VA+는지/EF+도/JX
모르는	모르/VV+는/ETM
그런	그런/MMD
스타일이었어요."	스타일/NNG+이/VCP+었/EP+어요/EF+./SF+"/SS
보다	보/VV+다/EC
못한	못하/VX+ㄴ/ETM
부모가	부모/NNG+가/JKS
'좀	'/SS+좀/MAG
당당해지라'며	당당/MAG+하/XSA+아/EC+지/VX+라/EF+'/SS+며/EC
그를	그/NP+를/JKO
억지로	억지로/MAG
학교	학교/NNG
연극부에	연극부/NNG+에/JKB
가입시켰고,	가입/NNG+시키/XSV+었/EP+고/EC+,/SP
그걸	그거/NP+ㄹ/JKO
계기로	계기/NNG+로/JKB
그는	그/NP+는/JX
자신의	자신/NNG+의/JKG
인생행로를	인생행로/NNG+를/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.238.6.1
강한 인상 때문에 주로 냉정한 배역을 맡아왔지만, 실제는 정반대다.

강한	강하/VA+ㄴ/ETM
인상	인상/NNG
때문에	때문/NNB+에/JKB
주로	주로/MAG
냉정한	냉정/NNG+하/XSA+ㄴ/ETM
배역을	배역/NNG+을/JKO
맡아왔지만,	맡/VV+아/EC+오/VX+았/EP+지만/EC+,/SP
실제는	실제/NNG+는/JX
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.238.6.2
"저랑 뮤지컬을 같이하셨던 분들은 '너 같은 애가 어떻게 그렇게 나쁜 남자 역할을 맡았느냐'고 하세요.

"저랑	"/SS+저/NP+랑/JKB
뮤지컬을	뮤지컬/NNG+을/JKO
같이하셨던	같이/MAG+하/XSV+시/EP+었/EP+던/ETM
분들은	분/NNB+들/XSN+은/JX
'너	'/SS+너/NP
같은	같/VA+은/ETM
애가	애/NNG+가/JKS
어떻게	어떻/VA+게/EC
그렇게	그렇/VA+게/EC
나쁜	나쁘/VA+ㄴ/ETM
남자	남자/NNG
역할을	역할/NNG+을/JKO
맡았느냐'고	맡/VV+았/EP+느냐/EF+'/SS+고/JKQ
하세요.	하/VV+시/EP+어요/EF+./SF


# id : NWRW1800000026.238.6.3
그만큼 저 착하고 순하거든요." 쉴 때도 밖에 돌아다니는 것보다 집에 있는 걸 더 좋아하는 성격.

그만큼	그만큼/NNG
저	저/NP
착하고	착하/VA+고/EC
순하거든요."	순하/VA+거든/EF+요/JX+./SF+"/SS
쉴	쉬/VV+ㄹ/ETM
때도	때/NNG+도/JX
밖에	밖/NNG+에/JKB
돌아다니는	돌아다니/VV+는/ETM
것보다	것/NNB+보다/JKB
집에	집/NNG+에/JKB
있는	있/VA+는/ETM
걸	거/NNB+ㄹ/JKO
더	더/MAG
좋아하는	좋아하/VV+는/ETM
성격.	성격/NNG+./SF


# id : NWRW1800000026.238.6.4
술도 잘 못 마신다.

술도	술/NNG+도/JX
잘	잘/MAG
못	못/MAG
마신다.	마시/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.238.7.1
그래서인지 그는 요즘 자신의 이름 옆에 심심치 않게 붙는 '제2의 강동원'이란 수식어를 유독 쑥스러워했다.

그래서인지	그렇/VA+어서/EC+이/VCP+ㄴ지/EC
그는	그/NP+는/JX
요즘	요즘/NNG
자신의	자신/NNG+의/JKG
이름	이름/NNG
옆에	옆/NNG+에/JKB
심심치	심심하/VA+지/EC
않게	않/VX+게/EC
붙는	붙/VV+는/ETM
'제2의	'/SS+제/XPN+2/SN+의/JKG
강동원'이란	강동원/NNP+'/SS+이/VCP+란/ETM
수식어를	수식어/NNG+를/JKO
유독	유독/MAG
쑥스러워했다.	쑥스럽/VA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.238.7.2
"와, 저는 정말 영광이죠, 좋기도 하고 부끄럽기도 하고….

"와,	"/SS+와/IC+,/SP
저는	저/NP+는/JX
정말	정말/MAG
영광이죠,	영광/NNG+이/VCP+죠/EF+,/SP
좋기도	좋/VA+기/ETN+도/JX
하고	하/VX+고/EC
부끄럽기도	부끄럽/VA+기/ETN+도/JX
하고….	하/VX+고/EC+…/SE+./SF


# id : NWRW1800000026.238.7.3
근데 강동원 선배 팬들이 욕하면 어떡하죠?

근데	근데/MAJ
강동원	강동원/NNP
선배	선배/NNG
팬들이	팬/NNG+들/XSN+이/JKS
욕하면	욕/NNG+하/XSV+면/EC
어떡하죠?	어떡하/VV+죠/EF+?/SF


# id : NWRW1800000026.238.7.4
저는 그 걱정부터 되더라고요.

저는	저/NP+는/JX
그	그/MMD
걱정부터	걱정/NNG+부터/JX
되더라고요.	되/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000026.238.7.5
하하."

하하."	하하/IC+./SF+"/SS


