# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.420
metadata : {}


# id : NWRW1800000030.420.1.1
[강원] "통합논의 본격화되자 갈등도 본격화"

[강원]	[/SS+강원/NNP+]/SS
선택이라며	선택/NNG+이/VCP+라며/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
세미나	세미나/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
12월	12/SN+월/NNB
중순쯤에는	중순/NNG+쯤/XSN+에/JKB+는/JX
주민을	주민/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
받은	받/VV+은/ETM
서명부를	서명부/NNG+를/JKO
속초시장에게	속초시장/NNG+에게/JKB
전달할	전달/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.420.11.1
◇동해서도 통합 추진위 발족

◇동해서도	◇/SW+동해/NNP+서/JKB+도/JX
통합	통합/NNG
추진위	추진위/NNG
발족	발족/NNG


# id : NWRW1800000030.420.12.1
삼척과 동해 지역에서는 통합 논의가 급물살을 타고 있다.

삼척과	삼척/NNP+과/JC
동해	동해/NNP
지역에서는	지역/NNG+에서/JKB+는/JX
통합	통합/NNG
논의가	논의/NNG+가/JKS
급물살을	급물살/NNG+을/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.13.1
삼척에서는 사회단체를 중심으로 한 '삼척시 지방행정 체제개편 추진위원회'가 공식 발족하고 그동안 산발적으로 거론돼 온 시·군 통합 논의가 구체화하고 있다.

삼척에서는	삼척/NNP+에서/JKB+는/JX
사회단체를	사회단체/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
'삼척시	'/SS+삼척시/NNP
지방행정	지방/NNG+행정/NNG
체제개편	체제/NNG+개편/NNG
추진위원회'가	추진/NNG+위원회/NNG+'/SS+가/JKS
공식	공식/NNG
발족하고	발족/NNG+하/XSV+고/EC
그동안	그동안/NNG
산발적으로	산발/NNG+적/XSN+으로/JKB
거론돼	거론/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
시·군	시/NNG+·/SP+군/NNG
통합	통합/NNG
논의가	논의/NNG+가/JKS
구체화하고	구체/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.14.1
삼척 추진위가 통합의 대상으로 하는 자치단체는 인근의 동해시, 태백시, 경북 울진군 등으로 '주민에 의한 건의' 쪽으로 가닥을 잡고 있다.

삼척	삼척/NNP
추진위가	추진위/NNG+가/JKS
통합의	통합/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
자치단체는	자치/NNG+단체/NNG+는/JX
인근의	인근/NNG+의/JKG
동해시,	동해시/NNP+,/SP
태백시,	태백시/NNP+,/SP
경북	경북/NNP
울진군	울진군/NNP
등으로	등/NNB+으로/JKB
'주민에	'/SS+주민/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
건의'	건의/NNG+'/SS
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.14.2
주민 건의에 필요한 서명 기준은 투표권자 총수의 50분의 1 이상으로 삼척시에서는 총투표권자 5만9187명 가운데 1183명 이상의 서명을 받으면 건의가 가능하다.

주민	주민/NNG
건의에	건의/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
서명	서명/NNG
기준은	기준/NNG+은/JX
투표권자	투표권자/NNG
총수의	총수/NNG+의/JKG
50분의	50/SN+분/XSN+의/JKG
1	1/SN
이상으로	이상/NNG+으로/JKB
삼척시에서는	삼척시/NNP+에서/JKB+는/JX
총투표권자	총/MMA+투표권자/NNG
5만9187명	5/SN+만/NR+9187/SN+명/NNB
가운데	가운데/NNG
1183명	1183/SN+명/NNB
이상의	이상/NNG+의/JKG
서명을	서명/NNG+을/JKO
받으면	받/VV+으면/EC
건의가	건의/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.420.15.1
이런 가운데 통합 대상인 동해지역에서도 가칭 '시·군 통합 동해시 추진위원회'가 발족됐다.

이런	이런/MMD
가운데	가운데/NNG
통합	통합/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
동해지역에서도	동해/NNP+지역/NNG+에서/JKB+도/JX
가칭	가칭/NNG
'시·군	'/SS+시/NNG+·/SP+군/NNG
동해시	동해시/NNP
추진위원회'가	추진/NNG+위원회/NNG+'/SS+가/JKS
발족됐다.	발족/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.420.15.2
위원회는 최근 발기인 총회를 열고 위원장을 선출하는 등 서명을 받아 통합을 건의한다는 계획이다.

위원회는	위원회/NNG+는/JX
최근	최근/NNG
발기인	발기인/NNG
총회를	총회/NNG+를/JKO
열고	열/VV+고/EC
위원장을	위원장/NNG+을/JKO
선출하는	선출/NNG+하/XSV+는/ETM
등	등/NNB
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
통합을	통합/NNG+을/JKO
건의한다는	건의/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.420.15.3
동해시의 투표권자는 7만3888명으로 통합 건의를 하기 위해서는 1478명 이상의 서명을 받으면 된다.

동해시의	동해시/NNP+의/JKG
투표권자는	투표권자/NNG+는/JX
7만3888명으로	7/SN+만/NR+3888/SN+명/NNB+으로/JKB
통합	통합/NNG
건의를	건의/NNG+를/JKO
하기	하/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
1478명	1478/SN+명/NNB
이상의	이상/NNG+의/JKG
서명을	서명/NNG+을/JKO
받으면	받/VV+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.420.16.1
이 지역에서는 행정구역 개편과 강원 남부권 발전 방안 마련을 위한 심포지엄도 열리는 등 통합 논의가 속도를 내고 있다.

이	이/MMD
지역에서는	지역/NNG+에서/JKB+는/JX
행정구역	행정/NNG+구역/NNG
개편과	개편/NNG+과/JC
강원	강원/NNP
남부권	남부/NNG+권/XSN
발전	발전/NNG
방안	방안/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
심포지엄도	심포지엄/NNG+도/JX
열리는	열리/VV+는/ETM
등	등/NNB
통합	통합/NNG
논의가	논의/NNG+가/JKS
속도를	속도/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.420.17.1
주민들은 "통합에 대한 실익을 따져 보고 지역발전을 위한 현명한 선택이 필요하다"는 입장이다.

주민들은	주민/NNG+들/XSN+은/JX
"통합에	"/SS+통합/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실익을	실익/NNG+을/JKO
따져	따지/VV+어/EC
보고	보/VX+고/EC
지역발전을	지역/NNG+발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
현명한	현명/NNG+하/XSA+ㄴ/ETM
선택이	선택/NNG+이/JKS
필요하다"는	필요/NNG+하/XSA+다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


