# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.244
metadata : {}


# id : NWRW1800000044.244.1.1
고리원전 2호기 가동 중단 “취수건물에 빗물 과다유입”

고리원전	고리원전/NNP
빗물이 과다하게 들어오면서 취수 펌프가 자동으로 멈췄고, 설비 안전을 위해 원전 가동을 수동으로 정지했다”고 설명했다.

빗물이	빗물/NNG+이/JKS
과다하게	과다/NNG+하/XSA+게/EC
들어오면서	들어오/VV+면서/EC
취수	취수/NNG
펌프가	펌프/NNG+가/JKS
자동으로	자동/NNG+으로/JKB
멈췄고,	멈추/VV+었/EP+고/EC+,/SP
설비	설비/NNG
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
원전	원전/NNG
가동을	가동/NNG+을/JKO
수동으로	수동/NNG+으로/JKB
정지했다”고	정지/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.244.6.3
폭우로 원전이 멈춰 선 것은 이번이 처음이라고 한수원 쪽은 전했다.

폭우로	폭우/NNG+로/JKB
원전이	원전/NNG+이/JKS
멈춰	멈추/VV+어/EC
선	서/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이라고	처음/NNG+이/VCP+라고/EC
한수원	한수원/NNP
쪽은	쪽/NNB+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.244.6.4
이 관계자는 “방사성 물질이 있는 원자로 건물이 아닌 별도의 건물에서 일어난 것으로 안전에는 이상이 없으며 예비전력이 충분한 만큼 전력 수급도 문제가 없다”고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“방사성	“/SS+방사/NNG+성/XSN
물질이	물질/NNG+이/JKS
있는	있/VA+는/ETM
원자로	원자로/NNG
건물이	건물/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
별도의	별도/NNG+의/JKG
건물에서	건물/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안전에는	안전/NNG+에/JKB+는/JX
이상이	이상/NNG+이/JKS
없으며	없/VA+으며/EC
예비전력이	예비/NNG+전력/NNG+이/JKS
충분한	충분하/VA+ㄴ/ETM
만큼	만큼/NNB
전력	전력/NNG
수급도	수급/NNG+도/JX
문제가	문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.244.7.1
한수원은 취수 건물에 빗물이 과다 유입된 경위 등을 조사한 뒤 안전 점검을 실시할 예정이다.

한수원은	한수원/NNP+은/JX
취수	취수/NNG
건물에	건물/NNG+에/JKB
빗물이	빗물/NNG+이/JKS
과다	과다/NNG
유입된	유입/NNG+되/XSV+ㄴ/ETM
경위	경위/NNG
등을	등/NNB+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
안전	안전/NNG
점검을	점검/NNG+을/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.244.7.2
한수원은 원자력안전위원회 승인을 거쳐 고리 2호기를 재가동할 참이다.

한수원은	한수원/NNP+은/JX
원자력안전위원회	원자력/NNG+안전/NNG+위원회/NNG
승인을	승인/NNG+을/JKO
거쳐	거치/VV+어/EC
고리	고리/NNP
2호기를	2/SN+호기/NNB+를/JKO
재가동할	재/XPN+가동/NNG+하/XSV+ㄹ/ETM
참이다.	참/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.244.7.3
원자력발전소는 한번 가동이 중단될 경우 원안위 승인을 받아야만 재가동할 수 있다.

원자력발전소는	원자력/NNG+발전소/NNG+는/JX
한번	한번/MAG
가동이	가동/NNG+이/JKS
중단될	중단/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
원안위	원안위/NNG
승인을	승인/NNG+을/JKO
받아야만	받/VV+아야/EC+만/JX
재가동할	재/XPN+가동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.244.7.4
고리 2호기는 1983년 7월 상업운전을 시작한 가압경수로형이다.

고리	고리/NNP
2호기는	2/SN+호기/NNB+는/JX
1983년	1983/SN+년/NNB
7월	7/SN+월/NNB
상업운전을	상업/NNG+운전/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
가압경수로형이다.	가압/NNG+경수로/NNG+형/XSN+이/VCP+다/EF+./SF


