# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.241
metadata : {}


# id : NWRW1800000045.241.1.1
무시무시한 박병호도 무시 못하는 천적들

무시무시한	무시무시/MAG+하/XSA+ㄴ/ETM
홈런을	홈런/NNG+을/JKO
친	치/VV+ㄴ/ETM
박병호였지만	박병호/NNP+이/VCP+었/EP+지만/EC
타격	타격/NNG
리듬을	리듬/NNG+을/JKO
빼앗는	빼앗/VV+는/ETM
손민한의	손민한/NNP+의/JKG
투구에는	투구/NNG+에/JKB+는/JX
속수무책이었다.	속수무책/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.241.4.9
박병호는 2013∼2014시즌에도 손민한에게 7타수 1안타로 밀렸다.

박병호는	박병호/NNP+는/JX
2013∼2014시즌에도	2013/SN+∼/SO+2014/SN+시즌/NNG+에/JKB+도/JX
손민한에게	손민한/NNP+에게/JKB
7타수	7/SN+타수/NNG
1안타로	1/SN+안타/NNG+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.241.5.1
팀으로는 한화에 가장 재미를 못 봤다.

팀으로는	팀/NNG+으로/JKB+는/JX
한화에	한화/NNP+에/JKB
가장	가장/MAG
재미를	재미/NNG+를/JKO
못	못/MAG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.241.5.2
한화를 제외한 8개 팀을 상대로 3할을 넘나드는 맹타를 휘두르고 있는 박병호지만 한화를 만나서는 타율이 0.225에 그치고 있다.

한화를	한화/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
8개	8/SN+개/NNB
팀을	팀/NNG+을/JKO
상대로	상대/NNG+로/JKB
3할을	3/SN+할/NNB+을/JKO
넘나드는	넘나들/VV+는/ETM
맹타를	맹타/NNG+를/JKO
휘두르고	휘두르/VV+고/EC
있는	있/VX+는/ETM
박병호지만	박병호/NNP+이/VCP+지만/EC
만나서는	만나/VV+아서/EC+는/JX
타율이	타율/NNG+이/JKS
0.225에	0/SN+./SP+225/SN+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.241.6.1
반면 천적 관계를 청산한 투수도 있다.

반면	반면/NNG
천적	천적/NNG
관계를	관계/NNG+를/JKO
청산한	청산/NNG+하/XSV+ㄴ/ETM
투수도	투수/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.241.6.2
올 시즌 다승 1위를 달리고 있는 두산의 동갑내기 유희관(두산)이 대표적이다.

올	올/NNG
시즌	시즌/NNG
다승	다승/NNG
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
두산의	두산/NNP+의/JKG
동갑내기	동갑내기/NNG
유희관(두산)이	유희관/NNP+(/SS+두산/NNP+)/SS+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.241.6.3
지난해 유희관에게 6타수 1안타에 삼진을 4개나 당했던 박병호는 올 시즌 유희관을 상대로 9타수 5안타에 홈런 1개를 기록하고 있다.

지난해	지난해/NNG
유희관에게	유희관/NNP+에게/JKB
6타수	6/SN+타수/NNG
1안타에	1/SN+안타/NNG+에/JKB
삼진을	삼진/NNG+을/JKO
4개나	4/SN+개/NNB+나/JX
당했던	당하/VV+았/EP+던/ETM
박병호는	박병호/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
유희관을	유희관/NNP+을/JKO
상대로	상대/NNG+로/JKB
9타수	9/SN+타수/NNG
5안타에	5/SN+안타/NNG+에/JKB
홈런	홈런/NNG
1개를	1/SN+개/NNB+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.241.7.1
장충고에서 유희관을 지도했던 유영준 NC 스카우트 팀장은 “희관이와 병호가 고등학교 때는 한 번도 붙지 않아 프로에서 어떠한 대결을 벌일지 궁금했었는데 올 시즌에는 병호가 희관이를 많이 연구한 것 같다”고 말했다.

장충고에서	장충고/NNP+에서/JKB
유희관을	유희관/NNP+을/JKO
지도했던	지도/NNG+하/XSV+았/EP+던/ETM
유영준	유영준/NNP
NC	NC/SL
스카우트	스카우트/NNG
팀장은	팀장/NNG+은/JX
“희관이와	“/SS+희관이/NNP+와/JC
병호가	병호/NNP+가/JKS
고등학교	고등학교/NNG
때는	때/NNG+는/JX
한	한/MMN
번도	번/NNB+도/JX
붙지	붙/VV+지/EC
않아	않/VX+아/EC
프로에서	프로/NNG+에서/JKB
어떠한	어떠하/VA+ㄴ/ETM
대결을	대결/NNG+을/JKO
벌일지	벌이/VV+ㄹ지/EF
궁금했었는데	궁금하/VA+았었/EP+는데/EC
올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
희관이를	희관이/NNP+를/JKO
많이	많이/MAG
연구한	연구/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


