# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.369
metadata : {}


# id : NWRW1800000037.369.1.1
“獨 광산서… 열사의 중동사막서… 국민 피땀으로 기적 이뤄”

“獨	“/SS+獨/SH
독일의 광산에서, 열사의 중동 사막에서, 월남의 정글에서 숱한 역경을 헤치며 국민의 피와 땀으로 기적의 역사를 만들었다”며 아버지인 박정희 전 대통령 시절 역사를 강조해 눈길을 끌기도 했다.

독일의	독일/NNP+의/JKG
광산에서,	광산/NNG+에서/JKB+,/SP
열사의	열사/NNG+의/JKG
중동	중동/NNP
사막에서,	사막/NNG+에서/JKB+,/SP
월남의	월남/NNP+의/JKG
정글에서	정글/NNG+에서/JKB
숱한	숱하/VA+ㄴ/ETM
역경을	역경/NNG+을/JKO
헤치며	헤치/VV+며/EC
국민의	국민/NNG+의/JKG
피와	피/NNG+와/JC
땀으로	땀/NNG+으로/JKB
기적의	기적/NNG+의/JKG
역사를	역사/NNG+를/JKO
만들었다”며	만들/VV+었/EP+다/EF+”/SS+며/EC
아버지인	아버지/NNG+이/VCP+ㄴ/ETM
박정희	박정희/NNP
전	전/MMD
대통령	대통령/NNG
시절	시절/NNG
강조해	강조/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌기도	끌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.1
박 대통령은 경축사를 낭독하면서 42차례의 박수를 받았다.

박	박/NNP
대통령은	대통령/NNG+은/JX
경축사를	경축사/NNG+를/JKO
낭독하면서	낭독/NNG+하/XSV+면서/EC
42차례의	42/SN+차례/NNG+의/JKG
박수를	박수/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.2
경축식에는 검사 시절 광복절 경축식장에서 육영수 여사를 저격(1974년)한 문세광의 자백을 받아낸 김기춘 대통령비서실장도 참석했다.

경축식에는	경축식/NNG+에/JKB+는/JX
검사	검사/NNG
시절	시절/NNG
광복절	광복절/NNG
경축식장에서	경축식장/NNG+에서/JKB
육영수	육영수/NNP
여사를	여사/NNG+를/JKO
저격(1974년)한	저격/NNG+(/SS+1974/SN+년/NNB+)/SS+하/XSV+ㄴ/ETM
문세광의	문세광/NNP+의/JKG
자백을	자백/NNG+을/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
김기춘	김기춘/NNP
대통령비서실장도	대통령/NNG+비서실장/NNG+도/JX
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.3
모처럼 여야 대표들도 자리를 함께했다.

모처럼	모처럼/MAG
여야	여야/NNG
대표들도	대표/NNG+들/XSN+도/JX
자리를	자리/NNG+를/JKO
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.4
박 대통령은 경축식 직전에 주요 인사들과 인사를 하면서 장외투쟁을 벌이고 있는 민주당 김한길 대표와도 악수를 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
경축식	경축식/NNG
직전에	직전/NNG+에/JKB
주요	주요/NNG
인사들과	인사/NNG+들/XSN+과/JKB
인사를	인사/NNG+를/JKO
하면서	하/VV+면서/EC
장외투쟁을	장외/NNG+투쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
민주당	민주당/NNP
김한길	김한길/NNP
대표와도	대표/NNG+와/JKB+도/JX
악수를	악수/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.5
김 대표는 기자들과 만나 “인사만 했다.

김	김/NNP
대표는	대표/NNG+는/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“인사만	“/SS+인사/NNG+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.369.8.6
말을 하지는 않았다”고 전했다.

말을	말/NNG+을/JKO
하지는	하/VV+지/EC+는/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


