# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.37
metadata : {}


# id : NWRW1800000032.37.1.1
‘큐브’ 돌풍

‘큐브’	‘/SS+큐브/NNP+’/SS
독특한	독특/NNG+하/XSA+ㄴ/ETM
디자인이	디자인/NNG+이/JKS
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.37.5.3
사전계약 고객의 80%는 20~30대다.

사전계약	사전/NNG+계약/NNG
고객의	고객/NNG+의/JKG
80%는	80/SN+%/SW+는/JX
20~30대다.	20/SN+~/SO+30/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.5.4
여기에다 옆으로 여닫는 방식의 트렁크 문, 뒷좌석과 조수석까지 접어 공간을 넓게 쓸 수 있는 실용성도 더해졌다.

여기에다	여기/NP+에다/JKB
옆으로	옆/NNG+으로/JKB
여닫는	여닫/VV+는/ETM
방식의	방식/NNG+의/JKG
트렁크	트렁크/NNG
문,	문/NNG+,/SP
뒷좌석과	뒷좌석/NNG+과/JC
조수석까지	조수석/NNG+까지/JX
접어	접/VV+어/EC
공간을	공간/NNG+을/JKO
넓게	넓/VA+게/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
실용성도	실용/NNG+성/XSN+도/JX
더해졌다.	더/MAG+하/XSV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.37.5.5
판매가격이 2190만~2490만원대로 경쟁 상대인 아반떼와 큰 차이가 없는 덕도 톡톡히 봤다.

판매가격이	판매/NNG+가격/NNG+이/JKS
2190만~2490만원대로	2190/SN+만/NR+~/SO+2490/SN+만/NR+원/NNB+대/XSN+로/JKB
경쟁	경쟁/NNG
상대인	상대/NNG+이/VCP+ㄴ/ETM
아반떼와	아반떼/NNP+와/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없는	없/VA+는/ETM
덕도	덕/NNG+도/JX
톡톡히	톡톡히/MAG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.37.6.1
이처럼 인기를 끄는 신차에는 국내 소비자의 마음을 움직일 ‘무언가’가 있기 마련이다.

이처럼	이/NP+처럼/JKB
인기를	인기/NNG+를/JKO
끄는	끌/VV+는/ETM
신차에는	신차/NNG+에/JKB+는/JX
국내	국내/NNG
소비자의	소비자/NNG+의/JKG
마음을	마음/NNG+을/JKO
움직일	움직이/VV+ㄹ/ETM
‘무언가’가	‘/SS+무어/NP+이/VCP+ㄴ가/EF+’/SS+가/JKS
있기	있/VA+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.6.2
지난 5월 폴크스바겐코리아가 출시한 신형 제타는 1.6ℓ와 2.0ℓ 모델을 합쳐 첫달에만 645대가 팔렸다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
폴크스바겐코리아가	폴크스바겐코리아/NNP+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
신형	신형/NNG
제타는	제타/NNP+는/JX
1.6ℓ와	1/SN+./SP+6/SN+ℓ/SW+와/JC
2.0ℓ	2/SN+./SP+0/SN+ℓ/SW
모델을	모델/NNG+을/JKO
합쳐	합치/VV+어/EC
첫달에만	첫/MMN+달/NNG+에/JKB+만/JX
645대가	645/SN+대/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.37.6.3
22.2㎞/ℓ(1.6 TDI 블루모션)에 이르는 높은 연비, 쏘나타보다도 넓은 트렁크(550ℓ), 3000만원대 초반의 가격이 높은 점수를 받았기 때문이다.

22.2㎞/ℓ(1.6	22/SN+./SP+2/SN+㎞/SW+//SP+ℓ/SW+(/SS+1/SN+./SP+6/SN
TDI	TDI/SL
블루모션)에	블루모션/NNP+)/SS+에/JKB
이르는	이르/VV+는/ETM
높은	높/VA+은/ETM
연비,	연비/NNG+,/SP
쏘나타보다도	쏘나타/NNP+보다/JKB+도/JX
넓은	넓/VA+은/ETM
트렁크(550ℓ),	트렁크/NNG+(/SS+550/SN+ℓ/SW+)/SS+,/SP
3000만원대	3000/SN+만/NR+원/NNB+대/XSN
초반의	초반/NNG+의/JKG
가격이	가격/NNG+이/JKS
점수를	점수/NNG+를/JKO
받았기	받/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.7.1
큐브처럼 틈새시장을 노려 성공한 경우도 있다.

큐브처럼	큐브/NNP+처럼/JKB
틈새시장을	틈새시장/NNG+을/JKO
노려	노리/VV+어/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
경우도	경우/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.37.7.2
한국지엠(GM)의 경우, 다목적차량 올란도가 올해 출시된 신차 가운데 가장 좋은 판매성적을 거두면서, 미니밴과 스포츠실용차를 아우르는 시장에 성공적으로 안착했다.

한국지엠(GM)의	한국지엠/NNP+(/SS+GM/SL+)/SS+의/JKG
경우,	경우/NNG+,/SP
다목적차량	다목적/NNG+차량/NNG
올란도가	올란도/NNP+가/JKS
올해	올해/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
신차	신차/NNG
가운데	가운데/NNG
가장	가장/MAG
좋은	좋/VA+은/ETM
판매성적을	판매/NNG+성적/NNG+을/JKO
거두면서,	거두/VV+면서/EC+,/SP
미니밴과	미니밴/NNG+과/JC
스포츠실용차를	스포츠/NNG+실용/NNG+차/NNG+를/JKO
아우르는	아우르/VV+는/ETM
시장에	시장/NNG+에/JKB
성공적으로	성공/NNG+적/XSN+으로/JKB
안착했다.	안착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.37.8.1
반면 세계적인 베스트셀링카라고 해서 반드시 국내에서 성공하는 것은 아니다.

반면	반면/NNG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
베스트셀링카라고	베스트셀링카/NNG+이/VCP+라고/EC
해서	하/VV+아서/EC
반드시	반드시/MAG
국내에서	국내/NNG+에서/JKB
성공하는	성공/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.37.8.2
전세계 누적판매량 3700만대 기록을 갖고 있는 도요타의 코롤라는 지난 3월 국내 출시 이후 143대 판매에 그쳤고, 포드의 중형세단 퓨전도 올봄 출시 이후 고작 49대가 팔렸을 뿐이다.

전세계	전/MMN+세계/NNG
누적판매량	누적/NNG+판매량/NNG
3700만대	3700/SN+만/NR+대/NNB
기록을	기록/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
도요타의	도요타/NNP+의/JKG
코롤라는	코롤라/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
국내	국내/NNG
출시	출시/NNG
이후	이후/NNG
143대	143/SN+대/NNB
판매에	판매/NNG+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
포드의	포드/NNP+의/JKG
중형세단	중형/NNG+세단/NNG
퓨전도	퓨전/NNP+도/JX
올봄	올봄/NNG
고작	고작/MAG
49대가	49/SN+대/NNB+가/JKS
팔렸을	팔리/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.37.8.3
밋밋한 디자인 등으로 국내 소비자들의 눈높이를 만족시키지 못한데다, 가격까지 높게 책정된 탓이다.

밋밋한	밋밋하/VA+ㄴ/ETM
디자인	디자인/NNG
등으로	등/NNB+으로/JKB
국내	국내/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
눈높이를	눈높이/NNG+를/JKO
만족시키지	만족/NNG+시키/XSV+지/EC
못한데다,	못하/VX+ㄴ/ETM+데/NNB+다/JX+,/SP
가격까지	가격/NNG+까지/JX
높게	높/VA+게/EC
책정된	책정/NNG+되/XSV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


