# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.7
metadata : {}


# id : NWRW1800000025.7.1.1
천일염, 명품으로 키운다

천일염,	천일염/NNG+,/SP
시설	시설/NNG
개선비용을	개선/NNG+비용/NNG+을/JKO
따로	따로/MAG
충당할	충당/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.7.2.5
이 같은 염전 농가의 어려움을 해소하고 천일염을 우리나라의 대표 식품으로 육성하기 위해 정부가 팔을 걷어붙였다.

이	이/NP
같은	같/VA+은/ETM
염전	염전/NNG
농가의	농가/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
해소하고	해소/NNG+하/XSV+고/EC
천일염을	천일염/NNG+을/JKO
우리나라의	우리나라/NNG+의/JKG
대표	대표/NNG
식품으로	식품/NNG+으로/JKB
육성하기	육성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
팔을	팔/NNG+을/JKO
걷어붙였다.	걷어붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.7.3.1
○ 몸에 좋은 명품 소금

○	○/SW
몸에	몸/NNG+에/JKB
좋은	좋/VA+은/ETM
명품	명품/NNG
소금	소금/NNG


# id : NWRW1800000025.7.4.1
소금은 통상 천일염과 정제염으로 분류된다.

소금은	소금/NNG+은/JX
통상	통상/NNG
천일염과	천일염/NNG+과/JC
정제염으로	정제염/NNG+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.4.2
‘기계염’으로도 불리는 정제염은 바닷물이 기계 공정을 거친 뒤 나오는 소금이지만 남·서해안에서 주로 생산되는 천일염은 바닷물을 염전으로 끌어와 바람과 햇빛으로 말리는 전통적인 방식으로 생산된다.

‘기계염’으로도	‘/SS+기계/NNG+염/NNG+’/SS+으로/JKB+도/JX
불리는	불리/VV+는/ETM
정제염은	정제염/NNG+은/JX
바닷물이	바닷물/NNG+이/JKS
기계	기계/NNG
공정을	공정/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
나오는	나오/VV+는/ETM
소금이지만	소금/NNG+이/VCP+지만/EC
남·서해안에서	남·서해안/NNP+에서/JKB
주로	주로/MAG
생산되는	생산/NNG+되/XSV+는/ETM
천일염은	천일염/NNG+은/JX
바닷물을	바닷물/NNG+을/JKO
염전으로	염전/NNG+으로/JKB
끌어와	끌어오/VV+아/EC
바람과	바람/NNG+과/JC
햇빛으로	햇빛/NNG+으로/JKB
말리는	말리/VV+는/ETM
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
생산된다.	생산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.5.1
정부가 천일염 육성에 나선 것은 천일염이 세계 시장에서도 통할 수 있는 우수한 성분에도 불구하고 홍보 부족 등으로 제대로 대접을 못 받고 있다는 판단 때문이다.

정부가	정부/NNG+가/JKS
천일염	천일염/NNG
육성에	육성/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
천일염이	천일염/NNG+이/JKS
세계	세계/NNG
시장에서도	시장/NNG+에서/JKB+도/JX
통할	통하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
우수한	우수/NNG+하/XSA+ㄴ/ETM
성분에도	성분/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
홍보	홍보/NNG
부족	부족/NNG
등으로	등/NNB+으로/JKB
제대로	제대로/MAG
대접을	대접/NNG+을/JKO
못	못/MAG
받고	받/VV+고/EC
있다는	있/VX+다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.7.6.1
농림수산식품부 관계자는 “세계 최고의 명품 소금으로 평가받는 프랑스의 게랑드염에 비해 천일염은 비만의 주범인 염화나트륨의 함량은 낮고 몸에 좋은 칼륨과 마그네슘 함량은 3배 높다”며 “하지만 게랑드염이 kg당 5만4000원에 판매되는 반면 천일염은 1100원에 판매되고 있는 게 현실”이라고 밝혔다.

농림수산식품부	농림/NNG+수산/NNG+식품부/NNG
관계자는	관계자/NNG+는/JX
“세계	“/SS+세계/NNG
최고의	최고/NNG+의/JKG
명품	명품/NNG
소금으로	소금/NNG+으로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
프랑스의	프랑스/NNP+의/JKG
게랑드염에	게랑드/NNP+염/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
천일염은	천일염/NNG+은/JX
비만의	비만/NNG+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
염화나트륨의	염화/NNG+나트륨/NNG+의/JKG
함량은	함량/NNG+은/JX
낮고	낮/VA+고/EC
몸에	몸/NNG+에/JKB
좋은	좋/VA+은/ETM
칼륨과	칼륨/NNG+과/JC
마그네슘	마그네슘/NNG
3배	3/SN+배/NNG
높다”며	높/VA+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
게랑드염이	게랑드/NNP+염/NNG+이/JKS
kg당	kg/SW+당/XSN
5만4000원에	5/SN+만/NR+4000/SN+원/NNB+에/JKB
판매되는	판매/NNG+되/XSV+는/ETM
반면	반면/NNG
1100원에	1100/SN+원/NNB+에/JKB
판매되고	판매/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
현실”이라고	현실/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.7.7.1
천일염 값이 이처럼 싼 것은 2008년까지 식품이 아닌 광물로 분류된 탓에 제대로 된 지원책과 유통구조가 없었기 때문.

천일염	천일염/NNG
값이	값/NNG+이/JKS
이처럼	이/NP+처럼/JKB
싼	싸/VA+ㄴ/ETM
것은	것/NNB+은/JX
2008년까지	2008/SN+년/NNB+까지/JX
식품이	식품/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
광물로	광물/NNG+로/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
탓에	탓/NNG+에/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
지원책과	지원책/NNG+과/JC
유통구조가	유통/NNG+구조/NNG+가/JKS
없었기	없/VA+었/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.7.7.2
여기에 값싼 중국산이 국산으로 둔갑하는 일도 빈번해 천일염에 대한 소비자들의 불신이 컸다.

여기에	여기/NP+에/JKB
값싼	값싸/VA+ㄴ/ETM
중국산이	중국/NNP+산/XSN+이/JKS
국산으로	국산/NNG+으로/JKB
둔갑하는	둔갑/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
빈번해	빈번하/VA+아/EC
천일염에	천일염/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
불신이	불신/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.7.7.3
정부는 천일염의 관리·유통구조를 개선하고 대표 브랜드를 육성한다면 국내뿐 아니라 세계시장에서도 충분히 통할 수 있다고 보고 있다.

정부는	정부/NNG+는/JX
천일염의	천일염/NNG+의/JKG
관리·유통구조를	관리/NNG+·/SP+유통/NNG+구조/NNG+를/JKO
개선하고	개선/NNG+하/XSV+고/EC
대표	대표/NNG
브랜드를	브랜드/NNG+를/JKO
육성한다면	육성/NNG+하/XSV+ㄴ다면/EC
국내뿐	국내/NNG+뿐/JX
아니라	아니/VCN+라/EC
세계시장에서도	세계/NNG+시장/NNG+에서/JKB+도/JX
충분히	충분히/MAG
통할	통하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.7.8.1
○ 정부, 시설 개선 지원하고 민간 투자 유치키로

○	○/SW
정부,	정부/NNG+,/SP
시설	시설/NNG
개선	개선/NNG
지원하고	지원/NNG+하/XSV+고/EC
민간	민간/NNG
투자	투자/NNG
유치키로	유치/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000025.7.9.1
정부는 먼저 노후한 염전시설을 교체하는 작업을 시작한다.

정부는	정부/NNG+는/JX
먼저	먼저/MAG
노후한	노후/NNG+하/XSA+ㄴ/ETM
염전시설을	염전/NNG+시설/NNG+을/JKO
교체하는	교체/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.9.2
국내 염전은 대부분 생산을 시작한 지 30년 이상 된 데다 PVC(염전 바닥)나 슬레이트(창고) 등의 자재가 쓰여 유해물질이 검출될 수 있다.

국내	국내/NNG
염전은	염전/NNG+은/JX
대부분	대/XPN+부분/NNG
생산을	생산/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
30년	30/SN+년/NNB
이상	이상/NNG
된	되/VV+ㄴ/ETM
데다	데/NNB+다/JX
PVC(염전	PVC/SL+(/SS+염전/NNG
바닥)나	바닥/NNG+)/SS+나/JC
슬레이트(창고)	슬레이트/NNG+(/SS+창고/NNG+)/SS
등의	등/NNB+의/JKG
자재가	자재/NNG+가/JKS
쓰여	쓰이/VV+어/EC
유해물질이	유해/NNG+물질/NNG+이/JKS
검출될	검출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.7.9.3
이를 친환경 소재로 교체하겠다는 것이다.

이를	이/NP+를/JKO
친환경	친/XPN+환경/NNG
소재로	소재/NNG+로/JKB
교체하겠다는	교체/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.7.10.1
농식품부 관계자는 “천일염의 최고급화를 위해 모든 유해 요소를 제거해 ‘국산 천일염은 안전하다’는 인식을 심는 것을 첫 단계로 생각하고 있다”고 밝혔다.

농식품부	농식품부/NNG
관계자는	관계자/NNG+는/JX
“천일염의	“/SS+천일염/NNG+의/JKG
최고급화를	최/XPN+고급/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
모든	모든/MMN
유해	유해/NNG
요소를	요소/NNG+를/JKO
제거해	제거/NNG+하/XSV+아/EC
‘국산	‘/SS+국산/NNG
천일염은	천일염/NNG+은/JX
안전하다’는	안전/NNG+하/XSA+다/EF+’/SS+는/ETM
인식을	인식/NNG+을/JKO
심는	심/VV+는/ETM
것을	것/NNB+을/JKO
첫	첫/MMN
단계로	단계/NNG+로/JKB
생각하고	생각/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.7.10.2
농식품부는 올해 천일염 지원에 지난해 예산(33억 원)의 2배가 넘는 87억 원을 확보했다.

농식품부는	농식품부/NNG+는/JX
올해	올해/NNG
천일염	천일염/NNG
지원에	지원/NNG+에/JKB
지난해	지난해/NNG
예산(33억	예산/NNG+(/SS+33/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
2배가	2/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
87억	87/SN+억/NR
원을	원/NNB+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.7.11.1
이와 함께 민간자본 유치도 본격 추진된다.

이와	이/NP+와/JKB
함께	함께/MAG
민간자본	민간/NNG+자본/NNG
유치도	유치/NNG+도/JX
본격	본격/NNG
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.11.2
농식품부는 지난해 12월 대상그룹이 전남 신안군과 1400억 원 규모의 투자 협정을 맺은 것을 시작으로 민간자본 유치를 활성화할 계획이다.

농식품부는	농식품부/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
대상그룹이	대상그룹/NNP+이/JKS
전남	전남/NNP
신안군과	신안군/NNP+과/JKB
1400억	1400/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
투자	투자/NNG
협정을	협정/NNG+을/JKO
맺은	맺/VV+은/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
민간자본	민간/NNG+자본/NNG
유치를	유치/NNG+를/JKO
활성화할	활성/NNG+화/XSN+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.7.11.3
또 kg당 500원 선인 산지 도매가를 2배 이상 높이기 위해 유통구조를 개선하고 대표 브랜드를 육성키로 했다.

또	또/MAG
kg당	kg/SW+당/XSN
500원	500/SN+원/NNB
선인	선인/NNG
산지	산지/NNG
도매가를	도매/NNG+가/XSN+를/JKO
2배	2/SN+배/NNG
이상	이상/NNG
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
유통구조를	유통/NNG+구조/NNG+를/JKO
개선하고	개선/NNG+하/XSV+고/EC
대표	대표/NNG
브랜드를	브랜드/NNG+를/JKO
육성키로	육성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.7.11.4
중국산의 범람을 막기 위한 이력추적제도 도입된다.

중국산의	중국/NNP+산/XSN+의/JKG
범람을	범람/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
이력추적제도	이력/NNG+추적/NNG+제/XSN+도/JX
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.7.12.1
농식품부 관계자는 “천일염은 전통발효식품이 많은 한식을 지탱하는 근간이자 바닷물이라는 무한자원을 이용하는 친환경 사업”이라며 “‘소금산업 중장기 발전 종합 로드맵’을 6월까지 마련하고 본격적인 지원에 들어갈 것”이라고 밝혔다.

농식품부	농식품부/NNG
관계자는	관계자/NNG+는/JX
“천일염은	“/SS+천일염/NNG+은/JX
전통발효식품이	전통/NNG+발효/NNG+식품/NNG+이/JKS
많은	많/VA+은/ETM
한식을	한식/NNG+을/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
근간이자	근간/NNG+이/VCP+자/EC
바닷물이라는	바닷물/NNG+이/VCP+라는/ETM
무한자원을	무한/NNG+자원/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
친환경	친/XPN+환경/NNG
사업”이라며	사업/NNG+”/SS+이/VCP+라며/EC
“‘소금산업	“/SS+‘/SS+소금/NNG+산업/NNG
중장기	중장기/NNG
발전	발전/NNG
종합	종합/NNG
로드맵’을	로드맵/NNG+’/SS+을/JKO
6월까지	6/SN+월/NNB+까지/JX
마련하고	마련/NNG+하/XSV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
지원에	지원/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.7.13.1
==바로잡습니다.==

==바로잡습니다.==	=/SW+=/SW+바로잡/VV+습니다/EF+./SF+=/SW+=/SW


# id : NWRW1800000025.7.14.1
◇6일자 A13면 ‘천일염, 명품으로 키운다’ 기사에서 태평염전이 있는 곳의 지명은 전남 신안군 진도면이 아니라 증도면입니다.

◇6일자	◇/SW+6/SN+일/NNB+자/NNG
A13면	A/SL+13/SN+면/NNG
‘천일염,	‘/SS+천일염/NNG+,/SP
명품으로	명품/NNG+으로/JKB
키운다’	키우/VV+ㄴ다/EF+’/SS
기사에서	기사/NNG+에서/JKB
태평염전이	태평/NNP+염전/NNG+이/JKS
있는	있/VA+는/ETM
곳의	곳/NNG+의/JKG
지명은	지명/NNG+은/JX
전남	전남/NNP
신안군	신안군/NNP
진도면이	진도면/NNP+이/JKC
아니라	아니/VCN+라/EC
증도면입니다.	증도면/NNP+이/VCP+ㅂ니다/EF+./SF


