# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.195
metadata : {}


# id : NWRW1800000029.195.1.1
금미호 기관장 케냐 호텔서 추락사

금미호	금미호/NNP
말다툼을	말다툼/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
경비원의	경비원/NNG+의/JKG
진술을	진술/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
케냐인을	케냐인/NNG+을/JKO
체포해	체포/NNG+하/XSV+아/EC
조사하고	조사/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“정확한	“/SS+정확/NNG+하/XSA+ㄴ/ETM
추락	추락/NNG
경위와	경위/NNG+와/JC
사인은	사인/NNG+은/JX
밝혀지지	밝혀지/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.195.4.3
김 씨의 시신은 현지 판디아병원에 안치됐으며 유서는 발견되지 않았다.

김	김/NNP
씨의	씨/NNB+의/JKG
시신은	시신/NNG+은/JX
현지	현지/NNG
판디아병원에	판디아병원/NNP+에/JKB
안치됐으며	안치/NNG+되/XSV+었/EP+으며/EC
유서는	유서/NNG+는/JX
발견되지	발견/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.195.5.1
외교부는 “김 씨가 몸바사 항에 도착했을 때 피랍에 따른 정신적 충격 같은 특이사항은 발견하지 못했다”고 말했다.

외교부는	외교부/NNG+는/JX
“김	“/SS+김/NNP
씨가	씨/NNB+가/JKS
몸바사	몸바사/NNP
항에	항/NNG+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
피랍에	피랍/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정신적	정신/NNG+적/XSN
충격	충격/NNG
같은	같/VA+은/ETM
특이사항은	특이/NNG+사항/NNG+은/JX
발견하지	발견/NNG+하/XSV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.195.5.2
김 씨는 15일 몸바사 항에 도착해 외교부 직원의 휴대전화로 부인과 통화한 뒤 “피랍 이후 가족과 통화한 것은 처음”이라며 기뻐한 것으로 알려졌다.

김	김/NNP
씨는	씨/NNB+는/JX
15일	15/SN+일/NNB
몸바사	몸바사/NNP
항에	항/NNG+에/JKB
도착해	도착/NNG+하/XSV+아/EC
외교부	외교부/NNG
직원의	직원/NNG+의/JKG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
부인과	부인/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“피랍	“/SS+피랍/NNG
이후	이후/NNG
가족과	가족/NNG+과/JKB
것은	것/NNB+은/JX
처음”이라며	처음/NNG+”/SS+이/VCP+라며/EC
기뻐한	기뻐하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.195.6.1
그는 머리 부분에 타박상이 있었으나 “별 문제 없다”고 말해 병원에 가지 않았다고 외교부 관계자는 전했다.

그는	그/NP+는/JX
머리	머리/NNG
부분에	부분/NNG+에/JKB
타박상이	타박상/NNG+이/JKS
있었으나	있/VA+었/EP+으나/EC
“별	“/SS+별/MMA
문제	문제/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
병원에	병원/NNG+에/JKB
가지	가/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
외교부	외교부/NNG
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.195.6.2
이 관계자는 “김 씨가 사망 전날인 16일 현지 선박대리점 사장인 김종규 씨, 금미305호 선장인 김대근 씨(55)와 저녁을 먹었으며 김대근 씨는 사망한 김 씨와 다른 방에 묵었다”고 전했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“김	“/SS+김/NNP
씨가	씨/NNB+가/JKS
사망	사망/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
16일	16/SN+일/NNB
현지	현지/NNG
선박대리점	선박/NNG+대리점/NNG
사장인	사장/NNG+이/VCP+ㄴ/ETM
김종규	김종규/NNP
씨,	씨/NNB+,/SP
금미305호	금미305호/NNP
선장인	선장/NNG+이/VCP+ㄴ/ETM
김대근	김대근/NNP
씨(55)와	씨/NNB+(/SS+55/SN+)/SS+와/JKB
저녁을	저녁/NNG+을/JKO
먹었으며	먹/VV+었/EP+으며/EC
씨는	씨/NNB+는/JX
사망한	사망/NNG+하/XSV+ㄴ/ETM
김	김/NNP
씨와	씨/NNB+와/JKB
다른	다르/VA+ㄴ/ETM
방에	방/NNG+에/JKB
묵었다”고	묵/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


