# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.167
metadata : {}


# id : NWRW1800000030.167.1.1
"빚 갚는데 번 돈 다 쓴다" 중산층 4가구 중 1가구는 적자

"빚	"/SS+빚/NNG
마이너스통장	마이너스/NNG+통장/NNG
잔액을	잔액/NNG+을/JKO
지우는	지우/VV+는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
일상이다.	일상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.167.3.5
결국 전업주부이던 아내가 전공인 피아노를 살려 아이들에 대한 교습을 시작했다.

결국	결국/MAG
전업주부이던	전업주부/NNG+이/VCP+던/ETM
아내가	아내/NNG+가/JKS
전공인	전공/NNG+이/VCP+ㄴ/ETM
피아노를	피아노/NNG+를/JKO
살려	살리/VV+어/EC
아이들에	아이/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
교습을	교습/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.167.3.6
하지만 큰 도움은 되지 않는다.

하지만	하지만/MAJ
큰	크/VA+ㄴ/ETM
도움은	도움/NNG+은/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.167.3.7
전문 강사가 아니라 교습비를 많이 받을 수 없기 때문이다.

전문	전문/NNG
강사가	강사/NNG+가/JKC
아니라	아니/VCN+라/EC
교습비를	교습비/NNG+를/JKO
많이	많이/MAG
받을	받/VV+을/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.167.4.1
우리 사회의 허리인 중산층 기반이 날로 허약해지고 있다.

우리	우리/NP
사회의	사회/NNG+의/JKG
허리인	허리/NNG+이/VCP+ㄴ/ETM
중산층	중산/NNG+층/XSN
기반이	기반/NNG+이/JKS
날로	날로/MAG
허약해지고	허약/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.167.4.2
현대경제연구원은 28일 '한국 중산층의 구조적 변화'라는 제목의 보고서를 통해 "중산층의 비율은 날로 줄고 있고, 남아 있는 중산층의 삶도 어려워지고 있는 것으로 분석됐다"고 밝혔다.

현대경제연구원은	현대경제연구원/NNP+은/JX
28일	28/SN+일/NNB
'한국	'/SS+한국/NNP
중산층의	중산/NNG+층/XSN+의/JKG
구조적	구조/NNG+적/XSN
변화'라는	변화/NNG+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
"중산층의	"/SS+중산/NNG+층/XSN+의/JKG
비율은	비율/NNG+은/JX
날로	날로/MAG
줄고	줄/VV+고/EC
있고,	있/VX+고/EC+,/SP
남아	남/VV+아/EC
있는	있/VX+는/ETM
삶도	삶/NNG+도/JX
어려워지고	어렵/VA+어/EC+지/VX+고/EC
것으로	것/NNB+으로/JKB
분석됐다"고	분석/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.167.5.1
보고서에 따르면 중산층 비중은 1990년 75.4%에서 2010년 67.5%로 줄었다.

보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
중산층	중산/NNG+층/XSN
비중은	비중/NNG+은/JX
1990년	1990/SN+년/NNB
75.4%에서	75/SN+./SP+4/SN+%/SW+에서/JKB
2010년	2010/SN+년/NNB
67.5%로	67/SN+./SP+5/SN+%/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.167.5.2
고소득층으로 올라간 사람이 늘어서가 아니라 저소득층으로 내려간 계층이 늘었기 때문이다.

고소득층으로	고/XPN+소득/NNG+층/XSN+으로/JKB
올라간	올라가/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
늘어서가	늘/VV+어서/EC+가/JKC
아니라	아니/VCN+라/EC
저소득층으로	저/XPN+소득/NNG+층/XSN+으로/JKB
내려간	내려가/VV+ㄴ/ETM
계층이	계층/NNG+이/JKS
늘었기	늘/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.167.5.3
같은 기간 고소득층 비중은 17.5%에서 20%로 소폭 증가한 데 그친 반면 저소득층은 7.1%에서 12.5%로 급증했다.

같은	같/VA+은/ETM
기간	기간/NNG
고소득층	고/XPN+소득/NNG+층/XSN
비중은	비중/NNG+은/JX
17.5%에서	17/SN+./SP+5/SN+%/SW+에서/JKB
20%로	20/SN+%/SW+로/JKB
소폭	소폭/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
데	데/NNB
그친	그치/VV+ㄴ/ETM
반면	반면/NNG
저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
7.1%에서	7/SN+./SP+1/SN+%/SW+에서/JKB
12.5%로	12/SN+./SP+5/SN+%/SW+로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.167.6.1
중산층에 남은 사람들의 형편도 팍팍해졌다.

중산층에	중산/NNG+층/XSN+에/JKB
남은	남/VV+은/ETM
사람들의	사람/NNG+들/XSN+의/JKG
형편도	형편/NNG+도/JX
팍팍해졌다.	팍팍하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.167.6.2
중산층 가운데 지출이 소득보다 많아 적자를 보고 있는 가계는 23.3%로 1990년 15.8%보다 크게 늘었다.

중산층	중산/NNG+층/XSN
가운데	가운데/NNG
지출이	지출/NNG+이/JKS
소득보다	소득/NNG+보다/JKB
많아	많/VA+아/EC
적자를	적자/NNG+를/JKO
보고	보/VV+고/EC
있는	있/VX+는/ETM
가계는	가계/NNG+는/JX
23.3%로	23/SN+./SP+3/SN+%/SW+로/JKB
1990년	1990/SN+년/NNB
15.8%보다	15/SN+./SP+8/SN+%/SW+보다/JKB
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.167.6.3
또 중산층 가구는 20년 전에는 100만원 벌면 지출을 제외하고 평균적으로 22만원 흑자를 봤지만 지금은 흑자액이 17만9000원으로 줄어들었다.

또	또/MAG
중산층	중산/NNG+층/XSN
가구는	가구/NNG+는/JX
20년	20/SN+년/NNB
전에는	전/NNG+에/JKB+는/JX
100만원	100/SN+만/NR+원/NNB
벌면	벌/VV+면/EC
지출을	지출/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
평균적으로	평균/NNG+적/XSN+으로/JKB
22만원	22/SN+만/NR+원/NNB
흑자를	흑자/NNG+를/JKO
봤지만	보/VV+았/EP+지만/EC
지금은	지금/NNG+은/JX
흑자액이	흑자액/NNG+이/JKS
17만9000원으로	17/SN+만/NR+9000/SN+원/NNB+으로/JKB
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.167.7.1
중산층 가계부를 악화시킨 주범은 빚이다.

중산층	중산/NNG+층/XSN
가계부를	가계부/NNG+를/JKO
악화시킨	악화/NNG+시키/XSV+ㄴ/ETM
주범은	주범/NNG+은/JX
빚이다.	빚/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.167.7.2
중산층 소득 가운데 원금과 이자 등 빚 갚는 데 쓴 돈(부채 상환)이 차지하는 비중은 1990년 10.4%에서 2010년 27.5%로 급증했다.

중산층	중산/NNG+층/XSN
소득	소득/NNG
가운데	가운데/NNG
원금과	원금/NNG+과/JC
이자	이자/NNG
등	등/NNB
빚	빚/NNG
갚는	갚/VV+는/ETM
데	데/NNB
쓴	쓰/VV+ㄴ/ETM
돈(부채	돈/NNG+(/SS+부채/NNG
상환)이	상환/NNG+)/SS+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
1990년	1990/SN+년/NNB
10.4%에서	10/SN+./SP+4/SN+%/SW+에서/JKB
2010년	2010/SN+년/NNB
27.5%로	27/SN+./SP+5/SN+%/SW+로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.167.7.3
이에 따라 중산층 가구의 최대 지출 항목이 '식료품'(20.6%→11.0%)에서 '부채 상환'으로 바뀌었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
중산층	중산/NNG+층/XSN
가구의	가구/NNG+의/JKG
최대	최대/NNG
지출	지출/NNG
항목이	항목/NNG+이/JKS
'식료품'(20.6%→11.0%)에서	'/SS+식료품/NNG+'/SS+(/SS+20/SN+./SP+6/SN+%/SW+→/SW+11/SN+./SP+0/SN+%/SW+)/SS+에서/JKB
'부채	'/SS+부채/NNG
상환'으로	상환/NNG+'/SS+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.167.7.4
김동열 현대경제연구원 연구위원은 "결국 가계 부채가 중산층의 삶을 가장 어렵게 하는 요인인 셈"이라고 말했다.

김동열	김동열/NNP
현대경제연구원	현대경제연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"결국	"/SS+결국/MAG
가계	가계/NNG
부채가	부채/NNG+가/JKS
중산층의	중산/NNG+층/XSN+의/JKG
삶을	삶/NNG+을/JKO
가장	가장/MAG
어렵게	어렵/VA+게/EC
하는	하/VX+는/ETM
요인인	요인/NNG+이/VCP+ㄴ/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.167.8.1
같은 기간 국민연금과 건강보험 등 준조세(1.7%→5.8%)지출 비중과 사교육비(2.1%→6.0%), 통신비(1.7%→5.0%) 지출 비중도 크게 늘어났다.

같은	같/VA+은/ETM
기간	기간/NNG
국민연금과	국민연금/NNG+과/JC
건강보험	건강/NNG+보험/NNG
등	등/NNB
준조세(1.7%→5.8%)지출	준/XPN+조세/NNG+(/SS+1/SN+./SP+7/SN+%/SW+→/SW+5/SN+./SP+8/SN+%/SW+)/SS+지출/NNG
비중과	비중/NNG+과/JC
사교육비(2.1%→6.0%),	사교육비/NNG+(/SS+2/SN+./SP+1/SN+%/SW+→/SW+6/SN+./SP+0/SN+%/SW+)/SS+,/SP
통신비(1.7%→5.0%)	통신비/NNG+(/SS+1/SN+./SP+7/SN+%/SW+→/SW+5/SN+./SP+0/SN+%/SW+)/SS
지출	지출/NNG
비중도	비중/NNG+도/JX
크게	크/VA+게/EC
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.167.8.2
반면 오락·문화비 지출 비중이 4.3%에서 4.1%로 줄어드는 등 여가와 관련된 지출 비중은 줄어들거나 증가폭이 상대적으로 작았다.

반면	반면/NNG
오락·문화비	오락/NNG+·/SP+문화비/NNG
지출	지출/NNG
비중이	비중/NNG+이/JKS
4.3%에서	4/SN+./SP+3/SN+%/SW+에서/JKB
4.1%로	4/SN+./SP+1/SN+%/SW+로/JKB
줄어드는	줄어들/VV+는/ETM
등	등/NNB
여가와	여가/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
비중은	비중/NNG+은/JX
줄어들거나	줄어들/VV+거나/EC
증가폭이	증가/NNG+폭/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
작았다.	작/VA+았/EP+다/EF+./SF


