# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.39
metadata : {}


# id : NWRW1800000053.39.1.1
中 “올 성장률 6.5% 목표”… ‘바오치(保七)’ 공식 포기

中	中/SH
‘7%	‘/SS+7/SN+%/SW
안팎’으로	안팎/NNG+’/SS+으로/JKB
제시돼	제시/NNG+되/XSV+어/EC
중국	중국/NNP
국방비가	국방비/NNG+가/JKS
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
1조	1/SN+조/NR
위안(약	위안/NNB+(/SS+약/MMA
170조	170/SN+조/NR
원)을	원/NNB+)/SS+을/JKO
돌파하게	돌파/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.3.4
리커창(李克强) 총리는 이날 보고에서 시진핑(習近平) 국가주석을 6차례 ‘핵심’으로 지칭해 시 주석의 1인 지배체제 강화를 대내외에 알렸다.

리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
총리는	총리/NNG+는/JX
이날	이날/NNG
보고에서	보고/NNG+에서/JKB
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가주석을	국가주석/NNG+을/JKO
6차례	6/SN+차례/NNG
‘핵심’으로	‘/SS+핵심/NNG+’/SS+으로/JKB
지칭해	지칭/NNG+하/XSV+아/EC
시	시/NNP
주석의	주석/NNG+의/JKG
1인	1/SN+인/NNG
지배체제	지배/NNG+체제/NNG
강화를	강화/NNG+를/JKO
대내외에	대내외/NNG+에/JKB
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.4.1
○ ‘중저속 성장 시대’ 선언

○	○/SW
‘중저속	‘/SS+중저속/NNG
성장	성장/NNG
시대’	시대/NNG+’/SS
선언	선언/NNG


# id : NWRW1800000053.39.5.1
리 총리는 이날 베이징(北京) 인민대회당에서 개막한 전국인민대표대회(전국인대) 공작(업무)보고에서 올해 경제성장률 목표치에 대해 “6.5%로 하되 가능하면 더 높이겠다”고 밝혔다.

리	리/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
베이징(北京)	베이징/NNP+(/SS+北京/SH+)/SS
인민대회당에서	인민대회당/NNP+에서/JKB
개막한	개막/NNG+하/XSV+ㄴ/ETM
전국인민대표대회(전국인대)	전국인민대표대회/NNP+(/SS+전국인대/NNP+)/SS
공작(업무)보고에서	공작/NNG+(/SS+업무/NNG+)/SS+보고/NNG+에서/JKB
올해	올해/NNG
경제성장률	경제/NNG+성장/NNG+률/XSN
목표치에	목표/NNG+치/XSN+에/JKB
대해	대하/VV+아/EC
“6.5%로	“/SS+6/SN+./SP+5/SN+%/SW+로/JKB
하되	하/VV+되/EC
가능하면	가능/NNG+하/XSA+면/EC
더	더/MAG
높이겠다”고	높이/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.5.2
지난해 목표치 6.5∼7.0%에 비해 낮아진 것이지만 주요 투자은행과 경제분석기관 전문가들의 예상치와 비슷한 수치다.

지난해	지난해/NNG
목표치	목표/NNG+치/XSN
6.5∼7.0%에	6/SN+./SP+5/SN+∼/SO+7/SN+./SP+0/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
주요	주요/NNG
투자은행과	투자/NNG+은행/NNG+과/JC
경제분석기관	경제/NNG+분석/NNG+기관/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
예상치와	예상/NNG+치/XSN+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.39.5.3
지난해 실제 성장률은 6.7%로 26년 만에 최저치였다.

지난해	지난해/NNG
실제	실제/NNG
성장률은	성장/NNG+률/XSN+은/JX
6.7%로	6/SN+./SP+7/SN+%/SW+로/JKB
26년	26/SN+년/NNB
만에	만/NNB+에/JKB
최저치였다.	최저/NNG+치/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.39.5.4
중국 경제가 고속 성장 시대를 마감하고 중저속 성장 시대에 접어들었다는 평가다.

중국	중국/NNP
경제가	경제/NNG+가/JKS
고속	고속/NNG
성장	성장/NNG
시대를	시대/NNG+를/JKO
마감하고	마감/NNG+하/XSV+고/EC
중저속	중저속/NNG
시대에	시대/NNG+에/JKB
접어들었다는	접어들/VV+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.39.6.1
중국이 경제성장 7% 목표를 공식 포기한 것은 과거와 같은 고속 성장 시대를 이어갈 수 없으며 세계 경제의 견인차 역할에 한계가 있음을 인정한 것이다.

중국이	중국/NNP+이/JKS
경제성장	경제/NNG+성장/NNG
7%	7/SN+%/SW
목표를	목표/NNG+를/JKO
공식	공식/NNG
포기한	포기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
과거와	과거/NNG+와/JKB
같은	같/VA+은/ETM
고속	고속/NNG
성장	성장/NNG
시대를	시대/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
없으며	없/VA+으며/EC
세계	세계/NNG
경제의	경제/NNG+의/JKG
견인차	견인차/NNG
역할에	역할/NNG+에/JKB
한계가	한계/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.39.6.2
도널드 트럼프 미국 행정부 출범 이후 본격화된 보호무역주의 바람에 이어 세계 2위 경제대국인 중국의 7%대 성장 포기로 세계 경제가 올해 어려움에 직면할 것이라는 우려도 나온다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
행정부	행정부/NNG
출범	출범/NNG
이후	이후/NNG
본격화된	본격/NNG+화/XSN+되/XSV+ㄴ/ETM
보호무역주의	보호/NNG+무역주의/NNG
바람에	바람/NNG+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
2위	2/SN+위/NNB
경제대국인	경제/NNG+대국/NNG+이/VCP+ㄴ/ETM
중국의	중국/NNP+의/JKG
7%대	7/SN+%/SW+대/XSN
성장	성장/NNG
포기로	포기/NNG+로/JKB
경제가	경제/NNG+가/JKS
올해	올해/NNG
어려움에	어려움/NNG+에/JKB
직면할	직면/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.39.6.3
중국의 작년 세계 경제성장 기여도는 33.2%였다.

중국의	중국/NNP+의/JKG
작년	작년/NNG
세계	세계/NNG
경제성장	경제/NNG+성장/NNG
기여도는	기여도/NNG+는/JX
33.2%였다.	33/SN+./SP+2/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.39.6.4
특히 한국 등 중국 시장에 의존하는 수출국들은 중국 성장률이 떨어질 경우 경기 위축에 시달릴 가능성이 있다.

특히	특히/MAG
한국	한국/NNP
등	등/NNB
중국	중국/NNP
시장에	시장/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
수출국들은	수출국/NNG+들/XSN+은/JX
성장률이	성장/NNG+률/XSN+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
경우	경우/NNG
경기	경기/NNG
위축에	위축/NNG+에/JKB
시달릴	시달리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.39.7.1
○ 국방예산 1조 위안 돌파에 日 강한 우려

○	○/SW
국방예산	국방/NNG+예산/NNG
1조	1/SN+조/NR
위안	위안/NNG
돌파에	돌파/NNG+에/JKB
日	日/SH
강한	강하/VA+ㄴ/ETM
우려	우려/NNG


# id : NWRW1800000053.39.8.1
푸잉(傅瑩) 전국인대 대변인은 4일 기자회견에서 “올해 국방비 예산 증가 폭은 7% 안팎이 될 것이며 이는 전체 국내총생산(GDP)의 1.3% 수준”이라고 밝혔다.

푸잉(傅瑩)	푸잉/NNP+(/SS+傅瑩/SH+)/SS
전국인대	전국인대/NNP
대변인은	대변인/NNG+은/JX
4일	4/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“올해	“/SS+올해/NNG
국방비	국방비/NNG
예산	예산/NNG
증가	증가/NNG
폭은	폭/NNG+은/JX
7%	7/SN+%/SW
안팎이	안팎/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
이는	이/NP+는/JX
전체	전체/NNG
국내총생산(GDP)의	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+의/JKG
1.3%	1/SN+./SP+3/SN+%/SW
수준”이라고	수준/NNG+”/SS+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.8.2
국방예산 증가율이 3년 연속 감소세이지만 총액은 사상 처음으로 1조 위안을 넘어섰다.

국방예산	국방/NNG+예산/NNG
증가율이	증가/NNG+율/XSN+이/JKS
3년	3/SN+년/NNB
연속	연속/NNG
감소세이지만	감소세/NNG+이/VCP+지만/EC
총액은	총액/NNG+은/JX
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
1조	1/SN+조/NR
위안을	위안/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.8.3
올해 중국 국방비는 지난해 9543억5000만 위안보다 668억 위안(약 11조2000억 원)가량 늘어난 1조211억 위안(약 171조2000억 원)이 될 것으로 추산된다.

올해	올해/NNG
중국	중국/NNP
국방비는	국방비/NNG+는/JX
지난해	지난해/NNG
9543억5000만	9543/SN+억/NR+5000/SN+만/NR
위안보다	위안/NNB+보다/JKB
668억	668/SN+억/NR
위안(약	위안/NNB+(/SS+약/MMA
11조2000억	11/SN+조/NR+2000/SN+억/NR
원)가량	원/NNB+)/SS+가량/XSN
늘어난	늘어나/VV+ㄴ/ETM
1조211억	1/SN+조/NR+211/SN+억/NR
171조2000억	171/SN+조/NR+2000/SN+억/NR
원)이	원/NNB+)/SS+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.39.9.1
미국은 최근 내년 국방비 예산을 10% 늘어난 6030억 달러(약 684조1035억 원)로 책정해 발표하면서 중국 내부에서도 두 자릿수 국방비 증액 필요성이 제기됐으나 일단 한 자릿수 증가에 머물렀다.

미국은	미국/NNP+은/JX
최근	최근/NNG
내년	내년/NNG
국방비	국방비/NNG
예산을	예산/NNG+을/JKO
10%	10/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
6030억	6030/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
684조1035억	684/SN+조/NR+1035/SN+억/NR
원)로	원/NNB+)/SS+로/JKB
책정해	책정/NNG+하/XSV+아/EC
발표하면서	발표/NNG+하/XSV+면서/EC
중국	중국/NNP
내부에서도	내부/NNG+에서/JKB+도/JX
두	두/MMN
자릿수	자릿수/NNG
증액	증액/NNG
필요성이	필요/NNG+성/XSN+이/JKS
제기됐으나	제기/NNG+되/XSV+었/EP+으나/EC
일단	일단/MAG
한	한/MMN
증가에	증가/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.10.1
하지만 중국 국방비 1조 위안 돌파 소식에 일본은 강한 우려를 나타냈다.

하지만	하지만/MAJ
중국	중국/NNP
국방비	국방비/NNG
1조	1/SN+조/NR
위안	위안/NNB
돌파	돌파/NNG
소식에	소식/NNG+에/JKB
일본은	일본/NNP+은/JX
강한	강하/VA+ㄴ/ETM
우려를	우려/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.39.10.2
기시다 후미오(岸田文雄) 일본 외상은 4일 “중국의 급속하고 불투명한 군사비 확대는 이전부터 국제사회에서 우려돼 왔다.

기시다	기시다/NNP
후미오(岸田文雄)	후미오/NNP+(/SS+岸田文雄/SH+)/SS
일본	일본/NNP
외상은	외상/NNG+은/JX
4일	4/SN+일/NNB
“중국의	“/SS+중국/NNP+의/JKG
급속하고	급속/NNG+하/XSA+고/EC
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
군사비	군사비/NNG
확대는	확대/NNG+는/JX
이전부터	이전/NNG+부터/JX
국제사회에서	국제/NNG+사회/NNG+에서/JKB
우려돼	우려/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.39.10.3
계속 주시하겠다”고 말했다.

계속	계속/MAG
주시하겠다”고	주시/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.39.10.4
중국의 실제 국방비는 알려진 것보다 훨씬 많다는 것이다.

중국의	중국/NNP+의/JKG
실제	실제/NNG
국방비는	국방비/NNG+는/JX
알려진	알려지/VV+ㄴ/ETM
것보다	것/NNB+보다/JKB
훨씬	훨씬/MAG
많다는	많/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.39.10.5
일본 방위성의 한 간부도 산케이신문에 “중국은 주변국 우려를 불식시키기 위해 국방비 내용을 공개하는 등 투명성 향상에 힘써야 한다”고 강조했다.

일본	일본/NNP
방위성의	방위성/NNG+의/JKG
한	한/MMN
간부도	간부/NNG+도/JX
산케이신문에	산케이신문/NNP+에/JKB
“중국은	“/SS+중국/NNP+은/JX
주변국	주변국/NNG
우려를	우려/NNG+를/JKO
불식시키기	불식/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
국방비	국방비/NNG
내용을	내용/NNG+을/JKO
공개하는	공개/NNG+하/XSV+는/ETM
등	등/NNB
투명성	투명/NNG+성/XSN
향상에	향상/NNG+에/JKB
힘써야	힘쓰/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


