# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.220
metadata : {}


# id : NWRW1800000036.220.1.1
퇴직자·노인 2496명, 다단계에 털렸다

퇴직자·노인	퇴직자/NNG+·/SP+노인/NNG
하느냐”며	하/VX+느냐/EF+”/SS+며/EC
울먹였다.	울먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.6.1
서울지방경찰청 광역수사대는 23일 전국의 은퇴자·노인 2496명을 상대로 액면가 100원짜리 비상장 주식을 수백~수천배로 오를 것이라고 속여 팔아 194억원을 가로챈 혐의(특정경제범죄 가중처벌법의 사기)로 ㅌ업체 회장 이아무개(55)씨를 구속하고, 이 업체 간부 10명을 불구속 입건했다.

서울지방경찰청	서울지방경찰청/NNP
광역수사대는	광역/NNG+수사대/NNG+는/JX
23일	23/SN+일/NNB
전국의	전국/NNG+의/JKG
은퇴자·노인	은퇴자/NNG+·/SP+노인/NNG
2496명을	2496/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
액면가	액면/NNG+가/XSN
100원짜리	100/SN+원/NNB+짜리/XSN
비상장	비/XPN+상장/NNG
주식을	주식/NNG+을/JKO
수백~수천배로	수백/NR+~/SO+수천/NR+배/NNG+로/JKB
오를	오르/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
속여	속이/VV+어/EF
팔아	팔/VV+아/EC
194억원을	194/SN+억/NR+원/NNB+을/JKO
가로챈	가로채/VV+ㄴ/ETM
혐의(특정경제범죄	혐의/NNG+(/SS+특정/NNG+경제/NNG+범죄/NNG
가중처벌법의	가중/NNG+처벌법/NNG+의/JKG
사기)로	사기/NNG+)/SS+로/JKB
ㅌ업체	ㅌ/NNG+업체/NNG
회장	회장/NNG
이아무개(55)씨를	이/NNP+아무개/NP+(/SS+55/SN+)/SS+씨/NNB+를/JKO
구속하고,	구속/NNG+하/XSV+고/EC+,/SP
이	이/MMD
업체	업체/NNG
간부	간부/NNG
10명을	10/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.220.7.1
경찰 조사 결과, 이들은 2006년부터 지난해 11월까지 서울·부산 등 전국 지사를 갖춰놓고 △100조원 규모의 중국 합작 컴퓨터 개발 △70조원 규모의 브라질 대륙횡단 철도사업 △유명 컴퓨터 회사 인수 △1조5000억원 규모의 서울 개봉동·문정동 부동산 개발 △340억원 규모의 중국 탄광개발 등 7개 사업에 대한 설명회를 개최하면서 노인들을 끌어모았다.

경찰	경찰/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
이들은	이/NP+들/XSN+은/JX
2006년부터	2006/SN+년/NNB+부터/JX
지난해	지난해/NNG
11월까지	11/SN+월/NNB+까지/JX
서울·부산	서울/NNP+·/SP+부산/NNP
등	등/NNB
전국	전국/NNG
지사를	지사/NNG+를/JKO
갖춰놓고	갖추/VV+어/EC+놓/VX+고/EC
△100조원	△/SW+100/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
중국	중국/NNP
합작	합작/NNG
컴퓨터	컴퓨터/NNG
개발	개발/NNG
△70조원	△/SW+70/SN+조/NR+원/NNB
브라질	브라질/NNP
대륙횡단	대륙/NNG+횡단/NNG
철도사업	철도/NNG+사업/NNG
△유명	△/SW+유명/NNG
회사	회사/NNG
인수	인수/NNG
△1조5000억원	△/SW+1/SN+조/NR+5000/SN+억/NR+원/NNB
서울	서울/NNP
개봉동·문정동	개봉동/NNP+·/SP+문정동/NNP
부동산	부동산/NNG
△340억원	△/SW+340/SN+억/NR+원/NNB
탄광개발	탄광/NNG+개발/NNG
7개	7/SN+개/NNB
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명회를	설명회/NNG+를/JKO
개최하면서	개최/NNG+하/XSV+면서/EC
노인들을	노인/NNG+들/XSN+을/JKO
끌어모았다.	끌어모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.220.7.2
이씨 등은 팸플릿, 양해각서, 업체가 소개된 신문기사 등을 보여주며 노인들을 안심시키고 이들에게 주식투자금 등 명목으로 194억원을 받아 챙겼다.

이씨	이/NNP+씨/NNB
등은	등/NNB+은/JX
팸플릿,	팸플릿/NNG+,/SP
양해각서,	양해/NNG+각서/NNG+,/SP
업체가	업체/NNG+가/JKS
소개된	소개/NNG+되/XSV+ㄴ/ETM
신문기사	신문/NNG+기사/NNG
등을	등/NNB+을/JKO
보여주며	보이/VV+어/EC+주/VX+며/EC
노인들을	노인/NNG+들/XSN+을/JKO
안심시키고	안심/NNG+시키/XSV+고/EC
이들에게	이/NP+들/XSN+에게/JKB
주식투자금	주식/NNG+투자금/NNG
등	등/NNB
명목으로	명목/NNG+으로/JKB
194억원을	194/SN+억/NR+원/NNB+을/JKO
받아	받/VV+아/EC
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.8.1
그러나 ㅌ업체가 홍보한 대규모 사업들은 모두 중단되거나 양해각서를 체결했다가 계약이 성사되지 않은 것으로 확인됐다.

그러나	그러나/MAJ
ㅌ업체가	ㅌ/NNG+업체/NNG+가/JKS
홍보한	홍보/NNG+하/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
사업들은	사업/NNG+들/XSN+은/JX
모두	모두/MAG
중단되거나	중단/NNG+되/XSV+거나/EC
양해각서를	양해/NNG+각서/NNG+를/JKO
체결했다가	체결/NNG+하/XSV+았/EP+다가/EC
계약이	계약/NNG+이/JKS
성사되지	성사/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.8.2
업체는 사업설명회에 참석하는 노인들에게 점심값 3천원과 주식 1주씩을 보너스로 지급하는 방식으로 유인했고, 노인들이 추가로 투자자를 모집해오면 수당을 지급하는 등 유사 다단계 행위를 벌여온 것으로 조사됐다.

업체는	업체/NNG+는/JX
사업설명회에	사업/NNG+설명회/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
노인들에게	노인/NNG+들/XSN+에게/JKB
점심값	점심값/NNG
3천원과	3/SN+천/NR+원/NNB+과/JC
주식	주식/NNG
1주씩을	1/SN+주/NNG+씩/XSN+을/JKO
보너스로	보너스/NNG+로/JKB
지급하는	지급/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
유인했고,	유인/NNG+하/XSV+았/EP+고/EC+,/SP
노인들이	노인/NNG+들/XSN+이/JKS
추가로	추가/NNG+로/JKB
투자자를	투자자/NNG+를/JKO
모집해오면	모집/NNG+하/XSV+아/EC+오/VV+면/EC
수당을	수당/NNG+을/JKO
등	등/NNB
유사	유사/NNG
다단계	다단계/NNG
행위를	행위/NNG+를/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.220.9.1
피해자들은 대체로 퇴직 뒤 노후자금을 마련하기 위해 퇴직금을 쏟아붓거나 집을 팔아 투자했다가, 원금을 찾지 못하고 모두 날린 것으로 전해졌다.

피해자들은	피해자/NNG+들/XSN+은/JX
대체로	대체로/MAG
퇴직	퇴직/NNG
뒤	뒤/NNG
노후자금을	노후/NNG+자금/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
퇴직금을	퇴직금/NNG+을/JKO
쏟아붓거나	쏟아붓/VV+거나/EC
집을	집/NNG+을/JKO
팔아	팔/VV+아/EC
투자했다가,	투자/NNG+하/XSV+았/EP+다가/EC+,/SP
원금을	원금/NNG+을/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
모두	모두/MAG
날린	날리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.220.10.1
이상배 서울경찰청 광역수사대 경제1팀장은 “구속된 이씨 외에 남아 있는 직원들이 현재 서울 용산구로 본사를 옮겨 계속 영업을 하고 있다”며 “추가 피해가 발생하지 않도록 집중 단속할 계획”이라고 말했다.

이상배	이상배/NNP
서울경찰청	서울경찰청/NNP
광역수사대	광역/NNG+수사대/NNG
경제1팀장은	경제/NNG+1/SN+팀장/NNG+은/JX
“구속된	“/SS+구속/NNG+되/XSV+ㄴ/ETM
이씨	이/NNP+씨/NNB
외에	외/NNB+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
직원들이	직원/NNG+들/XSN+이/JKS
현재	현재/MAG
서울	서울/NNP
용산구로	용산구/NNP+로/JKB
본사를	본사/NNG+를/JKO
옮겨	옮기/VV+어/EC
계속	계속/MAG
영업을	영업/NNG+을/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“추가	“/SS+추가/NNG
피해가	피해/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
집중	집중/NNG
단속할	단속/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


