# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.372
metadata : {}


# id : NWRW1800000024.372.1.1
한겨레, 대학생 선호신문 2년째 1위

한겨레,	한겨레/NNP+,/SP
37.9%였다.	37/SN+./SP+9/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.372.4.3
한국대학신문은 12일 “올해 대학생들이 뽑은 종합일간지 구도에서 지난해와 마찬가지로 진보신문의 강력한 파워가 여지없이 발휘된 반면 보수신문은 뚜렷한 하락세가 두드러졌다”고 밝혔다.

한국대학신문은	한국대학신문/NNP+은/JX
12일	12/SN+일/NNB
“올해	“/SS+올해/NNG
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
뽑은	뽑/VV+은/ETM
종합일간지	종합/NNG+일간지/NNG
구도에서	구도/NNG+에서/JKB
지난해와	지난해/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
진보신문의	진보/NNG+신문/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
파워가	파워/NNG+가/JKS
여지없이	여지없이/MAG
발휘된	발휘/NNG+되/XSV+ㄴ/ETM
반면	반면/NNG
보수신문은	보수/NNG+신문/NNG+은/JX
뚜렷한	뚜렷하/VA+ㄴ/ETM
하락세가	하락세/NNG+가/JKS
두드러졌다”고	두드러지/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.372.5.1
방송 부문 뉴스·시사채널 선호도 조사에선 <문화방송>(MBC)이 49.3%를 얻어 2006년 <한국방송>(KBS)에 선두를 내준 이후 3년 만에 정상을 탈환했다.

방송	방송/NNG
부문	부문/NNG
뉴스·시사채널	뉴스/NNG+·/SP+시사/NNG+채널/NNG
선호도	선호도/NNG
조사에선	조사/NNG+에서/JKB+ㄴ/JX
<문화방송>(MBC)이	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS+이/JKS
49.3%를	49/SN+./SP+3/SN+%/SW+를/JKO
얻어	얻/VV+어/EC
2006년	2006/SN+년/NNB
<한국방송>(KBS)에	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS+에/JKB
선두를	선두/NNG+를/JKO
내준	내주/VV+ㄴ/ETM
이후	이후/NNG
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
정상을	정상/NNG+을/JKO
탈환했다.	탈환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.372.5.2
한국방송의 선호도는 28.5%에 그쳤다.

한국방송의	한국방송/NNP+의/JKG
선호도는	선호도/NNG+는/JX
28.5%에	28/SN+./SP+5/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.372.5.3
드라마·오락채널 선호도 역시 문화방송이 57.1%를 기록해 18.5%의 한국방송을 크게 따돌렸다.

드라마·오락채널	드라마/NNG+·/SP+오락/NNG+채널/NNG
선호도	선호도/NNG
역시	역시/MAG
문화방송이	문화방송/NNP+이/JKS
57.1%를	57/SN+./SP+1/SN+%/SW+를/JKO
기록해	기록/NNG+하/XSV+아/EC
18.5%의	18/SN+./SP+5/SN+%/SW+의/JKG
한국방송을	한국방송/NNP+을/JKO
크게	크/VA+게/EC
따돌렸다.	따돌리/VV+었/EP+다/EF+./SF


