# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.265
metadata : {}


# id : NWRW1800000052.265.1.1
힘받는 국정교과서 철회론…교육감들도 가세

힘받는	힘/NNG+받/XSV+는/ETM
전반에	전반/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
통제력이	통제력/NNG+이/JKS
급속히	급속히/MAG
힘을	힘/NNG+을/JKO
잃고	잃/VV+고/EC
있어	있/VX+어/EC
예정대로	예정/NNG+대로/JX
국정화	국정/NNG+화/XSN
정책이	정책/NNG+이/JKS
추진될	추진/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.265.7.1
조희연 서울시교육감은 6일 성명을 내어 “이번 ‘최순실 사태’를 맞아 현 정권의 실태가 적나라하게 드러난 만큼 역사 교육을 바로 잡아야 한다는 절박한 심정으로 다시 한 번 역사교과서 국정화 철회를 강력히 촉구한다”고 밝혔다.

조희연	조희연/NNP
서울시교육감은	서울시/NNP+교육감/NNG+은/JX
6일	6/SN+일/NNB
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“이번	“/SS+이번/NNG
‘최순실	‘/SS+최순실/NNP
사태’를	사태/NNG+’/SS+를/JKO
맞아	맞/VV+아/EC
현	현/MMD
정권의	정권/NNG+의/JKG
실태가	실태/NNG+가/JKS
적나라하게	적나라하/VA+게/EC
드러난	드러나/VV+ㄴ/ETM
만큼	만큼/NNB
역사	역사/NNG
교육을	교육/NNG+을/JKO
바로	바로/MAG
잡아야	잡/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
절박한	절박하/VA+ㄴ/ETM
심정으로	심정/NNG+으로/JKB
다시	다시/MAG
한	한/MMN
번	번/NNB
역사교과서	역사/NNG+교과서/NNG
국정화	국정/NNG+화/XSN
철회를	철회/NNG+를/JKO
강력히	강력히/MAG
촉구한다”고	촉구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.265.7.2
조 교육감은 성명에서 “이번에 발표될 국정교과서가 결국 ‘최순실 교과서’라고까지 불리는 이유를 정부는 짚어봐야 할 것”이라고 지적한 뒤 비교육적, 공교육발전 저해, 법적 위헌성, 세계화 추세 역행 등 네 가지 이유를 들어 국정교과서를 반대했다.

조	조/NNP
교육감은	교육감/NNG+은/JX
성명에서	성명/NNG+에서/JKB
“이번에	“/SS+이번/NNG+에/JKB
발표될	발표/NNG+되/XSV+ㄹ/ETM
국정교과서가	국정/NNG+교과서/NNG+가/JKS
결국	결국/MAG
‘최순실	‘/SS+최순실/NNP
교과서’라고까지	교과서/NNG+’/SS+라고/JKQ+까지/JX
불리는	불리/VV+는/ETM
이유를	이유/NNG+를/JKO
정부는	정부/NNG+는/JX
짚어봐야	짚/VV+어/EC+보/VX+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적한	지적/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
비교육적,	비/XPN+교육/NNG+적/XSN+,/SP
공교육발전	공교육/NNG+발전/NNG
저해,	저해/NNG+,/SP
법적	법/NNG+적/XSN
위헌성,	위헌/NNG+성/XSN+,/SP
세계화	세계/NNG+화/XSN
추세	추세/NNG
역행	역행/NNG
등	등/NNB
네	네/MMN
가지	가지/NNB
들어	들/VV+어/EC
국정교과서를	국정/NNG+교과서/NNG+를/JKO
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.265.7.3
국정교과서가 이른바 ‘최순실 교과서’가 아니냐는 의혹은 지난해 역사교과서 국정화를 주도한 김상률 전 청와대 교육문화수석이 최순실씨의 최측근인 차은택씨의 외삼촌으로 최근 드러나면서 꾸준히 제기되고 있다.

국정교과서가	국정/NNG+교과서/NNG+가/JKS
이른바	이른바/MAG
‘최순실	‘/SS+최순실/NNP
교과서’가	교과서/NNG+’/SS+가/JKC
아니냐는	아니/VCN+냐는/ETM
의혹은	의혹/NNG+은/JX
지난해	지난해/NNG
역사교과서	역사/NNG+교과서/NNG
국정화를	국정/NNG+화/XSN+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
김상률	김상률/NNP
전	전/MMD
청와대	청와대/NNP
교육문화수석이	교육/NNG+문화/NNG+수석/NNG+이/JKS
최순실씨의	최순실/NNP+씨/NNB+의/JKG
최측근인	최/XPN+측근/NNG+이/VCP+ㄴ/ETM
차은택씨의	차은택/NNP+씨/NNB+의/JKG
외삼촌으로	외삼촌/NNG+으로/JKB
최근	최근/MAG
드러나면서	드러나/VV+면서/EC
꾸준히	꾸준히/MAG
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.265.8.1
조 교육감뿐만 아니라, 장휘국 광주시교육감도 지난 2일 자신의 사회적관계망서비스(SNS)에 “지금 국민은 최순실씨 등의 국정농단에 꼭두각시처럼 놀아난 정권을 극도로 불신해 역사교과서 국정화도 그대로 추진하기는 어렵게 됐다”며 국정교과서 정책 포기를 촉구했다.

조	조/NNP
교육감뿐만	교육감/NNG+뿐/JX+만/JX
아니라,	아니/VCN+라/EC+,/SP
장휘국	장휘국/NNP
광주시교육감도	광주시/NNP+교육감/NNG+도/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
자신의	자신/NNG+의/JKG
사회적관계망서비스(SNS)에	사회/NNG+적/XSN+관계망/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에/JKB
“지금	“/SS+지금/MAG
국민은	국민/NNG+은/JX
최순실씨	최순실/NNP+씨/NNB
등의	등/NNB+의/JKG
국정농단에	국정/NNG+농단/NNG+에/JKB
꼭두각시처럼	꼭두각시/NNG+처럼/JKB
놀아난	놀아나/VV+ㄴ/ETM
정권을	정권/NNG+을/JKO
극도로	극도/NNG+로/JKB
불신해	불신/NNG+하/XSV+아/EC
역사교과서	역사/NNG+교과서/NNG
국정화도	국정/NNG+화/XSN+도/JX
그대로	그대로/MAG
추진하기는	추진/NNG+하/XSV+기/ETN+는/JX
어렵게	어렵/VA+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
국정교과서	국정/NNG+교과서/NNG
정책	정책/NNG
포기를	포기/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.265.8.2
이재정 경기도교육감이 정부의 역사교과서 국정화에 대응하기 위해 만든 자문기구인 경기도교육청 역사교육위원회도 지난 3일 성명을 내고 정부의 역사교과서 국정화 중단을 요구했다.

이재정	이재정/NNP
경기도교육감이	경기도/NNP+교육감/NNG+이/JKS
정부의	정부/NNG+의/JKG
역사교과서	역사/NNG+교과서/NNG
국정화에	국정/NNG+화/XSN+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
자문기구인	자문/NNG+기구/NNG+이/VCP+ㄴ/ETM
경기도교육청	경기도교육청/NNP
역사교육위원회도	역사/NNG+교육/NNG+위원회/NNG+도/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
국정화	국정/NNG+화/XSN
중단을	중단/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.265.9.1
역사학계와 시민·사회단체의 반대 선언도 이어지고 있다.

역사학계와	역사학/NNG+계/XSN+와/JC
시민·사회단체의	시민/NNG+·/SP+사회단체/NNG+의/JKG
반대	반대/NNG
선언도	선언/NNG+도/JX
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.265.9.2
한국사연구회와 민족문제연구소 등 43개 역사 관련 단체는 지난 1일 국정 역사교과서 중단을 요구하는 시국선언을 발표했고, 484개 교육·시민단체로 구성된 한국사교과서국정화저지네트워크도 이튿날인 2일 기자회견을 열어 “정부의 일방적인 국정교과서 발행 작업을 즉각 중단하라”고 촉구하고, “국정교과서 발행을 중단해도 기존의 검정 교과서를 쓰면 되기 때문에 교육 현장에 혼란이 일지 않을 것이다”라고 주장했다.

한국사연구회와	한국사/NNG+연구회/NNG+와/JC
민족문제연구소	민족/NNG+문제/NNG+연구소/NNG
등	등/NNB
43개	43/SN+개/NNB
역사	역사/NNG
관련	관련/NNG
단체는	단체/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
국정	국정/NNG
역사교과서	역사/NNG+교과서/NNG
중단을	중단/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
시국선언을	시국/NNG+선언/NNG+을/JKO
발표했고,	발표/NNG+하/XSV+았/EP+고/EC+,/SP
484개	484/SN+개/NNB
교육·시민단체로	교육/NNG+·/SP+시민/NNG+단체/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
한국사교과서국정화저지네트워크도	한국사/NNG+교과서/NNG+국정/NNG+화/XSN+저지/NNG+네트워크/NNG+도/JX
이튿날인	이튿날/NNG+이/VCP+ㄴ/ETM
2일	2/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“정부의	“/SS+정부/NNG+의/JKG
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
국정교과서	국정/NNG+교과서/NNG
발행	발행/NNG
작업을	작업/NNG+을/JKO
즉각	즉각/MAG
중단하라”고	중단/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구하고,	촉구/NNG+하/XSV+고/EC+,/SP
“국정교과서	“/SS+국정/NNG+교과서/NNG
발행을	발행/NNG+을/JKO
중단해도	중단/NNG+하/XSV+아도/EC
기존의	기존/NNG+의/JKG
검정	검정/NNG
교과서를	교과서/NNG+를/JKO
쓰면	쓰/VV+면/EC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
교육	교육/NNG
현장에	현장/NNG+에/JKB
혼란이	혼란/NNG+이/JKS
일지	일/VV+지/EC
않을	않/VX+을/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.265.10.1
교육부로선 곤혹스러운 상황이다.

교육부로선	교육부/NNG+로서/JKB+ㄴ/JX
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.265.10.2
박 대통령의 의지에 따라 국정화를 이끌어왔으나 최순실 국정농단 파문으로 국정 동력을 상실한 데다, 박 대통령과 함께 지지율이 곤두박질치고 있는 여당의 지원도 기대할 수 없기 때문이다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
의지에	의지/NNG+에/JKB
따라	따르/VV+아/EC
국정화를	국정/NNG+화/XSN+를/JKO
이끌어왔으나	이끌/VV+어/EC+오/VX+았/EP+으나/EC
최순실	최순실/NNP
국정농단	국정/NNG+농단/NNG
파문으로	파문/NNG+으로/JKB
국정	국정/NNG
동력을	동력/NNG+을/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
대통령과	대통령/NNG+과/JKB
함께	함께/MAG
지지율이	지지/NNG+율/XSN+이/JKS
곤두박질치고	곤두박질치/VV+고/EC
있는	있/VX+는/ETM
여당의	여당/NNG+의/JKG
지원도	지원/NNG+도/JX
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.265.10.3
김병준 국무총리 후보자가 국정교과서를 공개적으로 반대하고 있다는 점도 부담스러운 대목이다.

김병준	김병준/NNP
국무총리	국무총리/NNG
후보자가	후보자/NNG+가/JKS
국정교과서를	국정/NNG+교과서/NNG+를/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
반대하고	반대/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.265.10.4
이 때문에 일각에서는 국정교과서 계획 자체가 폐기될 수도 있는 게 아니냐는 전망이 나온다.

이	이/NP
때문에	때문/NNB+에/JKB
일각에서는	일각/NNG+에서/JKB+는/JX
국정교과서	국정/NNG+교과서/NNG
계획	계획/NNG
자체가	자체/NNG+가/JKS
폐기될	폐기/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.265.10.5
교육부는 일단 “예정대로 역사교과서 국정화를 추진한다”는 입장을 밝히고 있다.

교육부는	교육부/NNG+는/JX
일단	일단/MAG
“예정대로	“/SS+예정/NNG+대로/JX
역사교과서	역사/NNG+교과서/NNG
국정화를	국정/NNG+화/XSN+를/JKO
추진한다”는	추진/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
입장을	입장/NNG+을/JKO
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.265.10.6
교육부 관계자는 “혼란스러운 상황은 맞지만, 총리 후보자가 총리로 확정된 상황도 아니고 국정교과서와 관련해 정책적으로 바뀐 입장은 없기 때문에 예정대로 오는 28일에 국정 역사교과서 현장 검토본을 공개할 계획”이라고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
“혼란스러운	“/SS+혼란/NNG+스럽/XSA+ㄴ/ETM
상황은	상황/NNG+은/JX
맞지만,	맞/VV+지만/EC+,/SP
총리	총리/NNG
후보자가	후보자/NNG+가/JKS
총리로	총리/NNG+로/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
상황도	상황/NNG+도/JX
아니고	아니/VCN+고/EC
국정교과서와	국정/NNG+교과서/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정책적으로	정책/NNG+적/XSN+으로/JKB
바뀐	바뀌/VV+ㄴ/ETM
입장은	입장/NNG+은/JX
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
예정대로	예정/NNG+대로/JX
오는	오/VV+는/ETM
28일에	28/SN+일/NNB+에/JKB
국정	국정/NNG
역사교과서	역사/NNG+교과서/NNG
현장	현장/NNG
검토본을	검토본/NNG+을/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.265.10.7
이준식 부총리 겸 교육부장관도 지난 3일 국회 예산결산특별위원회 전체회의에 참석해 “최순실 의혹과 관련 없이 계획대로 (국정교과서를) 추진할 예정”이라고 말했다.

이준식	이준식/NNP
부총리	부총리/NNG
겸	겸/NNB
교육부장관도	교육부/NNG+장관/NNG+도/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
국회	국회/NNG
예산결산특별위원회	예산/NNG+결산/NNG+특별/NNG+위원회/NNG
전체회의에	전체/NNG+회의/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“최순실	“/SS+최순실/NNP
의혹과	의혹/NNG+과/JKB
관련	관련/NNG
없이	없이/MAG
계획대로	계획/NNG+대로/JX
(국정교과서를)	(/SS+국정/NNG+교과서/NNG+를/JKO+)/SS
추진할	추진/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


