# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.233
metadata : {}


# id : NWRW1800000032.233.1.1
현대중 골리앗·용산 남일당 망루 올랐던 31명의 편지 /“김진숙, 반드시 살아서 내려오라”

현대중	현대중/NNP

“반드시	“/SS+반드시/MAG
살아서	살/VV+아서/EC
내려오라”고	내려오/VV+라/EF+”/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
“하늘에서	“/SS+하늘/NNG+에서/JKB
뿌린	뿌리/VV+ㄴ/ETM
희망의	희망/NNG+의/JKG
씨앗을	씨앗/NNG+을/JKO
땅에서	땅/NNG+에서/JKB
함께	함께/MAG
수확하자”고	수확/NNG+하/XSV+자/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.233.5.1
이들은 이날 서울 중구 정동 민주노총 금속노조 회의실에서 기자회견을 열어 준비한 편지를 읽었다.

이들은	이/NP+들/XSN+은/JX
이날	이날/NNG
서울	서울/NNP
중구	중구/NNP
정동	정동/NNP
민주노총	민주노총/NNP
금속노조	금속노조/NNP
회의실에서	회의실/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
편지를	편지/NNG+를/JKO
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.233.5.2
1990년 현대중공업 골리앗 크레인에 올랐던 이갑용 전 민주노총 위원장(전 울산 동구청장)과 15만4000볼트의 송전탑에서 해고자 복직을 요구하며 88일(2011년 3월6일~6월2일) 동안 고공농성을 벌였던 대우조선 비정규직 강병재씨가 편지에 이름을 올렸다.

1990년	1990/SN+년/NNB
현대중공업	현대중공업/NNP
골리앗	골리앗/NNP
크레인에	크레인/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
이갑용	이갑용/NNP
전	전/MMD
민주노총	민주노총/NNP
위원장(전	위원장/NNG+(/SS+전/MMD
울산	울산/NNP
동구청장)과	동구청장/NNG+)/SS+과/JC
15만4000볼트의	15/SN+만/NR+4000/SN+볼트/NNB+의/JKG
송전탑에서	송전탑/NNG+에서/JKB
해고자	해고자/NNG
복직을	복직/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
88일(2011년	88/SN+일/NNB+(/SS+2011/SN+년/NNB
3월6일~6월2일)	3/SN+월/NNB+6/SN+일/NNB+~/SO+6/SN+월/NNB+2/SN+일/NNB+)/SS
동안	동안/NNG
고공농성을	고공/NNG+농성/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
대우조선	대우조선/NNP
비정규직	비/XPN+정규직/NNG
강병재씨가	강병재/NNP+씨/NNB+가/JKS
편지에	편지/NNG+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.233.5.3
2009년 5월 ‘쌍용자동차 사태’ 때 평택공장 70m 굴뚝에서 ‘정리해고 중단’을 외쳤던 서맹섭씨와 같은 해 1월 ‘용산참사’ 때 망루에서 살아남은 철거민들도 동참했다.

2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
‘쌍용자동차	‘/SS+쌍용자동차/NNP
사태’	사태/NNG+’/SS
때	때/NNG
평택공장	평택/NNP+공장/NNG
70m	70/SN+m/SW
굴뚝에서	굴뚝/NNG+에서/JKB
‘정리해고	‘/SS+정리/NNG+해고/NNG
중단’을	중단/NNG+’/SS+을/JKO
외쳤던	외치/VV+었/EP+던/ETM
서맹섭씨와	서맹섭/NNP+씨/NNB+와/JKB
같은	같/VA+은/ETM
해	해/NNG
1월	1/SN+월/NNB
‘용산참사’	‘/SS+용산/NNP+참사/NNG+’/SS
망루에서	망루/NNG+에서/JKB
살아남은	살아남/VV+은/ETM
철거민들도	철거민/NNG+들/XSN+도/JX
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.233.5.4
모두 31명이 김 위원에게 절절하게 호소했다.

모두	모두/MAG
31명이	31/SN+명/NNB+이/JKS
김	김/NNP
위원에게	위원/NNG+에게/JKB
절절하게	절절하/VA+게/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.233.5.5
“정리해고와 비정규직 없는 세상을 위해 우리는 굴뚝과 철탑으로 올라갔고 밧줄을 묶고 망루에 매달려 싸웠다”며 “이제 당신을 살리기 위해 ‘희망버스’를 타고 달려가겠다.

“정리해고와	“/SS+정리/NNG+해고/NNG+와/JC
비정규직	비/XPN+정규직/NNG
없는	없/VA+는/ETM
세상을	세상/NNG+을/JKO
위해	위하/VV+아/EC
우리는	우리/NP+는/JX
굴뚝과	굴뚝/NNG+과/JC
철탑으로	철탑/NNG+으로/JKB
올라갔고	올라가/VV+았/EP+고/EC
밧줄을	밧줄/NNG+을/JKO
묶고	묶/VV+고/EC
망루에	망루/NNG+에/JKB
매달려	매달리/VV+어/EC
싸웠다”며	싸우/VV+었/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
당신을	당신/NP+을/JKO
살리기	살리/VV+기/ETN
‘희망버스’를	‘/SS+희망/NNG+버스/NNG+’/SS+를/JKO
타고	타/VV+고/EC
달려가겠다.	달려가/VV+겠/EP+다/EF+./SF


# id : NWRW1800000032.233.5.6
꼭 살아야 한다”고 당부했다.

꼭	꼭/MAG
살아야	살/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.233.6.1
한편 송기인 전 진실·화해를 위한 과거사정리위원회 위원장과 박종철 열사의 부친 박정기씨 등 부산 지역 민주·원로 인사 21명은 이날 부산역 근처 광장관광호텔에서 기자회견을 열어 한진중공업 정리해고 철회와 국회 청문회 개최 등을 촉구했다.

한편	한편/MAG
송기인	송기인/NNP
전	전/MMD
진실·화해를	진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회	과거사/NNG+정리/NNG+위원회/NNG
위원장과	위원장/NNG+과/JC
박종철	박종철/NNP
열사의	열사/NNG+의/JKG
부친	부친/NNG
박정기씨	박정기/NNP+씨/NNB
등	등/NNB
부산	부산/NNP
지역	지역/NNG
민주·원로	민주/NNG+·/SP+원로/NNG
인사	인사/NNG
21명은	21/SN+명/NNB+은/JX
이날	이날/NNG
부산역	부산역/NNP
근처	근처/NNG
광장관광호텔에서	광장관광호텔/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
한진중공업	한진중공업/NNP
정리해고	정리/NNG+해고/NNG
철회와	철회/NNG+와/JC
국회	국회/NNG
청문회	청문회/NNG
개최	개최/NNG
등을	등/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.233.6.2
반면 장전배 경찰청 경비국장은 “30일로 예정된 ‘3차 희망버스’가 계획대로 출발하면 폭우 피해 복구중인 전·의경들(서울·경기 지역 투입 60개 중대 5000여명)을 부산으로 빼야 한다.

반면	반면/NNG
장전배	장전배/NNP
경찰청	경찰청/NNG
경비국장은	경비/NNG+국장/NNG+은/JX
“30일로	“/SS+30/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
‘3차	‘/SS+3/SN+차/NNB
희망버스’가	희망/NNG+버스/NNG+’/SS+가/JKS
계획대로	계획/NNG+대로/JX
출발하면	출발/NNG+하/XSV+면/EC
폭우	폭우/NNG
피해	피해/NNG
복구중인	복구/NNG+중/NNB+이/VCP+ㄴ/ETM
전·의경들(서울·경기	전·의경/NNG+들/XSN+(/SS+서울/NNP+·/SP+경기/NNP
지역	지역/NNG
투입	투입/NNG
60개	60/SN+개/NNB
중대	중대/NNG
5000여명)을	5000/SN+여/XSN+명/NNB+)/SS+을/JKO
부산으로	부산/NNP+으로/JKB
빼야	빼/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.233.6.3
결국 희망버스 쪽이 폭우 피해자들에게 죄를 짓게 된다”며 “일정을 취소하거나 연기해야 한다”고 주장했다.

결국	결국/MAG
희망버스	희망/NNG+버스/NNG
쪽이	쪽/NNB+이/JKS
폭우	폭우/NNG
피해자들에게	피해자/NNG+들/XSN+에게/JKB
죄를	죄/NNG+를/JKO
짓게	짓/VV+게/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“일정을	“/SS+일정/NNG+을/JKO
취소하거나	취소/NNG+하/XSV+거나/EC
연기해야	연기/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


