# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.329
metadata : {}


# id : NWRW1800000049.329.1.1
“석유-가스公 해외자원개발 기능 떼내 통폐합”

“석유-가스公	“/SS+석유/NNG+-/SO+가스/NNG+公/SH
넘기는	넘기/VV+는/ETM
방안이	방안/NNG+이/JKS
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.329.6.1
최근 중국이나 일본을 비롯한 주요국들은 해외자원개발에 민간 참여를 확대하고 있다.

최근	최근/NNG
중국이나	중국/NNP+이나/JC
일본을	일본/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
주요국들은	주요국/NNG+들/XSN+은/JX
해외자원개발에	해외/NNG+자원/NNG+개발/NNG+에/JKB
민간	민간/NNG
참여를	참여/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.329.6.2
민간 기업의 경쟁력을 높이고 정부의 재정 부담을 줄이기 위해서다.

민간	민간/NNG
기업의	기업/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이고	높이/VV+고/EC
정부의	정부/NNG+의/JKG
재정	재정/NNG
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.329.6.3
하지만 한국은 아직까지 민간의 해외자원개발 역량과 경험이 부족한 상황이다.

하지만	하지만/MAJ
한국은	한국/NNP+은/JX
아직까지	아직/MAG+까지/JX
민간의	민간/NNG+의/JKG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
역량과	역량/NNG+과/JC
경험이	경험/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.329.6.4
이 때문에 정부가 석유공사의 자원개발 기능과 인력을 가스공사에 넘기는 쪽으로 가닥을 잡을 것이라는 의견이 지배적이다.

이	이/NP
때문에	때문/NNB+에/JKB
정부가	정부/NNG+가/JKS
석유공사의	석유공사/NNP+의/JKG
자원개발	자원/NNG+개발/NNG
기능과	기능/NNG+과/JC
인력을	인력/NNG+을/JKO
가스공사에	가스공사/NNP+에/JKB
넘기는	넘기/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡을	잡/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
의견이	의견/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.329.7.1
가스공사가 자원을 탐사하고 개발하는 상류(upstream) 부문뿐만 아니라 수송과 판매 등 하류(downstream) 부문까지 수행하고 있다는 점도 이런 가능성을 높인다.

가스공사가	가스공사/NNP+가/JKS
자원을	자원/NNG+을/JKO
탐사하고	탐사/NNG+하/XSV+고/EC
개발하는	개발/NNG+하/XSV+는/ETM
상류(upstream)	상류/NNG+(/SS+upstream/SL+)/SS
부문뿐만	부문/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
수송과	수송/NNG+과/JC
판매	판매/NNG
등	등/NNB
하류(downstream)	하류/NNG+(/SS+downstream/SL+)/SS
부문까지	부문/NNG+까지/JX
수행하고	수행/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
이런	이런/MMD
가능성을	가능/NNG+성/XSN+을/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.329.7.2
산업부 관계자는 “자원개발만 해서는 원자재 가격 하락에 따른 리스크를 분산시킬 수 없다”며 “세계적으로도 주요 기업들은 자원개발과 유통을 함께 진행하는 것이 일반적”이라고 설명했다.

산업부	산업부/NNG
관계자는	관계자/NNG+는/JX
“자원개발만	“/SS+자원/NNG+개발/NNG+만/JX
해서는	하/VV+아서/EC+는/JX
원자재	원자재/NNG
가격	가격/NNG
하락에	하락/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
리스크를	리스크/NNG+를/JKO
분산시킬	분산/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“세계적으로도	“/SS+세계/NNG+적/XSN+으로/JKB+도/JX
주요	주요/NNG
기업들은	기업/NNG+들/XSN+은/JX
자원개발과	자원/NNG+개발/NNG+과/JC
유통을	유통/NNG+을/JKO
함께	함께/MAG
진행하는	진행/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
일반적”이라고	일반/NNG+적/XSN+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.8.1
광물자원 역시 기존에 광물자원공사가 갖고 있던 자원개발 기능을 포스코나 현대제철과 같이 광물을 필요로 하는 민간 기업에 넘기거나 민간과 공동으로 전문회사를 설립하는 방안이 검토되고 있다.

광물자원	광물/NNG+자원/NNG
역시	역시/MAG
기존에	기존/NNG+에/JKB
광물자원공사가	광물자원공사/NNP+가/JKS
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
자원개발	자원/NNG+개발/NNG
기능을	기능/NNG+을/JKO
포스코나	포스코/NNP+나/JC
현대제철과	현대제철/NNP+과/JKB
같이	같이/MAG
광물을	광물/NNG+을/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
민간	민간/NNG
기업에	기업/NNG+에/JKB
넘기거나	넘기/VV+거나/EC
민간과	민간/NNG+과/JKB
공동으로	공동/NNG+으로/JKB
전문회사를	전문/NNG+회사/NNG+를/JKO
설립하는	설립/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.329.9.1
하지만 해외자원개발이 정권의 입맛에 따라 부실하게 정책이 추진돼 수십조 원의 자금을 낭비한 상황에서 조직개편만으로 문제를 해결하려는 것은 지나치게 안이한 대응이라는 지적이 나온다.

하지만	하지만/MAJ
해외자원개발이	해외/NNG+자원/NNG+개발/NNG+이/JKS
정권의	정권/NNG+의/JKG
입맛에	입맛/NNG+에/JKB
따라	따르/VV+아/EC
부실하게	부실/NNG+하/XSA+게/EC
정책이	정책/NNG+이/JKS
추진돼	추진/NNG+되/XSV+어/EC
수십조	수십조/NR
원의	원/NNB+의/JKG
자금을	자금/NNG+을/JKO
낭비한	낭비/NNG+하/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
조직개편만으로	조직/NNG+개편/NNG+만/JX+으로/JKB
문제를	문제/NNG+를/JKO
해결하려는	해결/NNG+하/XSV+려는/ETM
것은	것/NNB+은/JX
지나치게	지나치/VA+게/EC
안이한	안이하/VA+ㄴ/ETM
대응이라는	대응/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.329.9.2
자원개발을 맡을 전문 자회사를 신설하는 방안도 거론됐지만 여전히 대주주가 공기업인 상황에서 경영의 독립성을 담보하기는 어렵다.

자원개발을	자원/NNG+개발/NNG+을/JKO
맡을	맡/VV+을/ETM
전문	전문/NNG
자회사를	자회사/NNG+를/JKO
신설하는	신설/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
거론됐지만	거론/NNG+되/XSV+었/EP+지만/EC
여전히	여전히/MAG
대주주가	대/XPN+주주/NNG+가/JKS
공기업인	공기업/NNG+이/VCP+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
경영의	경영/NNG+의/JKG
독립성을	독립/NNG+성/XSN+을/JKO
담보하기는	담보/NNG+하/XSV+기/ETN+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.329.9.3
한 민간 에너지업체 관계자는 “민간이 참여하는 전문회사라고 해도 결국 공기업이 경영권을 쥐고 낙하산 인사를 내려 보낼 통로로 쓸 가능성이 있다”고 우려했다.

한	한/MMN
민간	민간/NNG
에너지업체	에너지/NNG+업체/NNG
관계자는	관계자/NNG+는/JX
“민간이	“/SS+민간/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
전문회사라고	전문/NNG+회사/NNG+이/VCP+라고/EC
해도	하/VV+아도/EC
결국	결국/MAG
공기업이	공기업/NNG+이/JKS
경영권을	경영/NNG+권/XSN+을/JKO
쥐고	쥐/VV+고/EC
낙하산	낙하산/NNG
인사를	인사/NNG+를/JKO
내려	내리/VV+어/EC
보낼	보내/VV+ㄹ/ETM
통로로	통로/NNG+로/JKB
쓸	쓰/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.10.1
해외자원개발 개편방안이 공기업의 자원개발 기능을 축소하고 해외 자산 매각 등을 통해 부채를 감축하는 데 초점이 맞춰져 있다는 점도 우려를 낳는다.

해외자원개발	해외/NNG+자원/NNG+개발/NNG
개편방안이	개편/NNG+방안/NNG+이/JKS
공기업의	공기업/NNG+의/JKG
자원개발	자원/NNG+개발/NNG
기능을	기능/NNG+을/JKO
축소하고	축소/NNG+하/XSV+고/EC
해외	해외/NNG
자산	자산/NNG
매각	매각/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
부채를	부채/NNG+를/JKO
감축하는	감축/NNG+하/XSV+는/ETM
데	데/NNB
초점이	초점/NNG+이/JKS
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
우려를	우려/NNG+를/JKO
낳는다.	낳/VV+는다/EF+./SF


# id : NWRW1800000049.329.10.2
수입 에너지 비중이 95%가 넘을 정도로 해외자원 의존도가 높은 상황에서 자원 확보를 소홀히 하다간 ‘자원 안보’가 위협받을 수 있기 때문이다.

수입	수입/NNG
에너지	에너지/NNG
비중이	비중/NNG+이/JKS
95%가	95/SN+%/SW+가/JKS
넘을	넘/VV+을/ETM
정도로	정도/NNG+로/JKB
해외자원	해외/NNG+자원/NNG
의존도가	의존도/NNG+가/JKS
높은	높/VA+은/ETM
상황에서	상황/NNG+에서/JKB
자원	자원/NNG
확보를	확보/NNG+를/JKO
소홀히	소홀히/MAG
하다간	하/VV+다가/EC+ㄴ/JX
‘자원	‘/SS+자원/NNG
안보’가	안보/NNG+’/SS+가/JKS
위협받을	위협/NNG+받/XSV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.329.10.3
이창우 동아대 에너지자원공학과 교수는 “해외자원개발 경쟁력을 높일 수 있는 근본적인 비전을 정립한 뒤 장기적 관점으로 자원개발에 대한 조직 및 정책이행 방향을 정립해야 한다”고 말했다.

이창우	이창우/NNP
동아대	동아대/NNP
에너지자원공학과	에너지/NNG+자원/NNG+공학과/NNG
교수는	교수/NNG+는/JX
“해외자원개발	“/SS+해외/NNG+자원/NNG+개발/NNG
경쟁력을	경쟁력/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
비전을	비전/NNG+을/JKO
정립한	정립/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
장기적	장기/NNG+적/XSN
관점으로	관점/NNG+으로/JKB
자원개발에	자원/NNG+개발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조직	조직/NNG
및	및/MAG
정책이행	정책/NNG+이행/NNG
방향을	방향/NNG+을/JKO
정립해야	정립/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.329.11.1
산업부는 연구용역에 대해 “민간업체가 제시한 시나리오”라며 “검토대상일 뿐 확정된 것은 없다”고 밝혔다.

산업부는	산업부/NNG+는/JX
연구용역에	연구/NNG+용역/NNG+에/JKB
대해	대하/VV+아/EC
“민간업체가	“/SS+민간/NNG+업체/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
시나리오”라며	시나리오/NNG+”/SS+이/VCP+라며/EC
“검토대상일	“/SS+검토/NNG+대상/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
확정된	확정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.329.11.2
산업부는 연구용역 결과와 20일 열리는 공청회 의견 수렴 등을 토대로 다음 달 최종안을 마련할 방침이다.

산업부는	산업부/NNG+는/JX
연구용역	연구/NNG+용역/NNG
결과와	결과/NNG+와/JC
20일	20/SN+일/NNB
열리는	열리/VV+는/ETM
공청회	공청회/NNG
의견	의견/NNG
수렴	수렴/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
다음	다음/NNG
달	달/NNG
최종안을	최종안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


