# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.80
metadata : {}


# id : NWRW1800000029.80.1.1
CAR&Travel/시승기 - ‘올 뉴 인피니티 M’

CAR&Travel/시승기	CAR/SL+&/SW+Travel/SL+//SP+시승기/NNG
벗어나면	벗어나/VV+면/EC
1차로	1/SN+차/NNB+로/JKB
경고음을	경고음/NNG+을/JKO
내보내고	내보내/VV+고/EC
경고	경고/NNG
이후에도	이후/NNG+에/JKB+도/JX
핸들	핸들/NNG
조작을	조작/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
차체자세제어장치와	차체/NNG+자세/NNG+제어/NNG+장치/NNG+와/JKB
연계해	연계/NNG+하/XSV+아/EC
각	각/MMD
바퀴의	바퀴/NNG+의/JKG
브레이크	브레이크/NNG
압력을	압력/NNG+을/JKO
조절해	조절/NNG+하/XSV+아/EC
차량이	차량/NNG+이/JKS
진행하던	진행/NNG+하/XSV+던/ETM
차로로	차로/NNG+로/JKB
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와준다.	도와주/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.80.7.4
상당히 복잡한 기술이어서 불편할 것으로 예상했지만 비교적 부드럽게 진행이 됐다.

상당히	상당히/MAG
복잡한	복잡하/VA+ㄴ/ETM
기술이어서	기술/NNG+이/VCP+어서/EC
불편할	불편/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했지만	예상/NNG+하/XSV+았/EP+지만/EC
비교적	비교/NNG+적/XSN
부드럽게	부드럽/VA+게/EC
진행이	진행/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.80.8.1
차간거리제어 시스템은 범퍼에 장착된 센서를 통해 앞차와의 간격이 위험수준까지 좁아지면 작동한다.

차간거리제어	차/NNG+간/NNB+거리/NNG+제어/NNG
시스템은	시스템/NNG+은/JX
범퍼에	범퍼/NNG+에/JKB
장착된	장착/NNG+되/XSV+ㄴ/ETM
센서를	센서/NNG+를/JKO
통해	통하/VV+아/EC
앞차와의	앞차/NNG+와/JKB+의/JKG
간격이	간격/NNG+이/JKS
위험수준까지	위험/NNG+수준/NNG+까지/JX
좁아지면	좁아지/VV+면/EC
작동한다.	작동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.80.8.2
운전자가 액셀러레이터를 밟지 않더라도 브레이크를 자동으로 작동해 거리를 유지할 수 있도록 도와주고 운전자가 액셀러레이터를 밟고 있으면 액셀 페달을 원위치로 회복해 브레이크로 발을 옮길 수 있도록 도와준다.

운전자가	운전자/NNG+가/JKS
액셀러레이터를	액셀러레이터/NNG+를/JKO
밟지	밟/VV+지/EC
않더라도	않/VX+더라도/EC
브레이크를	브레이크/NNG+를/JKO
자동으로	자동/NNG+으로/JKB
작동해	작동/NNG+하/XSV+아/EC
거리를	거리/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와주고	도와주/VV+고/EC
밟고	밟/VV+고/EC
있으면	있/VX+으면/EC
액셀	액셀/NNG
페달을	페달/NNG+을/JKO
원위치로	원위치/NNG+로/JKB
회복해	회복/NNG+하/XSV+아/EC
브레이크로	브레이크/NNG+로/JKB
발을	발/NNG+을/JKO
옮길	옮기/VV+ㄹ/ETM
도와준다.	도와주/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.80.9.1
또 인텔리전트 크루즈 컨트롤은 앞차와의 거리를 측정해 차 간격이 미리 지정해 놓은 거리 이하로 줄어들면 브레이크를 밟지 않아도 앞차의 간격을 일정하게 유지해 준다.

또	또/MAG
인텔리전트	인텔리전트/NNG
크루즈	크루즈/NNG
컨트롤은	컨트롤/NNG+은/JX
앞차와의	앞차/NNG+와/JKB+의/JKG
거리를	거리/NNG+를/JKO
측정해	측정/NNG+하/XSV+아/EC
차	차/NNG
간격이	간격/NNG+이/JKS
미리	미리/MAG
지정해	지정/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
거리	거리/NNG
이하로	이하/NNG+로/JKB
줄어들면	줄어들/VV+면/EC
브레이크를	브레이크/NNG+를/JKO
밟지	밟/VV+지/EC
않아도	않/VX+아도/EC
앞차의	앞차/NNG+의/JKG
간격을	간격/NNG+을/JKO
일정하게	일정/NNG+하/XSA+게/EC
유지해	유지/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.80.9.2
운전 중 피로를 확실히 줄여주는 기능들이다.

운전	운전/NNG
중	중/NNB
피로를	피로/NNG+를/JKO
확실히	확실히/MAG
줄여주는	줄이/VV+어/EC+주/VX+는/ETM
기능들이다.	기능/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.10.1
동력성능도 뛰어나다.

동력성능도	동력/NNG+성능/NNG+도/JX
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000029.80.10.2
대형 세단이지만 속도를 낼 때는 스포츠카의 느낌이 들 정도다.

대형	대형/NNG
세단이지만	세단/NNG+이/VCP+지만/EC
속도를	속도/NNG+를/JKO
낼	내/VV+ㄹ/ETM
때는	때/NNG+는/JX
스포츠카의	스포츠카/NNG+의/JKG
느낌이	느낌/NNG+이/JKS
들	들/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.10.3
최고 출력은 415마력에 이르고 최대 토크는 57kg·m이다.

최고	최고/NNG
출력은	출력/NNG+은/JX
415마력에	415/SN+마력/NNB+에/JKB
이르고	이르/VV+고/EC
최대	최대/NNG
토크는	토크/NNG+는/JX
57kg·m이다.	57/SN+kg/SW+·/SP+m/SW+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.10.4
연료소비효율은 L당 8.2km로 높지 않지만 공차중량이 1.9t에 육박하는 5.6L 배기량을 가진 차로서는 나쁘지 않은 연비다.

연료소비효율은	연료/NNG+소비/NNG+효율/NNG+은/JX
L당	L/SW+당/XSN
8.2km로	8/SN+./SP+2/SN+km/SW+로/JKB
높지	높/VA+지/EC
않지만	않/VX+지만/EC
공차중량이	공차/NNG+중량/NNG+이/JKS
1.9t에	1/SN+./SP+9/SN+t/SW+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
5.6L	5/SN+./SP+6/SN+L/SW
배기량을	배기량/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
차로서는	차/NNG+로서/JKB+는/JX
나쁘지	나쁘/VA+지/EC
않은	않/VX+은/ETM
연비다.	연비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.80.10.5
가격은 8460만 원.

가격은	가격/NNG+은/JX
8460만	8460/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000029.80.10.6
괜찮은 차는 가격이 항상 문제다.

괜찮은	괜찮/VA+은/ETM
차는	차/NNG+는/JX
가격이	가격/NNG+이/JKS
항상	항상/MAG
문제다.	문제/NNG+이/VCP+다/EF+./SF


