# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.231
metadata : {}


# id : NWRW1800000030.231.1.1
여자농구, 2m 쌍둥이 빌딩 솟는다

여자농구,	여자/NNG+농구/NNG+,/SP
자세나	자세/NNG+나/JC
드리블을	드리블/NNG+을/JKO
직접	직접/MAG
조언해준다.	조언/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.231.7.1
쑤원옌의 최대 강점은 199㎝의 큰 키.

쑤원옌의	쑤원옌/NNP+의/JKG
최대	최대/NNG
강점은	강점/NNG+은/JX
199㎝의	199/SN+㎝/SW+의/JKG
큰	크/VA+ㄴ/ETM
키.	키/NNG+./SF


# id : NWRW1800000030.231.7.2
하은주와 나란히 서면 '높이'만큼은 남자 프로농구 동부의 장대 콤비 김주성(205㎝)-윤호영(197㎝) 부럽지 않다.

하은주와	하은주/NNP+와/JKB
나란히	나란히/MAG
서면	서면/NNG
'높이'만큼은	'/SS+높이/NNG+'/SS+만큼/JKB+은/JX
남자	남자/NNG
프로농구	프로/NNG+농구/NNG
동부의	동부/NNP+의/JKG
장대	장대/NNG
콤비	콤비/NNG
김주성(205㎝)-윤호영(197㎝)	김주성/NNP+(/SS+205/SN+㎝/SW+)/SS+-/SO+윤호영/NNP+(/SS+197/SN+㎝/SW+)/SS
부럽지	부럽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.231.7.3
임달식 신한은행 감독은 "쑤원옌은 신체적인 장점이 있기 때문에 몸을 잘 만들면 장래성이 있다"고 말했다.

임달식	임달식/NNP
신한은행	신한은행/NNP
감독은	감독/NNG+은/JX
"쑤원옌은	"/SS+쑤원옌/NNP+은/JX
신체적인	신체/NNG+적/XSN+이/VCP+ㄴ/ETM
장점이	장점/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
몸을	몸/NNG+을/JKO
잘	잘/MAG
만들면	만들/VV+면/EC
장래성이	장래/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.231.8.1
쑤원옌은 수줍음을 많이 타는 소녀다.

쑤원옌은	쑤원옌/NNP+은/JX
수줍음을	수줍음/NNG+을/JKO
많이	많이/MAG
타는	타/VV+는/ETM
소녀다.	소녀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.231.8.2
내성적인 데다 한국어도 아직 서툰 편이어서 언니들에게 먼저 말을 잘 걸지 않는다.

내성적인	내성/NNG+적/XSN+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
한국어도	한국어/NNP+도/JX
아직	아직/MAG
서툰	서툴/VA+ㄴ/ETM
편이어서	편/NNB+이/VCP+어서/EC
언니들에게	언니/NNG+들/XSN+에게/JKB
먼저	먼저/MAG
말을	말/NNG+을/JKO
잘	잘/MAG
걸지	걸/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.231.8.3
인터넷 블로그에 연애소설을 쓰는 게 취미라고 한다.

인터넷	인터넷/NNG
블로그에	블로그/NNG+에/JKB
연애소설을	연애/NNG+소설/NNG+을/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
취미라고	취미/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.231.8.4
하지만 얌전한 쑤원옌을 열광케 하는 '오빠'도 있다.

하지만	하지만/MAJ
얌전한	얌전/NNG+하/XSA+ㄴ/ETM
쑤원옌을	쑤원옌/NNP+을/JKO
열광케	열광/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
'오빠'도	'/SS+오빠/NNG+'/SS+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.231.8.5
남자 프로농구 KCC의 가드 전태풍이다.

남자	남자/NNG
프로농구	프로/NNG+농구/NNG
KCC의	KCC/SL+의/JKG
가드	가드/NNG
전태풍이다.	전태풍/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000030.231.8.6
작년에 인천으로 전자랜드―KCC전을 보러 가서 전태풍과 함께 사진을 찍었다.

작년에	작년/NNG+에/JKB
인천으로	인천/NNP+으로/JKB
전자랜드―KCC전을	전자랜드/NNP+―/SS+KCC전/NNG+을/JKO
보러	보/VV+러/EC
가서	가/VV+아서/EC
전태풍과	전태풍/NNP+과/JKB
함께	함께/MAG
사진을	사진/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.231.8.7
요즘은 연습할 때 전태풍의 드리블을 흉내 내기도 한다.

요즘은	요즘/NNG+은/JX
연습할	연습/NNG+하/XSV+ㄹ/ETM
때	때/NNG
전태풍의	전태풍/NNP+의/JKG
드리블을	드리블/NNG+을/JKO
흉내	흉내/NNG
내기도	내/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.231.8.8
"태풍 오빠는 농구를 잘해서 정말 좋다.

"태풍	"/SS+태풍/NNP
오빠는	오빠/NNG+는/JX
농구를	농구/NNG+를/JKO
잘해서	잘/MAG+하/XSV+아서/EC
정말	정말/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000030.231.8.9
외모나 목소리까지 전부 다 마음에 든다"고 말할 땐 목소리가 높아졌다.

외모나	외모/NNG+나/JC
목소리까지	목소리/NNG+까지/JX
전부	전부/MAG
다	다/MAG
마음에	마음/NNG+에/JKB
든다"고	들/VV+ㄴ다/EF+"/SS+고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
목소리가	목소리/NNG+가/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.231.9.1
쑤원옌은 고등학교를 졸업하면 국내 거주 5년을 채워 일반 귀화 신청을 할 수 있다.

쑤원옌은	쑤원옌/NNP+은/JX
고등학교를	고등학교/NNG+를/JKO
졸업하면	졸업/NNG+하/XSV+면/EC
국내	국내/NNG
거주	거주/NNG
5년을	5/SN+년/NNB+을/JKO
채워	채우/VV+어/EC
일반	일반/NNG
귀화	귀화/NNG
신청을	신청/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.231.9.2
WKBL(한국여자농구연맹)의 선수등록규정(제14조1항)엔 '구단의 노력으로 외국인 선수가 귀화할 땐 한국 여자 프로농구 발전을 위한 선수 발굴로 인정해 자유계약 절차에 따라 영입할 수 있다'고 명시되어 있다.

WKBL(한국여자농구연맹)의	WKBL/SL+(/SS+한국여자농구연맹/NNP+)/SS+의/JKG
선수등록규정(제14조1항)엔	선수/NNG+등록/NNG+규정/NNG+(/SS+제/XPN+14/SN+조/NNB+1/SN+항/NNG+)/SS+에/JKB+ㄴ/JX
'구단의	'/SS+구단/NNG+의/JKG
노력으로	노력/NNG+으로/JKB
외국인	외국인/NNG
선수가	선수/NNG+가/JKS
귀화할	귀화/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
한국	한국/NNP
여자	여자/NNG
프로농구	프로/NNG+농구/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
선수	선수/NNG
발굴로	발굴/NNG+로/JKB
인정해	인정/NNG+하/XSV+아/EC
자유계약	자유/NNG+계약/NNG
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
영입할	영입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다'고	있/VA+다/EF+'/SS+고/JKQ
명시되어	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.231.9.3
쑤원옌이 귀화하면 신한은행 유니폼을 입는 데 문제가 없다는 뜻이다.

쑤원옌이	쑤원옌/NNP+이/JKS
귀화하면	귀화/NNG+하/XSV+면/EC
신한은행	신한은행/NNP
유니폼을	유니폼/NNG+을/JKO
입는	입/VV+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.231.10.1
신한은행은 지난 시즌까지 5년 연속 통합 우승을 했고, 이번 시즌에도 단독 선두(16승3패)를 달리는 최강팀이다.

신한은행은	신한은행/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌까지	시즌/NNG+까지/JX
5년	5/SN+년/NNB
연속	연속/NNG
통합	통합/NNG
우승을	우승/NNG+을/JKO
했고,	하/VV+았/EP+고/EC+,/SP
이번	이번/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
단독	단독/NNG
선두(16승3패)를	선두/NNG+(/SS+16/SN+승/NNB+3/SN+패/NNB+)/SS+를/JKO
달리는	달리/VV+는/ETM
최강팀이다.	최/XPN+강팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.231.10.2
쑤원옌까지 가세한다면 '장기 집권'으로 가는 길이 더 탄탄해질 수 있다.

쑤원옌까지	쑤원옌/NNP+까지/JX
가세한다면	가세/NNG+하/XSV+ㄴ다면/EC
'장기	'/SS+장기/NNG
집권'으로	집권/NNG+'/SS+으로/JKB
가는	가/VV+는/ETM
길이	길/NNG+이/JKS
더	더/MAG
탄탄해질	탄탄하/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.231.10.3
쑤원옌은 "은주 언니처럼 뛰어난 선수가 되고 싶다"면서 "나중엔 덩크슛도 해보고 싶다"고 말했다.

쑤원옌은	쑤원옌/NNP+은/JX
"은주	"/SS+은주/NNP
언니처럼	언니/NNG+처럼/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
선수가	선수/NNG+가/JKC
되고	되/VV+고/EC
싶다"면서	싶/VX+다/EF+"/SS+면서/EC
"나중엔	"/SS+나중/NNG+에/JKB+ㄴ/JX
덩크슛도	덩크/NNG+슛/NNG+도/JX
해보고	하/VV+아/EC+보/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


