# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.86
metadata : {}


# id : NWRW1800000040.86.1.1
중국판 우주정거장 향해 한걸음 더…

중국판	중국판/NNG
우핑 중국유인항공우주공정지휘부 대변인은 10일 “지금까지 선저우 9호가 톈궁 1호와 한차례의 수동 도킹을 포함해 총 세차례의 도킹을 했지만 기술과 경험 축적을 위해 더 많은 경험이 필요하다”며 “선저우 10호는 톈궁 1호의 밀폐 장치와 낡은 천장을 보수하고 각종 과학 실험을 하는 임무도 수행한다”고 말했다.

우핑	우핑/NNP
중국유인항공우주공정지휘부	중국유인항공우주공정지휘부/NNP
대변인은	대변인/NNG+은/JX
10일	10/SN+일/NNB
“지금까지	“/SS+지금/NNG+까지/JX
선저우	선저우/NNP
9호가	9/SN+호/NNB+가/JKS
톈궁	톈궁/NNP
1호와	1/SN+호/NNB+와/JKB
한차례의	한/MMN+차례/NNG+의/JKG
수동	수동/NNG
도킹을	도킹/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
총	총/MMA
세차례의	세/MMN+차례/NNG+의/JKG
했지만	하/VV+았/EP+지만/EC
기술과	기술/NNG+과/JC
경험	경험/NNG
축적을	축적/NNG+을/JKO
위해	위하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
경험이	경험/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“선저우	“/SS+선저우/NNP
10호는	10/SN+호/NNB+는/JX
1호의	1/SN+호/NNB+의/JKG
밀폐	밀폐/NNG
장치와	장치/NNG+와/JC
낡은	낡/VV+은/ETM
천장을	천장/NNG+을/JKO
보수하고	보수/NNG+하/XSV+고/EC
각종	각종/NNG
과학	과학/NNG
실험을	실험/NNG+을/JKO
하는	하/VV+는/ETM
임무도	임무/NNG+도/JX
수행한다”고	수행/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.7.1
선저우 10호엔 여성인 왕야핑(33)을 비롯해 선장인 녜하이성(47), 부선장 장샤오광(45) 등 3명의 우주인이 탑승했다.

선저우	선저우/NNP
10호엔	10/SN+호/NNB+에/JKB+ㄴ/JX
여성인	여성/NNG+이/VCP+ㄴ/ETM
왕야핑(33)을	왕야핑/NNP+(/SS+33/SN+)/SS+을/JKO
비롯해	비롯하/VV+아/EC
선장인	선장/NNG+이/VCP+ㄴ/ETM
녜하이성(47),	녜하이성/NNP+(/SS+47/SN+)/SS+,/SP
부선장	부선장/NNG
장샤오광(45)	장샤오광/NNP+(/SS+45/SN+)/SS
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
우주인이	우주인/NNG+이/JKS
탑승했다.	탑승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.7.2
왕야핑은 지난해 6월 선저우 9호에 탑승한 중국 최초의 여성 우주인 류양에 이은 두번째 여성 우주인이다.

왕야핑은	왕야핑/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
선저우	선저우/NNP
9호에	9/SN+호/NNB+에/JKB
탑승한	탑승/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
최초의	최초/NNG+의/JKG
여성	여성/NNG
우주인	우주인/NNG
류양에	류양/NNP+에/JKB
이은	잇/VV+은/ETM
두번째	두/MMN+번/NNB+째/XSN
우주인이다.	우주인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.86.7.3
현역 공군 소령으로 1600시간의 비행 경험이 있는 그는 “우주 경험을 모두와 나누고 싶다”고 말했다.

현역	현역/NNG
공군	공군/NNG
소령으로	소령/NNG+으로/JKB
1600시간의	1600/SN+시간/NNB+의/JKG
비행	비행/NNG
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
그는	그/NP+는/JX
“우주	“/SS+우주/NNG
경험을	경험/NNG+을/JKO
모두와	모두/NNG+와/JKB
나누고	나누/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.8.1
녜하이성은 8년 전 중국의 두번째 유인우주선인 선저우 6호에 탑승해 5일 동안 우주에 머문 베테랑으로 이번 비행이 성공하면 가장 오래 우주에 머문 중국인이 된다.

녜하이성은	녜하이성/NNP+은/JX
8년	8/SN+년/NNB
전	전/NNG
중국의	중국/NNP+의/JKG
두번째	두/MMN+번/NNB+째/XSN
유인우주선인	유인/NNG+우주선/NNG+이/VCP+ㄴ/ETM
선저우	선저우/NNP
6호에	6/SN+호/NNB+에/JKB
탑승해	탑승/NNG+하/XSV+아/EC
5일	5/SN+일/NNB
동안	동안/NNG
우주에	우주/NNG+에/JKB
머문	머물/VV+ㄴ/ETM
베테랑으로	베테랑/NNG+으로/JKB
이번	이번/NNG
비행이	비행/NNG+이/JKS
성공하면	성공/NNG+하/XSV+면/EC
가장	가장/MAG
오래	오래/MAG
중국인이	중국인/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.86.8.2
부선장인 장샤오광은 주로 카메라 중계 업무를 맡는다.

부선장인	부선장/NNG+이/VCP+ㄴ/ETM
장샤오광은	장샤오광/NNP+은/JX
주로	주로/MAG
카메라	카메라/NNG
중계	중계/NNG
업무를	업무/NNG+를/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000040.86.8.3
중국은 2003년 러시아와 미국에 이어 세계 세번째로 유인우주선 선저우 5호를 발사했다.

중국은	중국/NNP+은/JX
2003년	2003/SN+년/NNB
러시아와	러시아/NNP+와/JC
미국에	미국/NNP+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
세번째로	세/MMN+번/NNB+째/XSN+로/JKB
유인우주선	유인/NNG+우주선/NNG
선저우	선저우/NNP
5호를	5/SN+호/NNB+를/JKO
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.9.1
시진핑 국가주석은 이날 오후 주취안 위성발사센터를 직접 찾아가 발사 현장을 지켜봤다.

시진핑	시진핑/NNP
국가주석은	국가주석/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
주취안	주취안/NNP
위성발사센터를	위성/NNG+발사/NNG+센터/NNG+를/JKO
직접	직접/MAG
찾아가	찾아가/VV+아/EC
발사	발사/NNG
현장을	현장/NNG+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.9.2
그는 “당과 중국 인민을 대표해 신성한 임무를 성공하고 개선하길 바란다”고 우주인들을 격려했다.

그는	그/NP+는/JX
“당과	“/SS+당/NNG+과/JC
중국	중국/NNP
인민을	인민/NNG+을/JKO
대표해	대표/NNG+하/XSV+아/EC
신성한	신성/NNG+하/XSA+ㄴ/ETM
임무를	임무/NNG+를/JKO
성공하고	성공/NNG+하/XSV+고/EC
개선하길	개선/NNG+하/XSV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
우주인들을	우주인/NNG+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.86.9.3
<중국중앙텔레비전>(CCTV) 등 중국 언론들은 온종일 발사 실황을 생중계하고 주요 기사로 다뤘다.

<중국중앙텔레비전>(CCTV)	</SS+중국중앙텔레비전/NNP+>/SS+(/SS+CCTV/SL+)/SS
등	등/NNB
중국	중국/NNP
언론들은	언론/NNG+들/XSN+은/JX
온종일	온종일/MAG
발사	발사/NNG
실황을	실황/NNG+을/JKO
생중계하고	생/XPN+중계/NNG+하/XSV+고/EC
주요	주요/NNG
기사로	기사/NNG+로/JKB
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.86.10.1
중국은 이번에 선저우 10호와 도킹하는 톈궁 1호를 폐기한 뒤 2015년엔 기능이 향상된 톈궁 2호를 발사할 예정이다.

중국은	중국/NNP+은/JX
이번에	이번/NNG+에/JKB
선저우	선저우/NNP
10호와	10/SN+호/NNB+와/JKB
도킹하는	도킹/NNG+하/XSV+는/ETM
톈궁	톈궁/NNP
1호를	1/SN+호/NNB+를/JKO
폐기한	폐기/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2015년엔	2015/SN+년/NNB+에/JKB+ㄴ/JX
기능이	기능/NNG+이/JKS
향상된	향상/NNG+되/XSV+ㄴ/ETM
2호를	2/SN+호/NNB+를/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.86.10.2
이런 과정들을 거치면서 중국은 2020년까지 독자적 우주정거장을 건설한다는 목표를 향해 나아가고 있다.

이런	이런/MMD
과정들을	과정/NNG+들/XSN+을/JKO
거치면서	거치/VV+면서/EC
중국은	중국/NNP+은/JX
2020년까지	2020/SN+년/NNB+까지/JX
독자적	독자/NNG+적/XSN
우주정거장을	우주/NNG+정거장/NNG+을/JKO
건설한다는	건설/NNG+하/XSV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
향해	향하/VV+아/EC
나아가고	나아가/VV+고/EC
있다.	있/VX+다/EF+./SF


