# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.18
metadata : {}


# id : NWRW1800000052.18.1.1
‘해약하면 환급 거부’ 상조서비스 주의보

‘해약하면	‘/SS+해약/NNG+하/XSV+면/EC
계약을	계약/NNG+을/JKO
해제하겠다”고	해제/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
해당	해당/NNG
업체는	업체/NNG+는/JX
“해약	“/SS+해약/NNG
환급금을	환급금/NNG+을/JKO
받으려면	받/VV+으려면/EC
민사소송을	민사/NNG+소송/NNG+을/JKO
거쳐야	거치/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.18.5.1
공정거래위원회는 “최근 해약 환급금 지급을 거부하는 등 상조상품 관련 소비자 피해 신고가 꾸준히 이어지고 있어 주의가 필요하다”고 17일 밝혔다.

공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
“최근	“/SS+최근/NNG
해약	해약/NNG
환급금	환급금/NNG
지급을	지급/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
등	등/NNB
상조상품	상조/NNG+상품/NNG
관련	관련/NNG
소비자	소비자/NNG
피해	피해/NNG
신고가	신고/NNG+가/JKS
꾸준히	꾸준히/MAG
이어지고	이어지/VV+고/EC
있어	있/VX+어/EC
주의가	주의/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.18.5.2
공정위가 파악한 사례를 보면, 상조업체가 해약환급금 지급을 거부하거나 법정 기준보다 적게 지급하는 경우가 있었다.

공정위가	공정위/NNG+가/JKS
파악한	파악/NNG+하/XSV+ㄴ/ETM
사례를	사례/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
상조업체가	상조업체/NNG+가/JKS
해약환급금	해약/NNG+환급금/NNG
지급을	지급/NNG+을/JKO
거부하거나	거부/NNG+하/XSV+거나/EC
법정	법정/NNG
기준보다	기준/NNG+보다/JKB
적게	적/VA+게/EC
지급하는	지급/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.18.6.1
공정위는 “할부거래법이 소비자의 계약해제권을 보장하기 때문에, 정당한 이유 없이 계약 해제를 거부할 때는 공정위 지방사무소나 지방자치단체에 신고해 대응해야 한다”고 밝혔다.

공정위는	공정위/NNG+는/JX
“할부거래법이	“/SS+할부/NNG+거래법/NNG+이/JKS
소비자의	소비자/NNG+의/JKG
계약해제권을	계약/NNG+해제/NNG+권/XSN+을/JKO
보장하기	보장/NNG+하/XSV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
정당한	정당하/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
계약	계약/NNG
해제를	해제/NNG+를/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
공정위	공정위/NNG
지방사무소나	지방/NNG+사무소/NNG+나/JC
지방자치단체에	지방/NNG+자치/NNG+단체/NNG+에/JKB
신고해	신고/NNG+하/XSV+아/EC
대응해야	대응/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.18.7.1
또 공정위가 정한 ‘해약환급금 고시’에 따라 상조업체는 납입금의 81%(2011년 9월1일 이전 계약)나 85%를 해약 환급금으로 돌려줘야 한다.

또	또/MAG
공정위가	공정위/NNG+가/JKS
정한	정하/VV+ㄴ/ETM
‘해약환급금	‘/SS+해약/NNG+환급금/NNG
고시’에	고시/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
상조업체는	상조업체/NNG+는/JX
납입금의	납입금/NNG+의/JKG
81%(2011년	81/SN+%/SW+(/SS+2011/SN+년/NNB
9월1일	9/SN+월/NNB+1/SN+일/NNB
이전	이전/NNG
계약)나	계약/NNG+)/SS+나/JC
85%를	85/SN+%/SW+를/JKO
해약	해약/NNG
환급금으로	환급금/NNG+으로/JKB
돌려줘야	돌려주/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.18.7.2
공정위는 “상조업체는 고시 기준보다 소비자에게 유리하게 지급할 수는 있지만 불리하게 적용할 수는 없다”고 설명했다.

공정위는	공정위/NNG+는/JX
“상조업체는	“/SS+상조업체/NNG+는/JX
고시	고시/NNG
기준보다	기준/NNG+보다/JKB
소비자에게	소비자/NNG+에게/JKB
유리하게	유리/NNG+하/XSA+게/EC
지급할	지급/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
있지만	있/VA+지만/EC
불리하게	불리/NNG+하/XSA+게/EC
적용할	적용/NNG+하/XSV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.18.8.1
다른 상조업체가 부실 업체를 인수한 뒤 소비자 동의없이 자동 계좌이체로 납입금을 빼가는 경우도 있었다.

다른	다른/MMD
상조업체가	상조업체/NNG+가/JKS
부실	부실/NNG
업체를	업체/NNG+를/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
소비자	소비자/NNG
동의없이	동의/NNG+없이/MAG
자동	자동/NNG
계좌이체로	계좌/NNG+이체/NNG+로/JKB
납입금을	납입금/NNG+을/JKO
빼가는	빼/VV+어/EC+가/VX+는/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.18.8.2
또 이전 상조업체와 계약한 소비자에게 “해약환급금을 돌려줄 의무가 없다”고 안내하거나, 장례 때 계약에 없던 추가요금을 받은 사례도 있었다.

또	또/MAG
이전	이전/NNG
상조업체와	상조업체/NNG+와/JKB
계약한	계약/NNG+하/XSV+ㄴ/ETM
소비자에게	소비자/NNG+에게/JKB
“해약환급금을	“/SS+해약/NNG+환급금/NNG+을/JKO
돌려줄	돌려주/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
안내하거나,	안내/NNG+하/XSV+거나/EC+,/SP
장례	장례/NNG
때	때/NNG
계약에	계약/NNG+에/JKB
없던	없/VA+던/ETM
추가요금을	추가/NNG+요금/NNG+을/JKO
받은	받/VV+은/ETM
사례도	사례/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.18.9.1
공정위는 “개정 할부거래법은 올해 1월25일 이후 맺은 상조계약에 대해 ‘인수업체가 이전 회원에 대한 모든 책임을 진다’는 내용을 담고 있다”며 “법 개정 전에 계약한 소비자들은 할부거래법으로 보호를 받지 못하게 되는데, 인수업체가 ‘모든 책임을 지겠다’고 설명하고 적극적으로 홍보했는데도 해약환급금 지급을 거절했다면 거짓·과장으로 거래를 유도(할부거래법 34조 2호)했다는 이유로도 처벌할 수 있다”고 밝혔다.

공정위는	공정위/NNG+는/JX
“개정	“/SS+개정/NNG
할부거래법은	할부/NNG+거래법/NNG+은/JX
올해	올해/NNG
1월25일	1/SN+월/NNB+25/SN+일/NNB
이후	이후/NNG
맺은	맺/VV+은/ETM
상조계약에	상조/NNG+계약/NNG+에/JKB
대해	대하/VV+아/EC
‘인수업체가	‘/SS+인수/NNG+업체/NNG+가/JKS
이전	이전/NNG
회원에	회원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모든	모든/MMN
책임을	책임/NNG+을/JKO
진다’는	지/VV+ㄴ다/EF+’/SS+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“법	“/SS+법/NNG
개정	개정/NNG
전에	전/NNG+에/JKB
계약한	계약/NNG+하/XSV+ㄴ/ETM
소비자들은	소비자/NNG+들/XSN+은/JX
할부거래법으로	할부/NNG+거래법/NNG+으로/JKB
보호를	보호/NNG+를/JKO
받지	받/VV+지/EC
못하게	못하/VX+게/EC
되는데,	되/VV+는데/EC+,/SP
인수업체가	인수/NNG+업체/NNG+가/JKS
‘모든	‘/SS+모든/MMN
지겠다’고	지/VV+겠/EP+다/EF+’/SS+고/JKQ
설명하고	설명/NNG+하/XSV+고/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
홍보했는데도	홍보/NNG+하/XSV+았/EP+는데/EC+도/JX
해약환급금	해약/NNG+환급금/NNG
지급을	지급/NNG+을/JKO
거절했다면	거절/NNG+하/XSV+았/EP+다면/EC
거짓·과장으로	거짓/NNG+·/SP+과장/NNG+으로/JKB
거래를	거래/NNG+를/JKO
유도(할부거래법	유도/NNG+(/SS+할부/NNG+거래법/NNG
34조	34/SN+조/NNB
2호)했다는	2/SN+호/NNB+)/SS+하/XSV+았/EP+다는/ETM
이유로도	이유/NNG+로/JKB+도/JX
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.18.10.1
이밖에 노인들을 상대로 이른바 ‘떴다방’(홍보관)을 열고 수의를 팔면서 상조상품이라고 속이는 경우도 있었는데, 공정위는 “할부거래법이 적용되는 상조상품인지를 미리 확인해야 한다”고 당부했다.

이밖에	이/NP+밖/NNG+에/JKB
노인들을	노인/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
이른바	이른바/MAG
‘떴다방’(홍보관)을	‘/SS+떴다방/NNG+’/SS+(/SS+홍보관/NNG+)/SS+을/JKO
열고	열/VV+고/EC
수의를	수의/NNG+를/JKO
팔면서	팔/VV+면서/EC
상조상품이라고	상조/NNG+상품/NNG+이/VCP+라고/EC
속이는	속이/VV+는/ETM
경우도	경우/NNG+도/JX
있었는데,	있/VA+었/EP+는데/EC+,/SP
공정위는	공정위/NNG+는/JX
“할부거래법이	“/SS+할부/NNG+거래법/NNG+이/JKS
적용되는	적용/NNG+되/XSV+는/ETM
상조상품인지를	상조/NNG+상품/NNG+이/VCP+ㄴ지/EF+를/JKO
미리	미리/MAG
확인해야	확인/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


