# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.364
metadata : {}


# id : NWRW1800000036.364.1.1
민주 경선 주자들 “불똥 어디로” 좌불안석

민주	민주/NNP
돈봉투	돈/NNG+봉투/NNG
수수	수수/NNG
논란을	논란/NNG+을/JKO
진화하느라	진화/NNG+하/XSV+느라/EC
진땀을	진땀/NNG+을/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.364.6.2
한명숙 후보는 “사실관계가 밝혀지지 않은 상태에서 소문만 가지고 확장시키는 것은 금물”이라며 “사실로 밝혀지면 단호한 조처가 필요하다”고 말했다.

한명숙	한명숙/NNP
후보는	후보/NNG+는/JX
“사실관계가	“/SS+사실/NNG+관계/NNG+가/JKS
밝혀지지	밝혀지/VV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
소문만	소문/NNG+만/JX
가지고	가지/VV+고/EC
확장시키는	확장/NNG+시키/XSV+는/ETM
것은	것/NNB+은/JX
금물”이라며	금물/NNG+”/SS+이/VCP+라며/EC
“사실로	“/SS+사실/NNG+로/JKB
밝혀지면	밝혀지/VV+면/EC
단호한	단호하/VA+ㄴ/ETM
조처가	조처/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.6.3
박지원 후보는 “민주통합당에 대한 음해”라며 “우리 당엔 이런 일이 없을 것으로 확신한다”고 말했다.

박지원	박지원/NNP
후보는	후보/NNG+는/JX
“민주통합당에	“/SS+민주통합당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
음해”라며	음해/NNG+”/SS+라며/EC
“우리	“/SS+우리/NP
당엔	당/NNG+에/JKB+ㄴ/JX
이런	이런/MMD
일이	일/NNG+이/JKS
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.6.4
박영선 후보도 “당에서 진상조사위원회를 꾸렸다고 하니 신속하게 결론을 내리는 게 좋겠다”며 “다만 모략정치, 물타기정치로 이용당하는 게 아닌가 하는 걱정도 있다”고 말했다.

박영선	박영선/NNP
후보도	후보/NNG+도/JX
“당에서	“/SS+당/NNG+에서/JKB
진상조사위원회를	진상/NNG+조사/NNG+위원회/NNG+를/JKO
꾸렸다고	꾸리/VV+었/EP+다고/EC
하니	하/VV+니/EC
신속하게	신속/NNG+하/XSA+게/EC
결론을	결론/NNG+을/JKO
내리는	내리/VV+는/ETM
게	거/NNB+이/JKC
좋겠다”며	좋/VA+겠/EP+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
모략정치,	모략/NNG+정치/NNG+,/SP
물타기정치로	물타기/NNG+정치/NNG+로/JKB
이용당하는	이용/NNG+당하/XSV+는/ETM
아닌가	아니/VCN+ㄴ가/EF
하는	하/VV+는/ETM
걱정도	걱정/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.7.1
이강래 후보는 “당에서 해결하지 못하면 검찰에라도 조사를 맡겨서 국민들의 지탄과 불신을 피해야 한다”며 “단호하게 이번 상황을 끊어야 한다”고 강조했다.

이강래	이강래/NNP
후보는	후보/NNG+는/JX
“당에서	“/SS+당/NNG+에서/JKB
해결하지	해결/NNG+하/XSV+지/EC
못하면	못하/VX+면/EC
검찰에라도	검찰/NNG+에/JKB+이/VCP+라도/EC
조사를	조사/NNG+를/JKO
맡겨서	맡기/VV+어서/EC
국민들의	국민/NNG+들/XSN+의/JKG
지탄과	지탄/NNG+과/JC
불신을	불신/NNG+을/JKO
피해야	피하/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“단호하게	“/SS+단호하/VA+게/EC
이번	이번/NNG
상황을	상황/NNG+을/JKO
끊어야	끊/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.7.2
이인영 후보는 “정당 혁명의 필요성을 입증한 사건”이라며 “유권자들은 스마트폰 들고 스스로 참여해서 세상을 바꾸는데, 이 얼마나 한심한 일이냐”라고 한탄했다.

이인영	이인영/NNP
후보는	후보/NNG+는/JX
“정당	“/SS+정당/NNG
혁명의	혁명/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
입증한	입증/NNG+하/XSV+ㄴ/ETM
사건”이라며	사건/NNG+”/SS+이/VCP+라며/EC
“유권자들은	“/SS+유권자/NNG+들/XSN+은/JX
스마트폰	스마트폰/NNG
들고	들/VV+고/EC
스스로	스스로/MAG
참여해서	참여/NNG+하/XSV+아서/EC
세상을	세상/NNG+을/JKO
바꾸는데,	바꾸/VV+는데/EC+,/SP
이	이/MMD
얼마나	얼마나/MAG
한심한	한심하/VA+ㄴ/ETM
일이냐”라고	일/NNG+이/VCP+냐/EF+”/SS+라고/JKQ
한탄했다.	한탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.8.1
이번 파문이 더욱 곤혹스러운 것은 옛 민주당 출신 후보들이다.

이번	이번/NNG
파문이	파문/NNG+이/JKS
더욱	더욱/MAG
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
것은	것/NNB+은/JX
옛	옛/MMA
민주당	민주당/NNP
출신	출신/NNG
후보들이다.	후보/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.364.8.2
돈 선거의 구체적 정황이 확인되지 않고 있지만 시민사회(시민통합당) 출신 후보들에 견줘 당 안팎에서 더 많은 의혹의 눈초리를 받고 있는 게 사실이기 때문이다.

돈	돈/NNG
선거의	선거/NNG+의/JKG
구체적	구체/NNG+적/XSN
정황이	정황/NNG+이/JKS
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있지만	있/VX+지만/EC
시민사회(시민통합당)	시민사회/NNP+(/SS+시민통합당/NNP+)/SS
출신	출신/NNG
후보들에	후보/NNG+들/XSN+에/JKB
견줘	견주/VV+어/EC
당	당/NNG
안팎에서	안팎/NNG+에서/JKB
더	더/MAG
많은	많/VA+은/ETM
의혹의	의혹/NNG+의/JKG
눈초리를	눈초리/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
사실이기	사실/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.364.8.3
실제로 시민사회 출신 후보들이 더욱 목소리를 높이고 있다.

실제로	실제로/MAG
시민사회	시민/NNG+사회/NNG
출신	출신/NNG
후보들이	후보/NNG+들/XSN+이/JKS
더욱	더욱/MAG
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.364.8.4
시민사회 출신인 문성근, 박용진, 이학영 후보는 이날 공동으로 성명을 내어 “진위 여부를 떠나 민주당의 신임 지도부 경선에 나선 후보로서 당혹스러움을 금치 못한다”며 “현 지도부가 진상을 밝히지 못한다 해도 새 지도부는 끝까지 진실을 밝혀야 할 것”이라고 강조했다.

시민사회	시민사회/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
문성근,	문성근/NNP+,/SP
박용진,	박용진/NNP+,/SP
이학영	이학영/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
공동으로	공동/NNG+으로/JKB
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“진위	“/SS+진위/NNG
여부를	여부/NNG+를/JKO
떠나	떠나/VV+아/EC
민주당의	민주당/NNP+의/JKG
신임	신임/NNG
지도부	지도부/NNG
경선에	경선/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
후보로서	후보/NNG+로서/JKB
당혹스러움을	당혹/NNG+스럽/XSA+ㅁ/ETN+을/JKO
금치	금하/VV+지/EC
못한다”며	못하/VX+ㄴ다/EF+”/SS+며/EC
“현	“/SS+현/MMD
지도부가	지도부/NNG+가/JKS
진상을	진상/NNG+을/JKO
밝히지	밝히/VV+지/EC
못한다	못하/VX+ㄴ다/EF
해도	하/VV+아도/EC
새	새/MMA
지도부는	지도부/NNG+는/JX
끝까지	끝/NNG+까지/JX
진실을	진실/NNG+을/JKO
밝혀야	밝히/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.8.5
이들은 “우리 세 사람이 지도부에 들어간다면 철저히 진실을 밝힐 것을 약속드린다”며 “시민 여러분이 적극적으로 투표에 나설 것을 요청한다”고 밝혔다.

이들은	이/NP+들/XSN+은/JX
“우리	“/SS+우리/NP
세	세/MMN
사람이	사람/NNG+이/JKS
지도부에	지도부/NNG+에/JKB
들어간다면	들어가/VV+ㄴ다면/EC
철저히	철저히/MAG
진실을	진실/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
것을	것/NNB+을/JKO
약속드린다”며	약속/NNG+드리/VV+ㄴ다/EF+”/SS+며/EC
“시민	“/SS+시민/NNG
여러분이	여러분/NP+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
투표에	투표/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
요청한다”고	요청/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.364.8.6
임시지도부 안에서도 이용선 공동대표 등 시민통합당 출신 인사들이 신속한 진상조사위 구성을 주도했고, 앞장서서 ‘후보 자격 박탈’ 등을 거론한 것으로 알려졌다.

임시지도부	임시/NNG+지도부/NNG
안에서도	안/NNG+에서/JKB+도/JX
이용선	이용선/NNP
공동대표	공동/NNG+대표/NNG
등	등/NNB
시민통합당	시민통합당/NNP
출신	출신/NNG
인사들이	인사/NNG+들/XSN+이/JKS
신속한	신속/NNG+하/XSA+ㄴ/ETM
진상조사위	진상/NNG+조사위/NNG
구성을	구성/NNG+을/JKO
주도했고,	주도/NNG+하/XSV+았/EP+고/EC+,/SP
앞장서서	앞장서/VV+어서/EC
‘후보	‘/SS+후보/NNG
자격	자격/NNG
박탈’	박탈/NNG+’/SS
등을	등/NNB+을/JKO
거론한	거론/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.364.9.1
하지만 불과 2주 전 치른 예비경선이 ‘금권선거’였다는 정황이 불거진 탓에, 예비경선을 통과한 9명의 후보 모두가 곤혹스러워하고 있다.

하지만	하지만/MAJ
불과	불과/MAG
2주	2/SN+주/NNB
전	전/NNG
치른	치르/VV+ㄴ/ETM
예비경선이	예비/NNG+경선/NNG+이/JKS
‘금권선거’였다는	‘/SS+금권/NNG+선거/NNG+’/SS+이/VCP+었/EP+다는/ETM
정황이	정황/NNG+이/JKS
불거진	불거지/VV+ㄴ/ETM
탓에,	탓/NNG+에/JKB+,/SP
예비경선을	예비/NNG+경선/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
9명의	9/SN+명/NNB+의/JKG
후보	후보/NNG
모두가	모두/NNG+가/JKS
곤혹스러워하고	곤혹/NNG+스럽/XSA+어/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.364.9.2
박용진 후보는 “지하철, 버스 등 대중교통을 이용하는 저도 ‘혹시?’라는 의심을 받는 등 우리 9명 후보 모두가 의심을 받고 있다”고 털어놨다.

박용진	박용진/NNP
후보는	후보/NNG+는/JX
“지하철,	“/SS+지하철/NNG+,/SP
버스	버스/NNG
등	등/NNB
대중교통을	대중교통/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
저도	저/NP+도/JX
‘혹시?’라는	‘/SS+혹시/MAG+?/SF+’/SS+이/VCP+라는/ETM
의심을	의심/NNG+을/JKO
받는	받/VV+는/ETM
우리	우리/NP
9명	9/SN+명/NNB
후보	후보/NNG
모두가	모두/NNG+가/JKS
받고	받/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.364.9.3
김부겸 후보는 “국민의 분노를 어떻게 할 것인가”라며 “만약 사실이라면 법적 책임 등 모든 책임을 우리 모두 함께 져야 한다”고 말했다.

김부겸	김부겸/NNP
후보는	후보/NNG+는/JX
“국민의	“/SS+국민/NNG+의/JKG
분노를	분노/NNG+를/JKO
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인가”라며	것/NNB+이/VCP+ㄴ가/EF+”/SS+이/VCP+라며/EC
“만약	“/SS+만약/MAG
사실이라면	사실/NNG+이/VCP+라면/EC
법적	법/NNG+적/XSN
책임	책임/NNG
등	등/NNB
모든	모든/MMN
책임을	책임/NNG+을/JKO
우리	우리/NP
모두	모두/MAG
함께	함께/MAG
져야	지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


