# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.87
metadata : {}


# id : NWRW1800000024.87.1.1
“내년 광주비엔날레, 대중과 소통하는 전시로”

“내년	“/SS+내년/NNG
아이디어를	아이디어/NNG+를/JKO
실현할	실현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
곳으로	곳/NNG+으로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
내년	내년/NNG
비엔날레를	비엔날레/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
나름의	나름/NNB+의/JKG
방향을	방향/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.87.6.1
“예술은 그 자체만이 아니고 세계 문화와 라이프 스타일, 가치 등을 창조하는 일이고 단순히 현재 상황을 반영하는 데 그치지 않는 것이다.

“예술은	“/SS+예술/NNG+은/JX
그	그/MMD
자체만이	자체/NNG+만/JX+이/JKC
아니고	아니/VCN+고/EC
세계	세계/NNG
문화와	문화/NNG+와/JC
라이프	라이프/NNG
스타일,	스타일/NNG+,/SP
가치	가치/NNG
등을	등/NNB+을/JKO
창조하는	창조/NNG+하/XSV+는/ETM
일이고	일/NNG+이/VCP+고/EC
단순히	단순히/MAG
현재	현재/NNG
상황을	상황/NNG+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
데	데/NNB
그치지	그치/VV+지/EC
않는	않/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.87.6.2
제8회 광주비엔날레는 이런 맥락에서 작가들과 함께 꾸며갈 것이다.”

제8회	제/XPN+8/SN+회/NNB
광주비엔날레는	광주/NNP+비엔날레/NNG+는/JX
이런	이런/MMD
맥락에서	맥락/NNG+에서/JKB
작가들과	작가/NNG+들/XSN+과/JKB
함께	함께/MAG
꾸며갈	꾸미/VV+어/EC+가/VX+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000024.87.7.1
특히 그는 ‘시(예술)는 역사의 음악이다’라는 고은 시인의 말을 소개하며 “한국과 광주의 문화를 깊이 알지는 못하지만 5·18도 민중항쟁의 역사를 그대로 담아내기보다는 은유를 통해 표출할 것”이라고 강조했다.

특히	특히/MAG
그는	그/NP+는/JX
‘시(예술)는	‘/SS+시/NNG+(/SS+예술/NNG+)/SS+는/JX
역사의	역사/NNG+의/JKG
음악이다’라는	음악/NNG+이/VCP+다/EF+’/SS+이/VCP+라는/ETM
고은	고은/NNP
시인의	시인/NNG+의/JKG
말을	말/NNG+을/JKO
소개하며	소개/NNG+하/XSV+며/EC
“한국과	“/SS+한국/NNP+과/JC
광주의	광주/NNP+의/JKG
문화를	문화/NNG+를/JKO
깊이	깊이/MAG
알지는	알/VV+지/EC+는/JX
못하지만	못하/VX+지만/EC
5·18도	5/SN+·/SP+18/SN+도/JX
민중항쟁의	민중/NNG+항쟁/NNG+의/JKG
역사를	역사/NNG+를/JKO
그대로	그대로/MAG
담아내기보다는	담아내/VV+기/ETN+보다/JKB+는/JX
은유를	은유/NNG+를/JKO
통해	통하/VV+아/EC
표출할	표출/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.87.8.1
그는 지난해 오쿠이 엔위저 총감독이 전시 주제를 설정하지 않은 것을 두고 “감독이 먼저 주제를 제시하면 관객들은 그것만 보려고 하기 때문에 개인적으로 오쿠이 감독의 방향을 존중한다”며 “하지만 내년 비엔날레에서는 오쿠이 감독과는 다른 것을 추구하겠다”고 차별성을 내보였다.

그는	그/NP+는/JX
지난해	지난해/NNG
오쿠이	오쿠이/NNP
엔위저	엔위저/NNP
총감독이	총감독/NNG+이/JKS
전시	전시/NNG
주제를	주제/NNG+를/JKO
설정하지	설정/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“감독이	“/SS+감독/NNG+이/JKS
먼저	먼저/MAG
제시하면	제시/NNG+하/XSV+면/EC
관객들은	관객/NNG+들/XSN+은/JX
그것만	그것/NP+만/JX
보려고	보/VV+려고/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
개인적으로	개인/NNG+적/XSN+으로/JKB
감독의	감독/NNG+의/JKG
방향을	방향/NNG+을/JKO
존중한다”며	존중/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
내년	내년/NNG
비엔날레에서는	비엔날레/NNG+에서/JKB+는/JX
감독과는	감독/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
추구하겠다”고	추구/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
차별성을	차별/NNG+성/XSN+을/JKO
내보였다.	내보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.87.9.1
저명 미술잡지인 <플래시 아트>의 뉴욕 편집장을 지낸 그는 현대미술 시리즈 출판물인 <찰리>를 기획하고 발행해 미술을 시각예술이 아닌 문화행동의 시각에서 바라보는 담론으로 반향을 불렀다.

저명	저명/NNG
미술잡지인	미술/NNG+잡지/NNG+이/VCP+ㄴ/ETM
<플래시	</SS+플래시/NNP
아트>의	아트/NNP+>/SS+의/JKG
뉴욕	뉴욕/NNP
편집장을	편집장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
그는	그/NP+는/JX
현대미술	현대/NNG+미술/NNG
시리즈	시리즈/NNG
출판물인	출판물/NNG+이/VCP+ㄴ/ETM
<찰리>를	</SS+찰리/NNP+>/SS+를/JKO
기획하고	기획/NNG+하/XSV+고/EC
발행해	발행/NNG+하/XSV+아/EC
미술을	미술/NNG+을/JKO
시각예술이	시각/NNG+예술/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
문화행동의	문화/NNG+행동/NNG+의/JKG
시각에서	시각/NNG+에서/JKB
바라보는	바라보/VV+는/ETM
담론으로	담론/NNG+으로/JKB
반향을	반향/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.87.9.2
또 마우리치오 카텔란, 알리 수보트닉과 더불어 뉴욕에 ‘롱(Wrong) 갤러리’를 창설해 획기적인 전시 기획과 비판적 담론 생산에 전념해왔다.

또	또/MAG
마우리치오	마우리치오/NNP
카텔란,	카텔란/NNP+,/SP
알리	알리/NNP
수보트닉과	수보트닉/NNP+과/JKB
더불어	더불/VV+어/EC
뉴욕에	뉴욕/NNP+에/JKB
‘롱(Wrong)	‘/SS+롱/NNP+(/SS+Wrong/SL+)/SS
갤러리’를	갤러리/NNP+’/SS+를/JKO
창설해	창설/NNG+하/XSV+아/EC
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
전시	전시/NNG
기획과	기획/NNG+과/JC
비판적	비판/NNG+적/XSN
담론	담론/NNG
생산에	생산/NNG+에/JKB
전념해왔다.	전념/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


