# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.106
metadata : {}


# id : NWRW1800000056.106.1.1
돌고래들도 만나면 통성명한다

돌고래들도	돌고래/NNG+들/XSN+도/JX
수컷	수컷/NNG
침팬지	침팬지/NNG
두	두/MMN
마리가	마리/NNB+가/JKS
각자	각자/MAG
능선을	능선/NNG+을/JKO
기어오르는	기어오르/VV+는/ETM
것을	것/NNB+을/JKO
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.106.6.2
꼭대기에서 마주친 그들은 서로 알아보고 악수하고 함께 앉아서 해가 지는 것을 바라보았다.

꼭대기에서	꼭대기/NNG+에서/JKB
마주친	마주치/VV+ㄴ/ETM
그들은	그/NP+들/XSN+은/JX
서로	서로/MAG
알아보고	알아보/VV+고/EC
악수하고	악수/NNG+하/XSV+고/EC
함께	함께/MAG
앉아서	앉/VV+아서/EC
해가	해/NNG+가/JKS
지는	지/VV+는/ETM
것을	것/NNB+을/JKO
바라보았다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.106.6.3
또 다른 연구자는 한 야생 침팬지가 몹시 아름다운 황혼을 15분 동안 바라보았다고 기록했다.

또	또/MAG
다른	다른/MMD
연구자는	연구자/NNG+는/JX
한	한/MMN
야생	야생/NNG
침팬지가	침팬지/NNG+가/JKS
몹시	몹시/MAG
아름다운	아름답/VA+ㄴ/ETM
황혼을	황혼/NNG+을/JKO
15분	15/SN+분/NNB
동안	동안/NNG
바라보았다고	바라보/VV+았/EP+다고/EC
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.106.7.1
돌고래들은 생후 한 달에서 2년까지 개인적인 ‘서명 휘파람’을 개발한다고 한다.

돌고래들은	돌고래/NNG+들/XSN+은/JX
생후	생후/NNG
한	한/MMN
달에서	달/NNB+에서/JKB
2년까지	2/SN+년/NNB+까지/JX
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
‘서명	‘/SS+서명/NNG
휘파람’을	휘파람/NNG+’/SS+을/JKO
개발한다고	개발/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.7.2
그 소리는 자신들의 존재를 나타내는 이름이며 평생 바꾸지 않는다.

그	그/MMD
소리는	소리/NNG+는/JX
자신들의	자신/NNG+들/XSN+의/JKG
존재를	존재/NNG+를/JKO
나타내는	나타내/VV+는/ETM
이름이며	이름/NNG+이/VCP+며/EC
평생	평생/NNG
바꾸지	바꾸/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000056.106.7.3
돌고래 무리는 바다에서 만나면 서로 ‘서명 휘파람 소리’로 통성명을 한다.

돌고래	돌고래/NNG
무리는	무리/NNG+는/JX
바다에서	바다/NNG+에서/JKB
만나면	만나/VV+면/EC
서로	서로/MAG
‘서명	‘/SS+서명/NNG
휘파람	휘파람/NNG
소리’로	소리/NNG+’/SS+로/JKB
통성명을	통성명/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.8.1
<소리와 몸짓>의 저자 칼 사피나(뉴욕주립대 자연·인문학 석좌교수)는 동물들에도 고유한 ‘마음’과 ‘감정’이 작동하고 있다고 주장한다.

<소리와	</SS+소리/NNG+와/JC
몸짓>의	몸짓/NNG+>/SS+의/JKG
저자	저자/NNG
칼	칼/NNP
사피나(뉴욕주립대	사피나/NNP+(/SS+뉴욕주립대/NNP
자연·인문학	자연/NNG+·/SP+인문학/NNG
석좌교수)는	석좌/NNG+교수/NNG+)/SS+는/JX
동물들에도	동물/NNG+들/XSN+에/JKB+도/JX
고유한	고유/NNG+하/XSA+ㄴ/ETM
‘마음’과	‘/SS+마음/NNG+’/SS+과/JC
‘감정’이	‘/SS+감정/NNG+’/SS+이/JKS
작동하고	작동/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.8.2
그는 오랫동안 케냐의 코끼리, 미국의 늑대, 북서태평양의 범고래 등을 관찰한 경험과 다른 연구자들이 엘크, 코요테, 갈까마귀, 침팬지, 보노보, 송골매, 향유고래 등에 관해 쓴 자료를 종합해 동물이 어떻게 생각과 감정을 표현하는지를 들려준다.

그는	그/NP+는/JX
오랫동안	오랫동안/NNG
케냐의	케냐/NNP+의/JKG
코끼리,	코끼리/NNG+,/SP
미국의	미국/NNP+의/JKG
늑대,	늑대/NNG+,/SP
북서태평양의	북서/NNG+태평양/NNP+의/JKG
범고래	범고래/NNG
등을	등/NNB+을/JKO
관찰한	관찰/NNG+하/XSV+ㄴ/ETM
경험과	경험/NNG+과/JC
다른	다른/MMD
연구자들이	연구자/NNG+들/XSN+이/JKS
엘크,	엘크/NNG+,/SP
코요테,	코요테/NNG+,/SP
갈까마귀,	갈까마귀/NNG+,/SP
침팬지,	침팬지/NNG+,/SP
보노보,	보노보/NNG+,/SP
송골매,	송골매/NNG+,/SP
향유고래	향유고래/NNG
등에	등/NNB+에/JKB
관해	관하/VV+아/EC
쓴	쓰/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
동물이	동물/NNG+이/JKS
어떻게	어떻/VA+게/EC
생각과	생각/NNG+과/JC
감정을	감정/NNG+을/JKO
표현하는지를	표현/NNG+하/XSV+는지/EF+를/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.8.3
그는 인간과 동물의 관계는 “고등학생 때는 알고 지냈지만 이후 멀어진 친구들과 비슷하다”고 말한다.

그는	그/NP+는/JX
인간과	인간/NNG+과/JC
동물의	동물/NNG+의/JKG
관계는	관계/NNG+는/JX
“고등학생	“/SS+고등학생/NNG
때는	때/NNG+는/JX
알고	알/VV+고/EC
지냈지만	지내/VV+었/EP+지만/EC
이후	이후/NNG
멀어진	멀/VA+어/EC+지/VX+ㄴ/ETM
친구들과	친구/NNG+들/XSN+과/JKB
비슷하다”고	비슷하/VA+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.8.4
그러면서 인간이 자신을 기준점으로 동물들을 오해하고 외면함으로써 파멸을 자초하고 있다고 경고한다.

그러면서	그러/VV+면서/EC
인간이	인간/NNG+이/JKS
자신을	자신/NNG+을/JKO
기준점으로	기준점/NNG+으로/JKB
동물들을	동물/NNG+들/XSN+을/JKO
오해하고	오해/NNG+하/XSV+고/EC
외면함으로써	외면/NNG+하/XSV+ㅁ/ETN+으로써/JKB
파멸을	파멸/NNG+을/JKO
자초하고	자초/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
경고한다.	경고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.106.8.5
“다른 동물을 이해하는 일은 전문가들만의 사치스러운 업무가 아니다.

“다른	“/SS+다른/MMD
동물을	동물/NNG+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
전문가들만의	전문가/NNG+들/XSN+만/JX+의/JKG
사치스러운	사치/NNG+스럽/XSA+ㄴ/ETM
업무가	업무/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.106.8.6
이 작업이 실패하면 그들의 종말과 세계의 파산이 앞당겨진다.”

이	이/MMD
작업이	작업/NNG+이/JKS
실패하면	실패/NNG+하/XSV+면/EC
그들의	그/NP+들/XSN+의/JKG
종말과	종말/NNG+과/JC
세계의	세계/NNG+의/JKG
파산이	파산/NNG+이/JKS
앞당겨진다.”	앞당기/VV+어/EC+지/VX+ㄴ다/EF+./SF+”/SS


