# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.172
metadata : {}


# id : NWRW1800000032.172.1.1
선우, 윤석화·김혜수 ‘연기 바통’ 이어받았다

선우,	선우/NNP+,/SP
나이에도	나이/NNG+에/JKB+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
역이	역/NNG+이/JKS
있어서	있/VA+어서/EC
감사하다”며	감사/NNG+하/XSA+다/EF+”/SS+며/EC
“똑같은	“/SS+똑같/VA+은/ETM
책도	책/NNG+도/JX
어릴	어리/VA+ㄹ/ETM
때와	때/NNG+와/JC
나이가	나이/NNG+가/JKS
들어서	들/VV+어서/EC
읽을	읽/VV+을/ETM
때의	때/NNG+의/JKG
느낌이	느낌/NNG+이/JKS
차이가	차이/NNG+가/JKS
나는	나/VV+는/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
특별히	특별히/MAG
달라진	달라지/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니지만	아니/VCN+지만/EC
대사들이	대사/NNG+들/XSN+이/JKS
새롭게	새롭/VA+게/EC
느껴진다”고	느끼/VV+어/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.172.8.1
미국의 희곡 작가 존 필마이어가 쓴 <신의 아그네스>에는 수녀원에서 아이를 낳고 죽게 한 21살의 젊은 수녀 ‘아그네스’와 그의 정신 감정을 위해 수녀원을 찾았다가 사건의 복잡함에 혼란스러워하는 리빙스턴, 모든 것을 기적이란 말로 덮으려 하는 원장 수녀 ‘미리엄’이 등장한다.

미국의	미국/NNP+의/JKG
희곡	희곡/NNG
작가	작가/NNG
존	존/NNP
필마이어가	필마이어/NNP+가/JKS
쓴	쓰/VV+ㄴ/ETM
<신의	</SS+신/NNG+의/JKG
아그네스>에는	아그네스/NNP+>/SS+에/JKB+는/JX
수녀원에서	수녀원/NNG+에서/JKB
아이를	아이/NNG+를/JKO
낳고	낳/VV+고/EC
죽게	죽/VV+게/EC
한	하/VX+ㄴ/ETM
21살의	21/SN+살/NNB+의/JKG
젊은	젊/VA+은/ETM
수녀	수녀/NNG
‘아그네스’와	‘/SS+아그네스/NNP+’/SS+와/JC
그의	그/NP+의/JKG
정신	정신/NNG
감정을	감정/NNG+을/JKO
위해	위하/VV+아/EC
수녀원을	수녀원/NNG+을/JKO
찾았다가	찾/VV+았/EP+다가/EC
사건의	사건/NNG+의/JKG
복잡함에	복잡하/VA+ㅁ/ETN+에/JKB
혼란스러워하는	혼란/NNG+스럽/XSA+어/EC+하/VX+는/ETM
리빙스턴,	리빙스턴/NNP+,/SP
모든	모든/MMN
것을	것/NNB+을/JKO
기적이란	기적/NNG+이/VCP+란/ETM
말로	말/NNG+로/JKB
덮으려	덮/VV+으려/EC
하는	하/VX+는/ETM
원장	원장/NNG
‘미리엄’이	‘/SS+미리엄/NNP+’/SS+이/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.172.8.2
세 사람의 격한 대립과, 극의 후반부 ‘진실’에 접근하면서 서로에 대한 이해에 도달하게 되는 모습을 그린다.

세	세/MMN
사람의	사람/NNG+의/JKG
격한	격하/VA+ㄴ/ETM
대립과,	대립/NNG+과/JC+,/SP
극의	극/NNG+의/JKG
후반부	후반부/NNG
‘진실’에	‘/SS+진실/NNG+’/SS+에/JKB
접근하면서	접근/NNG+하/XSV+면서/EC
서로에	서로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해에	이해/NNG+에/JKB
도달하게	도달/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
모습을	모습/NNG+을/JKO
그린다.	그리/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.172.9.1
윤소정은 2시간 공연 내내 줄담배를 피우면서 예민하면서도 사람을 이해하려 하는 박사의 모습을 표현한다.

윤소정은	윤소정/NNP+은/JX
2시간	2/SN+시간/NNB
공연	공연/NNG
내내	내내/MAG
줄담배를	줄담배/NNG+를/JKO
피우면서	피우/VV+면서/EC
예민하면서도	예민하/VA+면서/EC+도/JX
사람을	사람/NNG+을/JKO
이해하려	이해/NNG+하/XSV+려/EC
하는	하/VX+는/ETM
박사의	박사/NNG+의/JKG
모습을	모습/NNG+을/JKO
표현한다.	표현/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.172.9.2
사건의 중심인물이자, 그동안 윤석화, 김혜수, 신애라 등이 연기했던 ‘아그네스’ 역에는 한국방송 <남자의 자격>으로 이름을 알린 선우(사진 가운데)가 출연한다.

사건의	사건/NNG+의/JKG
중심인물이자,	중심인물/NNG+이/VCP+자/EC+,/SP
그동안	그동안/NNG
윤석화,	윤석화/NNP+,/SP
김혜수,	김혜수/NNP+,/SP
신애라	신애라/NNP
등이	등/NNB+이/JKS
연기했던	연기/NNG+하/XSV+았/EP+던/ETM
‘아그네스’	‘/SS+아그네스/NNP+’/SS
역에는	역/NNG+에/JKB+는/JX
한국방송	한국방송/NNP
<남자의	</SS+남자/NNG+의/JKG
자격>으로	자격/NNG+>/SS+으로/JKB
이름을	이름/NNG+을/JKO
알린	알리/VV+ㄴ/ETM
선우(사진	선우/NNP+(/SS+사진/NNG
가운데)가	가운데/NNG+)/SS+가/JKS
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.172.9.3
최근 뮤지컬 무대에서 활동하고 있는 그의 첫 연극 데뷔 무대다.

최근	최근/MAG
뮤지컬	뮤지컬/NNG
무대에서	무대/NNG+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
그의	그/NP+의/JKG
첫	첫/MMN
연극	연극/NNG
데뷔	데뷔/NNG
무대다.	무대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.172.10.1
이번 무대는 음악극을 연상시킬 정도로 아그네스가 부르는 노래의 비중이 크다.

이번	이번/NNG
무대는	무대/NNG+는/JX
음악극을	음악극/NNG+을/JKO
연상시킬	연상/NNG+시키/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
아그네스가	아그네스/NNP+가/JKS
부르는	부르/VV+는/ETM
노래의	노래/NNG+의/JKG
비중이	비중/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.172.10.2
이미 검증된 선우의 노래 실력을 색다르게 실감할 수 있다.

이미	이미/MAG
검증된	검증/NNG+되/XSV+ㄴ/ETM
선우의	선우/NNP+의/JKG
노래	노래/NNG
실력을	실력/NNG+을/JKO
색다르게	색다르/VA+게/EC
실감할	실감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.172.10.3
미리엄 수녀 역은 국립극단 출신의 배우 이승옥이 맡았다.

미리엄	미리엄/NNP
수녀	수녀/NNG
역은	역/NNG+은/JX
국립극단	국립극단/NNP
출신의	출신/NNG+의/JKG
배우	배우/NNG
이승옥이	이승옥/NNP+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.172.11.1
연출가 이대영은 “기존 무대가 사실주의적인 시각으로 해석된 <신의 아그네스>였다면, 이번에는 그런 시각에서 조금 벗어나 대화의 방법과 형식이 달라졌고, 무대와 의상도 사실주의적인 표현과는 거리가 있다”고 차이점을 설명했다.

연출가	연출가/NNG
이대영은	이대영/NNP+은/JX
“기존	“/SS+기존/NNG
무대가	무대/NNG+가/JKS
사실주의적인	사실주의/NNG+적/XSN+이/VCP+ㄴ/ETM
시각으로	시각/NNG+으로/JKB
해석된	해석/NNG+되/XSV+ㄴ/ETM
<신의	</SS+신/NNG+의/JKG
아그네스>였다면,	아그네스/NNP+>/SS+이/VCP+었/EP+다면/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
그런	그런/MMD
시각에서	시각/NNG+에서/JKB
조금	조금/MAG
벗어나	벗어나/VV+아/EC
대화의	대화/NNG+의/JKG
방법과	방법/NNG+과/JC
형식이	형식/NNG+이/JKS
달라졌고,	달라지/VV+었/EP+고/EC+,/SP
무대와	무대/NNG+와/JC
의상도	의상/NNG+도/JX
표현과는	표현/NNG+과/JKB+는/JX
거리가	거리/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
차이점을	차이점/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.172.11.2
30일까지.

30일까지.	30/SN+일/NNB+까지/JX+./SF


