# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.401
metadata : {}


# id : NWRW1800000054.401.1.1
文대통령 오늘 휴가서 복귀, 트럼프는 휴가 시작

文대통령	文/SH+대통령/NNG
# id : NWRW1800000054.401.4.3
휴가 기간 내내 논란이 됐던 트럼프 대통령과의 통화 여부도 관심이다.

휴가	휴가/NNG
기간	기간/NNG
내내	내내/MAG
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
트럼프	트럼프/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
통화	통화/NNG
여부도	여부/NNG+도/JX
관심이다.	관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.401.4.4
이와 관련, 청와대 관계자는 4일 두 대통령 간의 전화 통화 여부에 대해 "휴가에서 돌아오면 하게 될 것이라고 하지 않았는가. 곧 할 수 있을 것으로 생각된다"고 말했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
4일	4/SN+일/NNB
두	두/MMN
대통령	대통령/NNG
간의	간/NNB+의/JKG
전화	전화/NNG
통화	통화/NNG
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
"휴가에서	"/SS+휴가/NNG+에서/JKB
돌아오면	돌아오/VV+면/EC
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
하지	하/VV+지/EC
않았는가.	않/VX+았/EP+는가/EF+./SF
곧	곧/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
생각된다"고	생각/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.401.5.1
한편 청와대 고민정 부대변인은 이날 "문 대통령은 휴가차 머물고 있는 진해 해군기지 사령부 인근에 있는 잠수함사령부와 (1800t급 잠수함인) 안중근함을 지난 3일 방문해 현안을 청취하고 장병을 격려하는 시간을 가졌다"며 "안중근함의 방문은 한 시간가량으로 현직 대통령이 안중근함 내부에 들어간 것은 문 대통령이 처음"이라고 했다.

한편	한편/MAG
청와대	청와대/NNP
고민정	고민정/NNP
부대변인은	부대변인/NNG+은/JX
이날	이날/NNG
"문	"/SS+문/NNP
대통령은	대통령/NNG+은/JX
휴가차	휴가/NNG+차/NNB
머물고	머물/VV+고/EC
있는	있/VV+는/ETM
진해	진해/NNP
해군기지	해군/NNG+기지/NNG
사령부	사령부/NNG
인근에	인근/NNG+에/JKB
잠수함사령부와	잠수함/NNG+사령부/NNG+와/JC
(1800t급	(/SS+1800/SN+t/SW+급/NNG
잠수함인)	잠수함/NNG+이/VCP+ㄴ/ETM+)/SS
안중근함을	안중근함/NNP+을/JKO
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
방문해	방문/NNG+하/XSV+아/EC
현안을	현안/NNG+을/JKO
청취하고	청취/NNG+하/XSV+고/EC
장병을	장병/NNG+을/JKO
격려하는	격려/NNG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
가졌다"며	가지/VV+었/EP+다/EF+"/SS+며/EC
"안중근함의	"/SS+안중근함/NNP+의/JKG
방문은	방문/NNG+은/JX
한	한/MMN
시간가량으로	시간/NNB+가량/XSN+으로/JKB
현직	현직/NNG
대통령이	대통령/NNG+이/JKS
안중근함	안중근함/NNP
내부에	내부/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것은	것/NNB+은/JX
문	문/NNP
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.401.5.2
북한이 지난달 28일 대륙간탄도미사일(ICBM)을 발사하고 이틀 뒤인 30일부터 여름휴가를 보내고 있는 문 대통령이 안보 위기 상황을 고려해 잠수함사령부를 찾았다는 해석이 나왔다.

북한이	북한/NNP+이/JKS
지난달	지난달/NNG
28일	28/SN+일/NNB
대륙간탄도미사일(ICBM)을	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+을/JKO
발사하고	발사/NNG+하/XSV+고/EC
이틀	이틀/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
30일부터	30/SN+일/NNB+부터/JX
여름휴가를	여름휴가/NNG+를/JKO
보내고	보내/VV+고/EC
있는	있/VX+는/ETM
문	문/NNP
대통령이	대통령/NNG+이/JKS
안보	안보/NNG
위기	위기/NNG
상황을	상황/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
잠수함사령부를	잠수함/NNG+사령부/NNG+를/JKO
찾았다는	찾/VV+았/EP+다는/ETM
해석이	해석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.401.6.1
청와대는 또 "문 대통령이 3일 진해 해군사관학교 내의 거북선 모형함을 방문하러 가다가 우연히 해군사관학교 학생들을 만나 단체 기념사진을 찍었다"며 관련 사진을 공개했다.

청와대는	청와대/NNP+는/JX
또	또/MAG
"문	"/SS+문/NNP
대통령이	대통령/NNG+이/JKS
3일	3/SN+일/NNB
진해	진해/NNP
해군사관학교	해군사관학교/NNP
내의	내/NNB+의/JKG
거북선	거북선/NNP
모형함을	모형/NNG+함/NNG+을/JKO
방문하러	방문/NNG+하/XSV+러/EC
가다가	가/VV+다가/EC
우연히	우연히/MAG
학생들을	학생/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
단체	단체/NNG
기념사진을	기념사진/NNG+을/JKO
찍었다"며	찍/VV+었/EP+다/EF+"/SS+며/EC
관련	관련/NNG
사진을	사진/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.401.6.2
청와대는 지난 1일에도 "문 대통령이 오대산을 다녀오다 시민들을 만나 기념사진을 찍은 것이 소셜 미디어에 올라왔다"며 사진을 공개했다.

청와대는	청와대/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1일에도	1/SN+일/NNB+에/JKB+도/JX
"문	"/SS+문/NNP
대통령이	대통령/NNG+이/JKS
오대산을	오대산/NNP+을/JKO
다녀오다	다녀오/VV+다/EC
시민들을	시민/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
기념사진을	기념사진/NNG+을/JKO
찍은	찍/VV+은/ETM
것이	것/NNB+이/JKS
소셜	소셜/NNG
미디어에	미디어/NNG+에/JKB
올라왔다"며	올라오/VV+았/EP+다/EF+"/SS+며/EC
사진을	사진/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.401.6.3
정치권에서는 "시민과 격의 없이 어울리는 모습을 사진으로 수시로 공개했던 오바마 전 미국 대통령을 벤치마킹하는 것 아니냐"고 하고 있다.

정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
"시민과	"/SS+시민/NNG+과/JKB
격의	격의/NNG
없이	없이/MAG
어울리는	어울리/VV+는/ETM
모습을	모습/NNG+을/JKO
사진으로	사진/NNG+으로/JKB
수시로	수시로/MAG
공개했던	공개/NNG+하/XSV+았/EP+던/ETM
오바마	오바마/NNP
전	전/MMD
미국	미국/NNP
대통령을	대통령/NNG+을/JKO
벤치마킹하는	벤치마킹/NNG+하/XSV+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


