# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.362
metadata : {}


# id : NWRW1800000022.362.1.1
[뉴스 블로그] KB증권 "효성에 대해 투자의견 못 내겠다"

[뉴스	[/SS+뉴스/NNG
대해	대하/VV+아/EC
갈피를	갈피/NNG+를/JKO
못	못/MAG
잡는	잡/VV+는/ETM
데에는	데/NNB+에/JKB+는/JX
이번	이번/NNG
인수	인수/NNG
건에	건/NNG+에/JKB
침묵으로	침묵/NNG+으로/JKB
일관하고	일관/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
효성측의	효성/NNP+측/NNB+의/JKG
책임도	책임/NNG+도/JX
적지	적/VA+지/EC
않다는	않/VX+다는/ETM
지적이	지적/NNG+이/JKS
나옵니다.	나오/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.362.7.2
효성은 인수의향서 제출 직전엔 '인수 의향이 있느냐'는 펀드매니저들의 질문에 '계획이 없다'고 대답해 원성을 샀었습니다.

효성은	효성/NNP+은/JX
인수의향서	인수/NNG+의향서/NNG
제출	제출/NNG
직전엔	직전/NNG+에/JKB+ㄴ/JX
'인수	'/SS+인수/NNG
의향이	의향/NNG+이/JKS
있느냐'는	있/VV+느냐/EF+'/SS+는/ETM
펀드매니저들의	펀드/NNG+매니저/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
'계획이	'/SS+계획/NNG+이/JKS
없다'고	없/VA+다/EF+'/SS+고/JKQ
대답해	대답/NNG+하/XSV+아/EC
원성을	원성/NNG+을/JKO
샀었습니다.	사/VV+았었/EP+습니다/EF+./SF


# id : NWRW1800000022.362.7.3
이후 하이닉스 채권단 측에서는 효성 측의 부담을 감안해 채권단의 보유지분을 분할 매각하는 방안을 검토 중이라고까지 밝혔는데도 이렇다 할 반응이 나오지 않고 있습니다.

이후	이후/NNG
하이닉스	하이닉스/NNP
채권단	채권단/NNG
측에서는	측/NNB+에서/JKB+는/JX
효성	효성/NNP
측의	측/NNB+의/JKG
부담을	부담/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
채권단의	채권단/NNG+의/JKG
보유지분을	보유/NNG+지분/NNG+을/JKO
분할	분할/NNG
매각하는	매각/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이라고까지	중/NNB+이/VCP+라고/EC+까지/JX
밝혔는데도	밝히/VV+었/EP+는데/EC+도/JX
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
반응이	반응/NNG+이/JKS
나오지	나오/VV+지/EC
않고	않/VX+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.362.7.4
불확실성이 짙어질수록 주가의 향방은 오리무중(五里霧中)이 되고, 투자자들의 혼란이 가중됩니다.

불확실성이	불확실/NNG+성/XSN+이/JKS
짙어질수록	짙어지/VV+ㄹ수록/EC
주가의	주가/NNG+의/JKG
향방은	향방/NNG+은/JX
오리무중(五里霧中)이	오리무중/NNG+(/SS+五里霧中/SH+)/SS+이/JKC
되고,	되/VV+고/EC+,/SP
투자자들의	투자자/NNG+들/XSN+의/JKG
혼란이	혼란/NNG+이/JKS
가중됩니다.	가중/NNG+되/XSV+ㅂ니다/EF+./SF


